"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cephalanthus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Rumex","Xanthium","Adiantum","Dryopteris.type","Pteridium","Nuphar","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
146,1643,2,19,2,28,4,0,1,0,32,9,8,0,7,0,7,0,17,0,5,41,20,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1655,0,16,1,24,2,0,2,0,44,6,2,1,6,1,15,0,22,0,2,24,33,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
148,1666,0,15,4,28,4,0,2,0,39,8,3,0,5,2,12,0,17,0,1,33,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1677,3,10,1,24,2,0,1,0,48,9,1,2,16,1,10,0,11,0,1,37,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1689,0,22,1,16,3,0,2,0,46,10,3,0,10,2,16,0,13,0,1,26,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1861,0,10,6,20,3,0,5,0,55,5,0,0,4,3,22,0,13,0,3,35,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
170,1918,1,20,3,15,3,0,2,0,50,6,0,0,3,1,18,0,17,0,4,32,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,2032,0,15,2,14,4,0,0,4,47,3,0,0,2,0,22,0,12,0,2,40,36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2147,1,11,3,26,1,0,2,0,40,7,0,0,10,0,17,0,18,0,4,40,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2261,0,20,1,21,3,0,0,0,65,8,5,0,8,0,12,0,11,0,5,18,24,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
205,2318,0,13,2,29,1,0,0,0,52,2,1,0,13,1,27,0,9,0,3,26,34,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0
210,2375,0,10,2,18,3,0,0,0,60,3,0,1,4,0,14,0,24,0,5,28,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2490,0,11,0,29,3,0,0,0,36,4,3,0,8,1,21,0,8,0,9,22,45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,2604,1,16,3,30,4,0,2,0,62,8,4,0,3,1,15,0,10,0,8,14,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
240,2719,0,16,2,25,1,0,2,0,58,6,0,0,7,1,21,0,19,0,5,18,21,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
250,3001,1,17,1,28,5,0,1,0,63,6,0,0,8,1,16,0,11,1,10,13,20,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
260,3210,1,7,4,17,6,0,2,9,44,4,0,0,12,0,42,0,22,0,4,12,27,0,0,0,0,0,1,19,0,11,0,0,0,1,1,3,0,1,0,0,0
270,3346,2,14,2,16,4,0,3,1,19,3,3,0,5,1,50,0,15,0,6,39,20,2,0,0,0,0,0,21,0,2,0,0,0,0,1,1,0,3,0,0,4
280,3482,0,12,2,18,1,0,0,0,29,10,1,0,10,2,47,0,22,0,6,11,31,0,0,1,0,0,0,35,0,1,0,0,0,4,0,1,0,1,2,5,0
290,3618,0,10,0,27,4,0,2,0,30,4,0,0,11,1,45,0,30,0,7,6,23,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0
300,3858,0,13,0,5,2,0,0,0,26,5,2,1,3,2,81,1,19,0,4,18,18,0,0,1,0,0,1,9,0,1,0,0,0,13,1,1,0,1,0,5,0
310,4098,2,14,0,5,7,0,3,0,21,6,3,1,4,1,87,0,18,3,1,6,21,1,0,0,0,0,0,47,0,2,0,0,0,4,0,0,0,1,0,0,0
