"sample.depths","sample.ages","Abies","Betula","Amaranthaceae.undiff.","Cyperaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Thalictrum","Alnus","Ambrosia","Pinus","Poaceae","Ostrya.Carpinus","Sanguisorba","Asteraceae.subf..Asteroideae.undiff.","Plantago","Ulmus","Fagus","Salix","Shepherdia.canadensis","Artemisia","Tsuga","Acer.saccharum","Acer.rubrum","Apiaceae","Myrica","Fraxinus.americana","Castanea","Fraxinus.nigra","Rosaceae.undiff.","Larix","Juglans.cinerea","Sarcobatus.vermiculatus","Lamiaceae","Platanus","Ilex.Nemopanthus","Populus","Onagraceae","Ericaceae","Ranunculus","Caryophyllaceae","Cupressaceae","Brassicaceae","Carya"
110,2041,0.14,0.48,0,0.035,0,0.065,0.01,0,0,0.215,0,0.005,0.015,0,0,0.015,0,0,0.01,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2229,0.14,0.465,0,0.035,0,0.105,0,0,0.01,0.185,0,0.015,0.01,0,0,0.005,0,0,0.01,0,0.005,0,0,0.005,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2417,0.115,0.425,0,0.015,0,0.055,0.01,0,0.01,0.265,0,0.03,0.01,0,0,0.01,0.005,0,0.005,0,0,0.005,0.01,0,0,0,0.015,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2606,0.11,0.435,0,0.015,0,0.09,0.01,0,0.01,0.25,0,0.01,0.02,0,0,0.025,0,0,0.005,0.005,0,0,0.005,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2794,0.085427135678392,0.522613065326633,0,0.0150753768844221,0,0.0552763819095477,0,0,0,0.256281407035176,0,0.0201005025125628,0.0050251256281407,0,0,0.0050251256281407,0,0,0.0100502512562814,0,0,0,0.0050251256281407,0.0050251256281407,0,0.0050251256281407,0,0,0,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2982,0.085,0.42,0,0.025,0,0.06,0.005,0,0,0.31,0,0.035,0.01,0,0,0.01,0,0.01,0.005,0,0,0,0,0.005,0,0.005,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3170,0.157360406091371,0.390862944162437,0,0.0152284263959391,0,0.116751269035533,0.0050761421319797,0,0,0.263959390862944,0,0.0203045685279188,0,0,0.0050761421319797,0.0101522842639594,0,0,0,0,0,0.0050761421319797,0.0050761421319797,0,0,0,0,0,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3359,0.13,0.39,0,0.005,0,0.115,0.005,0,0,0.275,0,0.05,0,0,0,0.005,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3547,0.115,0.37,0,0.035,0,0.095,0,0,0,0.315,0.005,0.025,0,0,0,0.005,0,0,0.005,0.01,0,0.005,0,0.01,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3735,0.145,0.32,0,0.005,0,0.04,0,0,0.015,0.405,0.005,0.035,0.01,0,0,0.01,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3923,0.12,0.495,0,0,0,0.04,0.005,0,0,0.285,0,0.02,0.01,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
220,4112,0.13,0.37,0,0.015,0,0.065,0.005,0,0.005,0.325,0,0.065,0,0,0,0,0,0,0.005,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0
230,4300,0.0904522613065327,0.341708542713568,0,0.0201005025125628,0,0.050251256281407,0,0,0.0050251256281407,0.437185929648241,0.0050251256281407,0.0301507537688442,0.0050251256281407,0,0,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4488,0.133663366336634,0.326732673267327,0,0.0297029702970297,0,0.0643564356435644,0,0,0.0099009900990099,0.356435643564356,0,0.0594059405940594,0,0,0,0.00495049504950495,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0
250,4676,0.115,0.435,0,0.035,0,0.055,0.005,0,0.005,0.28,0,0.04,0,0,0,0.005,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4865,0.19,0.33,0,0.015,0,0.08,0.005,0,0.005,0.265,0,0.06,0.01,0,0,0.02,0,0,0.005,0,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5053,0.09,0.505,0,0,0,0.065,0.01,0,0,0.24,0,0.05,0.01,0,0,0.015,0,0,0,0,0,0,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5241,0.095,0.465,0,0,0,0.065,0.005,0,0,0.33,0,0.02,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0
290,5429,0.065,0.6,0,0.02,0,0.03,0.005,0,0,0.22,0,0.055,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5618,0.08,0.605,0,0.01,0,0.075,0.005,0,0,0.15,0,0.05,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,5806,0.09,0.635,0,0.005,0,0.08,0.035,0,0,0.05,0,0.08,0,0,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0
320,6493,0.0544554455445545,0.742574257425743,0,0.0247524752475248,0,0.103960396039604,0.0148514851485149,0,0,0.0247524752475248,0,0.0148514851485149,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0
330,7236,0.12,0.55,0,0,0,0.155,0.01,0,0,0.065,0,0.065,0,0,0,0,0,0.005,0.005,0,0,0,0.02,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7979,0.065,0.595,0,0,0,0.09,0,0,0,0.105,0,0.095,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
350,8722,0.08,0.63,0,0.01,0,0.09,0.045,0,0,0.04,0,0.085,0,0,0,0,0,0.005,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
360,9465,0.075,0.71,0,0,0,0.095,0.02,0,0,0.015,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,10208,0.05,0.71,0,0.005,0,0.105,0.005,0,0,0.04,0,0.07,0,0,0,0.005,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10950,0.045,0.685,0,0,0,0.09,0,0,0,0.025,0,0.14,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
390,11693,0.075,0.65,0,0.005,0,0.11,0.035,0,0,0.04,0,0.07,0,0,0,0.005,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,12436,0,0.695,0,0.015,0,0.135,0.02,0,0,0.03,0,0.055,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0
403,12659,0,0.21,0,0.24,0,0.125,0.015,0,0,0.005,0,0.22,0.07,0,0,0.015,0,0.005,0,0.04,0,0,0.01,0,0,0,0,0,0,0.01,0.005,0.005,0,0,0,0,0,0.01,0,0.005,0.01,0,0,0,0
405,12808,0,0.305,0,0.21,0,0.03,0.015,0.005,0,0.055,0,0.12,0.065,0,0,0.005,0,0.005,0,0.085,0.005,0.025,0,0,0,0.01,0,0,0,0.005,0,0,0,0,0,0,0,0.01,0,0.02,0,0.01,0.015,0,0
410,13179,0,0.251256281407035,0,0.336683417085427,0,0.0301507537688442,0.0150753768844221,0,0,0.0804020100502513,0.0050251256281407,0.201005025125628,0,0,0,0.0100502512562814,0,0.0050251256281407,0,0.0251256281407035,0,0.0100502512562814,0,0,0,0,0.0201005025125628,0,0,0,0,0,0,0,0,0,0,0,0,0.0100502512562814,0,0,0,0,0
420,NA,0.00518134715025907,0.10880829015544,0,0.378238341968912,0.00518134715025907,0.0569948186528497,0.0155440414507772,0.0103626943005181,0,0.0673575129533679,0.0155440414507772,0.217616580310881,0.0362694300518135,0,0,0.00518134715025907,0,0.0155440414507772,0,0,0,0.0259067357512953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259067357512953,0,0.0103626943005181,0
430,NA,0,0.075,0.005,0.585,0.005,0.03,0.005,0,0,0.05,0,0.07,0.095,0,0,0.015,0,0,0,0.02,0.005,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.015,0,0,0
440,NA,0,0.195,0,0.355,0.005,0.08,0.02,0,0.005,0,0.005,0.18,0.045,0,0,0.005,0,0,0,0.03,0.005,0.03,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0.005,0,0.01,0.015,0,0
450,NA,0,0.105,0,0.225,0,0.13,0.045,0,0,0.01,0,0.355,0.04,0,0,0.005,0,0.005,0.005,0.04,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.02,0,0
460,NA,0.0324324324324324,0.0540540540540541,0,0.102702702702703,0,0.345945945945946,0.0162162162162162,0,0,0.00540540540540541,0,0.378378378378378,0.0216216216216216,0,0,0,0,0.00540540540540541,0,0.00540540540540541,0,0,0.00540540540540541,0,0,0,0,0,0,0,0.00540540540540541,0,0,0,0,0,0,0,0,0.00540540540540541,0,0.0108108108108108,0,0,0.00540540540540541
