"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Ceratiola.ericoides","Cupressaceae.undiff.","Cyperaceae","Dalea","Dryopteris.type","Ericaceae","Eriocaulon","Fabaceae.undiff.","Filicopsida.undiff.","Fraxinus","Gordonia","Herbs.undiff.","Isoëtes","Iva.annua.type","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodium.type","Pteridium.type","Quercus","Sabal","Sagittaria","Salix","Selaginella","Serenoa","Sparganium.type","Sphagnum","Taxodium","Typha.latifolia","Ulmus","Utricularia","Vitis"
2030,1211,0,0,11,0,0,0,1,0,3,1,0,12,0,5,1,0,1,0,1,2,0,0,5,0,0,0,28,0,0,0,0,0,254,0,23,0,0,0,0,28,0,0,0,2,1,1,0,6,0,1,0,0
2050,1344,0,0,17,1,0,0,4,0,1,1,3,13,0,8,0,0,0,0,0,4,0,0,2,0,0,0,28,0,0,0,1,1,177,0,9,0,0,0,0,27,0,0,0,2,4,0,1,3,1,1,0,1
2070,1478,0,1,25,4,0,0,2,0,0,1,4,12,0,8,1,0,0,0,0,6,0,0,4,0,0,3,23,0,0,0,0,0,132,0,14,0,0,0,0,43,0,0,1,0,2,0,1,6,0,0,0,1
2090,1611,0,0,48,1,0,0,6,0,3,1,0,19,0,14,1,0,0,0,0,6,0,0,5,0,0,0,21,0,0,1,0,1,171,0,10,0,0,0,0,20,0,0,1,1,0,1,1,5,0,0,0,0
2110,1744,0,1,49,1,0,0,0,0,1,2,8,11,0,14,0,0,0,0,0,6,0,0,6,0,0,0,21,0,0,0,0,0,151,0,14,0,0,0,0,29,0,0,1,0,0,0,0,3,0,2,0,3
2130,1878,0,0,39,1,0,0,4,0,2,3,5,17,0,13,1,0,1,2,2,11,1,0,3,1,2,0,31,0,0,0,1,2,158,0,10,0,0,0,0,44,0,1,0,1,1,0,2,2,0,1,0,2
2150,2011,0,0,27,0,0,0,3,0,2,1,3,7,0,10,2,0,0,0,2,11,0,0,1,0,1,0,32,1,0,0,0,3,177,0,18,0,0,0,0,55,0,0,0,0,3,1,0,1,0,1,0,2
2170,2145,0,0,17,1,1,0,5,0,2,2,4,18,0,12,1,1,0,0,1,7,1,0,4,0,1,2,18,1,0,1,0,0,169,0,7,0,0,0,0,40,0,0,0,1,1,1,0,2,0,1,0,1
2190,2278,0,1,24,1,1,0,7,0,2,3,7,16,0,9,1,0,1,0,1,4,1,0,5,2,2,0,30,1,0,1,0,0,226,0,33,1,0,0,0,31,0,0,0,0,1,0,1,0,0,0,0,2
2210,2411,0,0,30,1,0,0,5,0,0,1,2,7,0,8,2,0,0,0,0,6,1,0,0,0,0,1,29,0,0,1,1,2,192,0,13,0,0,0,0,33,0,1,0,2,2,0,0,3,1,0,0,2
2230,2545,0,0,34,2,0,0,5,0,2,2,3,16,0,13,2,0,0,1,1,9,0,0,3,0,0,1,25,1,0,2,1,0,184,0,12,0,0,0,0,34,0,2,0,2,2,0,0,6,0,0,1,5
2250,2678,0,1,31,1,0,0,2,0,1,6,3,13,0,8,0,0,1,0,1,3,1,0,3,1,0,2,34,0,0,0,2,0,162,0,17,1,0,0,0,48,0,0,0,0,0,0,0,3,0,2,0,1
2260,2756,0,2,34,3,1,0,6,0,3,0,1,10,0,17,1,0,0,0,1,7,1,0,4,0,0,1,50,0,0,0,0,1,141,0,10,0,0,0,0,48,0,0,0,2,2,1,0,0,0,1,0,0
2270,2846,0,2,57,2,0,0,7,0,3,5,1,14,0,4,0,0,0,0,1,10,0,0,7,0,0,0,43,4,0,0,0,1,172,0,24,0,0,0,0,71,0,0,1,1,0,0,0,0,1,2,0,0
2280,2937,0,1,47,1,0,0,2,0,2,1,2,14,0,9,3,0,0,0,2,12,0,0,4,0,0,0,24,0,0,0,0,1,116,0,15,0,0,0,0,45,0,0,0,2,1,0,0,1,1,2,0,1
2290,3028,0,0,32,0,1,0,3,0,0,0,3,11,0,8,3,0,0,0,1,8,0,0,5,0,0,0,34,2,0,1,0,0,139,0,11,0,0,0,0,66,0,0,0,2,2,0,0,3,0,1,0,3
2300,3118,0,0,35,0,0,0,9,0,2,2,6,13,0,9,4,0,0,0,1,7,0,0,5,0,0,0,28,0,0,0,1,1,163,0,15,1,0,0,0,57,0,0,0,0,1,0,1,7,0,0,0,2
2310,3209,0,2,59,1,0,0,1,0,4,1,0,15,0,9,2,0,0,0,0,4,0,0,8,1,0,0,35,0,0,0,1,2,157,0,17,0,1,0,0,64,0,1,2,0,1,0,1,2,0,0,0,1
2320,3300,0,0,21,1,0,0,2,0,0,0,2,15,0,9,0,0,0,0,2,7,0,0,6,0,0,1,22,1,1,2,0,1,141,0,15,0,0,0,0,51,0,1,0,1,2,1,0,6,0,0,0,0
2330,3390,0,0,41,1,0,0,2,0,1,2,1,22,0,12,1,0,0,1,1,7,0,0,8,0,0,0,26,1,0,1,2,2,145,0,31,0,0,0,0,37,0,0,0,1,4,0,0,0,0,1,0,0
2350,3572,0,0,54,1,0,0,2,0,3,2,0,12,0,12,1,0,0,0,0,9,0,0,1,0,0,1,34,1,0,0,0,1,134,0,16,0,0,0,0,45,0,0,0,1,0,0,0,1,0,0,0,0
2370,3753,0,0,52,4,1,0,4,0,2,1,2,6,0,7,1,0,0,1,0,12,0,0,8,1,0,0,35,1,0,0,0,0,117,0,15,2,0,0,0,54,0,0,1,4,2,1,0,2,0,1,0,2
2390,3934,0,0,48,2,1,0,1,0,3,2,1,11,0,6,1,0,1,0,2,6,0,0,11,0,0,0,22,0,0,0,0,1,151,0,19,0,0,0,0,73,0,1,2,3,3,0,0,0,0,1,1,0
2410,4116,0,1,28,2,0,0,3,0,3,4,1,13,0,7,1,0,0,0,0,12,1,0,10,1,0,0,29,0,0,0,2,1,109,1,17,1,0,0,0,61,0,0,2,1,1,0,0,3,0,1,1,1
2420,4206,0,0,35,1,0,0,0,0,4,6,1,10,0,5,6,0,0,0,0,11,0,0,8,0,0,2,27,0,0,0,2,1,163,0,25,0,0,0,0,55,0,1,1,1,2,0,0,0,0,0,2,2
2440,4388,0,1,42,1,0,0,1,0,3,3,0,7,0,5,2,0,0,0,1,6,0,0,8,0,0,0,28,0,0,1,0,0,147,0,17,0,0,0,0,63,0,1,0,0,0,0,0,0,1,1,0,1
2460,4569,0,1,46,2,0,0,1,0,3,6,1,9,0,9,8,0,0,0,2,12,0,0,7,2,0,2,33,0,0,0,1,0,121,0,14,0,0,0,0,88,0,0,1,0,0,3,0,1,0,1,1,0
2480,4750,0,1,30,2,1,0,4,0,0,2,3,12,0,8,2,1,0,0,0,7,0,0,5,0,0,2,28,0,0,1,1,0,209,0,19,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,1
2500,4932,0,0,35,2,0,1,4,0,3,3,1,11,0,1,3,0,0,0,1,5,0,0,7,0,0,0,51,1,0,0,0,0,131,0,10,0,0,0,0,108,0,0,1,0,2,2,0,1,0,0,1,0
2520,5113,0,0,41,1,0,0,1,0,1,3,0,15,0,1,4,1,0,0,1,9,0,0,5,0,0,0,27,2,0,0,1,0,152,1,24,2,0,0,0,75,0,0,1,1,0,1,1,0,0,1,0,4
2540,5294,0,0,17,0,0,0,3,1,4,2,1,16,1,1,2,0,0,0,0,1,0,0,8,0,0,0,50,1,0,0,0,0,141,0,18,0,0,0,0,73,0,0,0,0,2,0,0,0,0,0,0,1
2550,5385,0,0,26,0,0,0,3,0,3,0,0,14,1,1,1,0,0,0,0,6,0,0,6,1,0,0,35,1,0,0,0,0,118,0,16,0,0,0,0,58,0,0,0,2,4,1,0,0,0,2,0,0
2560,5770,0,0,26,2,0,0,0,0,5,1,0,6,0,1,2,0,0,0,2,0,0,0,7,0,0,0,40,2,0,0,0,2,107,0,17,1,0,0,0,89,0,0,1,1,4,0,0,0,0,1,0,0
2570,6514,0,0,29,2,0,0,4,0,5,3,0,23,0,0,3,0,0,0,0,0,0,1,5,0,0,0,13,1,0,0,0,0,162,0,22,0,0,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0
2580,7258,0,0,21,1,0,0,7,0,7,4,1,15,0,0,4,0,0,0,0,0,1,0,18,0,0,0,12,3,0,0,0,0,168,0,21,1,0,0,0,142,0,0,1,0,0,3,0,0,1,1,0,2
2600,8747,1,0,8,1,0,1,10,0,3,1,0,44,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,3,0,0,0,0,123,0,31,1,0,0,0,88,0,0,0,0,0,6,0,0,0,0,0,0
2610,9491,0,2,12,4,0,0,6,0,9,3,0,23,0,0,4,0,0,0,1,0,0,0,13,0,0,0,2,0,0,0,0,0,69,0,46,0,0,0,0,142,0,0,0,0,0,2,0,1,0,2,0,1
2620,10235,0,0,5,8,0,1,6,1,25,4,1,25,0,0,4,0,0,0,0,0,1,0,1,1,0,0,9,0,0,0,0,0,128,0,69,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1
2640,11724,0,1,2,20,0,0,10,0,3,0,0,31,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35,0,69,1,0,0,0,218,0,0,0,1,0,1,0,0,0,0,0,0
2650,12393,0,1,12,42,1,0,5,0,3,0,0,19,0,1,0,0,1,0,0,0,0,1,3,1,1,0,2,0,0,0,0,0,65,0,51,0,0,0,0,177,0,0,0,2,0,2,0,0,0,0,0,0
2660,12839,1,0,13,59,1,0,21,0,3,1,1,14,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,29,0,17,6,0,0,0,119,0,1,0,2,0,0,0,0,1,0,0,1
2670,13285,0,0,11,58,0,0,17,0,5,0,0,8,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,1,0,0,57,0,12,0,0,0,0,139,0,1,0,2,0,0,0,0,3,3,0,0
2680,13731,0,0,40,27,1,0,26,0,3,0,0,15,0,0,0,0,0,0,0,0,3,0,1,1,0,0,6,0,0,0,0,0,62,0,21,0,1,0,0,105,0,1,0,1,0,1,1,0,17,0,0,2
2700,14623,0,0,2,38,2,0,20,0,10,0,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,2,98,0,17,2,0,0,0,123,0,1,0,0,0,1,0,0,0,1,0,1
2710,15069,2,0,14,41,0,0,29,0,4,0,1,6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,2,150,0,11,1,1,1,0,56,0,0,0,0,0,1,0,0,0,5,0,0
2720,15515,1,0,7,29,0,3,24,0,4,0,1,11,0,0,0,0,0,0,3,0,14,0,4,0,0,1,9,0,0,0,0,0,117,0,6,5,0,0,0,75,0,0,0,0,0,1,0,1,0,1,0,0
2730,17140,0,0,8,48,1,1,14,0,6,4,9,5,0,1,4,0,0,0,2,0,0,0,2,0,0,0,8,0,0,1,0,4,54,2,19,8,0,0,0,142,0,0,0,0,0,0,0,0,0,10,0,1
2740,20208,0,1,20,59,1,0,38,0,12,9,5,18,2,0,9,0,0,0,0,0,0,0,7,1,0,0,7,0,0,1,0,1,33,0,24,5,1,0,0,72,0,0,0,2,0,1,0,0,0,4,0,0
2750,23275,0,0,15,27,2,0,18,0,5,6,2,15,0,3,6,0,1,0,1,0,0,0,4,1,0,0,3,0,0,0,1,2,23,0,49,2,0,0,0,146,0,0,0,1,2,0,0,0,0,0,0,1
2770,29410,1,0,23,15,0,0,2,0,6,9,0,12,0,3,9,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,1,48,0,55,1,0,0,0,116,0,2,0,3,0,0,0,0,0,2,0,1
2780,32477,0,2,20,18,0,0,10,0,11,18,1,17,0,1,18,0,0,0,0,0,0,0,3,1,0,0,5,1,0,0,1,1,39,1,72,2,0,0,0,90,1,0,0,5,0,0,0,0,1,1,0,0
2800,38302,0,0,31,20,4,1,17,0,7,8,9,25,0,3,8,0,0,0,2,1,0,0,5,0,1,0,9,1,0,0,0,0,28,1,72,8,0,0,0,74,0,0,0,3,0,6,1,0,0,1,0,2
2820,41332,0,0,28,35,2,0,14,0,19,34,2,18,0,2,34,0,0,0,2,1,0,0,1,3,1,0,14,2,0,0,1,0,57,0,42,3,0,0,0,92,0,0,0,8,0,0,1,0,0,1,0,0
2840,44362,0,0,12,36,3,0,9,0,2,21,1,19,0,1,21,1,2,0,0,0,1,0,3,0,0,0,6,2,0,0,1,0,100,0,39,5,0,0,0,52,0,0,0,6,0,0,1,0,1,0,0,1
2860,45906,0,0,15,22,2,0,22,0,12,35,0,19,0,2,35,0,0,0,1,0,0,0,9,1,0,0,10,5,0,0,0,0,88,0,39,12,0,0,0,83,1,0,0,7,0,1,3,0,0,0,0,0
2870,46430,0,0,10,30,5,0,19,0,4,19,0,14,0,1,19,2,0,0,1,0,1,1,8,0,0,0,11,7,0,0,3,2,79,0,47,12,0,0,0,61,0,0,0,4,0,1,0,0,0,1,0,0
2890,47478,0,0,10,36,2,0,16,0,5,26,0,16,1,3,26,0,0,0,2,1,1,1,7,2,5,1,15,0,0,0,0,3,37,0,25,16,0,0,0,95,0,0,0,5,3,0,1,0,0,2,0,0
2900,NA,0,0,6,64,2,0,20,0,8,20,1,18,0,0,20,0,0,0,0,0,0,0,5,0,1,0,8,8,0,0,0,0,25,0,36,10,0,0,0,82,0,0,0,3,1,0,0,0,0,1,0,0
2920,NA,2,0,9,38,3,1,11,0,9,11,0,15,0,0,11,0,1,0,2,1,3,0,6,3,1,0,13,1,0,0,0,4,62,0,27,6,0,0,0,86,0,0,0,5,2,0,0,0,0,1,0,2
2950,NA,0,0,14,35,6,0,26,0,10,24,0,29,1,1,24,1,0,0,0,0,0,0,8,2,1,0,9,0,0,0,0,0,15,0,37,29,0,0,0,41,0,0,0,3,0,0,0,0,1,0,0,2
2960,NA,2,0,19,24,4,0,21,0,15,73,1,26,0,0,73,2,0,0,2,0,1,0,6,0,7,0,13,0,0,0,0,2,20,0,41,10,0,0,0,46,2,1,0,5,0,0,1,0,0,1,0,0
2970,NA,1,1,19,22,1,0,18,0,2,30,1,39,0,5,30,0,0,1,0,0,6,0,4,2,0,1,5,0,0,1,0,0,22,0,49,13,0,0,0,52,6,0,0,5,1,0,0,0,0,0,0,2
