"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae.type.undiff.","Apiaceae.undiff.","Apocynaceae","Araliaceae","Arecaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boraginaceae","Brasenia.schreberi","Brassicaceae","Bromeliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Ribes","cf..Sapindaceae","Chamaecrista","Citrus","Combretaceae.Melastomataceae","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Cyrilla.racemiflora","Dalea","Dryopteris.type","Ephedra","Ericales.undiff.","Fabaceae.undiff.","Fagus","Fraxinus","Gomphrena.type","Gordonia","Hydrocotyle.type","Ilex","Indeterminable","Isoëtes","Itea","Iva.frutescens.type","Iva.xanthifolia","Juglans.nigra","Lamiaceae","Lechea","Ledum.type","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Malvaceae","Meliaceae.Sapotaceae","Moraceae","Myrica","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmanthus","Osmunda.cinnamomea","Ostrya.Carpinus","Parthenocissus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Planera.aquatica","Platanus","Poaceae.undiff.","Polygonella.fimbriata.P..myriophylla","Polygonella.polygama.type","Polygonum.bistorta.type","Polygonum.persicaria.type","Polypodium.type","Pontederia","Populus","Potamogetonaceae","Primulaceae","Pseudolycopodiella.carolinianum","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Secale.type","Selaginella","Senecio","Serenoa","Sparganium.type","Sphagnum","Symplocos","Taxodium","Thalictrum","Tilia","Tillandsia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..verrucate.","Urticaceae","Utricularia","Vitis","Xanthium.type","Zanthoxylum","Zea.mays"
479.5,82,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,6,0,5,3,3,0,0,0,2,0,96,0,176,0,0,6,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,4,0,0,0,0,6,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0
482,93,0,0,0,0,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,5,0,1,0,0,0,0,0,0,0,6,0,0,0,0,48,2,0,0,1,8,0,0,0,4,0,31,0,233,0,0,7,1,0,0,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0
484.5,107,0,0,0,0,2,0,2,0,0,0,1,0,0,11,0,0,0,3,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,8,0,8,5,3,0,0,1,3,0,61,0,166,0,0,7,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,2,0,0,0,1,0,0,0
487,138,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,2,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,43,2,0,2,2,14,0,0,1,1,0,454,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0
489.5,169,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,29,2,0,1,0,11,1,0,0,0,0,10,0,215,0,0,6,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0
492,200,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,26,3,0,1,2,8,0,0,0,2,0,35,0,209,0,0,13,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0
494.5,231,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,38,2,0,0,0,5,0,0,0,2,0,8,0,260,0,1,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
497,262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,36,6,0,0,0,7,0,0,0,3,0,40,0,222,0,0,8,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
499.5,293,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,3,8,0,3,0,0,1,0,0,0,1,5,0,0,0,0,35,1,0,2,2,10,0,0,0,2,0,5,0,250,0,0,3,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,0,0,0,0,0,0,0
502,324,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,28,3,0,0,1,6,0,1,0,3,0,25,0,230,0,0,4,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,2,0,0,0,0,0,0,0
504.5,355,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,35,3,0,0,1,6,0,0,0,3,0,7,0,221,0,0,4,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0
507,386,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,15,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,29,3,0,3,0,12,0,0,0,6,0,337,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,2,0,0,0,1,0,0,0
509.5,417,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,15,2,0,8,1,6,0,0,0,2,0,16,0,216,0,0,6,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,1,0,0,0
512,448,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,1,0,4,0,0,0,1,0,45,0,186,0,0,7,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0
514.5,479,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,4,2,0,2,0,0,1,0,2,0,0,2,0,0,0,0,32,3,0,5,2,6,1,0,0,1,0,8,0,250,0,0,4,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,2,0,0,0,1,0,0,0
517,510,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,23,1,0,8,0,3,0,0,0,2,0,48,0,179,1,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
519.5,541,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,3,4,0,0,1,1,0,20,0,156,0,1,7,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
522,572,0,0,0,0,1,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,4,0,0,0,3,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,1,0,5,0,8,0,0,0,0,1,61,0,202,0,0,7,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0
524.5,603,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,0,2,0,3,0,0,0,0,1,0,0,0,7,0,0,1,0,1,0,0,5,0,0,7,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,32,2,0,0,1,6,0,0,0,1,0,6,0,182,0,0,7,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0
532,696,0,0,0,0,0,0,1,1,0,0,0,0,0,16,0,0,0,2,0,0,9,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,5,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,27,2,0,2,1,3,0,0,1,3,0,58,0,212,0,1,6,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,13,0,1,0,0,2,1,0,0,0,0,0,0,0
537,758,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,12,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,2,6,0,1,1,0,0,0,0,0,0,3,0,0,0,0,34,0,0,4,0,10,0,0,0,3,0,46,0,182,0,0,8,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
550,919,0,0,0,0,1,0,2,0,0,0,0,0,0,12,1,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,32,1,0,2,2,6,0,0,2,2,0,33,0,136,0,0,9,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0
553,956,0,1,1,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,13,1,2,0,0,0,3,0,306,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0,0,0
558,1061,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,1,0,3,3,1,0,0,0,3,0,79,0,110,0,0,6,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
563,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,23,0,0,3,1,4,0,0,0,0,0,33,0,155,0,0,2,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
568,1271,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,28,2,0,6,3,1,0,0,0,4,0,75,0,149,0,0,4,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
573,1376,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,3,0,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,1,0,0,1,5,3,0,0,0,1,0,0,0,0,1,7,1,0,0,0,36,3,0,4,0,12,0,0,1,1,0,370,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,97,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
578,1482,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,22,1,0,2,2,6,0,0,0,2,0,46,0,160,0,0,7,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
588,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,3,0,2,0,5,0,0,0,5,0,48,0,185,0,0,9,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
590.5,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,3,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,2,4,7,0,0,1,0,0,0,1,0,0,6,0,0,0,0,39,1,0,1,2,4,0,0,0,0,0,35,0,217,0,0,2,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
593,1797,0,0,1,0,0,1,0,0,0,0,0,1,0,7,0,1,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,1,0,0,2,0,0,0,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,7,1,10,0,0,0,1,0,427,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,87,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
598,1902,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,6,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,44,0,0,2,3,11,0,0,0,3,0,46,0,212,0,0,8,0,0,0,1,0,0,0,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0
603,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,2,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,29,0,0,2,2,10,0,0,0,2,0,24,0,182,1,0,5,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
608,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,0,1,4,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,22,3,0,4,2,4,0,0,0,3,0,20,0,196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
613,2217,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,17,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,6,6,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,52,2,0,7,0,10,1,0,0,2,0,420,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1,0,0,0
618,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,9,0,2,0,3,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,4,7,0,0,0,0,0,0,1,0,0,4,0,0,0,0,27,2,0,1,0,8,0,0,0,2,0,22,0,190,0,0,6,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
623,2427,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,4,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,9,0,0,0,0,58,6,0,0,0,1,0,0,0,4,0,14,0,132,0,0,9,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0
628,2533,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,6,6,0,0,1,0,0,0,0,0,0,6,0,0,1,0,37,2,0,2,1,4,0,0,1,4,0,21,0,275,0,0,4,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
641,2806,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,0,7,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,36,4,0,1,0,7,0,0,0,2,0,36,0,227,0,0,6,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0
