"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Cerealia","Corylus","Cupressaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Quercus","Rosaceae","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
137,1693,8,29,0,0,0,0,35,8,1,0,1,2,14,3,4,1,0,0,1,0,1,1,10,0,2,7,181,0,0,0,0,17,2,0
141,1841,2,27,0,0,1,0,28,16,1,0,1,0,12,5,3,3,0,0,0,0,1,2,19,0,2,11,176,1,0,0,0,12,3,1
145,1989,1,23,0,0,0,0,25,16,1,0,0,0,12,2,2,2,0,0,1,0,2,0,15,0,0,6,183,0,0,0,0,15,3,2
149,2137,1,21,0,0,0,0,32,9,4,0,0,0,19,4,3,2,1,0,0,0,4,0,10,0,1,5,184,0,0,0,0,12,4,0
153,2285,4,26,0,1,0,0,48,19,1,0,0,1,14,4,1,6,0,2,0,1,2,1,15,0,1,9,212,1,0,0,0,15,0,3
157,2433,4,16,1,0,0,0,20,13,2,0,0,0,17,5,2,2,0,0,1,0,4,1,19,0,1,7,179,0,0,0,0,14,5,1
161,2581,4,16,0,0,0,0,26,13,2,0,1,1,21,7,0,4,0,0,1,2,2,2,14,0,1,2,172,2,0,0,0,12,1,2
165,2729,4,15,0,1,1,0,37,5,0,0,0,1,15,7,0,6,0,0,3,1,2,0,11,0,0,9,198,2,0,0,0,14,2,1
169,2877,5,8,0,0,0,0,32,8,1,0,0,2,13,3,3,8,1,0,0,1,0,1,16,0,0,5,196,1,0,0,0,14,2,3
173,3025,2,12,0,0,0,0,32,11,1,0,0,1,23,1,0,4,0,0,1,2,3,0,16,0,2,14,189,1,0,0,0,9,2,4
177,3173,5,17,0,1,0,0,26,10,0,0,1,2,18,4,3,2,1,1,1,0,1,1,18,0,1,5,166,0,0,0,0,6,4,0
181,3321,4,20,0,1,0,0,27,11,0,0,1,1,16,7,2,7,0,0,1,2,3,1,26,0,1,7,173,2,0,0,0,16,2,2
189,3617,4,8,1,0,0,0,19,14,1,0,1,5,21,8,1,8,0,0,0,0,1,0,15,0,2,5,189,0,0,0,0,8,3,2
197,3913,3,14,0,0,0,0,23,22,0,0,0,1,0,2,1,8,0,0,2,1,3,2,24,0,1,6,159,0,0,0,0,13,1,3
205,4209,3,15,0,0,0,0,13,6,1,0,0,2,14,2,3,7,1,0,1,2,1,1,16,0,1,5,199,0,0,0,0,10,2,1
213,NA,6,29,0,0,0,0,21,5,0,0,1,1,15,4,2,0,0,0,3,1,3,1,11,0,3,8,173,3,0,1,0,11,7,2
221,NA,5,19,1,0,0,0,20,8,0,0,0,0,16,12,3,5,0,1,3,0,2,0,12,0,1,7,191,0,0,0,0,8,3,3
