"sample.depths","sample.ages","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Populus","Epilobium","Fagus","Ulmus","Abies","Platanus","Rubiaceae","Ostrya","Corylus","Rosaceae.undiff.","Plantago","Ephedra","Acer","Polygonum.viviparum","Rubus.chamaemorus","Fraxinus","Juglans","Carya","Oxyria.digyna","Shepherdia.canadensis","Brassicaceae"
30,3313,0.00693240901213172,0.0641247833622184,0.00173310225303293,0.00519930675909879,0.0103986135181976,0.00173310225303293,0.748700173310225,0.00866551126516464,0,0.00346620450606586,0,0.00173310225303293,0.00346620450606586,0.00346620450606586,0,0.121317157712305,0.00346620450606586,0,0.00519930675909879,0,0,0.00173310225303293,0.00346620450606586,0,0,0,0,0.00346620450606586,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0
33,3473,0,0.099009900990099,0.0158415841584158,0.00792079207920792,0.00396039603960396,0.00594059405940594,0.687128712871287,0.0138613861386139,0.00594059405940594,0.00396039603960396,0,0,0.00198019801980198,0.0158415841584158,0,0.134653465346535,0,0,0.00198019801980198,0,0,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3773,0.00628140703517588,0.0904522613065327,0.0226130653266332,0.00879396984924623,0.00628140703517588,0.00251256281407035,0.623115577889447,0.0138190954773869,0.00125628140703518,0.00753768844221105,0,0.00125628140703518,0.00125628140703518,0.0125628140703518,0.00376884422110553,0.182160804020101,0.00251256281407035,0,0.00879396984924623,0,0,0,0.00125628140703518,0,0.00125628140703518,0,0,0,0,0,0,0,0,0,0.00251256281407035,0,0,0,0,0
45,3939,0.00741656365883807,0.0877626699629172,0.0173053152039555,0.00370828182941904,0.00618046971569839,0,0.683559950556242,0.00370828182941904,0,0.00494437577255871,0,0,0.00123609394313968,0.0197775030902349,0,0.15451174289246,0.00123609394313968,0,0.00618046971569839,0,0.00123609394313968,0,0,0.00123609394313968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4078,0.00610687022900763,0.0809160305343511,0.00305343511450382,0.00152671755725191,0.00152671755725191,0.00152671755725191,0.654961832061069,0.00152671755725191,0,0.00305343511450382,0.00152671755725191,0.00152671755725191,0.00458015267175573,0.0137404580152672,0.00610687022900763,0.201526717557252,0.00458015267175573,0,0.00916030534351145,0.00152671755725191,0,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4202,0.00239808153477218,0.113908872901679,0.00839328537170264,0,0.00119904076738609,0.00599520383693046,0.62589928057554,0.00359712230215827,0,0.00119904076738609,0,0.00119904076738609,0.00119904076738609,0.0191846522781775,0,0.203836930455636,0.00359712230215827,0.00119904076738609,0.00359712230215827,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119904076738609,0,0,0,0,0,0
60,4324,0.0123076923076923,0.112307692307692,0.00769230769230769,0.00461538461538462,0.00615384615384615,0,0.421538461538462,0.00769230769230769,0.00153846153846154,0.0107692307692308,0,0.00307692307692308,0.00307692307692308,0.00769230769230769,0.00307692307692308,0.386153846153846,0.00153846153846154,0,0.00769230769230769,0,0,0,0,0,0,0,0,0.00153846153846154,0,0,0,0,0,0,0.00153846153846154,0,0,0,0,0
65,4454,0.0138461538461538,0.112307692307692,0.00307692307692308,0.00307692307692308,0.00769230769230769,0.00153846153846154,0.495384615384615,0.00307692307692308,0,0.00153846153846154,0,0.00153846153846154,0.00153846153846154,0.00153846153846154,0.00615384615384615,0.34,0.00615384615384615,0,0,0,0,0,0.00153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4605,0.0038961038961039,0.11038961038961,0.0025974025974026,0.0025974025974026,0.0064935064935065,0.0012987012987013,0.484415584415584,0.0064935064935065,0,0.0025974025974026,0.0012987012987013,0.0012987012987013,0.0012987012987013,0.0038961038961039,0.0012987012987013,0.363636363636364,0.0038961038961039,0.0012987012987013,0,0,0,0,0.0012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4788,0,0.109862671660424,0.00124843945068664,0.00124843945068664,0.00124843945068664,0.00124843945068664,0.560549313358302,0.00249687890137328,0,0.00749063670411985,0.00124843945068664,0.00124843945068664,0.00124843945068664,0.0062421972534332,0.00124843945068664,0.295880149812734,0.00124843945068664,0,0.00499375780274657,0,0,0,0,0,0,0,0.00124843945068664,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5016,0.00741656365883807,0.0927070457354759,0.00494437577255871,0.0135970333745365,0.00123609394313968,0.00123609394313968,0.412855377008653,0.00865265760197775,0,0.00247218788627936,0,0.00123609394313968,0,0.0135970333745365,0,0.419035846724351,0.00247218788627936,0,0.0160692212608158,0,0,0,0,0,0,0,0.00123609394313968,0.00123609394313968,0,0,0,0,0,0,0,0,0,0,0,0
85,5300,0.0068259385665529,0.100682593856655,0,0.0136518771331058,0.00341296928327645,0.00170648464163823,0.648464163822526,0.00341296928327645,0,0.00511945392491468,0,0.00170648464163823,0.00170648464163823,0,0.0068259385665529,0.199658703071672,0,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5653,0.00323624595469256,0.0938511326860841,0,0,0,0.0113268608414239,0.394822006472492,0.00970873786407767,0,0.00161812297734628,0,0.00161812297734628,0.00161812297734628,0.0242718446601942,0,0.441747572815534,0.00161812297734628,0,0.0080906148867314,0,0,0,0.00161812297734628,0,0,0,0,0,0,0.00161812297734628,0,0,0,0,0.00161812297734628,0,0.00161812297734628,0,0,0
95,6085,0.00744047619047619,0.160714285714286,0.00297619047619048,0.0119047619047619,0.00148809523809524,0.0267857142857143,0.351190476190476,0.00892857142857143,0.00297619047619048,0.00297619047619048,0.00297619047619048,0.00148809523809524,0,0.00297619047619048,0.00297619047619048,0.380952380952381,0,0.00595238095238095,0.0238095238095238,0,0,0,0.00148809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6610,0.011166253101737,0.337468982630273,0.0223325062034739,0.0409429280397022,0.011166253101737,0.0099255583126551,0.281637717121588,0.00744416873449132,0,0.0124069478908189,0,0.00620347394540943,0.00372208436724566,0.00620347394540943,0.00248138957816377,0.224565756823821,0,0.00372208436724566,0.0173697270471464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124069478908189,0,0,0,0,0
103,NA,0.00834724540901502,0.252086811352254,0.00667779632721202,0.0417362270450751,0.0183639398998331,0.011686143572621,0.373956594323873,0.00333889816360601,0,0.00500834724540901,0.00166944908180301,0.01669449081803,0.00166944908180301,0.00834724540901502,0.01669449081803,0.183639398998331,0.00166944908180301,0.00333889816360601,0.0283806343906511,0.00667779632721202,0.00166944908180301,0,0,0,0,0,0,0.00166944908180301,0,0,0,0,0,0,0.00166944908180301,0,0,0.00166944908180301,0.00166944908180301,0.00166944908180301
107,NA,0.0147058823529412,0.0294117647058824,0,0.0955882352941176,0,0,0.551470588235294,0.0220588235294118,0,0.00735294117647059,0,0.0514705882352941,0,0,0.0367647058823529,0.132352941176471,0,0.0147058823529412,0.0441176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
