"sample.depths","sample.ages","upland.sum","Picea","Abies","Larix","Juniperus.Thuja","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type"
490,4978,480,1,1,2,2,56,0,2,48,5,4,3,0,10,0,8,164,1,0,0,0,0,2,1,0,0,0,0,0,0,11,24,13,4,0,1,0,0,0,0,1,1,0,0,0,0,7,42,0,0,0,32,10,1,0,0,5,5,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
500,5103,532,9,1,0,2,107,0,8,33,4,3,3,0,13,0,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,3,9,3,0,0,0,0,1,0,0,0,0,0,0,20,55,0,0,0,33,11,0,0,0,3,10,0,0,9,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,5166,524,3,1,1,5,77,0,6,48,3,3,0,0,9,0,12,207,1,0,0,0,0,0,1,0,0,0,0,0,0,3,23,8,3,0,0,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,28,5,1,2,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5228,639,2,0,0,1,59,0,2,76,3,1,1,0,12,1,1,314,1,0,0,0,0,2,0,0,0,0,0,0,0,3,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,33,10,1,0,0,1,8,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,5351,522,5,0,0,3,67,1,7,30,5,2,2,0,8,0,5,190,0,0,0,0,0,0,0,0,0,0,0,1,0,5,30,18,3,0,0,0,0,0,0,0,0,3,0,0,0,19,66,0,0,0,32,8,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,5473,660,1,0,0,1,52,0,1,53,11,1,2,0,4,0,10,280,3,0,0,0,1,1,0,0,0,1,0,0,0,1,33,5,11,6,0,0,0,0,0,0,0,0,0,0,0,13,65,0,0,0,60,21,1,0,0,0,8,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,5534,517,0,1,1,0,54,0,5,30,5,1,2,0,5,1,4,208,1,0,0,0,0,0,0,0,0,0,0,0,0,2,26,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,78,0,0,0,55,14,1,1,2,0,1,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
539,5582,835,4,1,0,2,121,0,2,47,3,2,1,0,9,2,4,334,0,1,0,2,0,0,0,0,0,0,0,1,0,7,46,1,4,5,0,0,0,0,0,1,0,0,1,0,0,25,87,0,0,0,71,15,2,0,3,2,11,0,0,14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,5714,494,2,0,0,1,81,1,1,31,2,0,2,0,15,0,5,148,1,0,0,0,0,1,0,0,0,0,0,2,0,4,26,7,3,0,0,0,0,0,0,0,0,0,4,0,0,20,58,0,0,0,46,9,0,1,0,5,2,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
560,5834,517,3,0,3,0,59,2,5,65,2,1,1,0,15,1,8,168,0,0,0,0,1,1,0,0,0,0,1,0,1,4,24,3,9,1,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,50,9,1,0,0,0,5,0,0,4,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
570,5953,691,5,2,0,0,87,2,13,75,6,2,1,0,24,1,32,210,0,0,0,0,1,0,0,0,0,0,2,1,0,7,23,11,11,2,0,0,0,0,0,0,0,0,2,0,0,25,55,0,0,0,60,12,0,1,0,2,6,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,6072,528,2,0,0,1,38,0,12,47,5,3,3,0,9,0,20,158,2,1,0,0,0,0,0,0,0,0,0,0,0,9,24,3,6,2,0,0,0,0,0,0,0,2,0,0,0,19,54,0,0,0,65,20,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,6191,689,1,0,1,5,65,0,6,29,3,2,0,0,12,0,9,286,1,0,0,0,0,0,0,0,0,0,0,0,0,4,23,7,24,1,0,0,0,0,0,0,0,1,0,0,0,4,54,0,0,0,67,39,4,0,0,3,9,0,0,26,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,6313,577,2,0,2,1,65,1,6,48,0,0,1,1,14,0,5,233,1,0,0,0,1,0,0,0,0,0,1,0,0,8,17,7,5,3,0,0,0,0,0,0,0,0,0,0,1,12,53,0,0,0,42,20,1,0,0,5,0,0,0,12,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
610,6437,718,6,0,0,0,120,0,7,41,2,0,0,0,15,0,12,154,0,0,0,0,0,3,0,0,0,0,0,0,0,6,38,6,17,0,0,0,0,0,0,0,0,0,0,0,0,15,84,0,0,0,121,28,2,1,0,0,11,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2
621,6579,945,2,1,0,5,116,0,23,48,4,1,1,0,24,0,24,302,0,0,0,1,1,0,3,0,0,0,3,0,0,9,62,9,7,5,0,1,0,0,0,0,0,2,1,1,0,30,98,0,0,0,101,18,2,1,0,0,7,1,0,23,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,6700,1184,2,0,1,1,86,0,7,82,12,3,2,0,28,1,32,455,2,1,0,0,1,2,0,0,0,0,0,0,0,16,33,16,11,1,0,0,0,0,1,0,0,0,0,1,0,34,105,0,0,0,169,31,4,2,0,1,3,0,0,23,0,0,1,0,0,1,1,4,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
641,6855,909,10,0,0,0,88,0,16,40,13,3,5,0,26,0,24,187,0,2,0,0,0,0,1,1,0,25,0,0,0,11,47,5,12,1,0,0,0,1,0,1,0,0,0,0,0,22,124,0,0,0,160,28,3,0,1,0,11,1,0,28,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,6914,390,2,1,2,2,38,0,5,17,5,0,1,0,6,0,8,107,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,2,7,0,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,66,11,2,1,0,1,0,0,0,10,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
650,6989,905,11,0,0,3,93,0,23,37,3,4,4,0,20,2,16,178,3,0,0,0,0,0,0,0,0,0,2,0,0,7,37,10,7,1,0,0,0,0,0,0,0,0,0,0,0,34,180,0,0,0,143,42,5,2,1,0,6,0,0,22,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,7143,528,2,0,0,3,61,5,7,29,2,5,0,0,21,1,9,170,1,0,0,0,0,2,0,0,0,1,0,0,0,9,27,9,5,1,1,0,0,0,0,0,0,0,0,0,0,7,55,0,0,0,52,12,1,5,0,2,2,0,0,13,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,7384,1072,4,1,5,2,103,0,7,54,4,0,0,0,38,2,21,324,3,0,0,0,2,0,0,1,0,0,0,0,1,14,24,14,14,0,0,1,0,1,0,0,0,0,0,0,0,29,141,0,0,0,169,32,6,0,2,0,8,0,0,36,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0
681,7482,762,1,0,0,1,92,0,9,44,7,2,2,0,18,1,15,195,2,0,0,4,0,1,0,0,0,0,0,0,0,8,53,4,16,3,0,0,0,0,0,0,0,0,2,1,0,20,90,0,0,0,98,32,4,0,1,2,9,0,0,17,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
690,7632,860,3,2,0,0,95,3,6,52,7,4,0,0,22,1,24,262,4,2,1,0,0,0,0,0,0,0,0,0,0,6,25,8,18,3,0,0,0,0,0,1,0,2,2,0,0,29,89,0,0,0,114,31,0,2,1,0,8,0,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
