"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Tsuga","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Betula...20.µm.","Corylus.type","Betula...25.µm.","Betula..20.25.µm.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Populus","Juniperus","Ostrya","Salix","Ulmus","Cornus","Juglans","Apiaceae","Acer","Castanea","Thalictrum","Amaranthaceae","Fagus","Rubiaceae","Epilobium","Rosaceae"
100,2660,616,32,16,12,0,110,4,0,204,0,48,20,2,2,16,6,132,2,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0
110,2922,730,44,28,8,0,134,2,0,218,0,34,26,4,16,18,4,190,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,3118,670,32,18,4,0,108,0,0,222,2,46,18,2,6,8,6,190,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
130,3314,614,42,12,6,0,112,0,0,224,2,36,10,0,4,6,8,138,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
140,3510,628,24,8,8,0,110,2,0,240,0,36,6,0,4,4,10,170,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
150,3706,682,44,8,6,2,122,0,0,230,2,36,18,2,2,8,2,196,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
160,3902,630,14,20,0,0,88,0,0,240,0,40,12,0,2,2,8,192,0,8,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
170,4098,638,38,22,6,2,94,0,0,238,2,40,14,0,4,6,12,150,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
180,4294,720,54,14,4,0,124,2,2,234,0,46,24,0,6,2,2,192,0,2,0,4,0,0,4,0,0,0,0,0,2,0,2,0,0,0
190,4490,638,30,24,0,2,68,2,0,228,2,56,20,0,8,12,2,164,2,4,2,0,2,6,0,0,0,2,0,0,0,0,2,0,0,0
200,4686,678,40,20,0,0,120,0,0,258,2,60,16,0,2,2,0,152,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
210,4882,754,38,20,2,0,130,0,0,238,4,62,32,0,4,16,6,188,4,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0
220,5055,668,46,16,0,0,114,2,0,212,0,66,22,0,10,12,0,146,2,14,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
230,5219,690,30,22,10,0,126,0,2,224,0,36,18,0,8,0,10,190,2,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
240,5383,630,46,16,2,0,100,2,0,158,0,50,24,0,4,10,4,188,0,10,0,0,2,2,2,0,0,6,0,0,0,0,2,2,0,0
250,5548,650,38,10,4,0,118,8,0,156,0,80,12,4,8,8,4,182,2,6,0,0,0,2,4,0,0,2,2,0,0,0,0,0,0,0
260,5712,622,52,10,2,0,138,0,0,136,2,38,20,0,6,4,4,194,0,0,2,4,0,2,2,0,0,4,2,0,0,0,0,0,0,0
270,5877,634,28,24,2,0,106,0,0,208,2,26,14,0,6,16,10,180,0,4,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0
280,6041,772,60,6,2,0,164,0,0,200,0,52,38,2,10,8,4,210,2,2,0,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0
290,6206,680,54,10,2,0,120,0,0,152,0,32,34,0,8,16,12,232,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
300,6370,616,38,10,0,4,106,0,0,186,2,40,26,2,4,0,0,188,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
310,6534,612,54,6,0,0,146,0,0,92,0,34,34,2,8,0,6,216,0,4,0,2,2,0,0,0,0,2,0,0,0,2,2,0,0,0
320,6699,600,26,12,2,2,176,0,0,102,6,48,18,0,4,0,0,192,2,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
330,6863,668,38,24,0,0,150,0,0,88,4,20,38,0,6,2,8,268,2,2,6,6,0,0,0,0,0,4,0,0,0,0,2,0,0,0
340,7028,660,30,14,2,0,106,2,2,148,2,26,20,0,12,8,0,274,0,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
350,7192,650,68,10,0,4,148,0,0,124,0,10,26,0,4,2,0,240,0,6,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
360,7356,624,82,14,0,0,94,0,4,112,2,18,34,2,6,2,2,242,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
370,7521,746,102,10,2,0,132,0,2,184,6,4,32,2,12,0,0,242,2,6,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0
380,7685,646,58,0,0,0,60,0,0,198,2,8,38,2,24,0,0,242,2,4,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0
390,7850,672,58,10,2,2,74,0,0,242,0,8,22,0,16,2,6,214,2,6,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
395,7932,628,58,4,0,0,52,4,0,284,0,26,26,4,2,2,0,160,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
400,8014,632,30,8,0,0,74,2,0,244,0,24,20,30,16,2,2,160,0,4,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0
405,8096,600,22,4,2,0,62,0,0,210,4,38,32,26,8,10,0,150,4,12,2,0,0,6,0,4,0,0,2,0,0,2,0,0,0,0
410,8160,624,50,14,8,0,96,0,0,168,2,30,38,18,8,8,8,156,0,2,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0
415,8206,614,68,4,10,0,112,2,0,136,0,38,38,0,4,6,0,176,2,6,0,2,2,4,0,0,2,2,0,0,0,0,0,0,0,0
420,8251,614,102,4,4,2,94,0,0,124,2,42,46,4,6,2,6,154,4,2,0,4,0,10,0,0,0,2,0,0,0,0,0,0,0,0
430,8343,626,102,22,0,0,74,2,0,148,2,36,26,10,10,8,0,170,0,2,0,0,0,10,2,0,0,2,0,0,0,0,0,0,0,0
440,8434,602,82,8,6,0,132,2,0,60,4,24,50,0,10,0,0,204,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
450,8525,616,48,0,4,0,62,4,0,86,4,44,26,4,30,14,2,246,2,8,2,4,0,22,0,0,0,0,0,0,0,2,2,0,0,0
460,8616,632,14,16,10,0,118,4,0,88,0,42,48,14,16,2,14,218,0,8,0,2,0,14,0,0,4,0,0,0,0,0,0,0,0,0
470,8707,638,8,10,14,2,72,2,0,80,6,88,40,8,30,12,8,230,0,4,2,2,0,18,0,0,2,0,0,0,0,0,0,0,0,0
480,8799,614,22,16,6,2,44,2,0,120,4,54,46,40,10,0,10,190,0,0,6,0,2,32,0,0,0,2,4,0,2,0,0,0,0,0
490,8890,594,14,6,22,0,46,0,2,84,0,58,28,14,14,8,10,220,2,8,2,4,2,44,0,0,0,2,0,0,2,2,0,0,0,0
500,8981,600,6,22,20,0,62,2,0,52,0,82,20,30,20,16,4,230,2,6,4,0,0,18,0,0,0,2,0,0,0,2,0,0,0,0
510,9072,604,10,24,22,0,34,2,0,74,0,122,26,36,16,8,6,160,0,0,6,2,0,42,0,2,2,6,0,2,0,0,0,0,2,0
520,9163,600,12,18,30,0,48,4,0,70,0,74,60,26,10,4,8,174,2,4,4,0,4,38,0,0,0,4,0,0,2,0,0,4,0,0
530,9255,586,6,16,24,0,30,0,0,58,4,84,32,14,8,6,10,220,0,2,4,0,0,38,0,2,0,10,0,2,2,0,2,10,2,0
540,9346,600,22,28,18,0,24,4,0,60,0,90,48,10,8,4,8,228,0,2,6,0,0,34,2,0,0,0,0,0,0,0,0,4,0,0
550,9437,618,12,28,20,0,30,4,0,54,0,24,50,4,2,6,0,310,8,4,6,2,0,40,0,0,0,0,2,0,4,2,0,6,0,0
560,9528,410,12,10,22,0,24,0,0,38,2,20,28,4,6,10,0,188,2,2,6,0,0,28,0,0,0,4,0,2,2,0,0,0,0,0
570,9620,400,2,16,20,0,22,0,0,54,2,4,14,2,4,2,0,224,2,0,4,0,0,22,0,0,0,0,0,2,0,0,0,2,2,0
580,9711,614,12,36,26,0,30,4,0,54,4,10,34,8,26,16,2,326,0,2,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
590,9802,402,2,20,18,0,32,0,0,32,2,6,42,2,16,4,0,190,2,0,2,2,0,26,0,0,0,0,0,0,2,0,2,0,0,0
600,9893,604,6,28,16,0,74,2,2,32,2,42,62,4,22,12,0,260,0,0,6,0,0,28,2,2,0,0,0,0,0,0,0,2,0,0
610,9998,408,0,32,8,0,34,0,0,18,0,6,24,6,26,10,0,190,6,2,10,0,2,32,0,0,0,0,0,2,0,0,0,0,0,0
620,10142,194,0,8,8,0,24,0,0,14,0,12,38,4,4,2,0,60,2,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
630,10286,80,0,14,0,0,6,4,0,4,0,2,2,0,8,0,0,26,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0
640,10430,124,0,10,0,0,6,0,2,10,0,6,10,4,4,2,0,52,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
650,10574,132,0,14,0,0,4,0,0,6,0,6,10,0,16,0,0,42,2,0,2,0,0,22,0,0,0,0,0,2,0,2,0,0,0,4
660,10718,104,0,12,0,0,2,0,0,8,0,10,2,4,10,4,0,32,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,2,0
670,10862,118,0,14,2,0,2,0,0,4,0,8,2,4,12,2,0,38,2,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,0,0
680,11006,74,0,10,2,0,4,0,0,0,0,8,4,6,4,0,0,14,0,2,6,2,0,8,0,2,0,0,0,2,0,0,0,0,0,0
690,11150,82,0,6,2,0,2,0,0,0,0,8,2,2,4,2,0,26,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
705,11366,38,0,0,0,0,0,0,0,2,4,0,6,0,4,0,0,2,4,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
