"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Celtis","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.viviparum","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae","Thalictrum","Rhus","Liquidambar"
175,5579,0,0,0.012987012987013,0.00324675324675325,0.00324675324675325,0,0.0162337662337662,0,0.0064935064935065,0.00974025974025974,0,0,0,0,0.00324675324675325,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0.00974025974025974,0.681818181818182,0,0,0,0,0,0.00324675324675325,0,0,0,0,0.0292207792207792,0.0357142857142857,0.155844155844156,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0
195,6137,0.0064935064935065,0,0.0551948051948052,0.00324675324675325,0.0064935064935065,0.00324675324675325,0.0064935064935065,0.00324675324675325,0.0616883116883117,0.00974025974025974,0,0.00324675324675325,0,0,0,0,0.0064935064935065,0.126623376623377,0.012987012987013,0.0227272727272727,0,0,0.0064935064935065,0,0.00974025974025974,0,0,0,0,0,0,0,0,0,0,0.0324675324675325,0.25974025974026,0,0.025974025974026,0,0,0,0.107142857142857,0,0,0,0.00324675324675325,0.051948051948052,0.012987012987013,0.0649350649350649,0.0974025974025974,0,0,0,0,0,0,0,0,0,0,0
225,NA,0.00317460317460317,0,0.0603174603174603,0,0.00634920634920635,0,0.0253968253968254,0.00634920634920635,0.0444444444444444,0.00317460317460317,0.00317460317460317,0,0,0,0,0,0.00317460317460317,0.104761904761905,0.00634920634920635,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126984126984127,0.00317460317460317,0.0476190476190476,0.120634920634921,0,0.00634920634920635,0,0,0,0.149206349206349,0,0,0,0,0,0.00317460317460317,0.307936507936508,0.0793650793650794,0,0,0,0,0,0,0,0,0,0,0
260,NA,0.00264550264550265,0,0.0714285714285714,0.00264550264550265,0,0,0.0211640211640212,0,0.0767195767195767,0.00529100529100529,0,0,0,0,0,0.00529100529100529,0,0.0132275132275132,0.00793650793650794,0.0132275132275132,0,0,0.0105820105820106,0,0,0,0,0,0.00264550264550265,0,0,0,0,0.00264550264550265,0,0.0555555555555556,0.293650793650794,0,0.00264550264550265,0,0,0,0.177248677248677,0,0,0,0,0,0.00793650793650794,0.182539682539683,0.044973544973545,0,0,0,0,0,0,0,0,0,0,0
300,NA,0,0,0.0219435736677116,0.00626959247648903,0,0,0.0282131661442006,0.00626959247648903,0.0815047021943574,0.00313479623824451,0,0,0.00313479623824451,0,0,0.00626959247648903,0.00313479623824451,0,0.00940438871473354,0.0125391849529781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721003134796238,0,0.0626959247648903,0.398119122257053,0,0,0,0,0,0.134796238244514,0,0,0,0,0,0.00626959247648903,0.0689655172413793,0.0752351097178683,0,0,0,0,0,0,0,0,0,0,0
325,NA,0.00316455696202532,0,0.0189873417721519,0,0.00632911392405063,0,0.0411392405063291,0.00632911392405063,0.0759493670886076,0.00316455696202532,0,0.00316455696202532,0,0,0.00316455696202532,0.00316455696202532,0,0.00316455696202532,0.00316455696202532,0.00949367088607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569620253164557,0,0.107594936708861,0.386075949367089,0,0,0,0,0.0126582278481013,0.129746835443038,0,0,0,0,0.00316455696202532,0,0.0727848101265823,0.0506329113924051,0,0,0,0,0,0,0,0,0,0,0
365,NA,0.00317460317460317,0,0.0317460317460317,0,0,0,0.104761904761905,0.00634920634920635,0.0253968253968254,0.00634920634920635,0,0,0,0,0,0,0.00952380952380952,0,0.00634920634920635,0.00952380952380952,0.00317460317460317,0,0.0126984126984127,0,0.00317460317460317,0,0,0,0,0,0,0,0,0.00634920634920635,0.00317460317460317,0.20952380952381,0.387301587301587,0,0,0,0,0,0.0761904761904762,0,0,0,0.00634920634920635,0.00317460317460317,0,0.00952380952380952,0.0761904761904762,0,0,0,0,0,0,0,0,0,0,0
405,NA,0.00578034682080925,0.00289017341040462,0.0260115606936416,0,0,0,0.046242774566474,0.0115606936416185,0.023121387283237,0.00289017341040462,0,0,0,0,0,0.00289017341040462,0.00578034682080925,0,0.00289017341040462,0.0173410404624277,0,0,0.00867052023121387,0,0.0173410404624277,0,0,0,0,0,0,0,0,0.0173410404624277,0.00867052023121387,0.104046242774566,0.549132947976879,0,0,0,0.00578034682080925,0,0.0549132947976879,0,0,0,0,0.00289017341040462,0,0.0433526011560694,0.0375722543352601,0,0,0.00289017341040462,0,0,0,0,0,0,0,0
425,NA,0.00304878048780488,0,0,0.00304878048780488,0,0,0.0823170731707317,0.0182926829268293,0.0457317073170732,0,0,0,0,0,0,0.00304878048780488,0.0121951219512195,0,0.00914634146341463,0.0121951219512195,0.00914634146341463,0,0.00609756097560976,0,0.00914634146341463,0,0,0,0,0,0,0,0,0.0853658536585366,0.0274390243902439,0.0823170731707317,0.466463414634146,0,0.00609756097560976,0,0.00304878048780488,0,0.0640243902439024,0,0,0,0.00304878048780488,0,0,0.0152439024390244,0.0304878048780488,0,0,0,0,0,0,0,0,0.00304878048780488,0,0
445,NA,0,0,0.00651465798045603,0.00325732899022801,0.00325732899022801,0.00977198697068404,0.0521172638436482,0.0521172638436482,0.0325732899022801,0.0162866449511401,0,0.00325732899022801,0,0,0.00651465798045603,0,0.0162866449511401,0,0.00325732899022801,0.00325732899022801,0.00977198697068404,0,0,0,0.0456026058631922,0,0,0,0,0,0,0,0,0.0781758957654723,0.0358306188925081,0.0977198697068404,0.335504885993485,0,0,0,0,0,0.0912052117263844,0,0,0,0,0.00325732899022801,0,0.0423452768729642,0.0521172638436482,0,0,0,0,0,0,0,0,0,0,0
465,NA,0,0,0.00914634146341463,0,0.00609756097560976,0,0.0457317073170732,0.0304878048780488,0.0304878048780488,0,0,0.00609756097560976,0,0,0,0.00914634146341463,0,0,0,0.0274390243902439,0.00304878048780488,0,0.0121951219512195,0,0.0304878048780488,0,0,0,0,0,0,0,0,0.140243902439024,0.0548780487804878,0.0365853658536585,0.390243902439024,0,0,0,0.00304878048780488,0.00304878048780488,0.109756097560976,0,0,0,0.00304878048780488,0.00304878048780488,0,0.0213414634146341,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0
485,NA,0,0,0.00623052959501558,0.00623052959501558,0.00934579439252336,0.00934579439252336,0.0249221183800623,0.00623052959501558,0.00934579439252336,0.00623052959501558,0,0,0,0,0.00623052959501558,0.00623052959501558,0.0124610591900312,0,0,0.00623052959501558,0.00311526479750779,0,0.0124610591900312,0,0.0124610591900312,0,0,0.00623052959501558,0,0,0,0,0,0.299065420560748,0.0373831775700935,0.00934579439252336,0.299065420560748,0,0,0,0,0,0.0778816199376947,0,0,0,0,0,0,0.102803738317757,0.0311526479750779,0,0,0,0,0,0,0,0,0,0,0
505,NA,0,0,0.00276243093922652,0.00552486187845304,0.00276243093922652,0.00552486187845304,0.00552486187845304,0,0.00552486187845304,0,0,0,0,0,0.00276243093922652,0,0.0165745856353591,0,0,0,0.00552486187845304,0,0,0,0.0220994475138122,0,0,0,0,0,0,0,0,0.580110497237569,0.0110497237569061,0,0.323204419889503,0,0,0,0,0,0,0,0,0,0,0,0,0.00828729281767956,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0
525,NA,0,0,0.00923076923076923,0.00923076923076923,0.00307692307692308,0.00615384615384615,0.0184615384615385,0.00307692307692308,0.0153846153846154,0,0,0,0,0,0.0123076923076923,0.00307692307692308,0.0215384615384615,0,0,0.00615384615384615,0.00307692307692308,0,0,0,0.0123076923076923,0,0,0,0,0,0,0,0,0.553846153846154,0.00923076923076923,0.00615384615384615,0.190769230769231,0,0,0,0,0.0184615384615385,0.0153846153846154,0.00307692307692308,0,0,0.00615384615384615,0.00307692307692308,0.00307692307692308,0.0553846153846154,0.00923076923076923,0,0,0,0,0,0,0,0,0.00307692307692308,0,0
545,NA,0,0,0,0,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0,0,0,0,0.0194444444444444,0.00277777777777778,0.138888888888889,0,0,0.0111111111111111,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0.655555555555556,0.00833333333333333,0,0.0972222222222222,0,0,0,0,0,0.0166666666666667,0,0,0,0.00277777777777778,0,0,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0
560,NA,0,0,0.00615384615384615,0.00307692307692308,0.00615384615384615,0.00307692307692308,0.00615384615384615,0.00615384615384615,0.0215384615384615,0.00615384615384615,0,0,0,0,0.00307692307692308,0.00307692307692308,0.0369230769230769,0,0.00307692307692308,0.00923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667692307692308,0.0246153846153846,0.00307692307692308,0.144615384615385,0,0,0.00307692307692308,0,0,0.0369230769230769,0.00307692307692308,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0
600,NA,0,0,0.0105820105820106,0.00529100529100529,0,0.0264550264550265,0.0158730158730159,0.00529100529100529,0.0423280423280423,0,0,0,0,0,0.0105820105820106,0.00529100529100529,0.132275132275132,0,0,0.00529100529100529,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0.412698412698413,0.0105820105820106,0,0.232804232804233,0,0,0,0,0,0.0317460317460317,0,0,0,0.00529100529100529,0.0211640211640212,0,0,0.0105820105820106,0,0,0,0,0,0,0,0,0,0,0
