"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.undiff.","Betula","Brasenia.schreberi","Brassicaceae","Carya","Celtis","Cornus","Corylus","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Humulus","Juglans","Juniperus","Larix","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rubus","Salix","Sarcobatus.vermiculatus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica"
180,1000,0,11,8,1,4,2,0,23,0,2,4,1,0,0,7,0,0,10,16,0,0,0,1,2,0,0,0,0,12,0,7,69,1,3,0,2,89,0,0,0,1,0,2,0,2,0,23,0,0,0,1
200,1114,1,12,3,1,1,1,0,15,2,1,3,1,2,0,4,0,0,7,9,0,0,1,2,3,0,0,3,0,15,2,21,82,3,7,3,6,95,1,1,1,0,0,1,0,5,0,16,4,1,4,0
230,1285,0,7,6,1,6,2,0,31,1,3,1,1,0,0,3,0,0,12,17,0,0,2,2,8,0,1,0,0,11,3,10,86,1,4,0,0,69,0,0,0,0,1,1,1,8,0,11,2,3,1,0
240,1342,0,6,7,0,3,2,0,36,2,2,1,0,0,0,9,1,0,12,9,2,0,2,1,1,0,1,1,1,12,1,9,79,2,2,0,0,82,0,0,0,1,1,2,0,7,1,13,4,0,0,0
260,1456,0,6,7,1,5,2,0,24,0,1,2,0,0,1,16,0,0,11,5,1,0,0,0,2,0,1,1,0,13,0,7,69,0,3,0,0,97,0,0,3,0,1,2,0,8,1,25,4,2,1,0
280,1570,0,4,10,0,3,1,0,28,0,3,2,0,0,3,8,0,0,8,11,0,0,2,0,2,0,0,1,0,12,3,13,68,0,6,0,3,99,0,0,1,2,2,2,0,3,1,20,5,0,1,1
300,1715,0,15,15,1,4,2,0,30,1,0,5,0,2,1,6,0,1,21,14,0,0,1,0,1,0,0,2,2,7,0,15,50,3,5,0,0,108,0,0,3,0,0,5,0,2,1,21,3,3,1,0
340,2189,0,6,14,1,3,0,1,31,0,6,3,2,0,0,9,0,0,25,8,0,0,3,0,3,1,0,0,0,19,2,15,66,0,3,0,0,63,0,0,2,0,1,2,0,1,0,22,3,1,2,2
360,2426,0,6,11,2,2,0,0,37,3,1,5,0,0,1,6,0,0,29,11,1,0,0,1,0,0,0,0,0,24,1,11,54,3,4,0,3,76,0,0,1,0,0,7,0,2,0,13,3,0,2,0
380,2663,1,10,5,1,5,1,0,28,0,4,4,0,0,2,4,0,1,30,17,0,0,2,0,2,0,0,1,0,20,1,10,65,4,8,0,6,84,0,0,0,0,1,3,0,4,0,11,5,0,3,3
400,2900,0,5,8,1,2,2,0,17,0,0,4,0,0,3,6,0,0,23,6,0,0,1,1,4,0,0,1,2,20,2,22,71,3,1,0,2,86,0,0,1,0,0,4,0,0,0,26,6,1,0,0
420,3138,0,7,8,0,9,1,0,26,2,2,4,0,0,0,10,1,0,14,14,0,1,2,2,2,0,2,1,0,22,1,15,58,3,5,0,3,93,0,0,0,0,0,2,0,2,1,7,3,0,0,0
440,3375,0,7,9,1,0,0,0,16,0,0,1,0,0,1,8,0,0,13,8,1,0,1,1,2,0,0,0,0,26,2,14,83,0,2,0,2,90,0,0,2,0,0,4,0,0,0,13,5,0,1,1
460,3612,0,18,13,4,5,1,0,15,0,3,1,1,0,0,12,0,0,8,13,0,0,0,0,0,0,0,1,0,24,1,7,33,1,9,0,0,106,0,0,1,0,2,4,0,4,0,21,2,4,3,0
480,3849,0,5,8,1,1,2,0,22,1,2,1,0,0,1,17,0,0,5,12,0,0,0,1,3,0,0,1,0,23,2,11,55,2,2,1,0,129,0,0,3,0,0,4,2,0,1,15,3,4,2,0
500,4086,0,3,8,1,3,4,0,14,1,0,4,2,1,3,3,0,0,14,18,0,0,3,3,2,0,1,1,0,22,1,13,56,1,2,1,2,125,0,0,1,0,0,3,0,2,0,25,3,5,1,1
520,4323,0,17,5,1,1,0,0,7,0,1,6,1,0,1,4,0,0,41,11,0,0,4,0,1,1,0,0,1,17,1,14,46,1,1,0,1,89,0,1,1,0,1,6,1,1,0,28,5,0,0,0
540,4561,0,11,7,1,2,3,0,9,1,6,5,0,0,2,3,0,0,28,12,0,0,3,0,0,0,1,0,0,17,0,14,53,0,3,0,0,84,0,0,0,0,0,5,0,1,1,29,1,2,1,0
560,4798,0,3,9,0,9,1,1,14,0,5,3,0,0,2,7,0,0,6,6,0,0,2,0,0,0,0,0,0,22,0,19,47,0,4,0,1,133,0,0,0,0,0,2,0,2,1,32,0,1,0,0
580,5035,1,3,2,0,4,3,1,8,0,2,4,0,0,0,2,0,0,5,10,0,1,3,1,2,0,0,0,0,21,0,14,78,1,7,0,0,108,0,0,1,0,0,2,1,0,0,26,2,0,3,2
600,5344,0,12,9,1,8,4,0,12,0,0,5,1,1,2,4,1,0,1,15,0,0,10,2,6,1,0,0,0,21,1,18,36,2,9,3,3,139,0,0,3,0,1,1,0,1,0,28,2,2,5,1
625,5760,0,5,9,2,10,2,0,13,0,0,3,0,0,1,8,1,0,3,10,2,0,7,0,0,0,0,0,2,21,0,12,20,1,11,0,1,125,0,0,4,0,0,5,1,0,1,33,4,0,2,2
640,6010,1,15,7,1,6,0,1,10,0,1,1,1,0,2,6,0,0,2,10,1,1,7,0,2,0,0,0,0,31,1,14,21,2,8,0,3,109,0,0,3,0,0,6,0,1,0,40,4,3,1,0
660,6343,0,16,5,2,9,3,0,8,0,1,4,1,0,0,9,0,0,2,9,0,0,9,2,0,0,1,0,0,39,1,11,19,4,3,0,0,98,0,0,0,0,2,2,0,3,0,47,5,2,1,1
685,6759,0,19,0,0,7,6,0,3,0,1,5,0,0,2,7,0,0,4,12,2,0,5,0,0,0,1,0,0,26,0,13,32,0,5,0,0,110,0,0,1,1,0,2,0,0,1,42,3,0,0,0
700,7009,1,6,0,0,8,2,0,3,0,1,8,2,0,6,8,0,0,0,16,1,0,1,0,2,0,0,0,0,25,0,17,33,2,2,0,0,114,0,0,2,0,0,6,0,0,0,59,4,3,0,0
720,7342,0,3,2,0,3,1,0,7,0,1,11,0,0,2,4,1,0,1,17,1,0,2,0,1,1,0,0,0,26,0,20,51,0,1,0,1,80,0,0,0,0,0,7,0,0,0,66,1,1,0,0
740,7675,0,17,1,2,3,1,0,3,1,1,1,0,0,0,6,0,0,2,16,3,1,2,0,3,0,0,0,0,26,0,16,39,0,3,0,1,98,1,0,0,0,0,4,0,1,0,73,3,1,0,1
760,8008,0,13,3,1,0,0,0,5,0,1,3,0,0,0,6,0,0,0,9,0,0,2,0,1,1,0,0,0,50,0,19,54,3,1,0,1,86,0,0,0,0,0,7,0,0,0,48,4,1,0,2
780,8341,0,14,4,2,4,2,0,1,0,1,4,0,0,1,5,0,0,0,11,2,1,0,0,1,0,0,0,0,26,1,15,51,1,2,0,1,105,0,0,1,1,0,2,0,0,0,55,3,0,4,0
800,8674,0,10,2,3,10,4,0,5,0,3,1,3,0,3,5,0,1,0,14,0,0,1,0,1,1,0,0,0,32,1,25,49,0,6,0,0,108,0,0,3,0,0,4,0,0,1,51,2,2,3,0
815,8924,0,8,3,4,8,1,0,7,0,4,2,1,1,0,7,0,0,0,9,1,0,0,0,0,0,0,0,0,68,1,20,84,0,3,0,1,39,0,0,2,0,0,5,0,0,0,39,3,2,1,0
830,9174,0,15,0,2,5,2,0,7,0,2,1,0,0,0,3,0,0,0,7,0,1,2,1,2,0,0,2,0,70,2,22,90,2,0,0,1,52,0,0,0,1,0,3,0,0,1,48,1,4,0,1
850,9507,0,7,2,1,7,3,0,18,0,0,2,0,0,2,4,0,0,0,7,0,0,1,0,3,0,0,0,0,42,3,33,79,2,4,0,0,41,0,0,3,0,0,2,0,0,1,34,3,0,1,1
870,9840,0,26,1,3,5,3,0,20,0,1,2,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,47,1,27,82,2,3,0,0,71,0,0,1,1,1,6,0,0,0,22,3,1,0,0
890,10173,0,15,1,1,6,6,0,15,0,0,2,0,0,3,2,0,0,0,5,0,0,0,0,1,0,0,0,0,45,1,41,84,1,1,0,1,56,0,0,1,0,0,3,0,0,0,25,2,0,1,0
910,10506,1,9,3,3,4,4,1,32,0,1,1,0,0,1,6,0,0,0,8,0,1,0,0,1,0,0,0,0,24,4,41,78,0,1,0,1,51,0,0,1,0,0,8,0,0,0,27,1,0,0,0
930,10839,3,11,2,1,3,2,0,19,0,2,0,0,0,3,2,0,0,0,13,0,0,4,0,0,0,0,1,0,25,2,54,91,0,2,0,0,65,0,0,2,0,0,2,0,0,0,20,2,0,2,0
950,11166,5,0,0,1,5,2,0,45,0,1,5,0,0,0,1,0,0,0,3,1,0,1,0,4,0,0,0,0,10,8,95,80,1,0,0,0,37,0,1,2,0,0,2,0,0,1,28,2,0,3,0
970,11494,11,1,1,0,2,0,0,70,0,1,2,0,1,3,9,0,0,0,17,0,0,1,0,5,0,0,0,0,12,10,70,16,0,4,0,0,69,0,0,2,0,0,1,0,0,0,39,2,3,1,1
980,11658,7,3,0,1,2,2,0,80,0,1,3,2,2,2,5,0,0,0,24,0,0,4,1,6,0,0,0,1,13,8,93,9,0,4,0,5,42,0,0,1,0,0,0,0,0,1,34,1,1,6,0
990,11822,10,0,1,0,3,4,0,38,0,0,3,2,0,3,13,0,0,0,17,2,0,5,0,10,0,0,0,0,7,14,117,5,0,6,0,2,45,0,0,5,0,0,0,0,0,0,32,2,2,11,0
995,11904,14,0,1,0,4,2,0,57,0,0,1,1,0,3,10,0,0,0,27,3,0,2,0,11,0,0,0,0,8,29,78,3,0,1,0,4,30,0,0,1,0,0,1,0,0,1,16,2,0,5,0
1000,12058,13,0,1,1,3,4,0,21,0,2,0,0,0,1,11,0,0,0,24,2,0,3,0,9,0,0,0,0,3,71,87,2,0,6,0,1,38,0,0,4,0,0,0,0,0,3,23,3,1,2,0
1010,12417,1,0,5,1,4,3,0,10,0,2,1,0,0,3,3,0,0,0,19,1,0,1,0,11,0,0,0,0,5,115,71,1,0,3,0,2,33,0,0,2,0,0,0,0,0,1,18,1,0,3,0
1030,13134,2,2,2,1,0,7,0,11,0,0,0,1,0,0,7,0,0,0,27,0,0,1,1,10,0,0,0,0,7,160,36,2,0,1,0,1,21,0,0,1,0,0,0,0,0,0,11,2,3,1,0
1050,13851,4,0,2,0,3,7,1,11,0,0,0,0,0,5,11,0,0,0,8,0,0,0,0,16,1,0,0,0,4,193,15,0,0,3,0,1,14,0,0,5,0,0,0,0,0,0,8,2,2,5,0
1070,14568,3,0,7,1,3,14,0,5,0,0,0,0,0,3,17,0,0,0,8,0,0,0,0,10,0,0,0,0,6,198,8,0,0,6,0,4,13,0,0,2,0,0,0,0,0,0,1,1,0,8,0
1085,15106,4,0,2,1,1,16,0,8,0,0,0,0,1,1,30,0,0,0,5,0,0,0,0,10,0,0,0,0,9,169,4,0,0,2,0,4,14,0,0,7,0,0,0,0,0,0,7,9,3,4,0
1090,15285,3,1,4,1,6,28,2,10,0,1,2,0,0,2,31,0,0,0,6,0,1,0,0,8,0,0,0,0,3,154,3,0,0,12,0,2,20,0,0,10,0,2,0,0,0,0,5,4,1,7,0
1095,15465,0,0,2,4,11,21,0,6,0,1,0,0,2,1,25,0,0,0,8,0,0,0,0,7,0,0,0,0,9,178,3,0,0,9,0,1,11,0,0,7,0,0,0,0,0,0,2,7,1,3,0
1100,15644,2,1,1,3,14,14,2,4,0,0,3,0,0,3,9,0,0,0,2,0,0,2,0,17,0,0,0,0,5,180,1,0,0,7,0,1,17,0,0,2,0,0,0,0,0,0,1,3,1,3,0
1110,16003,2,0,2,5,9,20,0,1,0,0,1,0,0,1,18,0,0,0,31,2,1,0,0,6,0,0,0,0,12,150,0,0,0,6,0,7,26,0,0,6,0,0,0,0,0,3,8,4,5,5,0
1115,16182,1,0,3,2,14,8,0,2,0,0,2,0,0,1,26,0,0,0,40,1,1,1,0,11,0,0,0,0,9,171,1,0,0,4,0,3,14,0,0,3,0,1,0,0,0,0,9,4,2,2,0
1120,16361,3,0,0,2,11,15,0,0,0,0,0,0,0,0,19,1,1,0,24,2,1,0,1,5,0,0,0,0,5,196,2,0,0,5,0,2,26,0,0,0,1,0,0,0,0,0,2,1,4,2,0
1125,16540,1,0,2,1,16,20,0,1,0,0,0,0,0,0,16,0,0,0,18,0,3,0,2,7,0,0,0,0,10,174,6,0,0,8,0,1,20,0,0,1,0,1,0,0,0,0,1,3,4,1,0
1130,16720,2,0,1,3,14,10,0,2,0,0,4,0,0,0,17,0,0,0,22,0,1,1,0,11,0,0,0,0,9,209,1,0,0,1,0,1,23,0,0,2,0,1,0,0,0,1,1,2,5,2,0
1140,17078,0,1,0,1,9,10,1,2,0,0,2,0,0,0,23,0,2,0,19,1,0,2,0,27,0,0,0,0,7,174,0,0,0,9,0,6,21,0,0,1,0,0,0,0,0,1,1,2,11,6,0
1145,NA,0,0,0,0,8,11,1,4,0,0,0,0,1,0,33,0,2,0,33,0,0,1,0,14,0,0,0,0,12,142,4,0,0,6,0,7,17,1,0,5,0,1,0,0,0,0,3,0,5,0,0
