"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Gentianaceae","Geranium","Herbs.undiff.","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Moraceae","Myrica","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sarcobatus.vermiculatus","Scrophulariaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vitis","Woodsia"
82,6328,99,0,0,1,24,0,0,1,0,0,0,0,102,0,0,0,0,0,0,0,1,7,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,2,0,0,0,0,0,0,0,0,660,21,0,6,7,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,16,1,0,0,0,0,0
86,6513,79,0,0,15,0,1,0,0,0,0,0,0,112,0,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,10,11,0,0,0,1,0,0,0,0,0,0,0,0,526,38,0,2,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
90,6699,134,0,0,3,16,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,5,0,0,0,1,0,0,0,0,411,42,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0
94,6885,113,0,0,3,38,1,0,0,1,0,0,0,129,0,0,0,0,0,0,0,0,11,2,0,20,0,0,1,0,0,1,0,0,0,0,0,0,0,20,6,0,0,0,9,2,0,0,0,0,0,0,0,333,91,1,5,9,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,15,0,0,1,0,0,0
98,7071,175,0,0,5,135,0,0,0,0,0,0,0,332,0,1,0,0,0,0,0,0,11,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,25,23,0,0,1,22,0,0,0,3,0,1,0,0,361,88,1,13,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,60,1,0,2,0,0,0
102,7257,157,0,0,0,68,0,1,0,1,0,0,0,76,0,0,0,0,0,0,1,1,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,19,2,0,0,1,0,0,0,0,130,82,0,5,15,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,30,1,0,0,0,0,0
106,7442,84,0,0,2,296,0,0,1,0,0,1,0,108,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,7,20,0,0,0,31,0,0,0,2,0,0,0,0,186,45,2,0,10,0,0,7,0,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,1,0,0
110,7628,127,0,0,15,219,0,0,0,1,0,0,0,71,0,0,0,0,0,0,0,5,6,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,1,0,0,28,3,0,0,4,0,0,0,0,236,74,2,4,6,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,0
114,7814,11,0,0,1,251,0,0,0,0,0,0,0,147,0,0,0,0,0,1,1,2,10,0,0,12,0,2,1,0,0,1,1,0,0,0,0,0,0,7,21,1,0,0,39,5,0,0,1,0,0,1,0,520,47,1,4,13,0,0,6,0,1,0,1,4,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0
118,8021,2,0,0,16,118,0,0,1,1,0,0,0,74,0,0,0,0,0,0,0,0,10,1,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,31,26,0,0,0,19,1,0,0,5,0,0,0,2,308,10,1,3,7,0,0,9,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,0,9,0,0,0,1,0,0
122,8234,9,0,0,7,98,0,0,0,1,0,0,0,79,0,1,0,0,0,0,0,2,24,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,45,28,0,0,1,10,0,0,0,3,0,0,0,1,380,32,2,1,24,0,0,11,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,13,0,0,0,0,0,0
126,8448,4,0,0,0,115,0,1,0,1,0,0,0,119,0,0,0,0,0,0,0,6,17,0,0,6,0,1,4,0,0,0,1,0,0,0,0,0,0,3,31,0,0,0,16,0,0,0,0,0,0,1,0,267,22,0,1,12,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,3,0,0,1,0,0,0
130,8661,1,0,0,8,122,0,0,2,1,0,0,0,162,0,0,0,0,0,0,1,10,40,0,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,10,47,0,0,0,23,0,0,0,2,0,0,0,0,175,21,4,2,10,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,8,0,0,0,0,0,0
134,8874,4,0,0,2,133,0,0,1,0,0,0,0,181,0,0,0,0,0,0,2,19,26,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,16,76,0,0,0,35,2,0,0,3,0,0,0,0,236,6,5,9,36,0,0,22,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,1,0
138,9088,2,1,0,0,90,0,0,0,2,0,0,0,177,0,0,0,0,0,0,0,18,22,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,11,40,0,0,0,18,1,0,0,3,0,0,0,0,71,7,1,0,6,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,0,1,0,0
142,9301,0,1,0,1,138,0,1,0,1,0,0,0,228,0,1,0,0,0,0,0,7,30,0,0,9,0,0,7,0,0,0,1,0,0,0,1,0,0,15,19,0,0,0,32,0,0,0,2,0,0,0,0,122,10,2,6,33,0,0,40,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,13,0,0,0,3,0,0
146,9515,2,0,0,3,152,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,4,40,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,7,10,0,0,0,29,0,0,0,1,0,0,0,1,49,3,1,6,20,0,0,22,0,0,0,0,4,0,1,0,13,0,0,0,0,1,0,0,8,0,0,1,3,0,0
150,9728,1,0,0,2,114,1,0,4,1,0,0,0,289,0,0,0,0,0,0,0,0,53,0,0,4,0,1,7,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,24,1,1,0,3,0,0,0,1,58,2,0,6,40,0,0,20,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0
154,9791,0,0,0,0,73,1,2,1,1,0,0,0,225,0,0,0,0,0,0,0,2,41,0,0,8,0,0,5,0,0,0,0,0,0,0,0,1,0,8,3,1,0,0,20,3,0,0,0,0,0,1,0,36,1,0,2,17,0,0,8,0,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,6,0,0,1,0,0,0
158,9854,0,0,0,1,10,0,1,2,1,0,0,0,193,0,0,0,0,0,0,0,0,31,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,15,1,0,0,1,0,0,0,3,19,3,0,2,14,0,0,12,0,0,0,0,1,0,1,0,19,0,0,0,0,0,0,1,4,0,0,0,0,0,0
162,9917,0,0,0,0,32,0,0,2,0,0,0,0,365,0,2,0,0,0,0,0,2,67,0,0,7,0,1,11,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,21,0,0,0,1,0,0,1,0,25,2,2,2,29,0,0,7,0,0,0,0,4,0,0,1,22,0,0,1,2,2,0,0,3,0,0,0,0,0,0
