"sample.depths","sample.ages","upland.sum","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Alnus","Ambrosia","Pinus","Populus","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Artemisia","Corylus","Larix","Iva.annua","Urtica","Iva.xanthifolia","Acer.rubrum","Celtis","Asteraceae.subf..Cichorioideae","Castanea","Humulus","Rosaceae.undiff.","Lamiaceae","Ranunculus","Ephedra.torreyana.type","Apiaceae","Polygonum.persicaria","Morus","Dalea.candida","Myrica","Shepherdia.canadensis","Sanguisorba","Thalictrum","Caryophyllaceae"
120,4877,485,6,17,4,4,20,14,106,1,1,4,9,3,92,1,6,0,0,3,4,20,38,0,0,5,77,0,0,17,19,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,5331,678,4,19,9,2,18,11,232,2,2,6,1,18,120,0,10,0,2,3,3,27,72,0,0,3,62,0,0,6,37,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,5786,602,8,24,9,4,19,13,203,2,0,6,0,2,96,0,11,0,3,6,4,14,57,0,2,3,56,0,0,15,35,5,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
150,6241,506,0,18,10,3,3,7,155,4,0,4,0,5,140,0,3,0,0,3,2,19,18,0,0,12,48,0,0,10,36,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6666,452,7,28,15,5,10,8,92,1,6,2,1,7,122,0,4,0,1,2,3,9,14,0,0,6,41,0,0,25,38,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,6835,389,3,2,6,6,9,0,19,2,0,3,0,1,156,0,5,1,1,0,1,9,0,0,1,12,85,0,0,9,54,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,7004,357,5,4,5,3,7,1,15,0,1,7,1,1,148,0,2,0,1,1,2,9,0,0,1,8,87,0,0,11,31,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7342,372,3,9,2,3,3,0,17,1,0,2,0,0,173,0,4,0,1,0,1,8,0,0,0,11,73,3,0,15,37,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
190,7680,341,3,6,4,2,4,0,13,1,0,2,1,2,121,0,0,0,0,1,1,6,0,0,2,8,108,0,0,7,39,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8018,350,4,7,1,7,4,1,13,0,0,0,1,1,155,0,5,0,0,0,2,11,0,0,1,7,77,0,0,8,39,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
210,8356,341,3,7,2,0,3,0,8,1,0,3,0,0,135,0,1,0,1,1,1,12,0,0,0,3,134,0,0,7,15,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8693,364,0,16,2,0,4,0,17,0,0,5,1,4,141,0,1,0,1,0,1,6,1,0,0,5,135,1,0,8,5,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,9031,359,2,5,2,1,9,1,16,0,0,6,1,0,125,0,1,0,0,4,1,9,0,0,4,8,122,0,0,11,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9369,371,3,14,0,2,7,1,19,0,0,9,4,11,133,0,1,0,4,3,0,11,0,0,0,6,122,0,0,7,10,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9707,343,1,7,0,1,6,1,9,0,0,5,1,0,75,0,0,0,1,1,2,9,0,0,0,1,188,0,0,14,11,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
260,10045,359,5,7,2,1,11,0,13,0,0,8,2,1,103,0,4,0,3,1,0,14,0,0,0,2,143,1,0,11,20,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10383,392,3,3,1,1,5,0,23,0,0,7,2,0,98,0,2,0,3,2,1,17,0,0,1,5,182,0,0,11,17,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,10720,430,8,9,1,1,13,0,24,0,0,10,2,2,113,0,5,0,2,2,0,12,0,0,0,6,192,0,0,10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,11058,410,2,6,3,3,11,2,13,0,0,8,9,0,101,0,1,0,0,1,1,7,0,0,0,2,211,1,0,5,17,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,11396,382,9,6,2,5,9,1,9,0,0,5,5,1,101,0,2,0,1,1,1,14,0,0,1,3,175,1,0,8,13,3,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310,11857,398,9,1,0,3,37,0,38,0,0,3,32,0,49,0,2,0,0,4,3,22,0,0,3,1,142,0,0,2,31,2,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,12317,365,6,2,0,3,16,0,7,1,0,4,73,0,29,0,1,0,0,4,2,12,0,0,2,3,159,3,0,2,5,1,16,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,12778,366,8,1,0,0,31,0,10,0,0,3,82,0,16,0,6,1,0,1,1,4,0,0,1,0,175,0,0,1,1,0,5,3,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
340,13481,378,13,0,0,1,55,0,11,1,0,2,160,0,17,0,5,0,0,2,0,5,0,0,0,1,59,2,0,0,1,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
350,14427,655,7,0,3,3,263,0,25,0,0,15,200,0,19,0,6,0,1,0,3,14,0,0,5,12,14,0,0,4,3,1,2,12,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
360,NA,824,10,2,0,7,451,0,34,0,0,9,205,0,43,0,3,1,0,0,1,9,0,0,0,6,17,7,0,1,3,2,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
380,NA,597,4,2,2,5,275,0,14,1,0,11,193,0,25,0,4,0,0,1,1,4,0,0,3,3,29,11,0,0,2,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
392,NA,346,1,0,0,1,16,0,7,2,0,9,225,0,16,0,2,0,0,0,1,3,0,0,2,2,48,0,0,1,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
