"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Sphagnum","Taxus","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae"
70,NA,0,0,0,0,84,3,0,4,0,218,0,0,0,1,0,50,0,2,0,0,13,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,6,0,1,3,0,4,5,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,2,0
72,NA,0,0,0,4,116,1,6,5,0,189,0,0,1,1,0,53,0,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,18,0,2,12,1,0,14,0,0,0,0,5,0,0,0,0,0,13,2,0,0,0,8,0,0,0,0,2,0,2,0,0
75,NA,0,0,0,0,100,0,1,7,2,155,0,0,3,0,0,117,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,1,0,0,21,0,2,5,0,1,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,1,1,0
77,NA,0,0,0,0,50,2,1,14,2,67,0,0,0,0,0,148,0,1,1,0,24,0,0,0,0,0,0,1,0,7,0,0,0,0,1,1,0,0,0,0,1,0,21,0,3,14,2,4,28,0,0,0,0,2,0,1,0,0,2,25,3,0,0,0,13,0,0,0,1,0,1,1,4,0
78,NA,0,0,0,4,58,1,6,19,1,48,0,0,0,2,0,71,0,0,0,0,24,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,2,21,1,3,42,0,0,0,2,2,0,1,0,0,0,26,3,0,1,0,8,0,0,1,0,0,0,0,0,0
80,NA,0,0,0,1,37,4,2,12,7,30,0,0,0,0,0,78,0,0,0,0,6,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,23,0,3,21,1,7,34,1,1,0,0,6,0,8,0,0,1,33,1,0,0,1,14,0,0,0,0,0,1,0,2,0
82,NA,0,0,1,1,75,4,6,18,3,77,0,1,0,2,0,75,0,0,0,0,7,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,3,51,1,12,108,0,3,1,4,0,1,6,0,0,0,98,0,0,2,0,9,0,0,0,0,0,2,5,8,0
85,NA,0,0,0,1,76,5,3,15,4,35,0,0,1,4,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,6,0,17,0,6,26,4,9,51,0,2,1,1,1,0,6,0,0,2,122,3,1,0,0,29,1,0,0,0,0,2,2,1,0
87,NA,0,0,0,2,64,15,6,14,1,81,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,55,0,2,86,2,4,15,0,0,0,1,0,0,1,0,0,0,126,0,0,1,0,26,0,0,0,0,1,0,0,6,0
90,NA,0,0,0,0,30,0,0,3,5,31,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,4,3,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,3,3,0
92,NA,0,0,0,0,24,0,1,3,0,11,0,0,0,1,0,12,0,3,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,3,4,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,14,0,0,0,0,0,1,1,3,0
95,NA,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
