"sample.depths","sample.ages","upland.sum","Abies","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Rumex.Oxyria.digyna","Acer.saccharum","Cornus.sericea","Pinus.banksiana.type","Pinus.strobus","Spiraea","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Fraxinus.americana","Populus.balsamifera","Picea.glauca","Picea.mariana","Acer.undiff.","Artemisia","Potentilla","Alnus.undiff.","Carya","Acer.rubrum","Castanea","Caryophyllaceae","Acer.spicatum","Juglans.cinerea","Shepherdia.canadensis","Linnaea.borealis","Ranunculaceae.undiff.","Nyssa","Tilia","Ilex","Apiaceae"
472,11645,473,0,147,1,15,122,2,0,0,1,34,4,28,4,4,4,9,0,1,34,5,0,8,0,0,0,2,5,1,2,21,0,0,0,6,6,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
475,11742,311,0,71,0,3,81,0,0,0,11,37,6,12,3,2,3,9,0,0,17,2,1,7,2,0,0,4,6,0,3,15,0,0,0,2,9,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
481,11931,337,2,68,0,0,80,3,0,0,4,63,1,15,1,2,0,1,0,0,23,0,0,6,1,0,0,10,8,0,2,28,0,0,0,5,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
487,12119,479,0,105,0,3,144,5,0,0,6,58,4,17,3,5,1,3,0,0,24,0,0,2,0,0,0,6,7,0,2,50,0,0,1,1,20,0,3,0,2,0,0,0,4,0,1,2,0,0,0,0,0,0
493,12307,290,1,38,1,1,105,2,0,0,5,31,4,6,1,5,0,4,0,0,23,1,0,6,2,0,0,8,2,0,2,17,0,0,1,2,4,0,9,0,5,1,0,0,2,0,0,1,0,0,0,0,0,0
499,12481,297,1,41,0,1,104,0,0,0,11,29,1,11,0,5,5,10,0,0,35,0,1,3,0,0,0,1,1,0,1,12,0,0,0,4,10,0,3,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0
505,12654,281,0,37,0,2,68,0,0,0,1,57,2,16,0,5,2,2,0,0,16,1,0,4,0,0,0,6,2,0,1,40,1,0,0,5,9,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
511,12828,242,0,28,0,2,52,0,0,0,0,38,1,6,0,8,0,2,1,0,15,0,0,8,1,0,0,11,3,0,0,32,0,0,2,2,17,0,7,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0
517,12937,310,0,51,0,6,76,1,0,0,3,31,4,10,0,9,3,1,1,0,32,0,0,4,1,0,0,10,3,0,0,35,0,0,2,8,4,1,5,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0
523,13035,260,0,53,0,5,44,1,0,0,2,32,7,5,0,12,0,3,1,0,16,1,1,5,0,0,0,1,5,0,0,34,1,0,0,13,11,0,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
526,13083,232,0,39,0,3,40,0,0,0,2,38,4,5,0,17,0,0,0,0,18,0,0,13,0,0,0,8,3,2,2,19,0,0,0,8,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,13115,304,1,38,0,8,44,0,0,0,1,43,0,7,1,7,1,1,0,0,24,2,0,7,0,0,0,16,6,0,1,62,0,0,0,10,18,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
530,13148,294,0,19,0,4,62,0,0,0,0,34,0,9,0,4,0,2,2,0,15,2,1,10,0,0,0,13,3,0,1,63,1,0,1,28,14,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
531,13164,325,1,21,0,4,38,1,0,0,3,28,5,5,1,4,0,0,0,0,8,3,0,8,0,0,0,15,4,0,0,106,1,1,1,53,6,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
532,13180,389,0,31,0,10,29,1,1,0,3,28,8,5,0,1,0,0,0,0,8,2,0,5,0,0,0,6,1,0,0,166,0,0,15,60,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
533,13196,366,0,40,0,7,19,0,0,1,3,25,10,5,0,3,0,0,0,0,1,4,0,2,0,0,0,10,0,0,0,165,1,0,1,44,21,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
535,13229,334,0,43,0,19,38,0,2,0,5,22,5,6,0,6,1,0,0,0,2,3,0,3,0,0,0,4,0,0,0,119,1,0,19,11,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,13261,363,0,42,0,18,68,0,0,0,3,25,3,2,0,6,0,0,0,0,0,2,0,4,0,0,0,6,0,1,0,115,0,0,36,18,9,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
539,13293,293,0,38,0,6,54,1,0,0,2,23,1,1,0,6,1,0,0,1,3,1,0,3,0,0,0,9,0,0,0,78,0,0,26,29,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,13326,332,0,48,0,16,72,0,0,0,2,19,4,1,1,3,1,0,0,0,1,2,0,1,0,0,0,5,0,0,0,29,0,0,110,8,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,13358,428,0,86,0,9,68,0,0,0,1,22,6,7,0,4,3,0,1,0,2,5,0,1,0,0,0,4,1,0,0,29,0,0,160,9,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
545,13391,470,0,101,0,28,58,0,0,0,2,22,7,15,0,3,0,0,0,0,2,3,0,2,0,0,0,7,1,1,0,16,2,0,178,5,3,0,8,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0
548,13439,332,1,59,0,5,82,0,0,0,1,16,5,10,0,4,1,0,0,0,1,1,0,8,0,0,0,6,0,1,0,14,1,0,96,2,1,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
550,13471,335,1,26,0,6,74,1,0,0,2,25,2,27,0,7,1,0,0,0,2,2,0,6,0,0,0,6,1,0,0,10,0,0,114,4,3,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
552,13504,279,0,19,0,4,83,0,0,0,8,37,12,36,0,1,5,4,2,1,2,3,0,8,0,0,0,6,1,0,0,15,0,2,1,6,5,0,11,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0
559,NA,268,2,30,0,2,33,0,0,0,6,43,12,8,0,3,2,3,1,0,6,11,0,14,0,0,0,10,2,0,0,29,2,0,7,6,12,0,5,1,4,0,0,0,1,0,0,10,0,0,1,2,0,0
568,NA,302,0,36,0,0,30,0,0,0,3,67.5,11,6,0,0,7,7,2,0,3,3,0,11,0,0,0,9,2,0,0,64,4,0,0,16,8.5,0,2,0,3,4,0,0,0,0,0,1,0,0,1,0,1,0
580,NA,246,0,84,0,0,3,0,0,0,0,36.5,32,3,0,4,2,16,0,0,12,8,0,7,0,0,0,0,2,0,0,10,2,0,0,1,1.5,0,2,0,9,7,0,0,1,0,0,0,0,0,0,2,0,1
