"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.undiff.","Ambrosia.type","Artemisia","Betula","Castanea","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Juglans.nigra","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Ranunculaceae.undiff.","Rumex","Salix","Taxus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Alnus.viridis","Juniperus.Thuja","Myrica","Populus","Poaceae","Plantago","Rosaceae","Ilex.Nemopanthus","Pinus.strobus","Ericales","Carya","Juglans.cinerea","Tilia","Achillea.type","Shepherdia.canadensis","Liquidambar","Thalictrum","Caryophyllaceae","Sarcobatus.vermiculatus","Apiaceae","Brassicaceae","Ephedra","Rubiaceae.undiff.","Fabaceae","Cephalanthus","Celtis","Cornus","Lamiaceae"
876,1774,1154,6,50,15,2,1,204,0,1,0,10,167,5,0,0,5,0,23,5,149,5,46,0,0,2,1,249,1,42,17,0,1,0,2,6,0,0,0,132,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,1921,932,1,49,3,2,4,191,0,0,1,10,112,5,4,0,0,0,14,6,114,6,44,0,0,0,2,184,2,21,11,0,6,1,3,5,0,0,0,119,1,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
892,2069,944,6,55,4,1,2,208,0,0,4,2,114,7,5,0,1,0,24,3,178,6,61,0,0,0,3,134,2,34,14,0,2,1,0,4,0,0,0,59,2,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
900,2218,1003,6,54,2,1,1,248,0,0,1,12,146,7,8,0,6,0,10,5,100,3,43,0,0,1,1,178,2,38,14,1,11,1,5,4,0,0,1,86,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,2369,1119,5,32,25,1,1,229,1,0,2,8,133,8,14,0,3,0,18,11,122,2,41,0,0,1,0,292,1,47,5,2,0,0,0,5,0,1,0,96,0,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
916,2520,1122,1,42,3,0,3,288,1,1,1,9,99,22,11,0,4,0,13,5,188,6,85,0,0,0,6,177,3,37,15,1,2,1,0,3,0,1,0,87,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,2673,1213,0,71,3,2,1,299,1,1,0,6,152,19,8,0,1,0,16,5,237,5,89,0,0,0,2,152,2,51,16,0,1,0,2,1,0,0,0,51,2,9,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
932,2828,1035,4,43,1,3,2,225,0,0,2,11,137,3,7,0,0,0,17,9,177,4,70,0,0,2,4,140,0,39,8,0,4,2,1,2,0,0,1,103,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,2983,1093,3,41,32,2,2,265,0,2,0,9,147,8,4,0,2,0,13,10,172,1,60,0,0,2,3,135,0,28,5,1,4,3,0,4,0,0,0,125,0,2,1,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
956,3298,1075,4,67,1,1,4,182,0,0,3,5,110,9,3,0,1,0,20,6,278,4,67,1,0,0,2,126,4,35,12,0,1,2,1,5,0,0,0,110,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,3457,1106,2,80,4,0,3,266,0,1,3,1,133,19,10,0,2,0,18,4,152,5,71,0,0,3,1,94,4,36,7,1,7,2,2,3,0,0,0,166,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
972,3618,980,5,38,10,3,0,228,1,1,2,9,125,9,11,1,2,0,20,3,160,3,66,0,0,0,1,82,1,24,10,0,11,0,0,5,0,0,0,140,1,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
980,3780,1107,8,74,4,2,3,269,0,1,2,2,99,5,4,0,3,0,19,1,138,11,57,1,0,1,2,62,2,47,12,0,27,1,0,9,0,0,0,227,1,3,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
988,3943,967,5,45,1,0,5,225,0,0,1,2,153,11,11,1,1,0,32,4,174,3,78,0,0,0,4,37,3,41,8,0,8,2,0,3,0,0,0,97,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,4107,989,3,48,5,0,2,264,0,2,0,7,104,14,6,0,1,0,20,8,129,11,77,0,0,1,1,41,3,39,5,0,14,2,1,1,0,1,0,174,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,4273,1085,1,23,13,4,2,313,0,0,2,5,123,11,8,2,0,0,25,3,172,8,113,0,0,0,5,44,0,34,14,0,4,2,0,5,0,0,0,139,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,4440,1072,3,64,2,1,1,242,0,1,2,8,148,8,6,0,0,0,24,4,136,5,91,0,0,2,2,30,2,47,15,0,13,1,5,7,0,1,1,193,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,4608,1071,0,42,4,0,1,299,0,0,2,5,81,9,10,0,2,0,20,4,315,7,107,0,0,0,4,28,1,19,15,0,10,1,0,4,0,0,3,60,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,4778,1086,2,46,3,4,5,326,1,0,1,4,71,9,8,0,3,0,16,2,206,8,97,0,0,1,7,34,2,46,20,0,5,0,1,0,0,0,2,146,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1036,4948,1198,1,43,14,3,1,398,0,1,7,3,155,17,15,0,1,0,35,1,141,4,104,0,0,6,6,57,1,33,23,0,14,3,2,3,0,0,0,93,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,5446,1032,0,29,5,1,3,171,0,0,1,4,75,9,4,0,4,0,15,4,173,1,58,0,0,0,2,336,0,27,19,0,1,0,0,2,0,0,0,78,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,5644,1130,0,26,7,3,1,266,1,3,1,3,38,13,4,0,0,0,6,2,228,8,56,0,0,2,0,281,0,28,6,0,2,0,0,1,0,2,0,131,0,1,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1076,5821,1161,1,40,3,6,3,375,0,3,0,4,32,15,6,0,1,0,7,1,218,0,71,0,0,0,4,223,2,38,5,1,1,1,0,1,0,1,0,88,0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1080,5910,1061,0,37,1,5,4,218,0,1,0,3,26,4,5,0,0,0,12,1,166,5,91,0,0,1,1,327,0,32,8,0,5,0,0,2,0,0,0,98,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1084,5999,1063,0,52,5,3,4,236,0,2,0,1,34,12,9,0,0,0,14,2,180,13,109,0,0,0,3,277,5,29,10,0,1,4,4,0,0,0,0,42,0,5,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1088,6089,1042,2,43,1,4,2,157,0,2,1,4,27,10,11,0,0,0,23,1,193,11,73,0,0,0,2,257,0,36,7,0,5,0,0,1,0,0,1,161,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1092,6179,1041,0,35,0,2,1,164,0,0,0,4,31,3,4,0,3,0,8,2,163,15,114,0,0,1,0,318,0,29,7,0,6,1,0,2,0,1,1,117,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,6224,1070,0,47,2,5,10,141,0,3,0,7,28,7,5,0,0,0,20,0,193,7,145,0,0,0,3,223,0,29,14,0,6,0,2,3,0,0,1,156,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,6269,1015,0,24,0,3,3,149,1,1,2,3,32,15,8,0,2,0,27,10,247,6,101,0,0,1,1,141,0,43,17,0,4,0,0,2,0,0,0,162,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,6314,1014,0,41,1,1,6,122,0,0,0,4,16,10,4,0,3,0,13,2,246,4,78,0,0,0,1,254,0,29,10,0,2,0,0,1,0,0,0,161,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,6360,1132,1,26,5,5,4,75,0,0,2,8,26,8,6,1,3,0,10,1,234,14,94,0,1,1,0,400,2,46,4,0,8,0,1,3,0,1,0,130,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6451,1084,1,24,1,6,4,59,0,0,1,3,32,9,4,0,2,0,24,2,400,11,63,0,0,0,1,214,0,31,9,0,1,2,0,3,0,0,1,172,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1108,6542,1038,0,18,2,0,4,54,0,0,0,4,25,4,7,0,1,0,11,2,250,11,81,0,0,0,3,351,2,22,8,0,4,0,0,5,0,0,0,157,0,3,0,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1112,6633,1091,1,13,0,2,0,37,0,2,2,1,19,7,3,0,0,0,17,4,440,4,67,0,0,1,1,107,3,21,1,0,3,0,0,1,0,0,0,330,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1116,6725,1003,3,21,3,2,2,68,0,0,1,1,37,8,8,0,5,0,16,0,389,7,119,0,0,1,3,85,4,21,7,0,2,3,1,2,0,0,0,179,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1120,6817,1083,1,25,1,3,3,97,0,1,0,5,32,13,3,1,2,0,20,3,420,6,98,0,0,1,1,61,2,33,7,0,2,0,2,3,0,0,0,225,0,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,6864,1032,2,20,1,1,2,50,0,0,1,4,23,10,4,0,0,0,17,1,340,10,80,0,0,2,5,37,1,43,5,0,2,1,0,2,0,0,1,358,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1124,6910,988,1,29,0,2,2,64,0,0,2,1,19,4,9,0,0,0,13,2,287,7,130,0,0,0,1,209,1,50,5,0,0,0,0,5,0,0,0,138,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1126,6956,1102,3,28,2,4,3,52,0,4,1,1,24,8,1,1,0,0,24,1,295,12,125,0,0,2,7,171,2,34,3,0,12,0,0,2,0,0,1,270,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,7003,998,1,17,1,3,2,43,0,1,1,2,15,14,9,0,0,0,20,0,383,21,113,0,0,0,8,57,0,60,9,0,4,1,0,2,0,0,0,203,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1130,7049,973,5,17,0,5,2,38,0,1,0,4,12,6,4,1,0,0,12,2,353,3,68,0,0,1,6,118,0,27,4,0,2,0,0,1,0,0,0,276,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1132,7096,1152,2,16,2,4,6,53,1,5,2,4,19,12,6,0,1,0,25,3,323,16,79,0,0,0,3,187,1,41,12,1,9,1,2,3,0,0,0,306,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1136,7189,1087,4,19,0,4,3,38,0,5,2,1,30,8,10,1,0,0,19,0,451,12,105,0,0,1,0,99,1,39,2,0,6,0,0,1,0,0,1,220,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,7283,1024,0,16,3,5,1,115,0,0,0,0,20,9,6,0,2,0,36,2,407,11,146,0,0,0,3,32,3,31,5,0,0,0,0,2,0,0,0,160,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,7377,994,0,5,3,3,1,45,0,2,1,1,15,6,3,0,0,0,22,2,440,3,91,0,0,1,3,39,0,19,2,0,7,2,3,0,0,0,0,270,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,7472,1012,4,13,1,1,2,51,0,0,0,1,12,2,7,0,0,0,20,1,529,4,132,0,0,0,4,27,5,32,7,1,10,2,4,3,0,0,3,131,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,7566,1111,1,18,0,4,1,39,0,0,1,3,11,5,2,0,2,0,28,3,582,5,162,0,0,0,2,34,1,21,2,0,4,2,3,0,0,0,0,172,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1156,7661,1161,5,15,0,4,1,75,0,1,0,0,14,5,0,0,1,0,21,1,639,3,106,0,0,0,0,19,0,27,5,0,0,1,0,0,0,0,0,214,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,7757,1110,4,10,1,9,0,67,0,4,1,1,10,5,9,0,0,0,24,2,457,2,135,0,0,0,1,14,0,24,6,0,5,1,1,1,0,0,0,312,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1164,7852,1155,4,10,0,6,3,46,0,1,2,2,3,11,7,0,1,0,20,2,574,6,114,0,0,2,0,12,0,20,0,0,3,1,1,2,0,0,0,299,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,7948,1026,2,19,1,4,3,64,0,3,3,2,6,4,5,1,3,0,31,4,383,11,201,0,0,0,8,16,0,34,7,0,5,1,7,2,0,0,0,189,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,8044,1195,2,14,1,4,3,68,0,2,8,2,10,16,1,0,2,0,28,2,494,1,150,0,0,2,3,7,2,24,3,3,2,1,1,2,0,1,0,331,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1176,8141,1137,6,10,1,4,3,38,0,7,2,2,5,8,2,0,0,0,20,1,487,0,144,0,0,0,6,8,0,32,4,0,3,1,0,3,0,0,0,332,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,8238,1022,4,11,1,5,1,54,0,5,7,0,7,7,1,0,2,0,20,0,429,5,117,0,0,4,1,7,3,42,1,1,6,6,3,3,0,0,0,265,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1182,8287,1103,4,12,0,7,2,98,0,1,3,2,7,11,2,0,3,0,11,5,350,4,79,0,0,2,3,12,0,31,1,0,4,0,2,4,0,0,0,435,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,8335,1117,2,11,1,11,1,113,0,2,2,2,5,10,2,0,3,0,19,1,576,0,40,0,0,0,3,3,0,25,4,1,5,1,2,2,0,0,0,263,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,8433,1141,8,8,2,2,4,99,0,3,9,1,2,11,1,0,2,0,19,3,612,2,40,0,0,0,2,4,3,13,4,0,1,0,0,1,0,0,0,281,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1192,8531,1088,7,5,0,6,2,121,0,0,3,4,4,5,1,0,4,0,18,5,595,5,39,0,0,1,0,6,0,14,2,3,1,3,4,0,0,0,0,222,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1196,8629,1119,4,11,7,6,3,133,0,2,1,0,5,14,5,1,4,0,28,5,456,2,54,0,0,2,3,6,2,19,8,5,5,7,3,7,0,0,0,303,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1200,8727,1111,9,7,4,1,2,60,0,0,1,3,3,5,1,0,5,0,7,2,652,3,36,0,0,0,3,2,2,15,5,1,3,7,3,1,0,0,0,266,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,8826,1072,2,5,0,3,5,61,0,3,0,3,1,9,1,0,1,0,22,3,506,4,57,0,0,1,5,2,1,23,2,5,0,2,7,2,0,0,0,333,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,8925,1065,5,1,0,2,4,107,0,0,3,0,2,9,1,0,5,0,17,6,613,2,52,0,0,2,1,1,2,17,2,0,2,0,0,1,0,0,0,205,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,9125,1155,2,5,0,2,0,80,0,3,1,3,1,10,7,0,3,0,10,4,811,2,39,0,0,1,4,6,0,15,0,4,3,5,5,1,0,0,0,126,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,9225,1076,6,4,0,12,9,61,0,4,3,2,0,7,8,0,2,0,15,2,600,5,56,0,0,2,0,0,3,22,11,2,5,5,6,5,0,0,0,211,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1228,9426,1216,7,4,2,4,5,101,0,2,7,6,0,9,2,0,2,0,13,6,640,0,48,0,0,1,0,2,4,8,2,4,1,3,3,0,0,0,0,325,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,9527,1075,11,4,0,5,0,199,0,0,4,0,1,9,1,0,4,0,6,3,470,2,39,0,0,3,1,3,1,17,11,0,4,4,2,0,0,0,0,269,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,9628,1024,9,1,0,3,5,155,0,1,1,3,0,7,0,0,9,0,8,12,672,3,51,0,0,2,3,0,3,2,13,5,9,8,2,5,0,0,0,27,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1244,9832,1084,10,2,1,3,13,187,0,2,2,3,0,19,2,0,9,0,12,20,589,7,79,0,0,7,0,0,5,36,5,5,13,16,7,4,0,0,0,16,0,4,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1260,10243,1100,17,1,3,1,8,145,0,1,4,11,0,9,3,0,15,0,20,35,558,1,82,0,0,5,0,9,5,23,3,2,15,44,34,7,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,10659,1131,3,2,0,0,9,241,0,0,10,5,1,8,1,0,17,0,16,35,635,2,69,0,0,3,0,4,1,32,3,1,7,3,8,4,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1292,11080,741,1,1,0,1,22,31,0,2,4,14,0,11,0,0,5,0,40,190,108,0,60,0,0,17,0,3,6,14,0,0,62,63,47,9,0,0,0,27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
