"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Ilex","Indeterminable","Juglans.cinerea","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rosaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
251,3130,0,14,0,11,0,8,0,0,0,2,116,15,4,19,6,2,2,83,13,0,0,25,6,0,0,2,0,2,0,23,1,64,0,2,3,1,174,0,0,0,0,0,0,2,0,17,0,9,10
271,3168,0,7,0,12,0,5,0,0,4,1,110,12,4,10,0,0,0,83,17,0,0,30,8,0,0,4,0,1,1,24,1,62,0,1,2,2,160,0,0,8,0,0,0,1,0,16,0,7,6
320,3467,0,14,0,14,0,6,0,0,0,1,118,16,4,8,0,2,0,57,13,0,0,22,6,0,0,2,0,6,0,16,0,68,0,1,3,0,179,0,0,0,0,0,0,1,0,26,0,12,5
338,3902,0,17,0,18,0,3,0,0,0,4,95,19,2,21,0,0,0,84,10,0,0,9,7,0,0,5,0,5,0,23,0,38,0,10,2,1,111,0,0,3,0,1,0,0,0,22,0,14,0
354,4384,0,5,1,19,0,2,1,0,0,1,150,18,0,4,0,4,0,85,34,0,0,12,9,0,0,7,0,1,0,28,0,37,0,0,0,7,188,0,0,0,0,0,0,2,2,22,0,13,1
366,4722,0,7,3,27,0,2,0,0,0,1,138,15,1,5,0,6,0,99,32,0,0,10,11,0,0,2,0,1,0,21,0,40,0,0,1,3,188,0,0,0,0,0,0,0,3,26,0,11,2
380,5008,0,0,0,18,0,2,0,0,0,1,141,21,0,25,2,7,0,78,23,1,0,10,10,0,0,0,0,1,0,28,1,27,0,0,1,1,155,2,0,0,0,0,0,4,0,31,2,10,0
405,5163,0,1,0,17,0,2,0,0,0,3,127,12,1,7,1,1,0,67,18,0,0,19,9,0,0,0,0,0,0,12,1,26,0,4,3,0,146,0,0,0,1,0,0,5,0,92,0,17,1
422,5214,0,0,0,22,0,0,0,1,0,0,92,20,1,3,0,2,0,63,15,0,0,19,10,0,0,2,0,1,0,14,0,25,0,16,2,0,119,0,0,0,0,0,1,1,0,83,0,10,3
440,5296,0,1,1,25,0,5,0,0,0,0,79,10,1,0,0,2,0,79,19,0,0,14,9,0,0,1,0,3,0,27,0,19,0,0,3,2,113,0,0,0,0,0,0,4,0,73,1,11,1
454,5396,0,1,1,13,0,2,1,0,0,2,64,13,0,3,1,1,0,68,16,0,0,17,7,0,0,1,0,0,0,45,0,20,0,0,2,2,115,0,0,0,0,0,0,3,0,79,2,11,1
470,5567,0,0,0,18,0,3,0,0,1,0,71,25,0,29,9,7,0,47,13,1,0,13,12,0,0,2,0,0,0,20,0,15,0,0,3,2,120,0,0,0,0,0,0,1,0,61,2,16,2
482,5747,0,1,1,19,0,3,0,0,2,4,88,5,1,2,1,6,0,58,36,0,0,10,12,0,2,2,0,2,0,29,0,24,0,0,1,5,160,0,0,0,0,0,0,2,0,75,0,12,1
502,6165,1,11,0,6,0,3,1,0,0,0,127,8,2,7,2,0,0,66,12,0,0,45,4,0,0,0,0,0,0,17,3,23,0,0,0,0,79,0,0,0,0,0,0,3,0,75,0,10,5
520,6661,0,0,2,19,0,1,1,0,1,4,116,13,1,4,0,6,0,83,14,0,0,13,4,0,0,5,0,2,0,41,0,43,0,0,0,2,155,0,0,0,0,0,0,2,0,127,0,9,2
535,7146,0,0,0,37,0,7,3,0,0,3,129,4,0,2,1,2,0,81,33,1,0,11,5,0,1,4,0,2,0,68,1,51,0,0,1,0,183,0,0,0,0,0,0,4,0,175,1,12,2
550,7686,0,1,4,23,0,7,0,0,0,0,133,3,0,2,0,2,0,77,24,0,0,6,4,0,1,5,0,0,0,33,0,55,0,0,1,5,211,0,0,0,0,0,0,2,0,106,1,15,5
570,8475,0,2,0,26,0,8,0,0,0,2,107,6,0,38,5,16,0,49,43,1,0,1,2,0,0,0,0,0,0,24,8,142,0,0,6,9,282,1,0,1,0,0,0,0,0,216,0,22,4
576,8724,0,0,0,23,0,8,0,0,0,4,76,2,1,10,3,3,0,55,60,2,0,2,1,0,0,3,0,0,0,78,2,143,0,0,3,1,286,0,0,0,0,0,0,3,0,224,0,25,1
604,9918,4,1,0,14,0,27,0,0,1,4,37,3,0,6,0,10,0,1,39,1,0,1,2,0,0,2,1,0,0,79,29,230,0,0,2,2,218,1,0,1,0,0,0,0,1,75,0,26,1
612,10252,0,0,0,19,0,16,0,0,0,2,79,1,0,2,3,8,0,0,42,1,0,4,0,0,0,2,0,0,0,83,5,273,0,0,3,0,272,0,0,2,0,0,0,0,1,21,0,15,0
622,10656,0,5,0,41,0,41,0,0,3,2,178,9,1,23,7,13,0,10,33,3,0,1,4,5,0,9,1,0,0,22,16,502,0,0,3,23,182,0,0,3,0,0,0,0,0,10,0,23,2
630,10973,6,0,0,6,4,69,0,0,2,3,151,2,0,19,7,34,0,0,21,1,0,1,2,9,0,14,0,1,0,13,57,219,0,0,7,7,26,1,0,2,0,0,0,0,0,6,0,8,2
640,11428,3,0,0,3,0,59,0,0,0,1,50,2,2,6,16,33,0,1,10,2,0,0,1,1,0,5,0,0,0,8,158,145,0,0,7,3,15,0,0,0,0,0,0,0,1,14,1,5,1
645,11709,1,0,0,1,0,44,1,0,3,4,11,0,0,5,1,23,0,0,4,1,0,3,0,0,0,6,0,0,0,27,225,149,0,0,6,4,21,0,0,1,0,0,3,0,0,0,0,1,0
651,12104,2,0,0,0,0,2,0,0,1,3,19,2,0,1,13,20,0,1,16,1,0,8,0,0,0,13,0,0,0,47,280,85,0,0,6,10,55,1,0,1,0,0,0,0,1,0,0,2,2
660,12792,1,0,0,2,0,1,0,0,0,8,7,1,1,4,9,39,0,1,3,2,0,6,0,0,0,1,0,0,0,23,199,43,0,0,11,0,18,0,0,4,0,0,0,0,0,0,0,1,5
666,13294,1,0,0,4,0,2,0,0,0,5,3,1,0,3,35,68,0,1,1,4,0,1,0,3,0,5,0,0,0,13,63,78,0,0,9,14,11,1,0,19,0,0,0,0,4,0,8,0,3
672,13816,2,0,0,0,0,19,0,2,6,2,3,0,0,3,7,40,0,0,0,0,0,3,0,3,0,1,0,0,0,1,45,94,0,0,7,1,13,0,0,6,0,0,0,0,0,0,0,0,4
679,14433,1,0,0,0,0,3,2,1,6,3,1,0,0,0,1,72,0,0,0,1,0,0,0,1,0,1,0,0,0,3,30,54,0,2,5,0,6,1,0,6,2,0,0,0,0,0,0,0,12
