"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Clethra","Cyperaceae","Ericaceae","Herbs.undiff.","Ilex","Liquidambar","Magnolia","Nyssa","Pinus.undiff.","Platanus","Quercus","Saxifragaceae","Ulmus","Alnus","Fraxinus","Amaranthaceae","Cupressaceae.undiff.","Corylus","Poaceae.undiff.","Juglans.nigra","Ostrya.Carpinus","Tilia","Vitis","Myrica","Viburnum","Acer.saccharum.type","Castanea","Fagus","Picea","Rhus","Salix","Shrubs.undiff.","Taxodium","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Juglans.cinerea","Apiaceae","Cornus","Acer.saccharinum.type","Caryophyllaceae","Cephalanthus","Thalictrum","Campanulaceae","Asteraceae.subf..Cichorioideae","Liriodendron","Artemisia","Celtis","Lamiaceae","Ranunculus","Gentianaceae","Sambucus","Rumex","Pinus.subg..Strobus","Abies","Plantago","Polygonum","Larix","Sanguisorba","Onagraceae","Arceuthobium","Armeria","Elymus","Rosaceae.undiff.","Cistaceae","Liliaceae","Polygonaceae.undiff.","Brassicaceae","Parthenocissus","Urtica.type"
155,8430,847,1,7,3,26,0,4,7,52,0,21,0,55,118,3,319,1,4,8,5,0,187,4,3,0,2,0,1,2,0,2,0,5,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,8828,481,3,4,2,23,0,6,1,43,0,12,0,6,88,3,225,0,3,4,2,0,44,0,4,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,9524,511,0,1,4,21,0,17,1,20,0,11,0,7,60,2,262,0,0,3,1,0,49,3,3,0,5,0,0,0,0,0,0,8,1,0,0,0,0,5,19,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,10220,481,2,5,4,17,2,2,0,1,0,9,1,1,57,7,320,0,0,8,0,0,20,4,8,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,11015,626,1,8,5,15,3,14,0,5,0,11,0,1,61,0,392,0,8,4,4,0,45,2,16,0,5,0,0,0,0,0,1,5,0,0,0,0,0,5,7,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,11662,775,1,10,17,18,0,3,1,0,2,0,0,16,126,1,369,0,4,31,2,0,20,15,4,0,36,0,1,0,0,1,0,32,42,1,0,0,0,1,11,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,12159,703,2,8,7,13,0,1,0,0,0,5,1,0,76,0,420,0,5,4,1,1,94,3,25,0,5,0,1,0,0,0,1,6,2,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,12557,1025,4,8,13,24,0,11,0,1,3,26,0,1,86,3,686,0,9,7,3,0,60,3,29,0,7,0,3,0,0,1,1,9,0,0,2,1,0,8,12,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,13539,1355,1,13,39,17,0,27,2,0,9,1,0,4,384,4,509,0,10,38,8,0,18,17,19,2,86,0,1,1,1,3,0,11,89,0,0,0,0,2,22,0,10,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,14076,735,0,4,14,2,0,18,3,0,0,0,0,1,444,0,54,0,1,16,5,0,6,3,13,0,13,0,0,2,0,1,0,2,115,0,1,0,0,0,12,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,14433,506,0,1,0,1,0,23,2,0,0,0,0,0,265,0,3,0,0,5,1,0,0,11,14,0,1,0,0,2,0,0,1,0,159,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295,14791,640,0,2,0,1,0,13,1,0,0,0,0,0,413,1,4,0,0,14,0,0,1,0,8,0,2,0,0,0,0,0,0,0,160,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,15149,699,0,1,0,0,0,27,3,0,0,1,0,0,452,1,8,0,0,8,1,0,0,6,14,0,1,0,0,2,0,0,0,0,148,0,1,0,0,0,12,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
320,15685,944,0,3,1,1,0,41,2,0,0,0,0,0,518,0,14,0,0,17,1,0,0,5,14,0,4,0,0,4,0,0,0,0,288,0,1,0,0,0,10,0,3,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
330,16764,773,0,2,4,1,0,25,2,0,0,0,0,0,451,0,15,0,0,15,1,0,0,6,9,0,1,0,0,3,2,0,1,0,212,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
335,17394,867,0,8,2,1,0,44,0,0,1,0,0,0,410,0,15,0,0,29,0,1,3,14,18,0,2,0,0,6,0,1,0,0,250,0,0,0,0,0,28,0,1,0,0,1,0,9,0,2,0,5,0,0,5,0,0,2,0,5,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
355,19871,1117,0,5,2,0,0,44,2,0,0,0,0,0,767,2,25,0,0,8,2,0,1,8,11,0,4,0,0,6,0,0,0,0,187,1,0,0,0,0,14,0,1,0,0,1,1,8,0,0,0,4,0,0,2,0,0,0,0,6,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0
370,21132,840,0,4,4,2,0,39,3,0,0,0,0,1,633,2,14,0,0,16,2,0,7,8,18,0,4,0,0,4,0,0,0,0,44,0,0,1,0,0,15,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
380,22151,709,0,1,1,0,0,33,3,0,1,0,0,0,463,0,13,0,0,18,2,2,0,11,11,0,0,0,0,4,1,0,0,0,109,0,0,0,0,0,6,0,2,0,0,0,0,5,0,0,0,5,0,1,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
390,24774,822,0,4,0,1,0,30,6,0,1,0,0,0,582,1,11,0,1,15,1,0,4,4,16,0,3,0,0,2,0,1,0,0,98,0,0,1,0,0,21,0,1,0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
400,27398,977,0,4,4,2,0,21,26,0,1,0,0,0,623,0,35,0,0,16,2,0,130,4,24,0,2,0,0,6,6,0,0,0,28,0,0,0,0,0,25,0,0,0,0,2,0,5,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0
404,28447,1617,0,6,25,0,0,128,54,1,12,0,0,0,473,5,102,0,1,89,2,1,438,5,73,0,7,0,1,4,8,0,2,0,18,0,1,0,1,1,128,0,4,0,0,0,1,5,0,0,0,8,0,0,0,0,1,0,8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
410,30021,1520,0,11,19,3,1,74,32,1,7,0,0,0,516,2,114,0,1,80,5,1,467,11,60,0,3,0,1,11,4,0,2,2,11,0,3,0,0,0,65,0,3,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
418,32120,877,0,7,22,2,0,64,22,1,2,0,0,0,318,0,55,0,1,62,2,1,134,7,67,0,12,0,2,6,0,0,0,0,13,0,1,0,0,1,47,0,4,1,0,1,1,4,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
433,NA,1649,0,4,23,6,1,78,16,1,2,0,0,0,179,1,247,0,1,103,5,1,784,15,74,0,14,0,0,5,2,0,2,0,33,1,0,1,0,0,26,0,7,0,0,1,1,5,0,0,0,3,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
455,NA,1015,0,3,23,6,0,144,10,0,4,0,0,1,211,4,191,0,1,116,4,2,85,15,67,0,8,0,0,12,5,2,2,1,20,2,0,1,0,0,43,0,3,0,0,1,0,12,1,0,0,5,0,0,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1
