"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cyperaceae","Poaceae.undiff.","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Juglans","Pinus","Lamiaceae","Rhamnaceae.Vitaceae","Artemisia","Apiaceae","Larix","Polygonum","Rubiaceae","Thalictrum","Caryophyllaceae","Fagus","Platanus","Ranunculaceae.undiff.","Prunus.Sorbus","Rumex","Plantago","Ranunculus","Elaeagnus","Scrophulariaceae","Humulus","Malvaceae","Shepherdia.canadensis","Ephedra","Cornus","Saxifragaceae","Epilobium","Elymus"
960,9729,328,2,1,28,4,2,0,8,5,13,12,2,62,2,0,2,0,80,12,0,0,9,3,73,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,9847,319,1,3,73,1,2,0,9,4,1,0,2,50,2,0,1,0,55,4,2,1,24,3,71,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,9964,325,6,4,81,1,1,2,9,4,6,3,2,34,0,0,0,0,60,13,0,0,25,2,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,10082,325,6,2,75,1,3,4,5,6,2,5,3,19,2,0,0,0,45,9,0,0,32,2,93,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
980,10198,329,12,3,94,1,1,0,3,3,5,0,7,13,1,0,0,0,22,13,1,0,22,4,120,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,10312,336,4,5,128,0,2,2,15,10,6,5,26,24,0,0,0,0,27,16,1,0,31,0,20,1,0,9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,10425,335,13,1,91,0,1,0,11,14,4,4,69,12,4,0,0,0,24,55,2,0,8,0,3,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,10535,344,7,3,77,0,1,3,7,15,7,7,84,12,7,0,1,0,15,49,0,0,22,0,5,2,0,9,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1000,10642,350,4,4,77,0,1,1,9,12,14,7,97,18,5,1,0,0,13,45,0,0,11,0,5,1,0,13,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1010,10850,372,4,3,74,0,2,3,8,22,12,5,129,12,14,0,0,0,4,20,0,0,20,0,6,0,0,19,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1015,10951,372,5,7,46,0,2,2,4,21,12,5,186,11,8,0,0,0,3,14,0,0,7,0,0,0,1,26,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,11049,361,3,3,54,0,3,3,4,15,15,0,168,14,9,0,0,0,7,10,0,0,12,0,4,0,0,20,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,11146,361,0,2,48,0,2,2,8,15,7,6,177,9,12,0,0,0,9,9,0,0,13,0,0,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1030,11241,421,3,24,44,0,14,6,15,19,13,12,143,16,3,2,0,0,12,0,1,0,36,0,4,1,1,39,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,11333,389,4,17,34,0,4,7,16,14,16,14,138,17,2,3,0,0,14,3,2,0,54,0,0,1,2,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,11424,398,2,17,19,1,3,3,4,16,23,7,191,19,5,0,0,0,5,0,1,0,37,0,2,0,0,33,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1045,11513,389,2,11,31,1,5,5,7,14,11,11,169,21,3,1,0,0,7,4,0,0,36,0,2,0,0,41,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,11600,391,1,17,16,0,1,2,5,17,22,6,194,20,1,0,0,0,9,1,0,1,40,0,2,0,0,28,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,11686,378,2,19,13,0,1,5,3,7,12,6,215,19,3,0,0,0,4,2,0,0,26,0,2,0,0,29,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1060,11770,364,0,7,15,0,4,0,2,3,20,5,192,15,7,1,0,0,4,0,0,0,46,0,2,0,0,24,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,11852,389,2,22,7,1,4,1,1,10,17,6,202,15,3,0,0,0,7,0,0,0,38,0,0,0,0,30,0,18,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1070,11933,386,0,23,11,1,3,0,7,5,21,6,168,27,5,0,0,0,5,0,0,0,60,0,1,0,0,26,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1075,12012,406,2,30,18,0,3,5,4,17,21,5,151,22,8,0,0,0,4,3,0,0,71,0,0,0,0,28,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1080,12090,382,2,19,12,0,5,0,8,15,18,9,152,22,12,0,0,0,2,0,0,0,67,0,6,0,0,23,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1085,12167,421,2,33,21,1,2,7,2,20,27,9,150,27,8,0,0,0,5,1,0,0,62,0,0,1,0,28,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1090,12242,394,1,18,18,0,6,0,3,15,22,6,160,21,7,0,0,0,6,3,1,0,54,0,7,0,0,29,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
1095,12316,372,2,13,11,0,2,4,4,14,13,3,194,19,1,0,0,0,2,1,0,0,54,0,1,0,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,12389,387,1,27,15,0,2,0,6,16,13,2,179,25,6,0,0,0,2,0,0,0,59,0,3,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1105,12460,388,1,20,18,1,1,6,4,18,18,7,180,20,4,0,0,0,6,1,0,0,48,0,0,0,0,22,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1110,12531,338,1,13,16,0,2,0,2,4,15,1,175,15,1,0,0,0,6,0,0,0,65,0,8,0,0,3,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,12601,354,3,15,12,0,1,3,1,8,14,5,190,19,5,0,0,0,6,1,0,0,47,1,2,0,0,12,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,12670,366,0,24,14,0,2,0,8,4,24,5,183,12,4,0,0,0,6,2,0,0,52,0,3,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,12737,378,0,20,9,0,1,2,1,9,21,1,210,17,2,1,0,0,4,1,0,0,44,0,0,0,1,20,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1130,12804,344,2,13,7,0,7,0,1,3,10,6,198,16,2,0,0,0,7,0,0,0,42,1,6,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,12962,205,0,4,3,1,0,3,1,26,28,2,117,2,0,0,0,0,1,0,0,0,9,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1150,13066,204,1,4,4,0,0,2,0,17,31,0,130,1,1,0,0,0,0,0,0,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1159,13180,107,0,1,0,0,2,5,2,33,10,0,49,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1174,13368,10,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,13517,14,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1197,NA,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
