"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Celtis","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Huperzia.lucidula","Morus","Myrica","Parnassia","Potentilla","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.viviparum","Polypodiaceae","Populus","Pinaceae.undiff.","Potamogeton.Triglochin","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Selaginella.selaginoides","Sphagnum","Juniperus.Thuja","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Indeterminable","Unknown","Botrychium.undiff.","Caryophyllaceae","Charcoal","Cerealia","Brassicaceae","Glomus","Spore..trilete.","Urticaceae","Tilletia","Thalictrum","Botrychium.multifidum","Caltha","Rhus","Liquidambar","Eucalyptus.spike..number.counted.","Sample.volume..ml."
175,5579,0,0,4,1,1,0,5,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,1,0,3,210,0,0,0,24,0,0,0,3,1,0,0,0,0,0,0,9,11,48,0,0,7,0,0,0,0,57,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,78,0
195,6137,2,0,17,1,2,1,2,1,19,3,0,1,0,0,0,0,2,0,39,4,7,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80,0,8,0,1,0,0,0,1,33,0,0,0,1,0,0,16,4,20,0,0,30,0,0,0,0,31,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,264,1
225,NA,1,0,19,0,2,0,8,2,14,1,1,0,0,0,0,0,1,0,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,15,38,0,2,0,0,0,0,0,0,47,0,0,0,0,0,0,0,1,97,0,0,25,0,0,0,0,21,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,198,1
260,NA,1,0,27,1,0,0,8,0,29,2,0,0,0,0,0,2,0,0,5,3,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,111,0,1,0,2,0,0,0,0,67,0,0,0,0,0,0,0,3,69,0,0,17,0,0,0,0,59,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,205,1
300,NA,0,0,7,2,0,0,9,2,26,1,0,0,1,0,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,20,127,0,0,0,1,0,0,1,1,43,0,0,0,0,0,0,0,2,22,0,0,24,0,0,0,0,39,1,0,0,143,0,0,0,2,0,0,0,0,0,0,0,411,1
325,NA,1,0,6,0,2,0,13,2,24,1,0,1,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,34,122,0,0,0,2,0,4,0,1,41,0,0,0,0,0,0,1,0,23,0,0,16,0,0,0,0,24,2,0,0,77,0,0,0,1,0,0,0,0,0,0,0,260,1
365,NA,1,0,10,0,0,0,33,2,8,2,0,0,0,0,0,0,3,0,0,2,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66,122,0,0,0,1,0,0,0,1,24,0,0,0,2,0,0,1,0,3,0,0,24,0,0,0,0,17,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,295,1
405,NA,2,1,9,0,0,0,16,4,8,1,0,0,0,0,0,1,2,0,0,1,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,36,190,0,0,0,4,2,0,1,1,19,0,0,0,0,0,0,1,0,15,0,0,13,0,0,1,0,16,0,0,0,53,0,0,0,3,0,0,0,0,0,0,0,431,1
425,NA,1,0,0,1,0,0,27,6,15,0,0,0,0,0,0,1,4,0,0,3,4,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,27,153,0,2,0,2,1,0,0,1,21,0,0,0,1,0,0,0,0,5,0,0,10,0,0,0,0,23,1,0,0,51,0,0,0,1,0,0,1,0,0,0,0,648,1
445,NA,0,0,2,1,1,3,16,16,10,5,0,1,0,0,2,0,5,0,0,1,1,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,30,103,0,0,0,4,0,0,0,30,28,0,0,0,0,0,1,1,0,13,0,0,16,0,0,0,0,43,4,0,0,815,0,0,0,2,0,0,0,0,0,0,0,1559,1
465,NA,0,0,3,0,2,0,15,10,10,0,0,2,0,0,0,3,0,0,0,0,9,1,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18,12,128,0,0,0,1,1,1,2,1,36,0,0,0,1,0,0,1,0,7,0,0,8,0,0,0,0,34,2,0,0,213,0,0,0,1,0,0,0,0,0,0,0,879,1
485,NA,0,0,2,2,3,3,8,2,3,2,0,0,0,0,2,2,4,2,0,0,2,1,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,96,12,3,96,0,0,0,1,0,0,0,11,25,0,0,0,0,0,14,0,0,33,1,0,10,0,0,0,0,33,2,1,0,1155,0,0,0,2,0,0,0,0,0,0,0,1759,1
505,NA,0,0,1,2,1,2,2,0,2,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,210,4,0,117,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,11,0,0,0,406,0,0,0,0,0,1,0,1,0,0,0,732,1
525,NA,0,0,3,3,1,2,6,1,5,0,0,0,0,0,4,1,7,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,180,3,2,62,0,0,0,1,0,6,0,0,5,1,0,0,2,0,5,1,1,18,1,0,3,0,0,0,0,27,2,2,0,905,0,0,1,4,0,0,1,0,0,0,0,1799,1
545,NA,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7,1,50,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,3,0,35,0,0,0,2,0,0,2,1,6,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,25,6,0,0,160,0,0,0,0,0,0,0,0,0,0,0,457,1
560,NA,0,0,2,1,2,1,2,2,7,2,0,0,0,0,1,1,12,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,8,1,47,0,0,1,4,0,0,1,1,12,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,14,2,0,0,155,0,0,0,3,0,0,0,0,0,0,0,752,1
600,NA,0,0,2,1,0,5,3,1,8,0,0,0,0,0,2,1,25,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2,0,44,0,0,0,7,0,0,3,2,6,0,0,0,1,1,2,4,0,0,0,0,2,0,0,0,0,65,45,0,0,72,0,0,0,11,0,0,0,0,0,0,0,2248,1
