"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Apiaceae","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Caryophyllaceae","Larix","Picea.glauca.type","Populus.tremuloides.type","Salix","Ulmus","Fraxinus.nigra.type","Juglans.nigra","Acer.saccharum","Corylus.cornuta","Viburnum.edule","Carya.ovata","Castanea.dentata","Pinaceae","Fraxinus.pennsylvanica.type","Myrica.gale","Juglans.cinerea","Asteraceae.subf..Asteroideae.undiff.","Taxus","Tilia","Liliaceae","Ranunculaceae","Acer.saccharinum","Populus.balsamifera.type","Juniperus.type","Rosaceae.cf..Prunus.serotina","Populus.deltoides.type","Populus.undiff.","Viburnum.undiff.","Rosaceae.undiff.","Prunus","Epilobium","Pinus.resinosa.type","Oxytropis.maydelliana.type"
135,4112,0.00899280575539568,0.00899280575539568,0,0,0.428057553956835,0.0935251798561151,0.0233812949640288,0.00539568345323741,0,0.0539568345323741,0.039568345323741,0.0197841726618705,0,0.00359712230215827,0,0.0323741007194245,0,0.151079136690647,0,0.00899280575539568,0.0377697841726619,0.00179856115107914,0,0,0.00179856115107914,0.039568345323741,0.00359712230215827,0,0.00359712230215827,0.00539568345323741,0,0.0107913669064748,0.00179856115107914,0,0,0.00179856115107914,0,0,0.00179856115107914,0.00179856115107914,0.00179856115107914,0.00899280575539568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5126,0.00477707006369427,0.0254777070063694,0.00796178343949045,0.00796178343949045,0.396496815286624,0.0445859872611465,0.0382165605095541,0.00796178343949045,0,0.10031847133758,0.0748407643312102,0.017515923566879,0,0.00318471337579618,0,0.0191082802547771,0.00159235668789809,0.171974522292994,0,0.00477707006369427,0.0382165605095541,0,0,0,0.00636942675159236,0,0.00159235668789809,0,0.00636942675159236,0.0111464968152866,0,0,0,0,0,0,0.00159235668789809,0.00318471337579618,0.00159235668789809,0,0.00159235668789809,0,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,6419,0.00676818950930626,0.065989847715736,0,0,0.341793570219966,0.235194585448393,0.0473773265651438,0.00169204737732657,0,0.0236886632825719,0.0338409475465313,0.0304568527918782,0,0,0.00338409475465313,0.038917089678511,0,0.0744500846023689,0,0.00169204737732657,0.0338409475465313,0.00169204737732657,0,0,0.0050761421319797,0.0236886632825719,0.00338409475465313,0.00338409475465313,0.00676818950930626,0.00169204737732657,0,0.00338409475465313,0,0.00338409475465313,0.00169204737732657,0,0,0.00169204737732657,0,0,0.00169204737732657,0.00338409475465313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,7281,0.0120772946859903,0.147342995169082,0.00241545893719807,0,0.364734299516908,0.0676328502415459,0.0241545893719807,0.00966183574879227,0.00483091787439614,0.0531400966183575,0.0797101449275362,0.0144927536231884,0,0,0.00483091787439614,0.0603864734299517,0.0314009661835749,0.00966183574879227,0,0.00241545893719807,0.0217391304347826,0.00241545893719807,0.00241545893719807,0,0.0144927536231884,0.00966183574879227,0.00483091787439614,0.0072463768115942,0,0.00483091787439614,0,0,0.00483091787439614,0,0,0,0.0314009661835749,0,0.00241545893719807,0,0,0,0,0,0.00241545893719807,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0
185,8143,0.00432900432900433,0.175324675324675,0,0,0.287878787878788,0.181818181818182,0,0.00216450216450216,0,0.0454545454545455,0.0238095238095238,0.0238095238095238,0,0.00216450216450216,0,0.0194805194805195,0,0.0952380952380952,0,0.00216450216450216,0.0454545454545455,0,0,0,0.0064935064935065,0.0606060606060606,0.00216450216450216,0.00432900432900433,0.00432900432900433,0,0,0,0.00432900432900433,0,0,0,0,0,0,0,0.00216450216450216,0,0,0,0,0,0.00216450216450216,0.00216450216450216,0.00216450216450216,0,0,0,0,0,0,0,0
200,NA,0.00284495021337127,0.0668563300142248,0.00142247510668563,0.0042674253200569,0.15647226173542,0.578947368421053,0.00284495021337127,0,0.0042674253200569,0.0170697012802276,0.0369843527738265,0.0085348506401138,0,0.00142247510668563,0.0042674253200569,0.00568990042674253,0.0113798008534851,0.0483641536273115,0,0.00568990042674253,0.00711237553342817,0,0,0,0,0.00284495021337127,0.00284495021337127,0.00568990042674253,0.00142247510668563,0,0,0,0.00711237553342817,0,0,0,0.00142247510668563,0,0.00142247510668563,0,0,0,0,0,0,0,0,0,0,0.0128022759601707,0,0,0,0,0,0,0
210,NA,0.00328587075575027,0.0843373493975904,0.00109529025191676,0.00547645125958379,0.166484118291347,0.581599123767798,0.00219058050383352,0.00109529025191676,0,0.0295728368017525,0.00985761226725082,0.0076670317634173,0,0,0.00328587075575027,0.00547645125958379,0,0.0602409638554217,0,0.00328587075575027,0.0109529025191676,0,0,0,0.00109529025191676,0,0.00109529025191676,0,0.00438116100766703,0,0,0.00109529025191676,0,0,0,0,0,0,0,0,0.00219058050383352,0,0,0,0,0,0,0,0,0,0.00109529025191676,0.00328587075575027,0.00547645125958379,0.00438116100766703,0,0,0
220,NA,0,0.0211382113821138,0.0016260162601626,0.0097560975609756,0.147967479674797,0.445528455284553,0.0308943089430894,0.0032520325203252,0.0016260162601626,0.0178861788617886,0.032520325203252,0.0032520325203252,0,0,0.0601626016260163,0.0048780487804878,0.0097560975609756,0.0308943089430894,0,0,0.0065040650406504,0,0,0.0016260162601626,0,0.0016260162601626,0.008130081300813,0.136585365853659,0.0016260162601626,0,0,0,0,0,0,0,0.0048780487804878,0,0,0,0.0097560975609756,0,0,0,0,0,0.0016260162601626,0,0,0,0,0,0.0032520325203252,0,0.0032520325203252,0,0
225,NA,0.00418410041841004,0.0334728033472803,0.00209205020920502,0.00418410041841004,0.163179916317992,0.52510460251046,0.0125523012552301,0,0,0.0167364016736402,0.0271966527196653,0.0125523012552301,0,0,0.0313807531380753,0.00418410041841004,0.0209205020920502,0.0376569037656904,0,0.00209205020920502,0.0125523012552301,0,0,0.00209205020920502,0,0.0209205020920502,0,0.0334728033472803,0,0,0,0,0.00836820083682008,0,0,0,0,0,0,0,0.00627615062761506,0,0,0,0,0,0,0.00627615062761506,0,0,0,0,0.00836820083682008,0,0,0.00418410041841004,0
230,NA,0,0.0348258706467662,0,0.0199004975124378,0.199004975124378,0.393034825870647,0.00497512437810945,0,0,0.0497512437810945,0.00497512437810945,0,0,0,0.0696517412935323,0.0199004975124378,0,0.0746268656716418,0,0,0,0,0,0,0,0,0.00497512437810945,0.099502487562189,0,0.0099502487562189,0,0.00497512437810945,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0
235,NA,0.00785854616895874,0.0216110019646365,0.00589390962671906,0.0196463654223969,0.161100196463654,0.444007858546169,0.00982318271119843,0.00196463654223969,0.00982318271119843,0.00982318271119843,0.031434184675835,0.00589390962671906,0,0,0.0667976424361493,0.00196463654223969,0.00392927308447937,0.0196463654223969,0,0.00196463654223969,0.00196463654223969,0,0,0.00196463654223969,0.00196463654223969,0,0,0.151277013752456,0,0.00196463654223969,0,0,0.00392927308447937,0,0,0,0.00196463654223969,0,0,0,0.00785854616895874,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0.00196463654223969
