"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Gordonia","Ilex.type","Liquidambar.styraciflua","Liriodendron.tulipifera","Magnolia","Nyssa","Picea","Pinus","Quercus","Rosaceae","Salix","Serenoa","Smilax","Juniperus","Tilia","Toxicodendron","Ulmus","Viburnum.type","cf..Vitis","Apiaceae","Asteraceae","Chenopodiaceae","Cyperaceae","Poaceae","Botrychium","Larix","Lycopodium","Osmunda","Polypodiaceae","Sphagnum","Spore","Indeterminable","Eucalyptus.spike..number.counted.","X.s.Pollen.Sum"
161,4740,0,3,0,8,0,1,5,0,1,0,0,4,2,0,0,198,0,26,132,11,0,0,0,0,5,0,0,0,15,0,2,1,0,9,0,0,0,32,0,0,0,14,3,472
169,5094,0,4,0,0,0,0,4,7,0,0,1,10,6,2,3,143,0,49,147,0,15,9,0,0,0,0,0,0,9,0,0,1,0,40,1,0,0,29,4,3,0,18,16,526
185,5803,0,11,0,11,0,1,4,7,1,1,0,4,2,1,0,146,0,52,111,9,2,0,0,2,1,0,0,0,12,1,5,0,0,14,0,0,0,28,0,3,0,19,4,476
201,6512,0,23,1,5,0,7,6,5,0,0,0,1,2,0,0,132,0,48,150,8,8,0,0,1,1,0,0,1,8,1,6,0,0,23,0,0,0,14,0,18,0,23,17,497
209,6867,0,18,0,13,0,0,0,13,1,0,0,2,16,5,1,265,0,33,207,26,17,2,0,1,0,0,0,0,20,3,11,1,0,27,0,0,0,40,1,27,0,27,23,784
217,7221,0,15,0,7,0,1,4,0,2,1,0,1,6,0,0,160,0,56,98,0,5,0,0,0,2,0,0,0,17,1,7,0,0,13,0,0,0,16,0,17,0,2,8,439
233,7930,0,16,0,8,0,0,4,3,1,0,0,2,8,1,2,158,0,63,121,0,2,0,0,1,1,0,0,0,11,0,5,0,0,13,1,0,0,27,0,17,0,9,8,484
249,8639,0,39,1,14,0,4,3,0,2,0,0,6,5,0,2,81,0,40,167,5,9,2,0,0,3,0,0,0,13,0,10,1,0,13,1,0,0,11,0,9,2,14,7,467
265,9348,0,49,1,27,0,2,0,3,3,2,0,1,6,0,2,108,0,50,169,0,1,0,0,0,4,0,0,0,21,0,3,2,0,23,0,0,0,29,0,0,24,11,13,557
281,10057,0,62,1,10,0,2,2,10,3,2,0,0,1,0,0,60,0,19,205,3,5,1,0,0,0,0,0,0,63,1,4,0,0,19,0,0,0,11,0,33,1,15,3,518
297,10766,0,117,0,12,0,2,5,2,2,0,0,2,3,0,2,33,0,22,133,3,3,1,0,1,3,0,0,0,1,0,6,0,0,22,0,0,0,7,0,31,0,7,12,449
313,11641,0,138,0,0,0,10,0,1,3,3,0,10,1,0,0,2,4,31,97,6,6,0,0,3,0,0,0,0,1,2,21,2,1,61,0,0,0,0,0,9,0,18,27,434
329,12603,0,128,0,21,0,11,0,0,6,0,0,5,0,0,2,9,3,43,102,1,2,1,0,0,0,0,0,2,1,0,23,0,0,31,0,0,0,1,0,13,0,19,37,423
345,17476,0,81,0,21,0,3,0,0,0,3,0,5,1,0,0,0,5,67,71,2,11,3,0,2,1,0,0,0,0,1,47,0,0,66,0,0,0,0,0,32,0,6,16,439
353,20564,1,60,0,25,0,5,0,1,2,0,0,7,1,0,0,0,9,159,85,1,5,0,0,0,0,0,0,0,2,3,18,0,0,47,1,0,0,1,0,47,0,12,15,496
361,23651,0,54,0,16,0,0,0,0,2,1,0,2,1,0,0,0,9,166,49,0,11,0,0,0,0,0,0,0,1,1,18,2,2,64,1,1,0,0,0,23,0,11,54,426
377,25209,0,13,0,13,0,2,0,0,5,0,0,0,0,0,0,0,12,246,48,0,5,0,0,4,0,0,0,0,3,0,24,0,7,108,0,2,0,0,0,14,0,16,75,513
393,25228,0,3,0,28,0,3,0,1,0,0,0,0,1,0,0,0,5,205,37,1,4,0,0,0,0,0,0,0,0,1,11,1,3,104,1,0,0,0,0,10,0,16,132,428
409,25246,0,9,0,22,0,9,0,1,9,0,0,0,1,0,0,0,6,242,57,0,1,0,0,0,0,0,0,0,0,1,38,0,0,49,2,0,0,0,0,37,0,12,63,490
425,25669,0,3,0,11,0,2,0,0,0,0,0,0,0,0,0,0,17,323,17,0,0,0,0,0,0,0,0,0,0,1,7,1,0,34,0,0,0,0,0,1,0,4,17,429
441,26497,0,13,0,3,0,6,0,0,7,0,0,1,0,0,0,0,13,255,38,0,9,0,0,1,0,0,0,0,1,1,19,4,1,62,0,0,0,1,0,11,0,7,42,465
449,26910,0,18,0,6,0,4,0,1,6,0,0,1,0,0,0,0,7,262,36,0,1,0,0,2,0,0,0,0,2,3,12,1,5,56,0,0,0,2,0,18,0,1,80,452
457,27324,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,225,42,1,10,0,0,0,0,0,0,0,6,3,29,1,4,54,0,0,0,0,0,15,0,5,188,425
473,28151,0,13,0,5,0,0,0,0,3,0,0,1,0,0,0,0,3,228,35,2,7,0,0,2,0,0,0,0,0,4,32,0,0,79,1,0,0,3,0,13,0,13,75,448
489,28979,0,16,0,2,4,1,0,0,2,0,0,0,0,0,0,0,6,221,28,0,8,0,0,0,0,0,0,0,0,11,25,0,0,72,0,0,0,0,0,5,1,21,202,426
505,29806,0,32,0,11,0,0,3,1,0,0,0,2,1,0,0,13,3,177,44,0,8,0,0,2,2,0,0,0,3,8,19,3,0,77,0,0,0,3,0,14,0,19,35,450
521,29957,1,20,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,207,29,2,13,0,0,0,0,0,0,0,0,0,35,2,1,99,2,0,0,0,0,2,3,18,89,432
537,30011,0,22,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,190,41,2,1,0,0,6,0,0,0,0,0,7,35,0,0,106,0,0,0,0,0,1,0,1,115,426
