"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Equisetum","Fabaceae.undiff.","Fraxinus","Galium","Herbs.undiff.","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Parthenocissus","Picea","Pinus","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Selaginella","Solanaceae","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Typha.Sparganium","Ulmus","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
170,NA,0,1,13,280,26,0,0,20,19,5,0,0,2,0,0,45,0,10,0,1,3,0,1,0,76,0,1,0,0,0,0,0,0,4,0,85,16,0,18,0,0,0,39,0,0,1,2,0,0,0,0,0,0,0,2,1,5,5,1,0,0,2
180,NA,1,1,2,320,31,0,0,13,31,2,0,0,0,1,0,32,0,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,2,0,78,12,1,13,4,0,0,22,0,0,1,0,0,0,0,0,1,0,1,2,1,6,3,2,0,0,0
190,NA,3,2,3,268,33,0,0,17,11,3,0,1,0,0,0,20,0,4,0,0,4,0,0,0,34,0,1,0,1,0,1,0,0,2,0,104,10,2,16,0,1,0,19,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0
195,NA,19,4,22,20,23,0,1,43,2,14,0,0,1,4,2,37,0,14,5,0,43,0,0,0,16,0,1,10,0,0,0,0,0,13,0,218,8,1,18,0,0,1,35,0,0,0,1,0,0,0,0,0,2,3,0,1,0,14,0,7,0,0
200,NA,9,2,17,120,30,0,0,17,8,10,0,0,5,6,1,38,0,3,5,0,40,0,0,0,18,0,1,2,0,0,0,0,0,17,0,131,6,0,24,0,0,0,51,0,0,2,0,0,0,0,0,0,0,2,0,0,2,13,0,0,0,1
205,NA,20,2,20,15,20,0,0,31,8,10,0,0,0,4,4,27,0,24,0,0,23,0,3,0,124,0,0,7,1,1,0,0,0,16,0,242,31,0,19,0,0,3,25,0,0,0,4,0,0,1,0,0,2,0,0,1,1,24,4,5,0,0
210,NA,14,2,24,6,60,0,0,24,8,9,0,0,5,5,1,22,0,18,1,0,190,0,0,0,3,0,0,2,0,0,0,0,0,29,0,123,7,0,11,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,2,8,0,0
215,NA,8,9,21,2,48,0,0,19,8,6,0,0,1,5,1,36,0,15,7,0,145,0,3,0,8,1,0,9,0,0,1,0,0,18,0,275,4,4,19,0,0,0,47,0,0,0,1,0,0,0,0,0,0,8,0,0,5,16,0,8,0,0
220,NA,8,2,10,2,10,0,0,56,6,4,2,1,0,2,5,41,0,3,2,1,14,2,1,0,30,0,0,14,0,0,0,0,0,4,0,451,13,1,23,0,0,0,26,0,0,1,1,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0
225,NA,6,22,8,2,56,0,2,8,10,4,1,1,1,2,3,28,0,14,21,0,44,0,1,0,9,0,0,37,0,0,0,0,0,9,0,382,5,0,18,0,0,0,38,0,0,0,1,0,0,0,0,0,0,3,0,1,5,6,0,5,0,0
230,NA,5,11,13,6,29,0,0,19,10,19,0,1,2,4,5,36,0,13,22,0,75,0,2,0,7,0,0,12,0,0,1,0,0,7,0,323,3,0,38,0,0,2,52,1,0,0,4,0,0,0,0,0,1,8,0,0,4,4,0,9,0,1
235,NA,3,3,12,1,5,0,1,49,9,6,0,1,0,2,3,30,0,2,3,0,24,0,0,0,34,0,0,13,0,0,2,0,1,5,0,454,3,0,15,0,0,0,16,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0
240,NA,2,1,8,0,5,0,0,41,6,7,0,1,0,3,3,43,0,1,1,1,10,1,2,0,26,0,0,14,1,0,2,0,0,2,0,370,2,0,12,0,1,0,15,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0
245,NA,5,0,11,3,5,0,0,44,5,6,0,0,0,0,2,22,0,4,4,0,11,2,0,0,6,0,0,28,0,0,0,0,0,8,0,399,8,0,9,0,0,1,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
255,NA,4,4,10,11,24,0,1,34,5,14,0,0,0,2,1,23,0,6,1,1,27,0,3,0,8,1,0,16,0,0,1,0,0,6,0,322,5,0,15,0,0,0,20,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,1,0,0
260,NA,3,3,13,1,8,0,0,53,5,5,1,0,0,3,1,37,0,3,4,0,30,1,2,0,34,0,0,18,0,0,3,0,0,2,0,347,7,0,16,0,0,1,13,0,1,1,2,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0
266,NA,10,2,12,6,5,0,0,54,3,3,1,0,0,0,2,37,0,1,2,1,13,0,0,0,11,0,0,23,0,0,1,0,0,7,0,375,5,0,8,0,0,1,21,0,0,0,3,0,0,0,0,0,1,2,0,0,2,1,0,1,0,0
