"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Lamiaceae","Plantago","Poaceae","Polygonum.persicaria","Rumex","Thalictrum","Urtica"
172,6420,561,0,0,31,6,0,49,9,0,0,0,10,0,0,69,2,3,3,0,3,0,10,0,98,0,1,60,0,0,0,16,77,28,1,1,0,2,1,0,0,1,1,0,0,79,0,0,0,0
173,6471,511,0,0,38,4,0,47,2,1,0,1,8,0,0,61,6,12,2,0,2,0,14,0,86,0,0,61,0,0,0,12,41,31,0,1,0,2,1,0,0,2,0,0,0,76,0,0,0,0
174,6521,473,0,0,34,7,0,46,3,1,0,2,7,0,0,53,4,7,0,0,1,0,17,0,94,0,0,65,2,0,0,14,30,13,0,2,0,0,0,0,0,2,0,0,0,69,0,0,0,0
175,6571,542,0,0,35,7,0,34,0,0,0,1,4,0,0,35,11,11,1,0,1,0,4,0,141,3,0,73,2,0,1,10,46,22,0,6,0,2,1,0,0,3,0,0,0,88,0,0,0,0
176,6621,475,0,0,31,0,0,18,5,0,0,0,9,0,0,41,7,7,0,1,2,0,19,0,109,4,0,63,2,0,0,7,51,28,0,2,0,1,1,0,0,1,0,0,0,65,0,1,0,0
177,6670,497,0,1,24,1,0,23,2,0,0,0,5,0,0,57,5,17,0,0,2,0,7,0,127,4,0,63,2,0,0,9,43,20,0,1,0,1,2,0,0,1,0,0,0,80,0,0,0,0
178,6720,481,0,0,29,6,0,24,3,0,0,0,5,0,0,53,3,8,0,0,2,0,20,1,122,10,0,73,0,0,0,7,51,21,0,0,0,1,1,0,0,0,0,0,0,41,0,0,0,0
180,6817,461,0,0,23,4,0,19,4,0,0,0,4,0,0,40,0,16,0,0,1,0,17,0,153,2,0,51,0,0,0,6,35,31,1,2,0,0,0,0,0,0,0,0,0,52,0,0,0,0
190,7286,436,0,0,22,3,0,14,2,0,0,1,13,0,0,21,4,13,0,0,0,0,32,0,171,0,0,65,0,0,0,1,28,25,0,0,0,1,1,0,0,1,1,0,0,16,0,0,0,1
200,7717,497,3,0,11,0,0,14,1,0,0,0,0,0,0,10,4,8,0,0,0,0,16,0,241,0,0,61,0,0,0,7,40,18,0,3,0,3,1,0,0,0,3,0,0,53,0,0,0,0
210,8109,481,1,0,13,2,0,18,2,0,0,1,2,0,0,13,4,0,1,0,0,0,10,0,242,0,0,52,1,0,0,8,50,25,0,2,0,0,1,0,0,0,0,0,0,33,0,0,0,0
220,8467,547,1,0,7,1,0,15,10,0,0,0,3,0,0,8,1,10,1,0,0,0,10,0,271,0,0,68,1,0,0,7,52,14,0,1,0,0,0,0,0,1,1,0,0,62,0,2,0,0
230,8792,465,1,0,15,1,0,16,3,0,0,0,0,0,0,15,8,6,0,0,2,0,45,1,229,1,3,71,0,0,0,4,17,12,0,3,0,1,0,0,0,0,1,0,0,10,0,0,0,0
240,9087,447,0,0,12,1,0,13,1,1,0,0,0,0,0,10,10,8,0,0,1,0,18,5,240,0,0,62,0,0,0,8,17,16,0,2,0,1,0,0,0,0,3,0,0,18,0,0,0,0
250,9353,503,2,0,10,1,0,44,3,0,0,0,7,0,0,21,6,1,0,0,1,0,8,0,320,0,0,37,0,0,0,0,13,14,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0
260,9594,418,0,0,16,1,0,24,3,0,0,0,0,0,0,6,0,3,0,0,0,0,19,0,253,0,0,35,0,0,0,2,7,9,0,5,0,0,0,0,0,0,0,0,0,35,0,0,0,0
270,9812,439,5,0,7,1,0,24,1,0,0,2,0,0,0,4,7,6,0,0,1,0,24,2,257,0,0,51,5,0,0,1,8,9,0,0,0,2,0,0,0,1,2,0,0,19,0,0,0,0
280,10008,461,4,0,6,1,0,24,1,0,0,0,2,0,0,2,4,10,1,0,1,0,18,0,311,1,0,34,0,0,0,2,4,12,0,2,0,1,0,0,0,0,1,0,0,19,0,0,0,0
290,10186,490,5,0,9,0,0,42,2,0,0,1,0,0,0,4,3,10,1,0,1,0,21,2,291,0,0,49,0,0,0,0,5,11,0,4,0,0,0,0,0,1,2,0,0,26,0,0,0,0
300,10348,710,1,1,5,0,0,36,2,1,0,0,4,0,0,7,1,6,0,0,2,0,11,1,486,0,0,67,3,0,0,0,2,12,0,1,0,1,0,0,0,1,2,0,0,51,0,6,0,0
310,10495,450,4,0,4,3,0,24,1,0,0,0,2,0,0,1,2,11,0,0,1,0,18,2,275,1,0,54,3,0,0,0,6,12,0,1,0,1,0,0,0,0,2,0,1,21,0,0,0,0
320,10631,418,1,0,3,1,0,26,5,0,0,0,5,0,0,8,4,0,0,0,3,0,7,0,302,0,0,30,0,0,0,1,2,4,0,2,0,0,0,0,0,1,0,0,0,13,0,0,0,0
330,10758,444,2,0,5,6,0,30,1,0,0,1,2,0,0,0,3,8,1,0,0,0,15,2,278,0,1,51,0,0,0,0,7,10,0,1,0,4,0,0,0,0,1,0,0,15,0,0,0,0
340,10878,324,0,0,6,2,0,11,2,0,0,0,0,0,0,2,0,8,0,0,1,0,9,0,236,0,0,26,0,0,0,0,2,11,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0
350,10993,431,4,0,2,4,0,33,0,0,0,0,0,0,0,1,2,13,2,0,0,0,5,2,300,0,1,36,0,0,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0
360,11106,313,0,0,6,3,0,20,2,0,0,0,0,0,0,3,0,7,0,0,2,0,15,0,207,0,0,20,2,0,0,0,1,14,1,2,0,0,0,0,0,1,0,0,0,7,0,0,0,0
370,NA,305,0,0,5,2,0,30,0,0,0,0,0,0,0,1,0,7,1,0,7,0,4,14,196,0,0,13,0,0,0,0,4,14,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
380,NA,476,10,1,0,3,0,34,3,0,0,0,1,0,0,0,4,7,0,0,4,0,9,0,316,0,0,42,1,0,0,2,4,12,0,5,0,4,1,0,0,0,4,0,0,8,1,0,0,0
390,NA,430,9,0,1,8,0,46,0,0,0,3,3,0,0,0,4,9,0,0,1,1,7,5,258,0,0,32,2,0,0,0,3,24,0,0,0,3,1,0,0,1,1,0,0,7,0,0,0,1
400,NA,572,0,0,2,1,0,37,4,0,0,0,1,0,0,4,12,14,0,0,2,0,23,34,365,0,7,28,3,1,0,0,7,19,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0
410,NA,442,12,0,0,2,0,36,0,0,0,2,5,0,0,0,1,8,1,0,4,2,5,9,269,1,0,38,3,0,0,0,6,18,1,2,0,4,0,0,0,1,3,0,0,9,0,0,0,0
420,NA,451,5,0,5,2,0,43,1,0,0,0,8,0,0,1,2,5,0,0,3,0,6,20,294,0,0,18,1,0,0,1,2,23,0,1,0,1,0,0,0,0,0,0,0,6,0,3,0,0
430,NA,305,1,0,0,0,0,28,2,0,0,1,0,0,0,2,0,7,0,1,9,0,7,14,194,0,0,12,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0
440,NA,294,2,0,8,0,0,22,1,0,0,3,10,0,0,7,5,1,0,0,6,0,5,12,160,0,0,21,0,0,0,0,6,15,0,1,0,1,1,0,0,1,1,0,0,4,0,1,0,0
450,NA,349,3,0,11,1,0,11,2,0,0,0,0,0,0,7,0,10,0,0,16,0,10,76,134,4,0,17,0,0,0,0,6,17,0,0,0,0,7,0,0,0,0,0,0,16,1,0,0,0
460,NA,493,2,0,3,8,0,10,1,0,0,2,5,0,1,0,1,8,2,0,21,1,6,149,139,0,4,31,8,0,0,1,3,17,0,1,0,10,26,0,0,1,28,1,0,3,0,0,0,0
480,NA,384,3,0,1,4,2,27,3,1,0,0,0,0,0,2,9,19,0,0,8,0,17,132,87,0,18,18,4,0,0,0,3,8,0,3,0,4,0,0,0,1,9,0,0,1,0,0,0,0
490,NA,366,3,0,2,6,0,40,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,130,95,0,5,20,7,0,0,0,4,8,0,1,0,5,5,0,0,1,25,0,0,1,0,0,1,0
500,NA,296,11,0,2,0,0,23,2,0,0,0,8,0,0,0,0,2,0,0,5,0,15,103,85,0,0,7,2,0,0,0,0,5,0,0,0,0,2,0,0,0,17,0,0,7,0,0,0,0
505,NA,346,6,0,2,5,0,39,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,108,94,0,1,21,3,0,0,1,1,4,0,0,0,6,2,0,0,0,45,0,0,2,0,0,1,0
510,NA,333,1,0,1,4,0,60,1,0,0,0,0,0,0,0,0,2,1,0,3,0,2,74,75,0,0,19,8,0,1,0,4,2,0,1,0,8,3,0,0,0,59,0,0,1,0,0,3,0
