"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cyperaceae.undiff.","Vaccinium.type","Poaceae.undiff."
79,1104,277,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,238,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
83,1319,257,3,0,0,0,4,0,0,0,0,0,0,13,0,0,0,2,0,0,0,29,2,7,2,0,0,14,0,145,0,0,0,0,12,0,0,10,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
87,1592,344,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,56,0,1,0,5,0,58,0,135,0,0,0,0,15,3,0,57,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4
91,1925,288,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,2,0,32,0,5,0,0,0,29,1,166,0,0,1,0,19,0,0,12,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
95,2306,287,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,62,0,7,0,1,0,14,0,167,0,0,0,0,2,0,0,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7
99,2705,352,1,0,0,0,3,0,0,1,0,0,1,10,0,0,0,0,0,0,0,128,0,8,0,0,0,4,0,140,0,1,0,0,22,2,0,18,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4
103,3090,336,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,151,0,14,0,6,0,9,0,128,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4
107,3434,305,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,124,0,8,0,0,0,6,0,104,0,0,0,0,13,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,9
111,3711,306,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,75,0,2,0,3,0,31,0,135,0,0,0,0,11,5,1,16,4,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,4
115,3908,281,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,173,0,5,0,1,0,1,0,49,0,0,0,0,3,1,0,15,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8
119,4035,297,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,181,0,7,0,2,0,9,0,44,0,0,0,0,13,0,0,12,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4
123,4102,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,1,0,0,0,3,0,40,0,0,0,0,23,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2
127,4129,304,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,99,0,8,0,5,0,47,0,67,0,0,0,0,10,0,4,16,8,0,2,0,0,3,0,3,0,0,5,0,0,0,0,0,1,0,0,0,1,12,0,4
131,4135,126,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,53,0,6,0,0,1,7,0,17,0,0,1,0,9,0,0,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5
135,4138,280,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,8,0,6,0,15,0,73,0,0,0,0,3,5,1,14,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,9
141,4182,268,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,173,0,4,0,2,0,4,0,33,0,0,0,0,3,5,0,15,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16
145,4254,250,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,1,0,125,0,8,0,0,1,15,0,38,0,0,0,0,13,1,0,17,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16
149,4351,302,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,1,0,190,0,1,0,0,0,2,0,36,0,0,0,0,13,2,0,22,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,7,0,12
153,4461,299,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208,0,6,0,0,0,1,0,35,0,0,0,0,8,0,1,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,12,0,1
157,4570,290,0,0,0,0,11,1,0,0,0,0,0,8,0,0,0,1,0,0,0,66,0,4,2,1,0,77,0,70,0,0,0,0,23,1,1,9,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,2
162,4685,293,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,195,0,9,0,0,0,0,0,52,0,0,0,0,3,0,0,12,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,3
165,4739,196,0,0,1,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0,8,0,0,0,16,2,23,0,0,0,0,19,1,1,17,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,13
168,4782,266,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,5,0,1,0,14,0,46,0,0,0,0,13,3,0,13,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0,13
171,4817,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,130,0,6,0,1,0,0,0,72,0,0,0,0,8,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13
175,4856,300,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,172,0,7,0,0,0,0,0,67,0,0,0,0,7,2,0,20,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,7
177,4873,395,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,170,0,16,0,0,0,1,0,150,0,0,0,0,4,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,13
181,NA,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,3,0,2,0,9,0,187,0,0,0,1,4,4,2,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1
183,NA,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,2,0,1,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,NA,154,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,76,0,4,0,0,0,0,0,30,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
193,NA,273,1,0,0,0,2,0,0,0,0,1,0,6,0,0,1,4,0,0,0,106,0,5,0,0,0,0,0,91,0,0,0,0,11,0,1,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,5,2,0
