"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Rubus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Iva.annua","Poaceae","Acer.saccharum","Pinus.strobus","Fraxinus.nigra","Cornus","Iva.xanthifolia","Corylus","Rhamnus","Ericaceae.undiff.","Populus.tremuloides","Abies","Larix","Tilia","Juniperus.Thuja","Acer.spicatum","Juglans.cinerea","Fraxinus.pennsylvanica.F..americana.type","Sarcobatus.vermiculatus","Carya","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Prunus.Sorbus","Populus.balsamifera","Galium","Gaultheria","Potentilla","Urtica","Rosaceae.herbs.undiff.","Xanthium","Platanus","Humulus.Cannabis.sativa","Juglans.undiff.","Asteraceae.subf..Cichorioideae","Myrica"
140,7139,0,0.166666666666667,0.00925925925925926,0.037037037037037,0.00925925925925926,0.00925925925925926,0,0.0185185185185185,0.240740740740741,0,0.0185185185185185,0,0,0,0.00925925925925926,0.00925925925925926,0.00925925925925926,0.0277777777777778,0,0,0,0.333333333333333,0.00925925925925926,0.00925925925925926,0,0,0.00925925925925926,0.00925925925925926,0,0.0462962962962963,0.00925925925925926,0,0,0,0,0,0,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7675,0.045045045045045,0.063063063063063,0.045045045045045,0.009009009009009,0,0.018018018018018,0,0.0540540540540541,0.351351351351351,0,0.0810810810810811,0,0.018018018018018,0,0.009009009009009,0,0.018018018018018,0.063063063063063,0,0,0.018018018018018,0.108108108108108,0,0,0,0.009009009009009,0,0,0,0,0,0.018018018018018,0.027027027027027,0,0,0.009009009009009,0,0.009009009009009,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8211,0.0218978102189781,0.072992700729927,0,0.0437956204379562,0,0.0145985401459854,0,0.0510948905109489,0.401459854014599,0,0.0218978102189781,0,0,0,0,0.0510948905109489,0.0291970802919708,0,0,0,0.0145985401459854,0.211678832116788,0.0291970802919708,0.0072992700729927,0,0.0072992700729927,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0.0072992700729927,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0
200,8681,0.0150375939849624,0.12781954887218,0.0225563909774436,0.0150375939849624,0.0075187969924812,0.0075187969924812,0,0.180451127819549,0.330827067669173,0,0.0526315789473684,0,0,0,0.0075187969924812,0.0225563909774436,0.0225563909774436,0.0225563909774436,0,0,0.0075187969924812,0.0451127819548872,0.0150375939849624,0,0.0075187969924812,0,0,0.0225563909774436,0.0075187969924812,0.0075187969924812,0,0,0.0225563909774436,0,0,0,0,0.0075187969924812,0,0,0,0.0225563909774436,0,0,0,0,0,0,0,0,0,0,0
220,9076,0.0280373831775701,0.130841121495327,0,0.00934579439252336,0,0.00934579439252336,0.0373831775700935,0.177570093457944,0.261682242990654,0,0.0654205607476635,0,0.00934579439252336,0,0.0280373831775701,0,0.0280373831775701,0.00934579439252336,0.00934579439252336,0.0186915887850467,0.0280373831775701,0.00934579439252336,0,0,0,0.0186915887850467,0,0.0186915887850467,0.00934579439252336,0.0467289719626168,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0.0186915887850467,0.00934579439252336,0.00934579439252336,0,0,0,0,0,0,0,0
240,9471,0.0192307692307692,0.288461538461538,0.00961538461538462,0.00961538461538462,0,0.0288461538461538,0.0384615384615385,0.0865384615384615,0.125,0,0.0576923076923077,0,0,0,0,0.0673076923076923,0.0192307692307692,0.00961538461538462,0,0,0,0.0673076923076923,0.0480769230769231,0,0,0,0.00961538461538462,0.00961538461538462,0,0.0384615384615385,0.00961538461538462,0,0.00961538461538462,0,0,0.00961538461538462,0,0.0192307692307692,0,0,0,0,0,0,0,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0
260,9866,0,0.233082706766917,0,0.037593984962406,0,0.0300751879699248,0.037593984962406,0.180451127819549,0.075187969924812,0,0.0451127819548872,0,0,0,0,0.172932330827068,0.0150375939849624,0.0075187969924812,0,0,0,0.0075187969924812,0.037593984962406,0,0,0,0,0.0150375939849624,0.0225563909774436,0.0225563909774436,0.0225563909774436,0,0.0150375939849624,0,0.0075187969924812,0,0,0.0075187969924812,0,0,0,0,0,0,0,0,0,0.0075187969924812,0,0,0,0,0
270,10064,0.01,0.04,0.01,0.03,0,0.06,0,0.28,0.13,0,0.04,0,0.02,0,0.01,0.08,0,0.02,0,0,0.04,0,0.09,0,0,0.01,0,0,0.01,0.02,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0.01,0,0,0
290,10459,0,0.278688524590164,0.00819672131147541,0.00819672131147541,0,0.0327868852459016,0.0737704918032787,0.254098360655738,0.0901639344262295,0,0.0245901639344262,0,0.00819672131147541,0,0,0.0819672131147541,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0.0327868852459016,0,0.040983606557377,0.00819672131147541,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0.00819672131147541,0,0
300,10656,0.0186915887850467,0.102803738317757,0.00934579439252336,0,0,0.00934579439252336,0.0280373831775701,0.392523364485981,0.130841121495327,0,0.0373831775700935,0,0.0186915887850467,0,0,0.0841121495327103,0.0373831775700935,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0.00934579439252336,0.0467289719626168,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0.0186915887850467,0,0,0.00934579439252336,0,0.00934579439252336,0,0,0.00934579439252336,0.00934579439252336
320,NA,0.0208333333333333,0.0729166666666667,0,0.0416666666666667,0,0.0104166666666667,0.625,0,0.0104166666666667,0,0.0208333333333333,0,0.0208333333333333,0,0,0.03125,0.0520833333333333,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.0208333333333333,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
