"sample.depths","sample.ages","upland.sum","Picea.undiff.","Picea.mariana","Picea.glauca","Pinus.undiff.","Pinus.strobus","Pinus.banksiana.P..divaricata","Abies.undiff.","Tsuga.undiff.","Larix.undiff.","Betula","Populus","Quercus","Ulmus","Fagus.undiff.","Carya","Acer.undiff.","Acer.saccharum","Acer.rubrum","Acer.pensylvanicum","Acer.spicatum","Acer.nigrum","Fraxinus.undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica","Tilia","Ostrya.Carpinus","Juglans","Juniperus","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana.type","Salix","Corylus","Shepherdia.canadensis","Myrica.undiff.","Myrica.gale","Viburnum","Cornus","Castanea","Ericaceae","Taxus.undiff.","Poaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Chenopodiineae","Rosaceae.undiff.","Polygonaceae.undiff.","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Potentilla","Saxifragaceae","Impatiens","Epilobium","Androsace","Rumex","Urticaceae","Campanulaceae","Fabaceae","Dryas","Apiaceae","Rubiaceae","Cyperaceae","Oxyria.digyna","Ilex.Nemopanthus","Abies.Balsamea","Larix.Laricina","Tsuga.canadensis","Fagus.Grandifolia","Taxus.canadensis","Plantaginaceae","Cerealia"
145,2867,521,20,0,0,35,73,3,7,6,4,323,0,5,1,16,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,13,0,1,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
165,3269,501,9,0,0,22,104,2,4,0,1,314,0,15,2,2,0,0,3,1,1,0,0,0,4,1,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3671,507,16,0,0,29,126,1,10,2,0,285,0,8,1,1,0,0,2,2,1,0,0,0,4,1,0,1,0,0,0,3,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
205,4072,519,10,0,0,27,121,0,6,1,1,309,1,10,2,2,0,0,5,1,0,0,0,0,5,1,0,0,0,0,0,1,8,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,4474,505,11,0,0,43,92,2,8,1,1,274,0,21,4,0,0,0,1,1,0,0,0,0,3,1,0,3,0,0,0,0,25,0,6,0,3,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,4875,504,10,0,0,36,110,0,7,1,0,273,1,23,3,2,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,4,15,0,2,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
265,5277,502,4,0,0,13,94,2,4,1,1,338,0,20,1,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,11,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,5678,514,14,0,0,22,123,0,20,0,0,275,0,16,9,1,0,0,3,1,1,1,1,0,5,0,0,0,0,0,0,3,8,0,2,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,6080,531,11,0,0,18,84,0,5,0,1,341,0,41,5,1,0,0,4,1,1,0,0,0,1,0,0,1,0,0,0,1,6,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
340,6783,916,4,1,0,113,124,15,9,0,0,502,0,52,16,0,0,0,13,1,2,0,0,0,11,1,0,0,0,0,0,5,16,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,14,3,2,0,0
345,6874,503,10,0,0,25,153,0,10,9,3,234,0,27,6,1,0,0,5,2,2,1,0,0,2,0,0,0,0,0,0,1,8,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,7237,505,11,0,0,35,116,0,6,6,1,256,0,14,5,1,0,0,5,2,0,1,0,0,11,0,0,0,0,0,0,8,10,2,8,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,7601,524,10,0,0,56,129,3,17,4,2,252,0,6,9,0,0,0,2,3,0,1,0,0,11,2,0,2,0,0,0,3,4,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
405,7965,504,25,0,0,54,96,4,7,1,4,267,4,5,6,1,0,0,2,2,0,2,0,0,6,0,0,0,0,0,0,6,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
425,8328,529,25,0,0,47,109,4,15,4,1,274,3,4,9,0,0,0,2,2,0,2,0,0,9,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
445,8692,513,13,0,0,32,78,8,11,3,0,296,8,8,2,3,0,0,1,3,0,2,0,0,2,3,0,0,0,0,0,9,3,1,7,0,0,0,0,0,0,0,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
465,9055,501,37,0,0,33,63,17,42,3,0,248,5,4,1,0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,16,3,2,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
475,9237,504,47,0,0,39,47,5,41,0,0,243,14,5,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,31,1,1,9,0,0,0,0,0,0,0,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
485,9419,505,40,0,0,23,34,7,22,1,0,268,15,5,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,53,0,7,11,0,1,0,0,0,0,0,3,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
495,9601,500,40,0,0,24,17,8,35,0,0,285,10,4,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,53,0,1,6,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
505,9748,422,25,0,0,6,17,15,18,0,0,240,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,77,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
510,9804,363,24,0,0,7,1,65,0,0,0,205,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
515,9860,365,35,0,0,9,0,25,18,2,1,180,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,73,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,9916,492,18,0,0,0,0,29,4,0,0,304,2,4,0,1,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,106,4,3,2,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
525,9972,430,12,0,0,8,18,14,7,0,0,218,31,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,102,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
530,10028,525,24,0,0,0,1,59,24,0,0,209,2,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,179,1,4,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
535,10084,557,33,0,0,8,11,11,36,0,1,378,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
545,10197,524,35,0,0,6,21,5,55,0,2,295,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,74,4,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
555,10309,529,25,0,0,3,15,9,42,0,3,277,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,128,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
565,10421,615,41,0,0,8,15,11,74,0,2,327,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,123,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
575,10533,645,11,0,0,3,13,7,60,0,0,363,11,10,1,0,0,1,0,0,0,0,0,0,4,0,0,7,0,1,0,145,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
585,10645,507,57,0,0,3,20,17,70,0,0,162,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
590,10701,517,39,0,0,0,0,20,18,1,0,196,23,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,10758,764,120,0,0,2,10,14,19,1,1,302,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,245,1,2,1,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
605,10870,620,127,0,0,7,12,19,3,2,0,172,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,210,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
610,10926,451,89,0,0,2,2,17,1,0,0,52,21,1,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,226,8,1,1,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
615,10982,416,201,0,0,8,8,7,6,1,0,83,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,54,1,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
625,11094,368,209,0,0,3,4,9,3,1,0,50,30,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,10,0,5,2,0,2,0,0,0,0,0,1,3,3,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
630,11150,609,129,0,0,0,4,17,0,1,0,107,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,7,1,1,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
635,11206,280,17,0,0,2,0,7,2,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,6,0,21,0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
640,11262,415,18,0,0,5,5,20,2,1,1,224,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,11,42,0,7,0,0,0,1,0,0,1,4,2,0,0,6,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,21,0,0,0,0,0,0,0,0,0
645,11318,350,14,0,0,5,4,36,0,0,0,150,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,8,0,56,0,0,2,0,0,0,0,1,0,8,3,0,0,7,0,0,0,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
650,11375,415,0,6,13,4,4,27,1,2,0,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,1,90,0,0,0,1,0,0,0,1,0,20,7,0,1,15,0,1,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0
655,NA,454,20,0,0,4,13,49,0,0,1,102,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,0,60,0,0,0,0,0,0,0,0,0,17,3,0,0,9,0,0,0,0,6,2,0,0,0,0,0,4,5,0,4,2,0,0,127,0,0,0,0,0,0,0,0,0
660,NA,482,19,0,0,6,4,30,0,4,0,48,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,17,3,11,0,0,1,0,0,0,0,1,0,55,2,0,0,19,1,0,0,3,2,8,0,0,0,0,0,9,4,0,2,1,0,0,224,0,0,0,0,0,0,0,0,0
670,NA,375,30,0,0,15,1,50,1,0,0,39,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,31,6,9,1,0,1,0,0,0,0,0,0,23,4,0,1,23,1,0,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,0,77,43,0,0,0,0,0,0,0,0
685,NA,270,19,0,0,13,0,33,0,0,1,27,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,20,7,0,0,0,0,0,0,0,0,0,7,8,1,0,21,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27,0,0,0,0,0,0,0,0
700,NA,323,3,0,18,5,0,71,0,0,0,11,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,15,2,7,1,0,0,0,0,0,0,0,0,38,6,0,0,20,0,1,0,8,2,0,0,1,0,0,0,0,0,1,1,2,0,0,58,42,0,0,0,0,0,0,0,0
712,NA,482,55,0,0,1,1,79,2,1,0,64,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,16,0,0,1,0,0,0,0,0,0,63,7,0,1,13,0,4,0,5,1,1,0,0,0,0,0,0,0,0,2,2,0,0,128,22,0,0,0,0,0,0,0,0
720,NA,368,17,0,0,2,0,63,2,0,1,51,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,11,1,0,1,0,0,0,0,0,0,32,17,0,3,22,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,4,1,0,120,1,0,0,0,0,0,0,0,0
735,NA,94,17,0,0,13,0,13,1,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
