"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aralia.hispida","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae","Salix","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
320,11245,1,0,0,0,0,12,340,0,0,1,0,1,0,72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,47,15,5,2,3,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
330,11692,2,0,0,0,0,11,147,1,0,0,2,1,0,39,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,2,98,45,10,7,28,0,1,1,1,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,2,9,0,0
335,11915,1,0,0,0,0,7,45,0,0,0,3,5,0,50,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,12,2,2,0,0,0,0,0,9,168,36,11,15,16,1,1,0,2,0,3,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0
340,12138,1,0,0,1,2,1,88,0,1,0,8,13,1,173,0,0,0,0,0,0,20,0,0,3,0,0,0,2,0,0,0,6,0,3,0,0,0,0,0,0,72,29,48,12,11,0,20,0,11,0,4,0,0,2,13,0,2,0,0,7,0,1,0,2,1,6,0,3
355,NA,0,0,0,0,0,0,11,0,1,0,4,18,0,50,0,2,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,8,0,3,0,1,0,0,0,1,12,5,30,7,17,0,5,2,1,0,3,0,0,2,45,1,0,1,0,0,0,0,0,2,0,6,1,0
360,NA,0,0,0,0,0,1,2,0,1,0,3,8,1,50,0,5,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,15,6,0,1,0,0,0,24,4,57,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,2,0
370,NA,0,0,0,0,0,21,51,2,1,0,6,2,0,67,0,0,0,10,0,1,91,0,0,0,1,3,1,1,3,0,0,10,1,2,3,0,0,0,0,0,0,5,8,0,42,0,18,0,6,1,4,0,0,0,10,0,0,1,0,4,0,0,0,9,1,24,6,0
375,NA,0,0,0,0,0,6,7,1,0,0,1,0,1,24,1,0,0,0,0,0,29,0,0,0,1,1,0,0,3,0,0,1,0,3,2,1,0,0,0,0,2,5,14,2,21,0,4,0,2,0,0,0,0,0,3,0,0,12,0,0,0,0,0,5,0,6,0,0
380,NA,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,7,88,0,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0
385,NA,0,0,0,0,0,3,15,0,0,0,3,1,0,13,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,3,10,0,9,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,2,0
390,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,NA,6,0,0,0,0,0,14,0,0,0,0,1,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,15,15,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
407,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0
420,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,NA,0,0,0,0,0,0,135,0,0,0,1,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,25,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
