"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
175,3440,329,35,142,1,0,0,94,0,0,1,1,16,9,16,0,0,0,2,0,5,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
180,3619,440,29,152,6,0,0,133,1,0,1,2,50,21,22,0,1,0,5,0,8,0,0,0,3,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0
185,3798,593,22,226,5,0,0,156,0,0,0,1,95,25,18,7,2,0,3,1,13,0,0,0,3,0,3,1,0,0,0,2,0,7,2,0,0,1,0,0
190,3977,336,16,123,1,0,0,124,0,0,0,0,42,12,8,0,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4175,323,25,90,0,0,0,104,1,0,0,0,45,24,5,1,0,0,6,0,12,0,0,0,3,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0
200,4543,356,44,97,1,0,0,150,1,0,2,1,13,7,24,0,0,0,4,0,2,0,1,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
205,4911,316,25,133,1,0,0,102,1,0,0,0,13,11,8,0,1,0,1,0,7,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
210,5279,308,9,171,0,1,0,88,0,1,0,2,5,12,4,0,1,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
220,6015,374,12,238,2,0,0,79,0,0,0,0,8,18,1,0,1,0,2,6,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
230,6706,313,6,231,1,0,0,40,0,0,0,0,3,10,13,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,7145,436,23,291,1,0,0,83,1,0,0,0,3,12,3,0,2,0,2,1,6,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,2,0
250,7583,404,17,260,0,0,0,96,0,0,0,0,4,12,6,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
260,8022,359,16,195,10,0,0,105,2,0,0,0,9,11,0,1,0,0,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
270,8461,408,23,247,1,0,0,57,0,0,0,3,13,33,11,0,0,0,0,4,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,8900,551,39,296,5,0,0,73,1,0,5,1,18,49,16,2,2,0,9,15,15,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,9339,392,4,250,1,0,0,77,0,0,2,3,5,16,10,0,2,0,1,4,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
295,9558,337,3,143,2,0,0,113,0,0,3,4,4,35,6,0,0,0,2,7,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
297.5,NA,439,5,198,2,0,0,42,0,0,5,3,4,124,7,0,4,0,8,26,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,NA,319,1,148,7,0,0,5,0,0,2,6,5,86,20,0,7,0,7,0,22,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
302,NA,100,0,6,24,0,1,33,0,0,0,1,0,2,20,0,6,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
304.5,NA,122,0,6,19,0,1,27,0,1,0,3,0,2,26,0,3,0,9,0,3,0,0,2,2,1,0,0,14,0,0,0,0,0,3,0,0,0,0,0
308,NA,100,0,37,8,0,0,11,0,0,0,1,0,12,4,0,14,0,5,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
