"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Onagraceae","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Salix.undiff.","Fagus","Rosaceae.undiff.","Acer.saccharum","Tsuga.canadensis","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Asteraceae.subf..Cichorioideae","Viburnum","Myrica.gale","Ranunculaceae","Carya.ovata","Potentilla.palustris.type","Picea.glauca.type","cf..Oxyria.digyna","Brassicaceae","Populus.balsamifera.type","Fraxinus.nigra.type","Populus.tremuloides.type","Juglans.cinerea","Salix.herbacea.type","Amaranthaceae","Ilex.Nemopanthus","Caryophyllaceae","Fabaceae","Taxus","Fraxinus.americana.type"
92,2906,0.0018348623853211,0.343119266055046,0,0.0055045871559633,0.278899082568807,0.0220183486238532,0.0055045871559633,0,0,0.227522935779817,0.0036697247706422,0,0.0018348623853211,0,0,0.0128440366972477,0,0,0.0091743119266055,0,0.0844036697247706,0.0018348623853211,0,0,0,0,0,0,0,0,0.0018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3190,0,0.350152905198777,0,0.00458715596330275,0.211009174311927,0.0244648318042813,0.00305810397553517,0.00305810397553517,0,0.223241590214067,0.00305810397553517,0,0.00152905198776758,0,0.00305810397553517,0.00458715596330275,0,0.00152905198776758,0.00611620795107034,0,0.157492354740061,0,0,0,0,0,0,0,0,0,0,0.00152905198776758,0,0,0,0,0,0,0.00152905198776758,0,0,0,0,0,0,0,0,0
107,3519,0,0.453821656050955,0,0.00159235668789809,0.230891719745223,0.00796178343949045,0.00636942675159236,0,0,0.187898089171975,0.00477707006369427,0,0.00159235668789809,0,0.00159235668789809,0.0111464968152866,0,0,0.0159235668789809,0,0.071656050955414,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159235668789809,0,0,0,0,0,0,0,0,0
115,3895,0,0.448220064724919,0,0.00161812297734628,0.171521035598705,0.0080906148867314,0.00485436893203883,0,0.00161812297734628,0.271844660194175,0.00161812297734628,0.00323624595469256,0.00161812297734628,0,0,0,0,0.00161812297734628,0.00161812297734628,0,0.0744336569579288,0,0,0.00161812297734628,0,0,0.00161812297734628,0,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4365,0.00149253731343284,0.385074626865672,0.00149253731343284,0.00149253731343284,0.197014925373134,0.00447761194029851,0.00298507462686567,0.00149253731343284,0,0.256716417910448,0.00149253731343284,0.00149253731343284,0,0,0.00149253731343284,0.00298507462686567,0,0,0.00149253731343284,0,0.126865671641791,0.00447761194029851,0,0,0,0,0,0,0,0,0.00597014925373134,0,0,0,0,0,0,0,0,0.00149253731343284,0,0,0,0,0,0,0,0
135,4835,0.00495049504950495,0.478960396039604,0.00123762376237624,0.00247524752475248,0.25,0.0111386138613861,0.00742574257425743,0.00495049504950495,0,0.15470297029703,0,0.00123762376237624,0.00123762376237624,0,0.00123762376237624,0.00371287128712871,0.00123762376237624,0.00247524752475248,0.00866336633663366,0.00247524752475248,0.0544554455445545,0.00371287128712871,0,0,0,0,0,0.00123762376237624,0,0,0.00123762376237624,0,0,0,0.00123762376237624,0,0,0,0,0,0,0,0,0,0,0,0,0
142,5165,0.0031413612565445,0.468062827225131,0,0,0.363350785340314,0.0157068062827225,0.012565445026178,0.00523560209424084,0,0.0890052356020942,0,0,0.00209424083769634,0,0,0.0104712041884817,0.00104712041884817,0,0.00209424083769634,0.00104712041884817,0.0209424083769634,0.00418848167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104712041884817,0,0,0,0,0,0,0
150,5541,0,0.463892288861689,0,0.00122399020807834,0.427172582619339,0.0195838433292534,0.018359853121175,0.00489596083231334,0,0.0171358629130967,0,0,0.00611995104039168,0,0.00122399020807834,0.00979192166462668,0,0,0.00856793145654835,0.00122399020807834,0.00734394124847001,0.00734394124847001,0,0,0,0,0,0,0,0,0.00367197062423501,0,0,0,0,0,0,0,0.00122399020807834,0,0,0.00122399020807834,0,0,0,0,0,0
155,5776,0,0.536527886881383,0,0.002356637863315,0.347211311861744,0.0219952867242734,0.011783189316575,0.00157109190887667,0,0.0314218381775334,0.00314218381775334,0.00157109190887667,0.00157109190887667,0,0,0.0109976433621367,0,0,0.0102120974076984,0.000785545954438335,0.00864100549882168,0.00314218381775334,0,0,0,0,0,0,0,0,0.00471327572663001,0,0,0,0,0,0,0,0,0,0,0,0.00157109190887667,0.000785545954438335,0,0,0,0
160,6011,0.00233644859813084,0.542056074766355,0,0.00350467289719626,0.338785046728972,0.014018691588785,0.00467289719626168,0.00116822429906542,0,0.0572429906542056,0.00350467289719626,0.00116822429906542,0.00116822429906542,0,0.00233644859813084,0.00934579439252336,0,0,0.0058411214953271,0.00233644859813084,0.00350467289719626,0.00350467289719626,0,0,0,0,0,0.00116822429906542,0,0,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,NA,0.00598290598290598,0.175213675213675,0.00170940170940171,0.0094017094017094,0.646153846153846,0.0675213675213675,0.00598290598290598,0.000854700854700855,0,0.0222222222222222,0.00256410256410256,0,0.000854700854700855,0,0.00170940170940171,0.00512820512820513,0,0,0.0153846153846154,0,0.00769230769230769,0.0188034188034188,0,0,0.000854700854700855,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0.000854700854700855,0,0.00683760683760684,0,0,0.000854700854700855,0,0.000854700854700855,0,0,0
170,NA,0.005,0.12,0.005,0.015,0.285,0.1475,0.0075,0.0025,0,0.1075,0,0,0,0,0.0075,0.16,0,0,0.0025,0,0.01,0.1025,0.0025,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.0025,0,0,0,0.005,0,0.0025,0.005,0,0
175,NA,0,0.21219512195122,0,0.0560975609756098,0.119512195121951,0.0414634146341463,0,0,0.0024390243902439,0.153658536585366,0.0317073170731707,0,0.0317073170731707,0,0.00731707317073171,0.0439024390243902,0,0,0.214634146341463,0.00731707317073171,0.0365853658536585,0.0121951219512195,0,0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0.0024390243902439,0.0024390243902439,0.0024390243902439,0.0048780487804878,0,0,0.00731707317073171,0,0,0,0.0024390243902439,0.0024390243902439
