"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Aster","Asteraceae.undiff.","Avicennia","Betula","Bumelia","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","cf..Acanthaceae","cf..Coccoloba","Cladium","Conocarpus","Cornus","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Cyrilla.racemiflora","Decodon.verticillatus","Ephedra","Ericaceae","Euphorbiaceae","Fabaceae.undiff.","Fagus","Fraxinus","Hippocratea","Ilex","Juglans","Liquidambar","Melaleuca","Myrica","Nymphaea","Ostrya.Carpinus","Pinus","Poaceae","Polygonaceae","Quercus","Rhizophora","Sagittaria","Salix","Schinus","Sophora","Trema","Typha","Unknown..monolete.","Unknown..tetracolporate.","Unknown..tetrad..triporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
21,101,2,0,0,4,2,6,0,0,4,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,54,0,0,60,0,0,4,6,0,0,0,0,0,0,2,0,0,0,4,4,4,6,0
23,152,4,2,0,26,0,0,0,4,0,0,0,0,0,0,0,8,12,0,0,6,0,2,0,2,6,18,0,0,2,2,0,0,0,76,0,0,132,2,0,6,6,0,0,0,0,2,0,0,0,0,0,4,4,0,2,0
25,202,6,8,0,12,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,6,0,0,0,18,0,0,2,0,0,0,0,44,0,0,104,0,0,10,16,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0
27,253,0,2,2,14,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,26,0,2,110,0,0,4,2,0,0,0,0,0,0,2,0,0,2,4,2,2,12,2
29,304,0,0,0,10,6,2,0,6,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,64,0,0,96,0,0,12,10,0,0,0,2,0,0,0,0,0,0,0,6,2,6,0
33,380,0,10,0,0,0,0,0,2,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,166,10,0,2,12,0,0,0,0,0,2,0,2,0,2,6,0,0,6,0
35,404,4,6,0,0,2,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,2,0,0,2,0,0,58,0,0,528,0,0,10,6,0,0,0,0,0,4,0,0,0,0,0,6,6,8,0
37,429,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,6,0,0,0,0,0,0,0,62,0,0,534,0,0,8,0,0,0,0,4,4,0,0,0,0,0,4,4,0,0,0
39,454,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,608,0,0,6,0,0,0,0,4,0,0,2,0,0,0,0,4,0,0,0
41,479,2,6,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,22,0,0,496,0,0,8,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0
43,503,0,16,0,2,0,0,0,0,4,2,0,0,0,0,0,12,2,0,0,0,0,2,0,0,0,14,0,0,0,2,0,2,0,48,0,0,522,4,0,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0
45,528,2,12,0,2,0,0,0,0,2,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,10,0,0,0,4,0,0,0,42,0,0,668,4,2,10,8,0,0,0,4,2,2,0,0,0,0,2,0,0,0,0
47,553,0,10,0,0,2,0,0,2,2,2,0,0,0,0,0,4,0,0,4,4,2,4,0,0,0,6,0,0,0,4,0,0,0,46,0,0,606,0,0,10,0,0,0,0,4,0,0,4,0,0,0,4,2,0,0,0
49,578,2,8,0,0,0,0,0,0,4,0,0,0,0,0,0,24,2,0,0,6,0,0,0,0,2,8,0,0,0,2,0,2,0,72,0,0,594,10,0,12,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
51,603,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,16,0,2,322,2,0,6,2,0,0,0,0,0,0,6,0,0,0,0,8,2,2,0
53,627,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,2,6,0,4,0,0,0,6,0,0,0,2,0,0,0,16,0,0,88,4,0,4,6,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0
55,652,0,14,0,0,4,0,0,0,2,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,120,6,0,14,6,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0
61,811,0,8,6,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,48,0,2,0,0,0,4,0,0,0,0,0,8,0,14,0,0,376,2,2,20,0,0,0,0,0,0,4,10,0,0,0,2,4,0,0,0
63,920,0,54,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,60,4,0,838,10,0,18,0,0,0,0,0,0,22,0,0,0,2,6,0,4,2,0
65,1029,0,26,4,0,2,0,0,0,0,2,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,50,0,0,492,2,2,16,2,0,2,0,2,0,4,0,0,0,0,2,0,2,0,0
67,1138,2,10,0,4,0,0,0,0,0,0,0,0,4,0,0,218,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,26,0,0,326,4,0,8,0,4,0,0,0,0,2,4,0,0,0,2,0,0,0,0
69,1247,2,22,0,0,2,0,0,0,4,0,0,0,0,0,0,160,0,0,0,0,2,0,0,2,0,8,0,0,0,4,0,2,0,74,0,0,352,0,0,8,0,0,0,0,0,2,6,8,0,0,0,6,4,0,0,0
71,1356,2,12,0,0,0,0,0,0,0,2,0,0,0,0,0,116,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,2,0,92,0,0,432,0,0,14,0,0,0,0,0,0,0,6,0,0,4,0,4,2,0,0
73,1465,0,6,0,4,0,0,0,0,0,2,0,0,0,0,0,26,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,80,0,0,492,0,0,8,0,2,0,0,0,0,2,0,0,0,0,6,0,0,2,0
75,1574,8,50,0,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,12,6,0,0,0,22,0,2,0,296,0,0,1196,6,0,28,4,0,0,0,0,0,4,0,0,0,4,10,0,0,12,0
77,1683,4,18,0,2,0,0,0,0,8,0,0,0,0,0,0,52,0,0,2,2,0,2,0,0,0,16,0,0,0,6,0,2,0,120,0,2,518,0,0,26,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
79,1792,0,18,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,0,0,2,0,0,0,0,10,0,0,0,98,0,0,372,0,0,16,2,2,2,0,0,0,6,4,2,0,0,0,6,8,2,0
81,1901,0,8,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,318,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,12,0,2,0
