"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Andromeda.glaucophylla","Andromeda.polifolia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Huperzia.lucidula","cf..Mnium","Chamaedaphne.calyculata","Corylus.cornuta","Cupressaceae.cf..Thuja.occidentalis","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Diphasiastrum.tristachyum.type","Drosera.rotundifolia.type","Elymus.type","Equisetum","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Ledum.Chamaedaphne.calyculata","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Matteuccia","Menyanthes.trifoliata","Monotropa","Morus.rubra.type","Myrica.gale","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygalaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus.pensylvanica","Prunus.serotina","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhododendron.canadense","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix","Sambucus","Sarracenia.purpurea","Selaginella.rupestris","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Vaccinium.angustifolium.type","Vaccinium.oxycoccos","Vaccinium.uliginosum.type","Vaccinium.undiff.","Viburnum.nudum"
175,5837,0,0,0,5,12,0,2,4,1,2,0,0,0,0,0,206,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,154,0,0,9,1,10,0,0,3,11,0,3,0,0,0,0,30,1,0,0,0,0,8,0,0,0,0,0,117,3,35,7,24,55,216,148,0,0,11,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,4,226,0,0,11,0,103,356,6,0,0,0,0,0
180,5933,0,0,0,9,30,0,15,2,0,0,0,0,0,2,0,130,1,0,0,0,0,0,0,1,0,1,3,0,7,0,1,0,0,0,136,0,0,0,0,8,0,0,5,8,0,2,0,0,0,0,62,0,0,0,0,0,5,0,0,0,0,3,232,2,28,2,48,33,282,135,0,1,5,0,0,0,0,0,1,0,36,0,0,2,0,0,0,0,14,1,0,0,0,0,1,0,1,259,0,0,9,0,69,461,1,0,0,0,0,0
190,6110,3,0,1,6,15,0,105,3,1,1,0,0,1,3,0,128,0,0,0,0,2,1,1,0,0,0,19,0,8,1,0,0,0,0,15,0,0,0,1,26,3,0,29,10,0,2,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,37,151,2,107,6,14,5,146,92,0,3,0,0,0,1,0,1,0,0,39,0,0,0,0,1,0,0,13,5,0,0,0,4,5,1,2,113,7,0,14,1,24,384,8,0,0,1,0,2
200,6270,0,2,1,43,17,2,15,0,1,0,0,0,1,2,0,87,0,1,1,2,1,2,0,2,0,0,18,0,12,0,0,1,0,0,0,1,1,1,0,19,0,0,0,11,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,9,7,4,27,7,3,4,174,87,0,0,5,0,0,8,29,0,0,0,39,0,0,0,5,1,0,0,32,0,0,0,0,5,7,0,0,64,0,0,15,1,28,146,4,0,0,0,0,1
210,6417,0,0,0,4,20,0,13,1,0,3,0,0,0,0,0,66,0,0,0,1,0,1,0,1,0,0,10,0,14,0,0,0,0,0,16,0,0,0,0,5,0,0,1,11,0,3,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,2,12,1,16,2,21,45,194,130,0,0,3,0,0,4,13,0,0,0,37,0,0,0,3,1,0,0,2,0,0,0,0,2,1,0,0,134,3,0,12,0,21,603,3,0,0,0,0,0
220,6555,0,0,0,6,8,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,8,29,264,193,0,0,1,0,0,3,11,0,0,0,36,0,0,3,0,0,0,0,10,0,0,0,0,1,0,0,3,34,1,0,5,0,1,9,1,0,0,0,0,0
240,6813,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0,0,0,0,0,1,0,0,1,3,2,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,2,4,2,0,1,7,1,157,124,0,0,0,0,0,0,7,0,0,0,42,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,12,0,0,7,1,0,4,0,0,0,0,0,0
260,7056,4,6,1,0,0,0,4,0,1,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,116,1,0,0,0,0,0,0,0,0,0,7,1,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,0,137,225,0,0,1,0,0,0,12,0,0,0,50,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,17,0,0,18,0,0,8,0,0,1,0,0,0
280,7289,4,0,4,0,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,4,0,70,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,18,2,192,196,0,0,1,0,0,0,5,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,9,1,0,30,0,0,0,0,0,0
300,NA,4,0,1,2,1,0,32,2,0,0,0,0,2,3,0,35,0,0,0,0,1,0,5,0,1,0,0,0,148,0,0,0,0,0,4,0,1,0,0,4,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,105,128,0,0,73,0,0,4,10,0,0,0,18,0,0,0,0,1,0,5,26,0,0,0,0,2,1,0,0,4,41,4,15,3,2,58,0,0,0,0,0,0
320,NA,4,2,0,1,0,0,19,1,0,0,0,0,1,1,0,14,0,0,0,0,0,0,46,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,2,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,72,37,0,0,94,0,0,1,2,0,0,0,12,0,0,0,0,0,0,6,34,0,0,0,0,1,0,0,0,4,2,0,15,0,0,29,3,0,0,0,0,0
330,NA,0,0,0,1,0,0,121,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,18,0,0,0,2,0,26,0,0,0,0,0,1,0,0,0,1,5,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,21,0,83,57,0,0,92,0,9,0,3,0,0,0,16,0,0,0,0,0,0,6,49,0,0,0,0,0,0,0,0,0,1,5,14,1,1,6,2,0,0,0,0,0
340,NA,2,0,0,1,0,0,18,0,2,6,0,0,0,1,0,24,0,0,0,1,0,1,0,0,0,0,5,0,23,0,0,0,0,5,3,0,2,0,2,1,0,0,0,8,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,1,2,0,54,0,262,116,0,0,6,0,9,0,0,0,0,0,15,0,0,0,1,0,0,0,8,0,0,0,0,5,0,0,0,2,0,5,4,0,0,22,1,0,1,0,0,0
350,NA,6,0,0,1,1,0,20,1,0,3,0,0,0,1,0,33,0,0,0,1,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,1,0,0,5,0,4,2,8,2,1,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,4,3,37,0,217,116,0,0,6,0,3,0,9,0,0,0,10,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,4,2,2,2,1,0,6,3,0,0,0,0,0
