"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae.cf..Brassica","Brassicaceae.undiff.","Caltha.type","Cannabis.sativa.type","Carya","Caryophyllaceae","Celtis.occidentalis","Cerealia","Chenopodium.type","Cirsium","Cornus","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Decodon.verticillatus","Diphasiastrum.complanatum.type","Dryopteris.type","Ephedra.trifurca.type","Ephedra.undiff.","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Euphorbia.subg..Chamaesyce","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.lupulus","Huperzia.selago","Indeterminable","Indeterminable.undiff.","Iva.annua.type","Iva.xanthifolia.type","Juglans.cf..J..cinerea","Juglans.cf..J..nigra","Juglans.undiff.","Juniperus.Thuja","Laportea.type","Larix.laricina","Lycopodium.type","Menyanthes.trifoliata","Morus.rubra","Myriophyllum","Nuphar","Nymphaea","Onosmodium","Osmunda","Ostrya.Carpinus","Phlox","Picea","Pilea.type","Pinus.banksiana.P..resinosa","Pinus.subg..Strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae.undiff.","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Populus","Potamogeton","Prosopis","Pteridium.aquilinum","Quercus","Rhamnus.alnifolia","Rosaceae","Rumex","Rumex.type.undiff.","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Scheuchzeria.palustris","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia.americana","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum.lentago","Vitis","Xanthium","Zanthoxylum.americanum"
630,6359,0,1,0,0,1,11,42,0,0,50,7,0,7,0,0,0,0,0,0,4,0,12,0,0,2,31,0,0,1,0,8,1,0,0,0,1,0,0,0,0,0,7,0,0,0,17,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,78,1,195,0,0,3,0,0,1,92,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,0,2,28,2,2,0,1,0,0
670,6662,0,5,0,0,10,13,50,2,0,97,9,0,15,0,0,0,0,1,0,1,0,14,0,0,2,42,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,1,0,0,0,71,1,198,0,0,5,0,0,2,123,0,2,1,0,0,5,0,2,0,0,0,1,0,0,25,0,3,39,1,1,0,0,0,0
710,6964,0,0,0,0,3,1,17,1,1,40,4,0,5,0,0,0,0,0,0,1,0,11,0,0,1,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,51,0,68,0,0,0,0,0,1,55,0,0,1,1,0,1,0,0,0,0,0,2,0,0,14,0,1,9,1,0,0,0,0,0
750,7267,0,0,0,0,5,6,15,1,0,29,9,0,8,0,1,0,0,1,0,0,0,10,0,0,0,29,0,0,2,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,34,0,42,0,0,1,0,0,2,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,7,0,0,0,1,0,0
790,7569,0,0,0,0,2,3,53,0,0,50,8,0,6,0,0,0,0,1,0,0,0,16,0,0,2,45,1,0,0,0,30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,75,0,63,0,0,10,1,0,4,119,0,0,0,0,0,2,0,0,0,0,0,0,0,1,11,0,2,17,0,0,0,2,0,0
830,7871,1,0,0,0,13,12,125,0,2,198,26,0,12,0,0,0,0,4,0,1,0,29,0,1,5,84,1,0,2,0,43,0,0,0,0,8,0,1,0,0,0,0,0,0,0,23,0,9,0,0,1,0,7,0,1,0,0,0,0,4,0,0,0,20,0,1,0,0,0,116,0,145,0,1,13,4,0,11,195,0,0,0,0,0,9,0,0,1,0,0,0,0,2,11,0,4,29,2,2,0,2,0,0
870,8174,3,0,0,0,4,7,29,0,0,25,4,0,6,0,0,0,0,1,1,0,0,6,0,0,1,30,0,0,0,0,48,0,0,0,0,6,0,0,0,0,0,1,0,0,0,20,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,10,0,16,0,0,0,138,0,39,0,0,3,1,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,5,16,0,0,0,0,0,0
910,8476,2,0,0,0,2,2,28,0,0,13,11,0,7,0,0,0,0,4,0,0,0,4,0,0,2,23,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,6,0,0,0,100,0,25,0,0,1,0,0,5,39,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0
950,8745,0,0,0,0,6,5,58,0,0,33,3,0,14,0,0,0,0,4,0,0,0,10,0,0,5,46,0,0,0,0,153,0,0,0,0,2,0,0,0,0,0,2,0,0,0,22,0,4,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,1,0,24,0,0,0,193,0,50,1,0,2,1,0,14,69,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,16,0,0,0,0,0,0
990,8782,0,0,0,0,2,1,15,0,0,12,5,0,4,0,0,0,0,0,0,0,0,13,0,0,2,38,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,22,0,0,2,0,0,3,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0
1030,8818,1,0,0,0,4,10,0,0,0,194,110,0,21,0,0,0,0,0,0,0,0,38,0,0,18,61,0,0,4,0,21,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,13,1,0,0,0,2,6,0,2,0,0,0,0,1,0,0,0,9,0,14,0,0,0,119,1,124,0,0,19,8,0,7,149,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,1,33,0,1,0,0,0,0
1070,8854,1,0,0,0,1,9,0,0,0,72,55,0,14,0,0,0,0,1,0,0,0,25,0,0,3,53,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,14,0,12,0,0,0,111,0,86,0,0,15,1,0,2,85,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,44,0,0,0,0,0,0
1110,8890,1,0,0,0,0,2,0,0,0,39,27,0,4,0,0,0,0,1,0,0,0,6,0,0,5,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,68,0,34,0,0,6,2,0,5,26,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0
1150,9082,0,0,0,0,19,13,0,0,0,78,60,0,17,0,0,0,0,4,2,0,0,31,0,0,9,61,0,0,0,0,44,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,12,0,0,0,0,3,5,0,1,0,0,0,1,0,0,0,0,15,0,16,0,0,0,116,0,113,0,0,13,1,0,6,138,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,5,89,0,0,0,0,0,0
1190,9273,0,0,0,0,6,29,0,0,0,83,41,0,5,0,0,0,0,3,0,0,0,16,0,0,3,71,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,6,0,4,0,0,0,0,0,0,0,0,12,0,1,0,0,0,126,0,95,0,0,24,4,0,3,63,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,47,0,0,1,0,0,0
1230,9465,1,0,0,0,3,18,0,0,0,38,28,0,13,0,0,0,0,5,0,0,0,13,0,0,3,39,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,1,0,0,0,69,0,38,0,0,6,4,0,3,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,1,0,0
1270,9656,1,0,0,0,0,19,0,0,0,48,23,0,23,0,0,0,0,4,0,0,0,12,0,0,3,44,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,1,0,0,0,192,0,46,0,0,8,0,0,5,83,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,2,28,0,1,0,0,0,0
1308,9838,1,0,0,0,1,9,0,0,0,30,13,0,11,0,0,0,0,0,0,0,0,7,0,0,5,14,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,0,0,0,166,0,41,0,0,3,0,0,6,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,45,0,0,0,0,0,0
1347,10025,1,0,0,0,4,25,0,0,0,27,13,0,30,0,0,0,0,1,0,0,0,6,0,0,4,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,11,0,2,0,0,0,312,0,23,0,0,12,0,0,20,63,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,4,63,0,0,0,0,0,0
1387,10216,3,0,0,0,1,10,0,0,0,9,6,0,20,0,0,0,0,0,0,0,0,2,0,0,9,26,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,4,2,0,4,0,0,0,0,1,0,0,0,6,0,5,0,0,0,268,0,23,0,0,18,0,0,18,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0
1427,10408,8,0,0,0,2,17,0,0,0,5,5,0,109,0,0,0,0,5,0,0,0,5,0,0,6,18,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,29,0,0,0,0,4,0,0,0,0,5,1,0,3,1,0,0,0,0,0,0,0,17,0,4,0,0,0,191,0,10,0,0,25,0,0,9,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,60,0,1,0,0,0,0
1467,10723,5,0,0,0,1,34,0,0,0,18,5,0,91,0,0,0,0,1,0,0,0,5,0,0,15,20,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,1,3,0,10,2,0,0,0,3,0,0,0,13,0,76,0,0,0,183,0,8,0,0,14,2,0,8,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0
1507,NA,8,0,0,0,3,55,0,0,0,36,5,0,70,0,0,0,0,0,0,0,0,3,0,0,7,60,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,8,1,0,0,0,3,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,10,0,154,0,0,0,9,0,11,0,0,20,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,5,18,0,0,0,0,0,0
1547,NA,11,0,0,0,3,14,0,0,0,53,10,0,54,0,0,0,0,0,0,0,0,5,0,0,1,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,5,0,222,0,0,0,8,0,28,0,0,12,2,0,0,13,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,4,7,0,3,0,0,0,0
1567,NA,20,0,0,0,0,19,0,0,0,112,23,0,74,0,0,0,0,0,0,0,0,8,0,0,7,78,0,0,0,0,2,0,0,0,1,7,1,0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,24,0,23,0,0,0,0,4,0,0,0,18,0,295,0,0,0,11,0,41,0,0,13,3,0,6,44,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,8,12,0,2,0,0,0,0
1587,NA,0,0,0,0,0,8,0,0,0,44,5,0,23,0,0,0,0,0,0,0,0,3,0,0,10,44,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,6,0,23,0,0,0,0,2,0,0,0,12,0,217,0,0,0,11,0,17,0,0,15,5,0,5,22,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,4,9,0,0,0,0,0,0
1617,NA,1,0,0,0,1,4,0,0,0,59,21,0,30,0,0,0,0,0,0,0,0,8,0,0,8,37,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,193,0,0,0,4,0,24,2,0,17,2,0,5,34,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0
1637,NA,0,0,0,0,0,1,0,0,0,51,23,0,35,0,0,0,0,0,0,0,0,11,0,0,11,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,258,0,0,0,19,0,8,0,0,16,0,0,2,27,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,5,6,0,0,0,0,0,0
1657,NA,0,0,0,0,0,0,0,0,0,14,15,0,1,0,0,0,0,1,0,0,0,3,0,0,3,33,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,151,0,0,0,3,0,9,0,0,39,3,0,2,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1664,NA,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,4,0,1,0,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
