"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Bryopsida","Carya","Caryophyllaceae","Cornus","Corylus","Cyperaceae","Elaeagnus","Elymus","Ephedra","Epilobium","Fagus","Filicopsida","Fraxinus","Humulus","Indeterminable","Juglans","Lamiaceae","Larix","Malvaceae","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Potamogetonaceae","Prunus.Sorbus","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia"
260,2658,1,0,17,4,33,1,25,9,14,1,0,1,0,3,5,0,0,0,0,1,1,3,0,6,2,1,5,0,0,3,0,5,2,19,0,0,24,0,0,0,217,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,15,0,1
285,3010,0,5,13,5,21,0,18,10,20,0,3,0,0,4,18,0,0,0,0,0,0,0,0,7,2,0,1,0,1,0,0,1,0,18,0,0,34,0,2,0,218,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,11,0,0
310,3370,0,0,12,12,35,0,27,7,20,0,0,0,0,3,16,0,0,0,0,0,0,1,0,13,5,0,2,0,0,0,0,6,2,13,0,0,47,0,0,0,218,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,14,4,3
335,3735,0,0,11,25,46,0,36,13,9,0,3,0,0,1,27,0,0,0,0,0,1,0,0,9,1,0,0,0,0,4,0,1,8,43,0,0,68,0,1,0,204,0,0,0,0,0,0,1,4,2,0,0,0,0,2,1,0,1,4,0,0
360,4102,2,1,5,25,48,1,35,20,10,0,0,1,0,5,16,0,0,0,0,0,1,1,0,15,1,1,0,0,0,2,0,2,10,42,0,0,65,0,3,1,208,3,0,0,0,1,0,13,6,0,0,0,0,0,0,1,0,0,6,0,0
385,4465,0,4,10,14,45,1,35,8,9,1,1,0,0,0,20,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,2,2,29,0,0,55,0,0,0,234,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0
410,4823,0,2,12,30,36,0,33,17,9,0,0,0,0,2,27,0,0,0,0,1,0,3,0,10,1,0,0,0,0,0,0,0,15,31,0,0,62,0,6,0,220,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0
435,5171,0,1,7,27,37,0,43,16,10,0,0,0,0,0,14,0,0,0,0,0,1,2,0,12,1,0,0,0,0,3,0,0,3,36,0,0,56,0,0,0,224,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0,0,8,0,0
460,5505,2,0,5,31,41,0,44,12,7,0,1,0,0,1,16,0,0,0,0,0,0,4,0,8,2,0,4,0,0,0,0,5,3,22,0,0,58,0,6,0,220,0,0,0,0,0,2,8,15,1,0,0,0,0,1,1,0,2,12,0,0
485,5822,0,1,10,79,73,0,47,23,7,1,5,0,0,1,29,0,0,0,0,0,0,0,0,14,1,0,0,0,0,10,0,4,8,56,0,0,77,0,0,0,185,0,0,0,0,0,0,12,3,3,0,0,0,0,0,0,0,12,19,0,3
510,6119,1,5,10,39,64,0,50,17,8,0,2,0,0,0,28,0,0,0,0,0,0,4,0,13,3,0,0,0,0,2,0,3,13,30,0,0,70,0,2,0,187,2,0,0,0,0,0,3,11,2,0,0,0,0,1,3,1,3,20,0,2
535,6391,1,8,8,111,59,0,60,24,7,3,4,0,0,0,24,0,0,0,0,0,1,1,0,10,2,0,0,0,0,3,0,6,9,51,2,0,87,0,0,0,129,0,0,0,0,0,0,9,13,1,0,0,0,0,0,1,0,4,20,0,0
560,6638,1,1,5,65,55,0,62,11,9,0,1,0,0,1,28,0,0,0,0,0,0,7,0,15,2,0,0,0,0,2,0,2,18,57,0,0,81,0,10,0,84,0,0,0,0,0,1,3,6,1,0,0,0,0,0,0,0,0,9,0,0
585,6861,0,8,4,101,63,0,62,14,8,3,1,0,0,1,18,0,0,0,0,0,0,2,0,12,2,0,0,0,1,1,0,3,14,52,0,0,111,0,2,0,103,0,2,0,0,0,0,39,19,0,0,0,0,0,1,1,0,4,27,0,0
610,7060,0,4,7,61,81,0,52,14,18,1,4,0,0,4,19,0,0,0,0,0,0,2,0,15,2,1,0,0,1,2,0,20,10,32,0,0,119,0,4,0,85,0,0,0,0,0,0,2,15,0,0,0,0,0,0,2,0,2,33,0,0
635,7237,2,8,10,72,84,0,53,21,16,1,5,0,0,3,18,0,0,0,0,0,2,2,0,17,4,0,0,0,0,2,0,9,8,40,0,0,114,0,2,0,97,0,0,0,0,0,0,18,16,0,0,0,0,0,1,1,0,2,49,0,0
660,7392,0,0,5,44,65,0,69,11,11,0,2,0,0,8,22,0,0,0,0,0,1,8,0,11,2,0,0,0,0,1,0,16,8,31,0,0,118,0,8,0,67,0,0,0,0,0,1,11,31,0,0,0,0,0,0,2,0,1,23,1,0
685,7527,0,7,7,61,120,2,51,23,16,0,4,0,0,5,12,1,0,0,0,0,1,4,0,9,4,0,0,0,0,1,0,10,2,20,0,0,113,0,5,0,101,0,0,0,0,0,0,8,7,1,0,0,0,0,1,4,0,1,54,0,0
710,7642,2,3,16,39,86,1,47,13,67,0,5,0,0,7,16,0,0,0,0,0,6,1,0,12,1,1,0,0,2,3,0,9,13,60,0,0,98,0,0,0,69,0,0,0,0,0,0,20,3,0,0,0,0,0,1,1,0,6,44,0,0
735,7739,0,6,5,58,119,1,71,13,17,0,5,0,0,5,27,0,0,0,0,0,3,2,0,19,3,0,0,0,4,1,0,11,7,57,0,0,115,0,2,0,97,0,0,0,0,0,0,53,7,2,0,0,0,0,0,4,0,20,74,1,0
760,7818,0,0,1,47,122,0,77,13,8,0,5,0,0,6,19,0,0,0,0,0,1,2,0,8,0,1,0,0,1,0,0,7,8,37,0,0,149,0,2,0,68,0,0,0,0,0,0,11,17,1,0,1,0,0,1,3,0,1,53,1,0
770,7845,0,0,6,36,193,0,99,12,10,0,4,1,0,3,3,0,0,0,0,0,0,1,0,12,0,0,0,0,2,0,0,10,1,22,0,0,112,0,1,0,80,0,0,0,0,0,0,4,11,0,0,0,0,0,0,1,0,3,58,2,0
780,7869,1,13,3,88,70,1,84,17,23,1,7,0,0,4,13,0,0,0,0,0,3,4,0,11,2,0,0,0,0,1,0,21,4,47,0,0,127,0,1,0,125,0,0,0,0,0,0,11,1,1,0,0,0,0,0,2,0,16,43,0,0
790,7891,0,9,6,81,68,1,57,13,15,0,5,0,0,3,45,0,0,0,0,0,6,1,0,9,2,0,0,0,0,3,0,18,8,32,0,0,85,0,0,0,148,0,0,0,0,0,0,6,5,2,0,0,0,0,0,1,0,11,47,0,0
800,7913,2,2,6,56,58,0,39,8,29,0,2,0,0,1,2,0,0,0,0,0,7,2,0,12,1,0,0,0,0,2,0,12,1,47,0,0,60,0,2,0,129,0,0,0,0,0,0,9,11,0,0,0,0,0,0,1,0,20,54,1,0
810,7936,1,2,7,53,53,0,50,11,13,0,3,0,0,4,24,0,0,0,0,0,2,2,0,5,2,0,1,0,0,1,1,9,8,42,0,0,56,0,0,0,149,0,0,0,0,0,0,10,7,1,0,0,0,0,0,2,0,25,51,2,0
820,7962,1,4,7,39,35,0,49,15,19,1,5,0,0,2,17,0,0,0,0,0,3,3,0,6,2,0,0,0,0,0,0,15,5,37,0,0,62,0,1,0,131,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,28,65,0,0
830,7994,5,6,9,44,48,0,49,6,23,0,2,0,0,4,19,0,0,0,0,0,4,4,0,7,4,0,0,0,0,3,0,11,2,47,0,0,72,0,1,0,125,0,0,0,0,0,0,5,6,1,0,0,0,0,0,2,0,10,70,0,0
840,8034,0,5,10,34,56,0,60,10,18,1,7,0,0,4,22,0,0,0,0,0,4,6,3,9,3,0,1,0,0,1,0,18,11,46,0,0,102,0,4,0,108,0,0,0,0,0,0,4,10,2,0,0,0,4,1,0,0,7,53,0,1
850,8083,1,2,7,59,76,0,67,9,28,1,3,0,0,5,46,0,0,0,0,0,7,4,0,10,3,0,0,0,1,1,0,12,4,25,0,0,90,0,1,0,134,0,0,0,0,0,1,7,15,0,0,0,0,0,0,2,0,13,55,1,0
855,8112,0,6,10,34,71,0,63,15,17,1,4,0,0,1,12,0,0,0,0,0,2,1,0,12,1,0,0,0,0,0,1,12,4,49,0,0,75,0,1,0,115,0,0,0,0,0,0,4,12,4,0,0,0,0,0,3,0,10,65,0,0
860,8144,1,0,11,25,34,0,63,2,14,0,6,0,0,19,8,0,0,0,0,0,4,8,0,8,3,1,2,0,0,0,0,14,13,46,0,0,81,0,1,0,112,0,0,0,0,0,0,5,11,1,0,0,0,0,0,1,0,8,50,2,0
865,8179,1,4,9,31,59,0,43,9,13,0,3,0,0,5,13,0,0,0,0,0,0,1,0,11,2,0,0,0,1,2,2,15,5,44,0,0,79,0,0,0,120,0,0,0,0,0,0,4,5,4,0,0,0,0,0,2,0,8,72,0,0
870,8218,1,1,5,19,41,1,33,9,12,0,1,0,0,2,11,0,0,0,0,0,1,5,0,10,4,0,0,0,0,1,0,8,1,24,0,0,62,0,0,0,128,0,0,0,0,0,0,6,6,1,0,0,0,0,0,2,0,11,100,0,0
875,8261,2,1,1,20,41,0,29,9,24,2,4,0,0,1,7,0,0,0,0,0,1,4,0,14,2,0,0,0,2,1,0,16,4,42,0,0,59,0,0,0,113,0,0,0,1,0,1,6,1,0,0,0,0,0,0,3,0,14,82,0,0
880,8308,1,4,6,28,58,0,34,6,18,0,3,0,0,7,5,0,0,0,0,0,3,1,0,8,3,0,1,0,3,1,0,13,5,46,0,0,49,0,1,0,101,2,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,7,87,1,0
885,8360,0,1,11,13,55,0,46,8,24,0,4,0,0,5,11,0,0,0,0,0,2,4,1,9,0,1,0,0,0,2,1,12,7,33,0,0,57,0,0,0,107,0,0,1,0,0,0,4,4,0,0,0,0,0,1,2,0,4,86,1,1
890,8416,0,3,4,15,37,0,10,12,12,0,7,0,0,8,6,0,0,0,0,0,4,6,0,6,6,0,1,0,0,2,0,12,9,39,0,0,63,0,2,0,102,1,0,0,0,0,0,2,4,3,0,0,0,0,0,5,0,4,82,0,0
895,8477,1,2,3,17,39,0,37,6,28,0,4,0,0,2,12,0,0,0,0,0,6,3,0,14,3,0,0,0,2,0,0,8,7,49,0,0,69,0,2,0,87,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,15,97,0,0
900,8543,1,2,2,18,46,0,30,6,23,0,3,0,0,3,12,0,0,0,0,0,2,3,0,4,1,0,0,0,3,0,0,12,6,55,0,0,51,0,1,0,83,0,0,0,0,0,0,10,4,0,0,0,0,1,0,1,0,9,101,0,0
905,8615,1,0,7,17,48,0,29,5,21,0,3,1,0,4,14,0,0,0,0,0,2,0,0,14,6,3,1,1,1,6,0,14,11,57,0,0,78,0,0,0,95,0,0,1,0,0,0,3,2,0,0,0,0,0,0,2,0,13,76,0,1
910,8692,1,1,7,15,35,0,33,3,19,0,2,0,0,7,14,0,0,0,0,0,2,3,1,10,2,0,1,0,0,2,0,20,5,38,0,0,67,0,2,0,113,0,0,0,0,1,0,4,4,1,0,0,0,0,1,3,0,3,80,1,0
915,8775,2,1,4,17,39,0,20,4,20,0,5,0,0,11,17,0,0,0,0,0,1,5,0,14,2,3,1,0,0,1,1,24,11,35,0,0,69,0,0,0,89,0,0,2,0,0,0,4,5,0,0,0,0,0,0,2,0,4,83,0,0
920,8865,2,3,5,9,24,0,12,4,8,0,8,1,0,1,6,0,0,0,0,0,1,6,0,7,5,0,1,0,0,3,0,11,3,36,0,0,50,0,1,0,84,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,2,121,2,0
925,8960,1,4,4,15,24,0,17,4,21,1,3,0,0,3,2,0,0,0,0,0,2,3,1,15,4,0,0,0,8,3,0,12,7,45,0,0,78,0,0,0,87,0,0,0,0,0,0,2,3,0,0,0,2,0,0,3,0,11,100,2,0
930,9059,0,7,4,18,40,0,20,6,10,0,5,1,0,3,6,0,0,0,0,0,5,4,0,9,3,0,0,0,0,3,0,9,2,46,0,0,79,0,0,0,87,0,0,0,0,0,0,1,6,1,0,0,0,0,0,2,0,7,112,0,1
935,9164,1,0,5,12,24,0,17,0,25,0,5,1,0,6,9,0,0,0,0,0,11,14,0,5,1,1,0,0,0,1,2,20,4,58,0,0,24,0,0,0,68,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,87,0,0
940,9272,5,2,9,4,6,0,12,1,30,0,5,0,0,13,12,0,0,0,0,0,15,10,0,6,2,2,1,0,0,3,0,12,2,86,0,0,9,0,1,0,65,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1,107,7,0
955,9612,2,3,9,1,4,0,6,5,19,0,5,0,0,3,9,0,0,0,0,0,5,6,0,8,2,5,1,0,0,0,0,17,5,85,0,0,15,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,2,92,5,0
960,9729,2,0,12,2,1,0,7,0,28,0,4,0,0,8,5,0,0,0,0,0,8,9,0,5,3,0,1,0,0,0,0,12,2,73,0,0,13,0,1,0,62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,80,5,0
965,9847,1,2,4,2,3,0,7,0,73,0,1,0,0,9,4,0,0,0,0,0,9,24,0,8,3,0,2,0,0,0,0,0,2,71,0,0,1,0,0,0,50,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,55,0,0
970,9964,6,0,13,1,4,0,1,2,81,0,1,0,0,9,4,0,0,0,0,0,4,25,0,1,2,0,0,0,0,1,0,3,2,71,0,0,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0
975,10082,6,0,9,3,2,0,4,4,75,0,1,0,0,5,6,0,0,0,0,0,3,32,3,2,2,0,3,0,0,0,0,5,3,93,0,0,2,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,45,1,0
980,10198,12,1,13,1,3,0,3,0,94,0,1,0,0,3,3,0,0,0,0,0,5,22,0,2,4,0,1,0,0,0,0,0,7,120,0,0,5,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,1,0
985,10312,4,1,16,2,5,0,9,2,128,0,0,1,0,15,10,0,0,0,0,0,2,31,0,3,0,1,3,0,0,1,0,5,26,20,0,0,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0
990,10425,13,2,55,1,1,0,15,0,91,1,0,0,0,11,14,0,0,0,0,0,0,8,0,3,0,0,4,0,0,0,0,4,69,3,0,0,4,0,1,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,0,0
995,10535,7,0,49,1,3,0,9,3,77,0,0,2,0,7,15,0,0,0,0,0,0,22,0,7,0,2,7,0,0,2,0,7,84,5,0,0,7,0,1,0,12,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,2,15,0,0
1000,10642,4,0,45,1,4,0,13,1,77,1,0,0,0,9,12,0,0,0,0,0,0,11,2,5,0,1,9,0,0,3,0,7,97,5,0,0,14,0,2,0,18,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,13,0,0
1010,10850,4,0,20,2,3,0,19,3,74,0,0,0,0,8,22,0,0,0,0,0,3,20,0,3,0,0,11,0,0,0,0,5,129,6,0,0,12,0,1,0,12,0,0,0,0,0,0,1,14,0,0,0,2,0,2,0,0,1,4,0,0
1015,10951,5,0,14,2,7,0,26,2,46,0,0,0,0,4,21,0,0,0,0,0,0,7,0,3,0,0,11,0,0,1,0,5,186,0,0,0,12,0,0,0,11,0,0,1,0,0,0,1,8,0,0,0,0,0,1,0,0,0,3,1,0
1020,11049,3,0,10,3,3,1,20,3,54,1,0,0,0,4,15,0,0,0,0,0,0,12,0,6,0,0,15,0,0,0,0,0,168,4,0,0,15,0,1,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,7,2,0
1025,11146,0,0,9,2,2,0,29,2,48,1,0,0,0,8,15,0,0,0,0,0,0,13,0,5,0,0,12,0,0,1,0,6,177,0,0,0,7,0,1,0,9,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,5,9,0,0
1030,11241,3,1,0,14,24,0,39,6,44,0,0,0,0,15,19,0,0,0,0,0,3,36,0,4,0,1,11,0,0,0,0,12,143,4,0,0,13,0,2,0,16,0,0,1,0,0,0,1,3,2,0,0,0,0,2,0,0,2,12,0,0
1035,11333,4,2,3,4,17,0,25,7,34,0,0,0,0,16,14,0,0,0,0,0,4,54,0,8,0,1,2,0,0,0,0,14,138,0,0,0,16,0,0,0,17,0,0,2,0,0,0,1,2,3,0,0,0,0,0,0,0,3,14,1,0
1040,11424,2,1,0,3,17,0,33,3,19,0,1,0,0,4,16,0,0,0,0,0,3,37,1,10,0,0,7,0,1,0,0,7,191,2,0,0,23,0,2,0,19,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,2,5,2,0
1045,11513,2,0,4,5,11,0,41,5,31,0,1,0,0,7,14,0,0,0,0,0,1,36,0,1,0,0,6,0,0,1,0,11,169,2,0,0,11,0,1,0,21,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,7,0,0
1050,11600,1,0,1,1,17,1,28,2,16,0,0,0,0,5,17,0,0,0,0,0,3,40,0,3,0,0,5,0,0,0,0,6,194,2,0,0,22,0,3,0,20,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,2,9,2,0
1055,11686,2,0,2,1,19,0,29,5,13,0,0,0,0,3,7,0,0,1,0,0,4,26,2,10,0,0,5,0,1,0,0,6,215,2,0,0,12,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,4,0,0
1060,11770,0,0,0,4,7,0,24,0,15,0,0,0,0,2,3,0,0,0,0,0,3,46,0,5,0,0,13,0,1,0,0,5,192,2,0,0,20,0,1,0,15,0,0,0,0,0,0,1,7,1,0,0,0,0,4,0,0,2,4,1,0
1065,11852,2,0,0,4,22,0,30,1,7,0,1,1,0,1,10,0,0,0,0,0,1,38,2,9,0,0,18,0,0,0,0,6,202,0,0,0,17,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,0
1070,11933,0,0,0,3,23,0,26,0,11,0,1,0,0,7,5,0,0,0,0,0,9,60,1,10,0,0,10,0,0,0,0,6,168,1,0,0,21,0,3,0,27,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,2,5,0,0
1075,12012,2,0,3,3,30,0,28,5,18,0,0,0,0,4,17,0,0,0,0,0,1,71,1,13,0,0,12,0,0,0,0,5,151,0,0,0,21,0,1,0,22,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,4,1,0
1080,12090,2,0,0,5,19,0,23,0,12,0,0,0,0,8,15,0,0,0,0,0,6,67,1,9,0,0,8,0,0,0,0,9,152,6,0,0,18,0,2,0,22,0,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,1,2,3,0
1085,12167,2,0,1,2,33,0,28,7,21,0,1,0,0,2,20,0,0,0,0,0,1,62,1,17,0,1,12,0,0,0,0,9,150,0,0,0,27,0,0,0,27,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0,0,4,5,0,0
1090,12242,1,1,3,6,18,0,29,0,18,0,0,0,1,3,15,0,0,0,0,0,6,54,2,8,0,0,13,0,0,0,0,6,160,7,0,0,22,0,2,0,21,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,0,1,6,0,0
1095,12316,2,0,1,2,13,0,26,4,11,0,0,0,0,4,14,0,0,0,0,0,5,54,0,7,0,0,8,0,0,0,0,3,194,1,0,0,13,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0
1100,12389,1,0,0,2,27,0,27,0,15,0,0,0,0,6,16,0,0,0,0,0,3,59,1,6,0,0,2,0,0,0,0,2,179,3,0,0,13,0,3,0,25,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,1,2,0,0
1105,12460,1,0,1,1,20,0,22,6,18,0,1,0,0,4,18,0,0,0,0,0,5,48,1,18,0,0,10,0,0,0,0,7,180,0,0,0,18,0,1,0,20,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,5,6,1,0
1110,12531,1,0,0,2,13,0,3,0,16,0,0,0,0,2,4,0,0,0,0,0,5,65,0,7,0,0,10,0,0,0,0,1,175,8,0,0,15,0,2,0,15,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,6,0,0
1115,12601,3,0,1,1,15,0,12,3,12,0,0,0,0,1,8,0,0,0,0,0,5,47,0,11,1,0,8,0,0,0,0,5,190,2,0,0,14,0,1,0,19,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,6,1,0
1120,12670,0,0,2,2,24,0,12,0,14,0,0,0,0,8,4,0,0,0,0,0,3,52,0,5,0,0,11,0,0,0,0,5,183,3,0,0,24,0,2,0,12,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,6,0,0
1125,12737,0,0,1,1,20,0,20,2,9,0,0,0,0,1,9,0,0,0,1,0,7,44,1,8,0,0,11,0,0,0,0,1,210,0,0,0,21,0,0,0,17,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,4,2,0
1130,12804,2,0,0,7,13,0,11,0,7,0,0,0,0,1,3,0,0,0,0,0,6,42,0,6,1,0,12,0,0,0,0,6,198,6,0,0,10,0,1,0,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,1,0
1142,12962,0,0,0,0,4,0,3,3,3,0,1,0,0,1,26,0,0,0,0,0,6,9,0,5,0,0,2,0,0,0,0,2,117,1,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,1,0,0
1150,13066,1,0,0,0,4,0,4,2,4,0,0,0,0,0,17,0,0,0,0,0,1,6,1,3,0,0,1,0,0,0,0,0,130,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0
1159,13180,0,0,0,2,1,0,0,5,0,2,0,0,0,2,33,0,1,0,0,0,3,1,1,18,0,0,0,0,0,0,0,0,49,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1174,13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1186,13517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
