"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Dryopteris.type.undiff.","Ephedra","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Quercus","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Sambucus","Saxifraga.oppositifolia.type","Sedum","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.opulus"
535,10788,0,0,1,0,3,1,0,30,0,0,0,2,0,0,1,225,0,0,0,2,0,0,2,4,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,13,0,0,0,0,0,8,4,7,2,91,0,18,50,0,7,16,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,4,0,0
542.5,11016,0,0,0,0,3,0,18,47,1,1,0,4,1,0,0,418,1,0,0,0,0,0,7,8,1,0,0,0,0,0,9,2,0,0,0,0,1,0,0,5,0,2,0,0,0,0,35,0,0,1,0,0,10,0,29,8,86,0,3,26,10,3,43,1,0,0,51,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,2,0,0,10,0,0,5,0,0
550,11060,2,0,0,0,4,0,0,34,1,3,0,2,4,0,0,181,1,0,0,2,0,1,2,13,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,14,0,4,1,3,0,0,56,0,0,1,0,0,5,0,32,11,16,1,27,29,8,13,24,0,0,0,32,0,1,0,1,0,5,0,0,0,1,4,0,0,1,0,0,1,3,7,0,6,6,1,0
560,11120,1,0,1,0,0,0,5,7,1,1,0,6,5,0,0,153,2,0,1,0,0,0,6,21,0,2,0,0,0,0,13,2,0,0,0,0,1,0,0,29,2,1,1,14,0,1,55,0,0,0,0,0,8,4,77,24,65,4,21,28,5,16,129,2,0,0,78,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,4,0,0,12,3,8,7,0,0
575,11209,1,0,0,0,4,0,4,7,0,5,0,11,6,0,0,178,0,1,1,0,0,2,4,44,0,0,0,2,2,0,1,1,1,0,0,1,12,1,0,76,9,1,6,3,0,0,148,0,0,0,1,0,7,0,20,7,28,2,32,15,5,51,318,6,0,0,42,0,0,0,0,0,15,2,0,0,0,3,0,0,1,0,3,0,3,6,1,37,2,2,0
584,NA,3,0,0,1,1,1,0,8,1,0,0,4,9,0,0,122,0,0,0,0,0,0,3,24,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,31,0,1,3,10,0,0,73,2,0,0,0,0,1,0,5,3,32,0,14,3,3,65,133,0,0,0,16,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,0
594,NA,0,0,0,0,0,0,5,7,0,0,0,5,2,0,0,169,0,0,0,0,0,0,0,23,0,3,0,5,3,0,3,0,0,0,0,0,8,0,0,2,2,0,13,4,0,0,2,0,0,0,0,0,0,0,6,0,23,0,21,0,3,16,32,0,0,0,10,0,1,0,0,0,12,0,0,0,0,0,0,0,2,0,0,1,0,3,0,4,0,0,0
600,NA,5,0,0,0,1,0,2,7,0,4,0,17,1,0,0,71,1,0,0,0,1,0,8,32,0,0,0,0,2,0,4,8,0,0,0,0,0,1,0,2,0,1,3,1,0,1,0,0,0,0,0,1,2,0,37,14,195,0,7,65,38,0,5,11,0,0,28,0,6,0,0,0,159,0,0,0,0,2,0,1,1,0,0,0,0,3,1,16,4,1,0
605,NA,1,0,0,0,1,0,8,11,2,5,1,18,3,0,0,112,4,2,0,0,2,0,4,37,0,0,1,1,2,1,21,10,0,0,0,3,1,0,0,7,6,0,0,0,0,0,1,0,0,0,1,0,2,0,54,3,81,0,1,11,57,6,10,3,3,0,69,0,2,0,0,1,36,0,0,0,2,3,0,0,1,0,0,0,3,8,7,3,1,0,0
610,NA,3,0,0,0,1,0,7,23,1,3,0,18,3,0,0,63,0,0,1,0,0,0,2,16,0,0,0,0,1,0,5,6,0,0,0,3,3,0,0,4,1,2,3,0,0,0,0,0,0,12,0,1,1,0,37,11,113,0,2,34,65,3,10,0,0,0,23,0,2,0,0,0,8,0,0,0,0,6,0,1,0,0,0,0,2,1,5,27,6,0,0
615,NA,0,0,0,0,0,0,16,43,1,8,0,12,10,0,0,84,2,1,3,0,1,0,0,11,0,0,0,2,2,0,2,4,0,0,0,2,4,0,0,9,6,1,3,2,0,0,0,0,0,0,0,0,0,0,25,10,91,0,1,17,30,2,6,3,2,0,25,0,2,0,0,0,5,0,0,0,1,0,0,1,1,0,0,0,0,8,4,8,3,0,0
620,NA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,7,23,0,2,8,5,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,6,5,0,0
625,NA,1,0,0,0,0,0,7,34,0,6,0,7,4,0,0,87,2,1,1,0,0,0,0,18,0,0,0,0,0,0,4,4,1,0,0,4,5,0,0,13,6,0,1,0,0,0,2,0,0,0,0,1,1,0,22,11,96,0,2,28,13,0,4,1,2,0,18,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,4,4,16,1,0,0
629,NA,2,0,0,0,1,0,1,6,0,1,0,0,2,0,0,96,1,0,1,0,1,0,4,26,0,0,0,0,10,0,2,3,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,0,0,0,0,0,3,0,3,2,30,0,35,35,7,0,2,0,0,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,1,6,1,0,0
