"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Fagus","Ostrya.Carpinus","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Corylus","Cyperaceae","Rosaceae","Abies","Asteraceae.undiff.","Sarcobatus.vermiculatus","Celtis","Thalictrum","Herbs.undiff.","Larix","Ericaceae","Shepherdia","Ephedra"
60,3339,0.00186915887850467,0.00186915887850467,0.2,0.00934579439252336,0.00186915887850467,0.00747663551401869,0.276635514018692,0.0485981308411215,0.00186915887850467,0.091588785046729,0.00373831775700935,0.00186915887850467,0.0728971962616822,0.110280373831776,0.0130841121495327,0.0485981308411215,0.0130841121495327,0,0.0785046728971963,0.011214953271028,0.00186915887850467,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0
65,3642,0.0128676470588235,0.00183823529411765,0.270220588235294,0.00735294117647059,0,0.0183823529411765,0.117647058823529,0.0569852941176471,0,0.0845588235294118,0,0.00735294117647059,0.0588235294117647,0.117647058823529,0.03125,0.0680147058823529,0.0128676470588235,0.00551470588235294,0.108455882352941,0.00735294117647059,0.00551470588235294,0,0.00183823529411765,0.00183823529411765,0.00367647058823529,0,0,0,0,0,0,0,0,0
70,3942,0,0.0056390977443609,0.093984962406015,0.0056390977443609,0.0018796992481203,0.0056390977443609,0.191729323308271,0.0338345864661654,0.0018796992481203,0.116541353383459,0.0018796992481203,0.0056390977443609,0.133458646616541,0.0921052631578947,0.0056390977443609,0.0657894736842105,0.018796992481203,0,0.18609022556391,0.0056390977443609,0.0075187969924812,0,0.0075187969924812,0.0018796992481203,0,0.0037593984962406,0,0,0.0018796992481203,0.0056390977443609,0,0,0,0
75,4240,0.0132325141776938,0.0056710775047259,0.145557655954631,0.00378071833648393,0.00189035916824197,0.00945179584120983,0.257088846880907,0.0132325141776938,0.0056710775047259,0.11531190926276,0.00189035916824197,0.0151228733459357,0.0926275992438563,0.0737240075614367,0.0132325141776938,0.0415879017013233,0.0113421550094518,0.00189035916824197,0.156899810964083,0.00945179584120983,0.00189035916824197,0,0.00378071833648393,0.00378071833648393,0.00189035916824197,0,0,0,0,0,0,0,0,0
80,4534,0.0100200400801603,0.00601202404809619,0.284569138276553,0.00400801603206413,0.00400801603206413,0.00400801603206413,0.164328657314629,0.0440881763527054,0.00601202404809619,0.100200400801603,0,0.00200400801603206,0.0541082164328657,0.0761523046092184,0.0220440881763527,0.0681362725450902,0.0120240480961924,0.00400801603206413,0.108216432865731,0.0120240480961924,0.00400801603206413,0,0.00200400801603206,0.00200400801603206,0,0.00400801603206413,0,0,0,0,0.00200400801603206,0,0,0
90,5116,0.0118577075098814,0.0138339920948617,0.090909090909091,0.0118577075098814,0.00395256916996047,0.00197628458498024,0.199604743083004,0.0474308300395257,0.00395256916996047,0.185770750988142,0,0.00592885375494071,0.0217391304347826,0.0652173913043478,0.0197628458498024,0.0355731225296443,0.0158102766798419,0.00197628458498024,0.235177865612648,0.00395256916996047,0.0138339920948617,0,0.00395256916996047,0.00197628458498024,0,0.00197628458498024,0.00197628458498024,0,0,0,0,0,0,0
95,5407,0.0148698884758364,0.00743494423791822,0.0724907063197026,0.00557620817843866,0.00371747211895911,0.00371747211895911,0.0631970260223048,0.0576208178438662,0.00371747211895911,0.198884758364312,0.00743494423791822,0.00929368029739777,0.0464684014869888,0.0817843866171004,0.0278810408921933,0.0353159851301115,0.0111524163568773,0.00743494423791822,0.321561338289963,0.00557620817843866,0.00743494423791822,0,0.00185873605947955,0.00185873605947955,0,0.00185873605947955,0.00185873605947955,0,0,0,0,0,0,0
100,5697,0.0174757281553398,0.0058252427184466,0.0718446601941748,0.00388349514563107,0.0058252427184466,0.00388349514563107,0.0252427184466019,0.0349514563106796,0.00776699029126214,0.254368932038835,0,0.00388349514563107,0.135922330097087,0.0621359223300971,0.00970873786407767,0.0310679611650485,0.00970873786407767,0,0.299029126213592,0.00194174757281553,0.0058252427184466,0,0,0,0,0.00194174757281553,0.00194174757281553,0.00194174757281553,0,0.00194174757281553,0,0.00194174757281553,0,0
105,5988,0.017175572519084,0.0114503816793893,0.0229007633587786,0.00572519083969466,0.0152671755725191,0.00572519083969466,0.0152671755725191,0.0343511450381679,0.00381679389312977,0.185114503816794,0,0.00190839694656489,0.0381679389312977,0.0744274809160305,0.0152671755725191,0.0343511450381679,0.0133587786259542,0.00190839694656489,0.477099236641221,0,0.0133587786259542,0,0,0.00572519083969466,0.00190839694656489,0.00572519083969466,0,0,0,0,0,0,0,0
110,6277,0.0255941499085923,0.00731261425959781,0.0457038391224863,0.00731261425959781,0,0.00182815356489945,0.0182815356489945,0.0219378427787934,0.00731261425959781,0.191956124314442,0,0.0036563071297989,0.0146252285191956,0.102376599634369,0.0109689213893967,0.0146252285191956,0.00731261425959781,0.00548446069469835,0.497257769652651,0.00182815356489945,0.0109689213893967,0,0,0.00182815356489945,0.00182815356489945,0,0,0,0,0,0,0,0,0
