"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Cephalanthus","cf..Gentiana","Coptis","Corylus","Cyperaceae","Diphasiastrum.complanatum.type","Ephedra","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Huperzia.lucidula","Indeterminable","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Nyssa","Ophioglossaceae","Osmundaceae","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.palustris","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarracenia","Sparganium","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium","Zea.mays"
397.5,6046,0,3,35,5,0,3,0,0,0,0,34,1,9,0,0,0,0,0,0,0,0,0,1,0,191,20,19,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,1,0,10,10,0,5,1,0,2,0,0,0,82,0,0,0,0,0,2,0,2,0,5,149,0,47,3,0,0,0,0,0,0
422.5,6690,0,4,32,2,1,4,0,0,1,0,50,2,6,0,0,0,0,0,1,6,0,0,0,0,124,20,14,0,14,8,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,15,1,3,0,5,16,0,9,1,0,6,1,0,0,76,0,0,0,0,0,0,0,0,0,10,140,0,35,1,0,0,0,0,0,0
447.5,7371,0,3,29,4,2,1,0,2,0,0,50,8,7,0,1,0,0,0,4,2,0,0,0,0,96,32,15,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,12,24,0,3,0,0,3,0,0,0,89,0,0,0,0,0,0,0,0,0,7,183,0,45,1,0,0,0,0,0,0
472.5,8084,0,3,36,2,2,5,0,1,0,0,33,5,5,0,0,0,0,0,4,5,0,0,0,0,32,25,26,0,20,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,22,0,4,1,25,34,0,6,1,0,17,0,0,0,112,0,1,0,0,2,0,0,1,0,6,188,0,41,2,1,0,0,0,0,0
487.5,8527,0,3,14,6,0,3,0,3,2,0,26,0,4,0,1,0,0,0,2,2,0,0,0,0,5,21,21,0,11,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,20,1,2,2,33,68,1,3,0,0,9,0,0,0,119,0,0,0,0,0,0,0,0,1,14,172,0,42,3,1,0,0,0,1,0
502.5,8978,0,4,34,4,3,1,0,2,0,0,31,0,8,0,0,1,0,0,2,3,0,0,0,0,5,17,23,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,2,7,37,90,0,2,1,0,22,0,0,0,127,0,0,0,0,1,0,0,0,1,13,163,0,43,3,0,0,0,0,1,0
517.5,9438,1,3,26,6,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,10,94,157,0,4,0,0,16,0,0,0,125,0,0,0,0,0,0,0,0,0,4,84,0,30,0,0,0,0,0,0,0
532.5,9906,4,3,11,5,0,0,0,2,0,0,50,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,6,13,180,167,0,2,4,0,15,0,0,0,125,0,0,0,0,3,0,0,0,0,0,16,0,39,0,0,0,0,0,0,0
547.5,10381,7,2,6,6,0,4,0,1,1,0,42,0,3,0,0,1,0,0,3,1,0,0,0,0,1,1,16,0,18,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,32,2,11,13,124,179,0,2,4,0,20,0,0,0,145,0,0,0,0,1,0,0,0,1,0,9,0,25,1,0,0,0,0,0,0
562.5,10861,7,2,23,7,0,3,0,0,0,0,43,0,2,0,1,0,0,0,5,3,0,0,0,0,0,0,15,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,4,11,112,147,0,0,1,0,9,0,0,0,123,0,0,0,0,0,0,0,0,0,0,2,0,41,1,1,0,0,0,0,0
577.5,11346,63,0,7,5,0,0,0,5,3,0,40,0,3,0,0,0,0,0,3,11,3,0,0,0,2,0,10,0,16,1,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,21,111,19,40,38,136,0,0,3,0,7,4,1,1,54,0,0,0,0,1,0,1,1,0,0,9,9,28,0,0,0,0,0,0,0
592.5,NA,9,0,3,26,2,4,1,12,7,0,23,0,2,0,0,0,1,0,1,20,5,0,0,0,1,0,6,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,25,275,23,33,14,101,0,0,11,0,2,4,0,0,39,0,0,2,0,4,0,1,1,0,0,10,0,9,2,0,0,0,0,0,0
603.5,NA,7,0,4,35,4,4,0,25,8,0,39,0,2,0,0,0,0,0,6,22,1,0,0,0,0,1,12,0,23,2,0,0,0,0,26,1,0,0,1,0,0,0,0,0,1,0,30,264,14,52,14,93,0,0,22,0,6,5,0,0,48,1,1,2,0,10,0,4,0,1,0,12,0,19,2,0,0,0,0,1,0
611.5,NA,14,0,3,25,1,12,1,10,10,0,14,0,2,0,1,0,0,0,10,26,1,0,0,0,0,1,13,0,9,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,25,262,13,37,7,80,1,0,10,1,5,4,0,0,50,0,0,1,0,6,0,0,3,2,0,15,0,14,4,0,0,0,0,0,0
619.5,NA,9,0,0,0,1,6,0,18,11,0,12,0,1,0,0,0,0,0,1,52,2,0,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,22,339,10,37,0,50,0,1,23,0,3,7,2,0,50,1,0,0,0,0,0,4,0,1,0,1,0,6,0,0,0,0,0,0,0
626.5,NA,3,3,0,2,0,2,0,9,4,1,7,0,4,0,0,0,0,0,2,15,0,0,0,0,0,0,7,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,385,7,25,2,36,0,0,8,0,4,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
632.5,NA,8,7,0,14,2,17,0,26,15,0,9,0,2,0,0,0,0,0,3,59,1,0,0,0,0,2,40,0,40,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,23,273,7,55,6,75,0,0,29,0,12,5,0,0,65,0,0,0,0,21,0,3,1,1,0,0,0,1,2,1,1,0,0,0,0
