"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
420,3923,1,0,0,0,23,6,4,0,0,28,4,0,64,0,0,0,7,1,12,0,0,0,0,1,0,0,0,3,1,4,0,5,1,0,0,0,0,3,0,0,0,26,2,73,0,0,17,3,0,1,70,0,0,0,4,1,0,0,0,0,1,1,1,2,7,0,0
430,4096,0,0,0,0,27,3,1,0,0,19,5,0,55,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,19,0,42,0,0,21,0,0,0,85,0,0,0,7,0,0,0,0,0,0,0,0,0,7,1,0
440,4270,0,0,0,1,24,3,11,2,0,19,6,0,89,0,0,0,7,2,9,0,0,2,0,0,0,0,0,2,4,6,0,3,0,0,0,0,0,1,0,0,0,15,3,48,0,0,19,8,0,1,88,0,0,0,2,1,0,0,0,0,0,1,0,0,6,1,0
450,4443,0,0,0,0,36,5,23,0,0,38,9,0,40,0,0,0,3,1,12,0,0,0,0,0,0,0,0,3,0,3,0,14,0,0,0,0,1,1,0,0,0,9,0,42,0,0,32,2,0,3,81,0,0,0,5,1,0,0,1,2,0,1,0,0,7,1,0
460,4617,0,1,0,2,33,9,24,2,0,22,5,0,39,0,0,0,6,2,7,0,1,0,0,0,0,0,0,4,5,0,0,11,0,0,0,0,0,0,0,0,0,11,3,45,0,0,27,0,0,1,114,9,0,0,3,0,0,0,0,1,0,0,0,0,2,1,0
470,4790,0,0,0,2,23,3,16,1,0,35,5,0,27,0,0,0,9,0,8,1,0,3,0,0,0,0,1,3,0,3,0,3,0,0,0,1,0,1,1,0,0,4,1,46,0,0,31,3,0,4,85,0,0,0,5,0,0,0,0,0,1,0,0,0,4,1,0
480,4964,2,0,0,0,27,4,23,0,0,34,4,0,30,0,0,0,8,0,8,1,0,1,0,0,2,0,0,1,0,1,0,6,0,0,1,0,0,0,0,0,0,5,0,55,0,0,32,2,0,4,83,0,0,0,6,0,0,0,1,0,1,0,0,4,5,1,0
490,5137,0,0,0,0,29,13,23,1,0,41,7,0,24,0,2,0,3,1,8,1,0,0,0,0,0,0,0,0,1,11,0,3,0,0,0,0,0,1,0,0,0,8,1,41,0,0,40,0,0,0,70,0,0,0,8,1,0,0,0,0,0,0,0,2,8,2,0
500,5311,2,0,0,0,33,3,12,0,0,19,4,0,50,0,0,0,4,2,10,0,0,0,0,0,1,0,0,2,4,6,0,8,0,0,0,1,0,5,0,0,0,15,3,71,0,0,22,5,0,3,85,0,0,0,4,1,0,0,0,0,0,0,0,0,5,2,0
520,5658,0,0,0,1,21,6,12,1,0,41,10,0,24,0,0,0,2,2,8,1,0,2,0,0,0,0,0,1,4,5,0,5,1,0,0,0,0,1,0,0,0,8,2,51,0,0,73,1,0,0,56,0,0,0,5,0,0,0,0,0,0,1,0,0,3,0,0
540,6005,1,0,0,1,27,15,8,2,0,97,8,1,15,0,1,0,5,3,16,0,1,0,0,0,0,0,0,3,1,4,0,8,1,0,0,0,0,0,0,0,0,7,2,46,0,0,80,1,0,0,39,0,0,0,2,0,0,0,1,1,0,1,0,0,7,1,0
560,6352,1,0,0,0,19,10,17,1,0,63,10,0,15,0,0,0,2,2,11,0,0,0,0,0,1,0,0,2,4,6,0,7,0,0,0,0,0,0,0,0,0,8,0,73,1,0,71,0,0,1,50,0,0,0,5,1,0,0,0,0,0,2,0,4,8,2,0
580,6699,0,0,0,0,6,10,39,0,2,87,3,0,12,0,0,0,6,0,9,0,0,0,0,0,0,0,0,1,4,5,0,7,0,1,0,0,0,0,0,0,0,9,2,39,0,0,51,0,0,1,73,0,0,0,4,1,0,0,1,0,1,0,0,1,2,4,0
600,7046,0,1,0,0,10,10,19,2,0,108,9,0,6,0,0,0,4,0,9,0,0,0,0,0,0,0,0,3,1,4,0,8,0,1,0,0,0,0,0,1,0,3,1,40,0,0,70,0,0,1,50,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0
620,7393,0,0,0,0,11,10,19,0,0,117,7,0,5,0,1,0,2,2,15,0,0,0,0,0,0,0,0,1,3,4,0,7,3,1,0,1,0,0,0,0,0,5,0,49,0,0,66,0,1,2,51,0,0,0,3,2,0,0,0,1,0,0,0,0,6,1,0
640,7740,0,0,0,0,12,9,25,0,0,103,2,0,10,1,0,0,5,1,16,0,0,2,0,0,0,0,0,1,5,6,0,3,1,0,0,0,0,0,0,0,0,6,3,45,0,0,65,1,1,3,50,0,0,0,3,0,0,0,0,0,0,0,0,1,5,1,0
660,8087,0,1,0,0,6,15,21,0,0,87,3,0,14,0,0,0,3,2,8,0,1,1,0,0,0,0,0,2,1,3,0,6,2,0,0,0,0,0,0,0,0,5,4,54,0,0,50,1,1,2,72,0,0,0,5,4,0,0,0,0,0,0,0,0,6,2,0
670,8260,0,0,0,0,2,10,40,0,0,79,5,0,11,0,0,0,3,0,10,0,0,0,0,1,0,0,0,1,0,11,0,8,3,0,0,0,0,0,0,0,0,3,0,28,0,0,42,0,0,1,88,0,0,0,2,3,0,0,0,0,0,0,0,2,6,1,0
680,8434,0,0,0,1,8,16,26,0,0,95,3,0,6,0,0,0,7,5,17,1,0,1,0,0,0,0,0,2,1,3,0,12,5,0,1,0,0,0,0,0,0,5,1,25,0,0,40,2,0,3,88,0,0,0,4,0,0,0,0,0,0,0,0,0,7,2,0
690,8607,0,0,0,0,5,16,47,0,0,77,5,0,7,0,0,0,2,5,8,0,0,0,0,0,0,0,0,1,4,5,0,5,7,1,0,0,0,0,0,0,0,4,0,42,0,0,42,0,0,0,63,0,0,0,4,0,0,0,0,0,0,0,0,1,11,0,0
700,8781,0,0,0,0,4,17,39,1,0,107,5,0,7,0,0,0,1,7,19,0,0,0,1,0,1,0,0,2,0,2,0,10,5,0,0,0,0,0,0,0,0,2,1,47,0,0,65,0,0,2,45,0,0,0,3,1,0,0,0,0,0,0,0,2,5,0,0
710,8954,0,0,0,0,4,21,24,0,0,91,4,0,5,0,0,0,1,1,11,0,0,0,0,0,0,0,0,1,0,1,0,6,1,0,1,0,0,0,0,0,0,1,9,85,0,0,30,0,0,6,23,0,0,0,3,1,0,0,0,0,0,0,0,1,14,1,0
720,9103,0,0,0,0,11,13,24,1,0,53,5,0,14,0,0,0,7,4,18,0,0,2,0,0,0,0,0,3,2,5,0,3,2,0,1,0,0,1,0,0,0,2,6,150,0,0,36,0,0,3,18,0,0,0,7,0,1,0,0,1,1,0,0,3,5,1,0
730,9228,0,0,0,0,10,7,10,0,0,45,3,0,9,0,0,0,1,17,10,0,0,2,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,5,4,187,0,0,30,1,0,9,11,0,0,0,1,1,0,0,0,0,0,0,0,0,8,5,0
740,9353,1,0,0,0,5,17,15,0,0,35,7,0,12,0,2,2,2,5,14,0,0,1,0,0,0,0,0,1,2,3,0,6,0,0,2,0,0,1,0,0,0,7,5,222,0,0,26,2,1,8,8,0,0,0,5,1,0,0,0,0,0,0,0,1,7,1,0
760,9603,0,0,0,0,2,5,4,0,0,14,7,0,5,0,0,0,2,3,6,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,4,1,236,0,0,17,0,0,5,10,0,0,0,3,1,0,0,0,0,0,0,0,0,9,3,0
780,10245,0,0,0,0,3,2,6,0,0,6,0,0,27,0,1,1,3,0,9,0,0,2,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,0,0,0,2,6,224,0,0,5,0,0,5,6,0,0,0,2,1,0,0,0,0,0,0,0,0,16,1,0
790,10566,0,0,0,0,0,0,2,0,0,7,1,0,27,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,2,0,0,0,3,9,227,0,0,3,2,0,12,8,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0
800,10887,0,1,0,1,2,0,3,0,0,7,1,0,20,0,0,0,3,1,4,0,0,0,0,0,0,0,0,2,4,6,0,4,2,0,3,0,0,1,0,0,0,2,12,236,0,0,7,5,0,7,10,0,0,0,1,0,0,0,0,0,0,0,0,1,18,1,0
810,NA,0,0,0,0,0,1,1,0,0,12,2,0,16,0,0,0,3,8,4,0,0,1,0,0,0,0,0,4,3,7,0,7,0,0,1,0,0,2,0,0,0,4,27,201,0,0,4,5,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
820,NA,0,0,0,0,1,3,4,0,0,33,4,0,21,0,0,0,3,7,7,0,0,1,0,0,0,0,0,3,7,10,0,6,0,0,0,0,0,9,0,0,0,3,144,38,0,0,15,3,0,1,12,0,0,0,5,0,0,2,0,0,0,0,0,1,8,1,0
830,NA,0,0,0,1,7,2,1,0,0,48,4,0,28,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,9,9,0,2,0,0,0,0,0,8,0,0,0,4,149,4,0,0,13,6,0,0,7,0,0,0,14,0,0,3,0,0,0,0,0,0,10,1,0
840,NA,0,1,0,0,4,1,2,0,0,42,1,0,11,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,7,0,0,0,0,200,12,0,0,4,1,0,0,6,0,0,0,12,1,0,1,0,0,0,0,0,1,2,1,0
850,NA,0,0,0,0,3,5,3,0,0,51,6,0,16,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,5,0,0,0,1,170,10,0,0,9,11,0,0,8,0,0,0,5,0,0,2,0,0,0,0,0,0,4,1,0
860,NA,0,0,0,0,2,4,7,0,0,62,6,0,4,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,2,2,0,2,1,1,0,0,0,3,0,0,0,3,218,11,0,0,9,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,6,0,0
870,NA,0,0,0,0,1,9,10,0,0,44,0,0,9,0,0,0,2,4,9,0,0,4,0,0,0,0,0,1,5,6,0,6,1,0,0,0,0,0,0,2,0,9,194,4,0,0,3,5,0,0,9,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0
880,NA,0,0,0,0,0,1,11,0,0,17,3,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,313,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
887,NA,0,0,0,0,0,5,8,0,0,20,2,0,6,0,0,0,0,0,48,0,0,9,0,0,0,0,0,0,3,3,0,31,0,0,0,0,0,2,0,0,0,5,163,19,0,0,9,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0
900,NA,1,0,0,0,2,0,12,0,0,23,3,0,8,0,0,0,0,5,40,0,0,10,0,0,4,1,0,0,4,4,0,34,1,0,0,0,0,1,0,0,0,4,213,8,0,0,6,4,0,0,3,0,0,0,3,0,0,1,0,1,0,0,0,0,5,5,0
