"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum","Acer.undiff.","Alnus","Betula.undiff.","Betula..small.","Castanea","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans","Juniperus.Thuja","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Thalictrum"
42,3856,528,6,0,6,3,46,0,0,0,5,2,1,0,0,0,0,18,10,186,11,204,18,0,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
43.5,4054,667,14,0,8,7,88,0,0,0,0,0,0,0,1,0,0,32,8,174,11,238,68,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
45,4252,506,6,0,17,6,91,0,0,0,0,0,0,0,1,0,0,23,18,83,32,145,76,1,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
47,4517,768,12,0,5,6,134,0,0,0,0,1,1,0,0,0,1,40,22,202,27,246,50,1,1,0,0,0,16,1,0,0,0,0,0,0,0,1,0,1,0
48,4649,650,14,0,5,8,80,0,0,0,0,0,0,0,1,0,0,24,26,119,39,250,73,1,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
49,4781,577,21,0,3,7,64,0,0,0,0,0,0,0,0,0,0,32,32,116,46,166,64,1,1,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0
50,4913,494,11,0,6,9,77,0,0,0,0,0,0,0,0,0,0,15,32,50,62,96,77,0,0,0,0,0,55,0,0,0,0,0,2,0,0,1,0,1,0
52,5177,858,18,0,1,6,128,0,0,0,1,1,0,0,0,0,2,23,10,232,14,236,109,0,2,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,1
53.5,5376,598,14,0,4,5,31,0,0,2,0,1,0,0,0,0,0,15,23,116,46,196,103,0,2,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0
55,5574,945,22,0,7,8,58,0,0,0,0,0,0,0,0,0,0,40,25,174,50,348,199,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
57,5838,564,6,0,2,3,40,0,0,0,0,0,0,0,0,0,1,36,3,216,3,232,16,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
60,6234,523,17,0,0,8,41,0,0,0,0,0,0,0,2,0,1,52,9,154,10,178,25,9,0,0,0,0,6,1,0,0,0,0,2,0,0,6,0,2,0
62.5,6564,583,5,0,1,24,126,0,0,0,0,0,0,0,0,0,0,15,7,128,10,188,64,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,2,0
65,6894,551,22,0,5,59,186,0,0,0,0,0,0,0,8,0,0,62,0,44,0,86,42,3,1,1,0,0,5,0,0,0,0,0,15,0,0,6,1,5,0
67,7159,365,14,0,1,57,113,0,0,6,0,0,0,0,0,1,0,62,0,18,0,37,19,8,8,4,0,0,0,0,0,0,0,0,3,0,0,10,1,3,0
70,7759,359,4,0,2,8,60,0,0,0,0,1,0,0,3,0,0,150,1,30,1,38,9,12,4,14,1,0,1,0,0,2,1,1,7,0,0,6,0,3,0
72,8567,415,12,0,1,14,55,24,0,1,0,1,0,0,0,0,2,192,3,18,4,23,6,1,1,10,0,0,0,1,0,2,0,0,7,0,0,33,1,3,0
75,9780,332,1,0,4,13,124,0,0,0,0,0,0,0,4,0,0,120,0,5,0,12,7,6,1,9,0,0,0,0,0,0,0,1,3,0,0,19,3,0,0
