"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Amorpha","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dalea","Fraxinus.nigra","Fraxinus.pennsylvanica","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polypodiaceae","Potamogetonaceae","Quercus","Salix","Tilia","Typha.latifolia","Ulmus"
260,2890,0,0,3,9,40,0,0,20,18,4,7,2,1,29,1,1,2,0,4,0,4,0,58,4,36,0,0,71,0,2,2,12
280,3111,0,1,5,4,43,0,0,21,13,9,2,0,6,28,0,1,1,1,1,0,4,2,53,13,56,0,1,88,0,0,1,15
300,3324,0,0,6,13,42,0,1,30,21,10,3,0,7,28,0,0,4,2,1,0,10,1,50,7,50,1,0,74,2,2,0,13
320,3513,0,2,5,34,35,0,5,38,21,7,4,0,4,41,1,0,1,1,2,0,4,2,45,4,56,0,0,51,5,2,3,13
340,3701,0,0,3,10,33,0,3,25,22,5,1,1,3,46,0,0,0,0,1,0,0,4,48,4,54,1,3,68,3,2,2,11
360,3890,0,0,4,16,51,0,2,33,13,5,11,0,3,21,0,0,0,2,4,0,12,2,50,3,46,0,0,72,1,2,0,10
380,4078,0,0,4,28,62,0,0,28,25,5,5,0,4,34,0,0,1,0,1,0,1,0,33,7,50,3,2,47,2,1,2,16
400,4291,0,0,3,6,94,0,2,7,17,20,4,1,1,1,0,0,0,1,3,0,2,0,8,1,41,1,0,48,1,4,1,6
420,4577,0,0,2,7,75,0,2,37,16,6,5,5,4,25,0,1,5,1,2,0,3,0,27,1,62,0,0,44,2,1,2,4
440,4863,0,1,1,11,92,1,1,20,20,6,0,0,6,25,0,1,3,0,0,0,2,0,22,2,54,0,1,48,2,1,1,2
460,5149,0,1,1,10,55,3,3,30,20,3,1,1,4,28,0,2,1,0,0,0,0,2,41,5,68,0,1,56,3,0,1,8
480,5435,0,0,1,24,56,0,1,42,18,2,4,0,5,32,0,1,3,0,2,0,2,2,39,3,53,0,1,42,5,0,3,7
500,5738,0,1,2,18,53,1,0,34,16,2,2,0,0,31,0,0,1,1,1,0,2,3,41,4,63,1,1,39,0,0,1,6
520,6093,0,1,1,24,75,0,0,18,16,1,5,1,8,45,0,1,1,0,0,0,1,2,31,2,62,1,1,34,1,0,0,7
540,6448,0,0,4,28,83,1,2,28,16,0,3,0,3,31,1,0,4,0,0,0,0,1,20,5,62,0,3,52,5,1,0,5
560,6803,1,2,2,20,80,0,0,33,14,4,5,0,1,32,3,1,0,0,3,0,4,1,40,4,41,0,5,50,4,2,0,12
580,7159,0,0,6,27,83,1,2,22,8,1,3,0,2,26,1,0,2,1,0,0,4,1,30,0,68,0,3,41,0,1,0,6
600,7439,0,1,1,31,69,0,0,28,8,0,1,0,1,15,0,1,2,1,2,0,3,2,27,5,77,2,0,45,7,0,0,14
620,7607,0,1,1,18,85,2,0,33,9,3,3,1,3,26,1,0,1,1,1,0,3,1,20,2,68,1,0,52,3,0,0,14
640,7774,0,0,1,10,72,1,0,28,15,3,4,2,6,38,2,0,3,0,4,0,7,2,17,2,80,0,2,30,2,1,2,16
660,7942,1,2,1,17,132,0,0,7,10,0,0,1,5,23,1,0,2,0,1,0,2,2,23,1,74,0,1,55,2,0,0,17
680,8110,0,2,1,19,94,1,2,24,10,4,2,0,7,43,0,2,0,1,2,0,4,4,24,1,96,1,1,38,2,0,2,24
700,8326,0,1,1,21,80,0,2,25,2,4,2,1,5,30,1,0,0,0,1,1,1,7,23,0,53,1,4,29,2,2,0,31
720,8686,0,2,0,28,62,0,1,28,10,3,4,1,5,81,0,2,1,1,0,0,4,5,22,2,82,0,10,38,6,1,5,18
740,9047,0,1,3,33,51,1,1,25,9,2,7,1,3,48,1,1,0,0,1,0,4,1,27,1,77,1,5,37,7,0,0,16
760,9143,2,5,4,17,59,0,0,25,14,4,11,6,4,27,0,5,2,4,2,0,9,8,27,1,60,6,0,83,3,1,3,49
780,9240,1,6,1,19,50,0,0,8,5,1,12,1,2,17,0,4,2,2,1,0,6,3,19,2,37,6,2,133,6,1,2,68
800,9510,0,0,3,18,47,0,0,11,2,6,6,2,4,17,0,6,0,2,0,0,13,3,15,1,29,7,1,88,4,0,3,46
840,10236,0,11,1,4,13,0,0,3,2,1,28,2,2,4,0,17,2,1,0,2,25,0,19,1,11,6,0,64,2,1,1,182
860,10600,4,13,7,12,6,0,0,8,2,11,17,4,3,7,0,40,3,6,1,3,10,6,44,1,11,17,5,137,3,3,2,145
880,11922,23,3,38,5,11,0,0,16,2,49,0,5,1,16,0,30,1,0,0,6,7,78,6,0,15,2,3,32,3,0,1,39
910,NA,8,2,2,4,11,0,0,3,2,9,11,7,5,14,0,43,1,6,0,5,20,12,22,0,4,7,0,109,3,3,1,103
920,NA,2,3,12,8,18,0,0,8,3,7,11,3,0,20,0,19,1,4,0,0,15,32,23,0,16,5,0,81,6,1,2,91
940,NA,5,2,11,4,15,0,0,24,2,5,1,7,1,10,0,62,2,0,0,1,26,83,5,0,12,5,0,12,1,0,0,18
960,NA,1,1,2,1,16,0,0,10,4,1,1,0,4,9,0,42,2,0,0,4,5,212,2,0,7,5,0,8,3,0,1,4
980,NA,0,1,11,5,7,0,0,44,6,2,1,12,37,43,0,5,1,0,0,17,2,192,10,0,25,7,0,16,1,0,0,1
990,NA,1,0,0,1,1,0,0,8,0,0,0,2,29,15,0,0,0,0,0,1,3,53,4,0,6,5,0,3,1,0,0,0
1010,NA,0,0,1,1,1,0,0,7,5,1,1,4,16,20,0,1,0,0,0,2,2,60,15,0,3,5,0,1,1,0,0,0
