"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
525,4457,8,8,13,0,0,0,0,0,270,0,0,0,0,10,0,8,3,3,0,1,0,0,2,1,3,4,7,46,6,0,0,0,10,1,0,0,0,1,0,0,2,5,1,1,0,20,1,2
535,4534,0,5,16,0,0,0,1,0,308,0,1,0,1,6,0,10,7,3,1,0,1,1,1,0,2,0,6,28,6,1,0,2,8,0,0,0,0,0,0,0,1,4,0,0,0,24,0,3
545,NA,2,9,7,0,0,0,0,1,231,0,0,1,0,5,0,7,5,3,2,1,1,1,0,0,2,1,2,57,2,0,2,1,8,0,0,0,1,0,0,0,0,0,0,0,0,83,0,4
555,NA,3,11,13,0,0,0,2,1,296,0,0,1,0,0,0,9,10,4,2,1,1,0,0,0,1,3,8,64,2,0,0,1,15,0,0,0,1,0,0,0,1,4,0,0,0,80,0,8
565,NA,1,12,14,0,0,1,1,0,218,0,0,1,0,4,0,7,8,7,0,1,0,1,0,0,2,4,14,52,4,0,1,0,10,0,2,0,0,0,0,0,0,3,0,0,0,77,0,6
575,NA,4,7,9,0,0,1,0,0,161,0,0,0,0,4,0,6,0,0,0,0,0,2,0,0,2,4,12,61,5,0,0,0,12,0,0,0,0,0,0,0,1,5,0,2,0,49,1,6
585,NA,2,7,9,0,1,0,0,0,230,0,0,2,0,1,0,2,3,2,0,0,1,2,1,0,2,4,11,48,6,0,1,0,7,0,0,0,0,0,0,0,1,2,0,1,0,77,0,1
595,NA,9,8,12,1,0,1,0,1,217,0,0,1,0,3,0,5,7,2,0,0,1,1,0,0,1,2,6,77,3,0,1,0,21,0,0,0,0,0,0,0,0,5,0,2,0,60,0,4
605,NA,9,8,8,0,0,0,1,1,223,0,0,1,0,0,0,9,6,3,1,2,0,1,0,0,0,2,11,71,7,0,1,1,17,0,0,0,0,0,0,0,0,4,1,0,0,67,0,11
615,NA,3,9,3,1,1,0,1,0,187,0,0,5,0,1,0,0,12,1,0,0,1,1,0,0,6,18,18,115,48,0,0,3,26,0,1,0,1,0,0,0,0,4,0,0,0,4,0,5
625,NA,20,6,13,0,1,0,0,2,243,0,0,6,0,1,0,2,4,12,0,1,1,8,0,0,1,32,40,93,5,0,2,10,37,0,0,0,3,0,0,0,0,11,0,0,0,5,0,9
635,NA,39,2,16,0,0,0,1,0,260,1,0,4,0,1,1,0,10,4,0,1,1,4,0,0,11,26,55,41,2,0,1,2,31,0,1,0,1,0,0,1,1,4,0,0,0,1,0,2
645,NA,37,0,23,0,0,0,2,0,268,1,0,1,0,2,0,0,3,3,0,1,2,4,0,0,3,40,39,47,4,0,1,9,19,0,1,0,2,0,0,0,0,3,1,0,0,3,0,4
655,NA,26,3,8,0,0,0,3,2,252,0,0,2,0,6,0,0,5,7,0,2,4,5,0,0,8,41,33,35,7,0,2,5,21,0,0,0,1,0,0,0,0,1,0,0,0,2,0,4
665,NA,23,2,2,0,0,0,1,0,171,0,0,1,0,0,0,0,6,8,0,2,5,0,0,0,1,23,43,26,0,0,2,4,22,0,0,0,1,0,0,0,0,3,0,0,0,1,1,4
670,NA,31,1,17,0,0,0,3,0,248,1,0,2,0,0,0,0,6,2,1,6,4,3,0,0,9,27,43,32,3,0,2,10,23,0,0,0,4,0,0,0,0,1,0,0,0,1,0,5
675,NA,15,0,26,1,0,0,0,0,274,1,0,3,0,1,0,0,7,8,0,2,1,1,0,0,4,19,21,65,20,0,1,7,29,0,1,1,1,0,0,0,0,6,0,1,0,2,0,4
680,NA,49,1,16,0,1,0,1,0,204,0,1,1,0,1,0,0,5,9,0,4,0,0,0,0,1,32,25,38,4,0,0,10,25,0,1,0,3,0,0,0,0,1,0,0,0,1,1,7
684,NA,38,1,18,0,1,0,1,1,119,1,1,0,0,2,0,0,1,7,0,5,9,1,0,0,7,31,36,22,2,0,2,5,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
687,NA,28,2,11,0,1,0,5,0,165,2,0,1,0,0,0,0,1,4,0,1,4,2,0,0,2,46,35,22,0,0,2,9,19,0,2,0,1,0,0,0,0,0,1,0,0,1,0,11
690,NA,9,1,23,0,0,0,3,1,63,0,0,0,0,8,0,0,0,3,0,0,6,2,0,0,1,125,26,10,12,0,2,1,14,0,0,1,6,0,1,0,0,1,1,0,0,0,0,1
692,NA,5,1,21,0,0,0,3,2,49,0,0,0,0,6,0,0,1,4,0,1,13,2,0,0,4,134,48,7,3,0,2,6,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
694,NA,4,1,22,0,0,0,1,1,94,1,0,2,0,3,0,0,2,4,0,2,8,6,0,0,4,107,33,13,6,0,0,8,18,0,0,0,4,0,0,1,0,1,0,0,0,1,2,4
698,NA,4,0,22,0,0,0,0,1,94,0,0,1,0,10,0,0,0,2,0,1,3,2,0,0,1,88,21,17,5,0,5,16,3,0,0,0,5,0,0,1,0,4,0,0,0,1,0,0
702,NA,2,0,25,1,1,0,1,2,160,0,0,1,0,19,0,0,4,5,0,0,1,2,0,0,0,19,33,19,1,0,7,2,2,0,1,0,14,1,0,0,1,0,3,0,1,0,0,0
705,NA,2,0,28,1,0,0,2,5,45,1,0,0,0,95,1,0,2,6,0,0,6,0,0,0,4,15,18,9,1,0,2,0,4,0,2,0,14,0,0,0,2,0,1,0,0,1,0,4
