"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Cephalanthus","Cornus","Corylus","Cyperaceae","Ericaceae","Fabaceae","Fagus","Fraxinus","Galium","Indeterminable","Juglans","Lamiaceae","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Thalictrum","Tilia","Tsuga","Ulmus","Urtica.type"
329,4736,0,6,1,1,2,1,1,3,0,0,0,0,1,0,0,0,65,2,0,1,1,0,0,0,2,0,297,0,0,0,0,25,0,0,0,0,0,0,1,13,15,0
334,4978,1,20,5,2,2,7,1,15,4,0,0,2,3,0,0,0,61,3,0,4,0,0,2,0,6,2,421,0,0,0,1,40,0,0,1,0,0,0,2,24,20,0
339,5221,0,12,2,1,4,2,0,7,3,0,0,0,3,0,0,0,44,1,0,0,2,0,2,0,2,0,341,0,0,0,2,42,0,0,0,0,0,0,2,24,16,0
344,5463,1,5,2,0,0,5,0,10,1,0,0,0,5,0,0,0,21,1,0,1,0,0,1,0,2,1,475,0,0,0,1,25,0,0,0,0,0,0,0,81,5,0
349,5706,0,4,3,0,0,4,1,1,0,0,0,0,0,1,0,0,13,1,0,1,0,0,1,0,1,1,420,0,1,0,1,24,0,0,0,0,0,0,1,40,9,0
354,5949,2,0,4,0,7,1,1,6,0,0,0,1,1,1,0,0,7,0,0,4,0,0,3,0,8,0,507,0,1,0,0,45,0,0,0,0,0,0,3,31,12,0
359,6191,0,5,2,1,7,2,1,7,8,0,0,0,6,0,0,0,10,5,0,4,0,0,2,0,3,0,580,0,0,0,0,64,0,0,1,0,0,0,1,36,22,0
367,6579,0,4,4,0,3,5,1,1,1,0,0,1,4,0,0,0,5,3,0,1,1,0,1,0,7,1,559,0,1,0,2,59,0,0,0,0,0,0,1,8,19,0
372,6822,0,7,0,1,6,4,1,7,7,0,0,0,6,0,0,0,6,10,0,4,2,0,0,0,4,0,485,0,4,0,2,89,0,0,2,0,0,0,1,13,20,0
382,7307,0,7,0,0,5,5,0,5,7,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,4,1,423,0,0,0,0,49,0,0,0,0,0,0,0,4,17,0
387,7550,0,5,1,2,11,1,0,10,3,0,0,0,6,0,0,0,1,10,1,3,1,0,1,0,15,8,541,0,1,0,0,61,0,0,1,0,0,0,1,0,10,0
392,7792,1,0,0,2,4,2,2,7,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,5,1,367,0,2,0,1,33,0,0,0,0,0,0,0,0,15,0
397,8035,0,1,1,3,4,4,1,5,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,4,0,399,0,0,0,2,42,0,0,0,0,0,0,1,0,7,0
402,8278,0,3,0,1,10,3,1,10,2,0,0,0,2,0,0,0,0,5,0,3,0,0,2,0,8,2,516,0,0,0,0,21,0,0,0,0,0,0,0,0,13,0
412,8763,2,1,0,1,4,6,2,11,4,0,0,0,1,0,0,0,0,5,0,2,0,0,1,0,10,2,505,0,3,0,0,28,0,0,1,0,0,1,0,0,10,0
422,NA,1,0,0,0,2,6,1,6,10,0,0,0,1,0,0,0,1,0,0,5,1,0,5,0,6,2,369,0,0,0,1,21,0,0,1,0,0,0,0,0,13,0
427,NA,3,1,2,4,7,8,0,7,3,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,5,6,661,0,0,0,0,46,0,0,0,0,0,0,0,0,12,0
432,NA,0,2,0,0,4,8,0,10,2,0,0,0,2,0,0,0,0,6,0,2,2,0,2,0,7,10,548,0,2,0,0,41,0,0,0,0,0,0,1,1,10,0
437,NA,3,2,0,0,4,12,1,7,6,0,0,0,0,0,0,0,0,5,0,6,5,0,4,0,6,108,184,0,0,0,0,22,0,1,4,0,0,0,0,0,13,0
442,NA,0,0,0,2,1,24,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,166,25,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0
447,NA,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
