"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arenaria","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Campanula","Carya","Caryophyllaceae.undiff.","Castanea","Celtis","Cephalanthus","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eupatorium.type","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Humulus","Huperzia.lucidula","Ilex.Nemopanthus","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Melampyrum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.lapathifolium.type","Polypodium","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Prunus.type.undiff.","Prunus.cf..P..serotina","Pteridium.type","Quercus","Ranunculus.acris.type","Rhamnus","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Urtica.type"
1500,NA,0,0,19,1,5,5,0,0,1,0,1,0,0,0,90,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,72,1,5,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,8,27,10,0,1,0,0,0,0,3,0,0,0,1,41,0,0,1,0,0,0,0,0,1,0,41,0,4,1,0,0
1510,NA,0,0,2,0,0,2,0,2,0,0,0,0,0,0,78,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,106,33,0,0,0,0,0,0,4,0,0,0,1,66,0,0,1,0,1,0,0,1,0,0,4,0,5,0,0,0
1520,NA,1,0,2,2,0,7,0,0,1,0,0,0,1,3,110,0,0,1,0,3,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,8,15,76,0,0,2,0,0,0,0,6,0,0,0,4,81,0,0,0,0,3,0,0,0,0,0,13,0,4,0,0,0
1530,NA,0,0,4,3,1,9,0,0,0,0,0,0,1,2,74,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,25,105,0,0,3,0,0,0,0,1,0,0,0,2,83,0,0,1,0,0,0,0,0,0,0,22,0,4,0,0,0
1540,NA,1,0,7,0,3,6,0,0,0,0,0,0,1,1,66,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,29,89,13,0,1,0,0,1,0,3,0,0,0,2,99,0,0,1,0,0,0,0,0,0,0,44,1,5,0,0,0
1550,NA,0,0,1,1,2,16,0,0,1,4,0,0,2,1,80,0,0,0,0,0,0,0,0,0,0,14,1,1,1,0,0,1,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,36,105,0,0,3,0,0,0,0,6,0,0,0,6,124,0,0,1,0,0,0,0,0,0,0,19,0,6,1,0,0
1560,NA,1,0,3,1,2,6,0,0,0,1,0,0,1,6,60,0,0,0,0,1,0,0,0,0,0,14,0,4,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,47,171,0,0,5,0,0,0,0,4,0,0,0,8,76,0,0,2,0,0,0,0,0,0,0,11,0,4,0,0,0
1570,NA,0,0,3,2,0,9,0,6,0,0,0,0,0,4,83,0,0,0,0,0,0,1,0,0,0,30,0,4,0,0,0,1,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,39,24,0,5,0,0,3,0,5,0,0,0,11,93,0,0,1,0,0,0,0,0,0,0,2,0,5,3,0,0
1580,NA,0,0,2,0,2,2,0,5,0,0,1,0,0,1,93,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,0,0,3,0,0,7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,37,110,15,0,6,0,0,0,0,12,0,0,0,5,76,0,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0
1590,NA,0,0,0,0,5,2,0,2,0,1,0,0,0,2,72,0,0,0,0,0,0,0,0,1,0,5,1,2,2,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,104,26,0,0,0,0,0,0,0,0,0,0,1,76,0,0,2,0,0,1,0,2,0,1,49,1,5,1,0,0
1600,NA,14,0,2,0,3,6,0,14,1,0,0,0,0,0,116,0,0,0,0,1,0,2,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40,47,116,14,0,4,0,0,2,0,8,0,0,0,9,46,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0
1607,NA,8,0,0,0,0,15,25,25,0,0,0,0,0,1,108,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,9,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,9,0,0,1,0,3,0,0,2,0,0,0,0,1,7,33,10,24,2,0,3,0,0,0,0,13,0,0,1,31,21,0,0,0,0,9,0,0,0,0,0,1,0,1,2,0,1
1610,NA,0,0,0,0,2,2,0,61,1,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,45,22,28,17,0,4,0,0,2,0,7,0,0,0,33,15,0,0,1,0,8,0,0,0,1,0,3,0,2,1,0,0
1613,NA,10,0,0,2,0,11,25,28,0,0,0,0,1,0,43,0,0,0,0,1,0,0,0,0,0,4,1,0,0,6,0,13,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,77,16,19,8,0,3,0,0,0,0,14,0,0,0,18,17,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0
1617,NA,7,0,0,1,0,1,12,53,0,0,0,0,1,4,50,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,9,0,3,0,0,0,0,12,1,0,0,3,0,0,0,0,0,9,0,0,0,1,9,0,0,1,0,0,0,0,0,5,56,35,14,16,0,6,0,3,0,0,14,1,0,0,17,16,0,0,0,0,9,0,0,1,0,0,7,0,0,0,0,0
1620,NA,3,0,0,0,1,0,0,30,0,0,0,0,2,1,74,0,0,0,0,0,0,1,0,0,0,5,0,7,0,8,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,23,8,4,0,14,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,3,0,3,0,0,0
1623,NA,6,0,0,1,0,4,3,30,1,0,0,0,2,2,82,0,0,0,0,0,0,0,0,0,0,6,0,15,0,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,97,18,7,12,1,17,0,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,2,0,0,0,1,0
1627,NA,1,0,0,0,0,2,6,25,0,0,0,0,3,1,42,0,0,0,0,1,0,0,0,0,0,1,0,25,0,3,0,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,135,38,8,5,0,22,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1630,NA,0,0,0,0,0,0,0,7,0,0,0,0,1,2,27,0,0,1,0,0,0,0,0,0,0,1,3,11,0,6,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,60,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
1633,NA,1,0,0,0,0,0,0,0,0,2,0,0,5,2,8,0,0,0,0,0,1,0,0,0,0,1,0,8,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,214,40,1,4,1,3,0,0,0,0,0,0,0,0,2,8,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0
1635,NA,0,0,0,0,0,0,0,3,0,0,0,0,14,2,34,0,0,0,0,0,0,0,0,0,0,0,8,19,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,58,0,0,0,6,0,0,0,0,4,0,0,0,0,10,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0
1640,NA,0,0,0,0,0,0,0,3,0,0,0,0,9,5,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,25,0,0,0,0,1,0,0,0,19,0,0,0,0,7,0,0,3,0,2,0,0,1,0,0,0,0,0,3,0,0
1650,NA,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,5,0,0,0,0,0,0,1,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0
