"sample.depths","sample.ages","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Myrica","Populus","Poaceae","Alnus.viridis.subsp..crispa","Epilobium","Amaranthaceae","Ranunculaceae","Fraxinus","Acer","Plantago","Fagus","Larix","Rumex","Polygonum.viviparum","Ulmus","Ostrya","Abies","Cornus.canadensis","Castanea","Lamiaceae","Brassicaceae","Tsuga","Apiaceae","Juglans","Rosaceae","Saxifragaceae"
23,2125,0.00335289186923722,0.142497904442582,0.00670578373847443,0.0134115674769489,0.00838222967309304,0.46940486169321,0.0167644593461861,0.00167644593461861,0.000838222967309304,0.00335289186923722,0.00167644593461861,0.00335289186923722,0.0117351215423303,0.00167644593461861,0,0,0.00670578373847443,0.30176026823135,0,0.00167644593461861,0,0.00167644593461861,0.00167644593461861,0,0,0,0,0,0,0,0.00167644593461861,0,0,0,0,0,0,0,0,0
25,2312,0.00568720379146919,0.117535545023697,0.0113744075829384,0.009478672985782,0.0075829383886256,0.475829383886256,0.009478672985782,0.00568720379146919,0.0123222748815166,0.0018957345971564,0.00568720379146919,0.0018957345971564,0.009478672985782,0,0,0,0,0.322274881516588,0,0,0,0,0.0018957345971564,0,0,0,0,0,0,0.0018957345971564,0,0,0,0,0,0,0,0,0,0
27,2500,0.00482315112540193,0.154340836012862,0.0128617363344051,0.00964630225080386,0.0112540192926045,0.418006430868167,0.0321543408360129,0.00643086816720257,0.00160771704180064,0.00160771704180064,0.00160771704180064,0.00160771704180064,0.00482315112540193,0.00160771704180064,0.00160771704180064,0,0.00964630225080386,0.323151125401929,0,0,0.00160771704180064,0.00160771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,2735,0,0.140214216163583,0.00778967867575463,0.00973709834469328,0.00973709834469328,0.487828627069133,0.00389483933787731,0.00584225900681597,0.00584225900681597,0.00194741966893866,0.00194741966893866,0,0,0,0.00194741966893866,0,0.00778967867575463,0.313534566699124,0,0,0,0.00194741966893866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3251,0.0078740157480315,0.100393700787402,0.0078740157480315,0.00393700787401575,0.00196850393700787,0.446850393700787,0.00393700787401575,0.00590551181102362,0.00984251968503937,0.00196850393700787,0,0,0.00196850393700787,0.00196850393700787,0,0,0,0.403543307086614,0,0,0,0,0,0,0,0,0,0,0,0.00196850393700787,0,0,0,0,0,0,0,0,0,0
40,3720,0.00394866732477789,0.124383020730503,0,0.00197433366238894,0.00394866732477789,0.394866732477789,0.00987166831194472,0.00789733464955577,0.00493583415597236,0,0.00197433366238894,0.00394866732477789,0,0.00394866732477789,0.00197433366238894,0,0.00789733464955577,0.424481737413623,0,0,0.00197433366238894,0,0,0,0,0.00197433366238894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3875,0.0149532710280374,0.175700934579439,0,0.00747663551401869,0.00560747663551402,0.427102803738318,0.00186915887850467,0.00373831775700935,0.00654205607476636,0,0.00373831775700935,0,0.00373831775700935,0,0.00373831775700935,0,0,0.34018691588785,0,0,0,0,0,0,0,0.00186915887850467,0,0,0,0.00373831775700935,0,0,0,0,0,0,0,0,0,0
50,3951,0.00863309352517986,0.126618705035971,0.00575539568345324,0.00143884892086331,0.00287769784172662,0.480575539568345,0.00863309352517986,0.00287769784172662,0.00431654676258993,0.00143884892086331,0,0,0.00143884892086331,0.00431654676258993,0,0.00143884892086331,0.00719424460431655,0.341007194244604,0,0,0,0,0,0,0,0,0.00143884892086331,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4027,0.00736648250460405,0.136279926335175,0.00368324125230203,0.00736648250460405,0.00184162062615101,0.549723756906077,0.00736648250460405,0.00736648250460405,0.00828729281767956,0.00184162062615101,0,0.00184162062615101,0.00368324125230203,0,0.00184162062615101,0.00184162062615101,0.00184162062615101,0.257826887661142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4103,0.00150715900527506,0.183873398643557,0.00904295403165034,0.00452147701582517,0.00602863602110023,0.386586284853052,0.00602863602110023,0.00301431801055011,0.00753579502637528,0.00150715900527506,0,0.00150715900527506,0,0.00150715900527506,0,0.00150715900527506,0.00150715900527506,0.382818387339864,0,0,0,0.00150715900527506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4179,0.00164203612479475,0.246305418719212,0.00164203612479475,0.00821018062397373,0.00164203612479475,0.321018062397373,0.00656814449917898,0.00492610837438424,0.00738916256157635,0,0.00328407224958949,0.00164203612479475,0.00328407224958949,0,0,0.00164203612479475,0.00328407224958949,0.38423645320197,0,0.00328407224958949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4255,0.0044477390659748,0.259451445515196,0.0044477390659748,0.0103780578206079,0.00148257968865827,0.38472942920682,0.00593031875463306,0.00148257968865827,0.00593031875463306,0.00296515937731653,0,0,0,0,0,0.00148257968865827,0.00148257968865827,0.309859154929577,0,0,0,0,0,0,0,0.00148257968865827,0,0,0,0.00148257968865827,0,0.00296515937731653,0,0,0,0,0,0,0,0
75,4336,0.00575263662511985,0.207094918504314,0.00767018216682646,0.00575263662511985,0.00383509108341323,0.251198465963567,0.00191754554170662,0.00383509108341323,0.00479386385426654,0.00191754554170662,0.00575263662511985,0,0.00191754554170662,0,0,0,0,0.488974113135187,0.00191754554170662,0,0,0.00191754554170662,0,0,0,0.00383509108341323,0,0,0.00191754554170662,0,0,0,0,0,0,0,0,0,0,0
80,4470,0.00153139356814701,0.180704441041348,0.00153139356814701,0.00306278713629403,0.00306278713629403,0.320061255742726,0.00459418070444104,0.00153139356814701,0.00306278713629403,0.00153139356814701,0,0,0,0.00306278713629403,0,0,0.00459418070444104,0.470137825421133,0,0.00153139356814701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4604,0.00194552529182879,0.175097276264591,0,0.0136186770428016,0.00194552529182879,0.275291828793774,0.00389105058365759,0.00389105058365759,0.00291828793774319,0,0,0,0,0,0,0.00194552529182879,0.00194552529182879,0.505836575875486,0,0,0,0,0,0,0,0.00972762645914397,0,0,0,0.00194552529182879,0,0,0,0,0,0,0,0,0,0
90,4738,0.00318979266347687,0.159489633173844,0.00159489633173844,0.00159489633173844,0,0.309409888357257,0.00797448165869218,0.00318979266347687,0.00478468899521531,0,0.00159489633173844,0,0,0.00159489633173844,0,0.00159489633173844,0,0.502392344497608,0,0,0,0,0.00159489633173844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4872,0.00199600798403194,0.143712574850299,0.00399201596806387,0.00598802395209581,0.00199600798403194,0.307385229540918,0.00199600798403194,0,0.00598802395209581,0,0.00199600798403194,0,0.00199600798403194,0,0,0.00399201596806387,0.00598802395209581,0.510978043912176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,0,0
100,5006,0.00450112528132033,0.138034508627157,0.00750187546886722,0.00450112528132033,0.00300075018754689,0.312078019504876,0.00750187546886722,0.00150037509377344,0.00225056264066016,0,0.00300075018754689,0.00150037509377344,0,0.00150037509377344,0,0,0.00150037509377344,0.50562640660165,0,0.00300075018754689,0,0,0,0,0.00150037509377344,0.00150037509377344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,5140,0.00145772594752187,0.164723032069971,0.00291545189504373,0.0043731778425656,0.00145772594752187,0.282069970845481,0.00583090379008746,0.00583090379008746,0.00510204081632653,0.00145772594752187,0,0,0,0,0,0,0.0043731778425656,0.514577259475219,0,0,0,0.00145772594752187,0,0,0,0.00145772594752187,0,0,0,0.00145772594752187,0,0,0,0.00145772594752187,0,0,0,0,0,0
110,5274,0.00350877192982456,0.169590643274854,0,0.00701754385964912,0.00233918128654971,0.319883040935672,0.00584795321637427,0.00350877192982456,0.0064327485380117,0,0,0,0,0.00116959064327485,0,0,0.00701754385964912,0.470175438596491,0,0,0,0.00116959064327485,0,0,0,0.00233918128654971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5542,0.00296956198960653,0.178173719376392,0.00148478099480327,0.0044543429844098,0.00296956198960653,0.33184855233853,0.00148478099480327,0.00148478099480327,0.0044543429844098,0.00148478099480327,0,0,0.00296956198960653,0.00148478099480327,0.00148478099480327,0,0.00296956198960653,0.455827765404603,0,0,0,0.00148478099480327,0,0,0,0,0,0,0.00148478099480327,0,0,0,0,0,0.00148478099480327,0,0,0,0,0
125,5676,0.00885739592559787,0.223206377325066,0.00531443755535872,0.0070859167404783,0,0.377325066430469,0.0070859167404783,0.00177147918511957,0.00442869796279894,0,0,0,0,0.00354295837023915,0,0,0.0070859167404783,0.347209920283437,0,0.00177147918511957,0,0,0,0,0,0,0,0.00177147918511957,0.00177147918511957,0,0,0.00177147918511957,0,0,0,0,0,0,0,0
130,5790,0.00795228628230616,0.276341948310139,0,0.00795228628230616,0.00596421471172962,0.283300198807157,0.00198807157057654,0.00397614314115308,0.00298210735586481,0,0,0,0,0,0,0.00198807157057654,0.00397614314115308,0.395626242544732,0,0,0,0,0,0,0,0.00397614314115308,0.00198807157057654,0,0,0,0.00198807157057654,0,0,0,0,0,0,0,0,0
135,5903,0.00361881785283474,0.21351025331725,0.00241254523522316,0.00241254523522316,0.00120627261761158,0.254523522316043,0.00120627261761158,0,0.00120627261761158,0,0.00120627261761158,0,0,0,0,0.00120627261761158,0.00120627261761158,0.513872135102533,0,0,0,0,0,0,0,0.00241254523522316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6017,0.00199203187250996,0.101593625498008,0,0.00199203187250996,0,0.282868525896414,0.00597609561752988,0,0.00597609561752988,0.00199203187250996,0.00199203187250996,0,0.00398406374501992,0.00398406374501992,0,0,0,0.575697211155379,0,0,0,0.00199203187250996,0,0,0,0.00597609561752988,0,0,0,0.00199203187250996,0.00199203187250996,0,0,0,0,0,0,0,0,0
145,6131,0.00117370892018779,0.0762910798122066,0.00821596244131455,0.00704225352112676,0.00352112676056338,0.338028169014085,0.00234741784037559,0,0.00234741784037559,0,0.00352112676056338,0,0,0,0,0,0.00352112676056338,0.545774647887324,0,0.00117370892018779,0,0,0,0,0,0.00352112676056338,0.00117370892018779,0,0.00117370892018779,0.00117370892018779,0,0,0,0,0,0,0,0,0,0
150,6245,0.0037593984962406,0.0808270676691729,0.0131578947368421,0.0150375939849624,0.0056390977443609,0.319548872180451,0.0056390977443609,0.0037593984962406,0,0,0.0037593984962406,0,0,0.0018796992481203,0.0018796992481203,0.0056390977443609,0.0056390977443609,0.516917293233083,0,0,0,0,0,0,0,0.0131578947368421,0.0018796992481203,0,0,0.0018796992481203,0,0,0,0,0,0,0,0,0,0
155,6359,0.0023767082590612,0.124777183600713,0.017825311942959,0.005941770647653,0.0023767082590612,0.268568033273916,0.0047534165181224,0.0011883541295306,0.0005941770647653,0,0.0023767082590612,0,0.0011883541295306,0.0011883541295306,0,0.005941770647653,0.0035650623885918,0.527629233511586,0,0.0023767082590612,0,0.0011883541295306,0,0,0.0011883541295306,0.0249554367201426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,NA,0.00387596899224806,0.213178294573643,0.0503875968992248,0.0251937984496124,0.0116279069767442,0.15406976744186,0.00581395348837209,0.00193798449612403,0.00872093023255814,0,0.0116279069767442,0,0.00193798449612403,0.00193798449612403,0.00193798449612403,0.00775193798449612,0.0193798449612403,0.457364341085271,0,0,0,0,0,0,0,0.0213178294573643,0,0,0,0.00193798449612403,0,0,0,0,0,0,0,0,0,0
165,NA,0.0189919649379109,0.248356464572681,0.08327246165084,0.0452885317750183,0.0248356464572681,0.214024835646457,0.0087655222790358,0.0043827611395179,0.0131482834185537,0.0043827611395179,0.0189919649379109,0.0014609203798393,0,0.014609203798393,0,0.0102264426588751,0.0277574872169467,0.20745069393718,0,0.0087655222790358,0.0014609203798393,0.0014609203798393,0,0,0.0014609203798393,0.0336011687363039,0,0,0,0,0,0,0,0,0,0.0029218407596786,0.0014609203798393,0.0014609203798393,0.0014609203798393,0
170,NA,0.025089605734767,0.188172043010753,0.0412186379928315,0.102150537634409,0.025089605734767,0.25,0.017921146953405,0.007168458781362,0.0403225806451613,0.0017921146953405,0.039426523297491,0.007168458781362,0,0.0161290322580645,0,0.0017921146953405,0.0197132616487455,0.182795698924731,0.0017921146953405,0.0161290322580645,0,0.00537634408602151,0,0,0,0.003584229390681,0,0,0.003584229390681,0.0017921146953405,0,0,0,0,0,0,0,0,0,0.0017921146953405
172.5,NA,0.0250447227191413,0.455575432319618,0.013118664281455,0.071556350626118,0.0143112701252236,0.174120453190221,0.00954084675014908,0.00477042337507454,0.0232558139534884,0.0035778175313059,0.0226595110316041,0.00119260584376863,0,0.00954084675014908,0,0.00119260584376863,0.0119260584376863,0.137149672033393,0,0.0071556350626118,0,0,0,0.00119260584376863,0,0.00596302921884317,0,0,0.00238521168753727,0.0035778175313059,0,0,0,0,0,0,0,0,0.00119260584376863,0
