"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Indeterminable","Iva","Juglans","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodium.annotinum","Lycopodium.obscurum","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum","Vitis"
192,1431,0,0,0,5,0,0,8,0,2,9,0,3,1,17,0,0,10,0,2,1,4,2,0,0,3,5,0,0,11,0,0,1,0,8,0,0,0,0,0,0,2,1,0,19,3,0,0,0,18,0,4,24,0,0,0,2,138,0,0,7,0,0,0,0,0,1,5,0,10,10,0,0,2
224,1695,0,0,0,3,0,0,2,0,0,5,0,3,2,26,0,0,5,0,0,0,2,10,0,0,4,7,0,0,11,9,0,1,0,2,0,1,0,0,1,0,2,0,0,12,0,0,0,0,12,0,3,7,0,1,0,0,172,0,0,1,0,0,0,0,0,0,3,1,10,1,0,0,0
256,1959,0,0,0,7,0,0,7,0,0,7,0,1,0,29,0,0,9,0,0,0,5,5,0,1,7,2,0,0,15,0,0,2,1,5,0,0,0,0,0,0,0,1,0,11,0,0,0,0,7,0,6,10,0,4,1,0,143,0,0,0,0,0,0,0,1,5,3,0,13,2,0,1,0
272,2091,0,1,0,5,0,0,5,0,3,3,0,2,2,24,0,0,9,0,0,1,4,13,0,0,6,1,0,0,12,7,0,2,0,0,0,0,0,0,0,0,1,2,0,13,2,0,0,0,8,0,5,11,0,1,1,0,137,0,0,5,0,0,0,2,0,1,0,0,27,2,0,0,1
288,2222,0,0,0,11,0,0,3,0,3,3,0,3,2,23,0,1,6,0,0,2,1,6,0,0,16,4,0,0,14,5,0,3,0,1,0,0,0,0,0,0,1,1,0,29,2,0,0,0,10,0,3,1,0,0,0,2,128,0,0,0,0,0,0,1,1,3,3,0,19,2,0,0,0
304,2354,0,0,0,4,0,0,8,0,0,4,0,3,0,17,0,1,7,0,0,3,1,4,0,0,15,0,0,0,14,3,0,4,0,2,0,0,0,0,0,0,1,2,0,24,0,0,0,0,12,0,5,2,0,3,1,0,139,0,0,1,0,0,0,0,0,3,3,0,25,1,0,0,0
320,2583,0,0,0,3,0,0,5,0,2,3,0,3,3,16,0,0,9,0,0,1,3,4,1,0,2,0,0,0,12,3,0,0,0,6,0,1,0,0,0,0,1,5,0,10,1,0,0,0,9,0,4,5,0,2,2,1,142,0,0,0,0,0,1,0,0,5,1,1,14,3,0,0,0
336,3099,0,0,0,11,0,0,4,0,2,3,0,2,3,15,0,0,3,0,0,0,0,7,0,0,1,1,0,0,14,1,0,2,0,1,0,0,0,0,0,0,0,2,0,27,0,0,0,0,12,0,0,11,0,0,1,1,153,0,0,2,0,0,0,0,0,3,1,0,25,1,0,0,0
352,3616,0,0,0,14,0,0,3,0,0,4,0,3,1,13,0,3,3,0,0,3,5,4,0,0,3,3,0,0,24,4,0,2,0,3,0,1,0,0,0,0,0,0,0,23,0,0,0,0,6,0,1,6,0,1,0,1,159,0,0,2,0,0,0,0,0,3,0,0,10,2,0,0,0
368,4133,0,0,0,9,0,0,2,0,1,2,0,4,2,20,0,0,5,0,0,0,1,7,2,0,7,1,0,0,27,4,0,13,0,2,0,0,0,0,0,0,0,0,0,33,1,0,0,0,10,0,4,4,0,1,2,0,117,0,0,0,0,0,0,0,0,8,2,0,28,1,0,0,0
384,4650,0,0,0,5,0,0,4,0,0,5,0,0,1,6,0,0,18,0,0,2,2,6,0,0,2,1,0,0,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,13,0,1,6,0,3,0,0,183,0,0,2,0,0,0,0,0,2,1,0,19,2,0,0,0
400,5166,0,1,0,4,0,0,3,0,2,8,0,7,5,9,0,0,7,0,0,2,0,4,0,0,3,0,0,0,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,19,0,3,21,0,4,0,1,156,0,0,4,0,0,0,0,0,1,0,0,14,6,0,0,0
416,5420,0,0,0,1,0,0,5,0,1,8,0,10,5,15,0,0,6,0,0,1,2,8,0,0,1,5,0,0,6,5,0,1,0,1,0,1,0,0,0,0,0,0,0,8,4,0,0,0,33,0,1,14,0,1,1,1,141,0,0,6,1,0,0,0,0,3,0,0,13,5,0,0,0
448,5781,0,0,0,2,0,0,7,0,2,4,1,2,5,6,0,0,3,0,0,0,1,7,0,2,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,32,0,5,15,0,3,1,0,173,0,0,3,0,0,0,0,0,2,0,0,10,1,0,0,0
464,5961,0,0,0,4,0,0,7,0,2,9,0,6,2,6,0,0,4,0,0,1,1,7,0,0,5,1,0,0,7,7,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,20,0,6,13,0,1,0,1,148,0,0,5,0,0,0,0,0,5,0,0,21,3,0,0,0
480,6141,0,2,0,5,0,0,3,0,3,4,0,1,3,7,0,0,0,0,0,1,1,14,0,0,4,3,0,0,16,9,0,4,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,29,0,1,12,0,1,0,0,133,0,0,5,0,0,0,0,2,2,0,1,20,2,0,0,0
496,6321,0,0,0,6,0,0,5,0,1,5,0,5,2,5,0,0,4,0,0,2,0,4,0,0,3,2,0,0,14,14,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,4,2,0,1,0,2,172,0,0,2,0,0,0,0,0,2,0,1,11,3,0,0,0
512,6501,0,0,0,8,0,0,1,0,1,9,0,6,3,11,0,0,1,1,0,0,2,2,0,0,2,2,0,0,14,9,0,2,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,22,0,3,8,0,1,0,1,162,0,0,3,0,0,0,0,1,1,0,0,28,1,0,0,1
528,6682,0,0,0,14,0,0,2,0,0,4,2,4,0,2,0,0,3,0,0,1,1,2,1,0,1,4,0,0,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,21,0,4,10,0,0,0,0,146,0,0,1,0,0,0,0,0,1,0,0,51,1,0,0,0
544,6862,0,0,1,17,0,0,3,0,1,6,0,0,2,6,1,0,5,0,0,5,4,3,0,0,2,2,0,0,8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,24,1,0,0,0,27,0,5,5,0,6,0,1,126,0,0,0,0,0,0,0,1,2,0,0,40,2,0,0,0
560,7042,0,0,0,6,3,0,1,0,1,3,0,6,3,2,0,0,7,0,0,2,1,2,0,0,3,1,0,0,18,6,0,2,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,15,0,2,3,0,0,0,0,144,0,0,2,0,0,0,0,0,4,0,0,49,0,0,1,0
568,7289,0,0,0,8,0,1,2,1,1,7,0,1,1,2,0,0,6,1,0,0,3,3,0,0,2,1,6,3,6,2,1,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,3,15,0,2,1,0,1,0,0,139,0,0,1,0,0,0,0,0,5,0,0,44,2,0,0,0
576,7536,0,1,0,8,1,0,7,0,5,13,0,4,1,16,0,0,6,0,0,2,0,3,0,0,0,2,0,0,9,7,0,3,0,0,0,0,0,0,2,0,1,0,0,20,2,0,0,0,30,0,3,5,0,0,0,0,118,0,0,1,0,0,0,0,0,3,0,0,37,0,0,0,1
587,7875,0,0,1,15,0,3,4,1,4,14,0,3,3,4,0,0,3,1,0,0,5,3,0,0,0,1,3,4,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,11,38,0,2,13,0,0,0,1,115,0,0,2,0,0,0,0,0,4,0,1,18,0,0,0,0
592,8030,0,0,0,6,0,0,2,0,5,13,0,5,0,17,0,0,5,0,0,2,4,0,0,0,0,3,0,0,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,43,0,2,4,0,1,0,1,81,0,0,7,0,0,0,0,0,5,0,0,43,3,0,0,0
608,8523,0,0,0,11,0,0,2,0,2,6,0,1,0,12,0,0,4,0,0,3,2,3,0,0,0,2,0,0,7,0,0,3,0,3,0,3,0,0,0,0,0,0,0,19,4,0,0,0,85,0,6,8,0,0,0,1,88,0,0,0,0,0,0,0,0,8,0,0,28,1,0,0,0
624,9319,0,1,0,8,0,0,0,0,2,8,0,3,1,11,0,0,5,0,0,0,1,2,0,0,0,3,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0,0,0,92,0,5,0,0,1,0,1,81,0,0,3,0,0,0,0,0,9,0,0,40,3,1,0,0
637,9965,0,0,0,12,0,0,1,0,1,5,0,1,2,7,0,0,3,0,0,2,0,7,0,0,0,2,0,0,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,1,0,0,131,0,2,4,0,2,0,0,56,0,0,0,0,0,0,0,0,4,0,1,28,1,0,0,0
640,10114,0,2,0,8,0,0,4,0,1,4,0,1,0,24,0,0,2,0,0,3,0,1,0,0,0,3,0,0,16,7,0,1,0,1,0,0,0,0,0,0,0,0,0,11,7,2,0,0,118,0,0,3,0,3,0,1,79,0,0,0,0,0,0,0,0,6,0,0,34,1,1,0,0
643,10263,1,0,0,10,0,0,0,0,0,1,0,2,1,10,0,0,3,0,0,1,2,5,0,0,0,2,0,0,10,7,1,0,0,0,0,0,0,0,1,0,0,0,0,19,0,1,0,0,117,0,6,4,0,0,0,0,61,0,0,2,0,0,0,0,1,1,0,0,39,0,0,0,0
656,10909,0,1,0,2,0,0,0,0,1,3,0,3,1,27,0,0,6,0,0,1,1,3,0,0,0,2,0,0,14,7,0,2,0,0,0,0,0,0,3,0,0,0,0,2,4,0,0,0,124,0,1,5,0,1,0,2,53,0,0,2,0,0,0,0,0,0,0,0,43,1,0,0,0
672,11153,5,0,0,1,0,0,0,0,3,0,0,0,1,66,0,0,4,0,0,1,5,6,0,0,1,0,0,0,32,4,0,2,0,2,0,0,0,0,1,0,0,0,0,11,10,0,0,0,60,0,1,4,1,0,1,1,43,0,0,3,0,0,0,0,0,0,0,1,35,1,0,0,0
688,11398,5,0,0,0,0,0,3,0,0,3,0,4,0,20,0,0,0,0,0,0,3,9,0,0,0,1,0,0,20,4,0,3,0,5,0,0,0,0,1,0,0,0,0,7,64,0,0,0,104,0,0,0,0,4,0,3,27,0,0,2,0,0,0,0,1,0,1,0,16,2,0,0,0
704,11642,13,0,1,0,1,0,2,0,0,1,0,4,1,18,0,0,1,0,0,5,5,7,0,0,0,1,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,102,0,0,0,35,0,1,4,0,3,0,5,34,0,0,0,0,0,0,0,1,0,0,0,26,2,0,0,1
720,11887,15,0,0,0,0,0,8,0,2,1,0,1,1,13,0,0,0,3,0,1,5,4,0,0,0,0,0,0,11,5,0,0,0,7,0,0,0,0,0,0,0,0,0,8,147,0,0,0,27,0,1,0,0,5,0,2,16,0,0,5,0,0,0,0,1,0,0,0,15,1,0,0,0
736,12133,7,0,2,1,0,0,5,0,0,2,0,14,2,17,0,0,0,0,0,2,13,13,0,0,0,3,0,0,15,0,0,0,0,3,1,0,0,0,0,0,0,0,0,16,146,0,0,0,15,0,0,3,0,8,0,2,16,0,0,5,0,0,0,0,0,0,1,0,3,5,0,0,0
768,12623,0,0,0,2,0,0,5,0,0,7,0,11,3,7,0,0,0,3,1,0,18,17,0,0,0,0,0,0,16,7,0,0,0,1,0,0,1,0,2,1,0,0,1,6,167,0,0,0,1,0,0,2,0,6,0,1,18,0,0,5,0,0,0,1,0,0,0,0,6,1,0,1,0
800,13113,1,0,0,0,0,0,5,0,0,13,0,5,2,4,0,0,1,0,0,1,7,10,0,0,0,2,0,0,37,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,173,1,0,0,2,0,3,2,1,6,10,0,13,0,0,8,0,0,0,0,0,0,0,0,5,4,0,0,0
816,13358,3,0,0,0,0,0,0,0,0,12,1,1,1,4,0,0,0,1,0,0,9,14,0,0,0,4,0,0,57,10,0,0,0,4,0,0,0,0,1,0,0,0,0,10,120,1,0,0,0,0,0,3,0,2,0,0,33,0,0,3,0,0,0,0,0,0,0,0,5,5,1,0,1
832,NA,3,0,0,0,0,0,1,0,1,7,0,7,3,7,0,0,0,2,0,0,6,10,0,2,0,2,0,0,38,12,0,0,0,4,0,0,0,0,0,0,0,0,0,12,151,0,0,0,0,0,0,5,0,5,0,0,19,2,0,5,0,1,0,0,1,0,0,1,5,1,0,0,0
