"sample.depths","sample.ages","Ambrosia.type","Carya","Cephalanthus","Amaranthaceae.undiff.","Cyperaceae","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Pinus","Poaceae","Cupressaceae.undiff.","Liquidambar","Ostrya.Carpinus","Apiaceae","Juglans","Artemisia","Nyssa","Sambucus","Taxodium","Populus","Vitis","Alnus","Acer","Liliaceae","Phlox","Prunus","Polygonum","Platanus","Sarcobatus.vermiculatus","Robinia.type","Fagus","Corylus","Caryophyllaceae","Fabaceae.undiff.","Tilia","Celtis","Betula","Picea","Liriodendron","Rosaceae.undiff.","Brassicaceae"
130,7960,0.0504807692307692,0.0192307692307692,0,0.0120192307692308,0.0456730769230769,0.15625,0.00480769230769231,0.0264423076923077,0.0168269230769231,0.00240384615384615,0.0120192307692308,0.627403846153846,0,0.00961538461538462,0,0.00240384615384615,0.00240384615384615,0,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0.00240384615384615,0,0.00240384615384615,0,0,0,0,0,0,0.00240384615384615,0,0,0,0
140,8169,0.0230414746543779,0.0253456221198157,0,0.00691244239631336,0.0829493087557604,0.117511520737327,0.00460829493087558,0.0253456221198157,0.00230414746543779,0.00691244239631336,0.00921658986175115,0.658986175115207,0.0184331797235023,0.00230414746543779,0.00230414746543779,0.00691244239631336,0.00230414746543779,0,0,0,0,0.00230414746543779,0,0,0,0,0,0,0,0.00230414746543779,0,0,0,0,0,0,0,0,0,0,0,0,0
150,8405,0.020501138952164,0.0227790432801822,0.00455580865603645,0.00227790432801822,0.100227790432802,0.148063781321185,0.00455580865603645,0.0296127562642369,0.00227790432801822,0,0.00455580865603645,0.626423690205011,0.0159453302961276,0.00455580865603645,0,0.00455580865603645,0,0,0,0,0,0.00227790432801822,0,0,0,0,0,0,0,0.00227790432801822,0,0.00227790432801822,0,0,0,0,0,0,0.00227790432801822,0,0,0,0
160,8640,0.0327868852459016,0.0304449648711944,0.00702576112412178,0,0.0843091334894614,0.0796252927400468,0.00234192037470726,0.0398126463700234,0.00234192037470726,0.00468384074941452,0.00468384074941452,0.679156908665105,0.0117096018735363,0.00936768149882904,0,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0.00468384074941452,0.00234192037470726,0,0,0,0,0,0,0,0,0,0.00234192037470726,0,0,0
170,8876,0.0493827160493827,0.00987654320987654,0,0,0.0296296296296296,0.148148148148148,0.00987654320987654,0.0320987654320988,0.00987654320987654,0.00493827160493827,0.00987654320987654,0.664197530864198,0.00987654320987654,0.00246913580246914,0,0.00246913580246914,0,0.00246913580246914,0,0,0.00246913580246914,0.00493827160493827,0,0,0.00493827160493827,0,0,0,0,0.00246913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0
180,9112,0.0388349514563107,0.0242718446601942,0,0.00242718446601942,0.0339805825242718,0.101941747572816,0.00242718446601942,0.0218446601941748,0.00242718446601942,0.00970873786407767,0,0.75,0.00242718446601942,0.00242718446601942,0,0,0,0,0,0,0.00242718446601942,0,0,0,0,0,0,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9347,0.0294117647058824,0.0147058823529412,0,0.00245098039215686,0.0269607843137255,0.166666666666667,0.00735294117647059,0.0245098039215686,0.00980392156862745,0.00245098039215686,0.00245098039215686,0.693627450980392,0.00735294117647059,0.00245098039215686,0,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0.00735294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0
200,9583,0.0297482837528604,0.0411899313501144,0,0.022883295194508,0.107551487414188,0.205949656750572,0.0137299771167048,0.022883295194508,0.0045766590389016,0,0.0022883295194508,0.540045766590389,0,0,0,0,0.0022883295194508,0.0022883295194508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045766590389016,0,0
210,9818,0.0462287104622871,0.024330900243309,0.0437956204379562,0.182481751824818,0.0875912408759124,0.316301703163017,0.104622871046229,0.0072992700729927,0.0218978102189781,0.0097323600973236,0.0048661800486618,0.072992700729927,0.0145985401459854,0,0,0.0024330900243309,0.0048661800486618,0,0,0.0194647201946472,0,0.0024330900243309,0.0121654501216545,0,0,0,0.0048661800486618,0,0,0.0121654501216545,0,0,0,0.0024330900243309,0,0,0,0,0,0,0,0.0024330900243309,0
215,NA,0.0175,0.03,0.0225,0.0275,0.03,0.28,0.0375,0.015,0.0075,0.0175,0.0025,0.48,0.0075,0.01,0.005,0,0.0075,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NA,0.0288461538461538,0.0264423076923077,0.00961538461538462,0.03125,0.0480769230769231,0.271634615384615,0.0360576923076923,0.00961538461538462,0.0192307692307692,0.00721153846153846,0,0.473557692307692,0.00240384615384615,0.0120192307692308,0,0,0.00480769230769231,0,0,0,0.00480769230769231,0.00240384615384615,0.00480769230769231,0,0,0,0.00240384615384615,0,0,0.00480769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,0.061503416856492,0.0296127562642369,0.0318906605922551,0.164009111617312,0.0660592255125285,0.26879271070615,0.136674259681093,0.00911161731207289,0.00683371298405467,0.020501138952164,0.00683371298405467,0.0455580865603645,0.00683371298405467,0.00455580865603645,0.113895216400911,0,0.00911161731207289,0,0,0,0.00227790432801822,0,0.00455580865603645,0,0.00227790432801822,0,0,0,0,0.00227790432801822,0,0,0,0,0,0,0,0,0,0,0,0,0.00683371298405467
