"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Amaranthaceae.undiff.","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Liquidambar","Lonicera","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Saxifragaceae","Ulmus","Poaceae","Acer.saccharum.type","Acer.saccharinum.type","Castanea","Fagus","Magnolia","Salix","Ericaceae","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Cupressaceae.undiff.","Acer.rubrum","Fraxinus.nigra.type","Morus","Rhus","Rubus","Alnus","Brassicaceae","Tilia","Cornus","Polygonum","Cyperaceae","Pinus.subg..Strobus","Viburnum","Herbs.undiff.","Liriodendron","Prunus.Sorbus","Parthenocissus","Bidens.type","Corylus","Sambucus","Trees.undiff.","Juglans.undiff.","Vitis","Lamiaceae","Plantago","Rhamnaceae","Populus","Acer.negundo","Tsuga","Acer.pensylvanicum","Acer.spicatum","Thalictrum","Juglans.cinerea","Iva.annua.type","Picea","Artemisia","Ilex","Urtica.type","Onagraceae","Juglans.nigra","Sarcobatus.vermiculatus","Caryophyllaceae","Cannabaceae","Shrubs.undiff."
232,8239,327,4,2,9,1,7,1,0,6,15,0,129,1,4,36,0,73,1,2,5,0,2,3,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8915,324,0,1,6,0,0,0,0,4,9,0,160,0,5,25,1,74,3,1,6,1,0,5,4,0,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,3,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9766,443,0,0,17,0,8,1,1,3,2,0,7,2,12,20,0,225,0,8,18,4,0,2,0,0,1,12,0,7,0,5,2,0,0,67,0,0,0,5,2,1,0,0,3,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,9892,448,1,0,20,0,9,0,0,9,2,0,2,0,5,24,0,222,0,8,13,1,0,1,0,0,2,0,1,5,0,2,1,0,1,101,0,0,0,0,2,2,0,0,2,0,0,0,6,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,10019,416,2,0,20,2,17,0,2,5,2,0,4,3,3,14,0,234,0,10,8,0,0,2,3,0,1,0,0,2,0,2,1,0,0,45,0,0,0,0,0,13,0,0,9,0,0,0,3,0,0,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,10145,326,2,1,12,1,11,0,1,9,2,0,4,1,1,11,0,203,1,9,7,1,2,6,5,0,5,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,6,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,10272,383,0,0,32,0,28,0,3,6,3,0,11,3,5,13,0,184,0,7,4,0,0,0,11,0,0,0,0,1,2,11,5,0,0,28,0,0,0,5,0,9,0,0,5,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10399,345,1,0,16,2,23,0,4,21,6,0,3,3,6,8,0,196,0,5,9,0,0,1,8,0,2,0,0,0,0,6,5,3,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
320,10652,364,2,3,19,1,24,0,2,8,7,0,22,3,5,16,2,174,0,6,6,3,1,3,8,0,2,0,0,5,2,3,0,0,0,19,1,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,10778,400,0,0,14,1,55,0,1,16,2,0,0,3,2,10,0,230,0,6,3,1,0,3,4,0,0,0,0,2,2,2,19,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,10905,357,2,2,24,0,25,0,1,11,2,0,2,4,3,9,0,218,0,7,2,0,0,0,3,0,2,0,0,2,3,12,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350,11015,322,2,1,30,0,1,0,1,8,0,0,1,2,0,9,1,220,0,3,8,0,0,10,1,1,2,0,1,0,1,9,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,11061,325,1,1,35,0,7,0,1,8,1,0,0,4,5,16,0,215,0,2,8,0,1,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
370,11106,335,4,7,23,0,4,0,0,3,1,0,1,2,3,14,0,210,0,2,7,0,2,16,3,0,1,0,0,2,0,18,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
380,11152,329,0,1,20,2,3,0,0,8,2,0,0,1,1,8,0,213,0,7,6,1,0,14,2,1,0,0,0,1,0,15,3,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
390,11197,335,2,2,24,0,15,0,3,7,1,0,0,2,10,12,0,185,0,7,3,2,0,17,2,0,0,0,0,1,4,14,6,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
400,11243,319,3,1,19,2,1,0,1,4,2,0,4,4,0,18,3,212,0,6,6,1,3,9,4,0,1,0,0,1,1,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
410,11289,341,1,2,24,0,4,0,0,2,1,0,2,6,5,13,1,211,0,7,6,0,0,3,1,2,0,0,0,3,1,12,6,0,0,6,2,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,1,3,2,0,0,0,0,0
420,11334,350,7,6,30,0,5,0,0,1,0,0,1,5,7,10,0,198,0,5,4,0,2,24,2,1,4,0,0,2,0,25,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
430,11380,338,3,4,10,0,3,0,3,7,0,0,1,2,2,13,0,201,0,1,8,1,0,17,4,2,3,0,0,1,1,21,6,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0
440,11425,324,4,9,11,1,0,0,2,13,0,0,0,4,8,19,0,166,0,5,6,1,0,16,3,2,2,0,0,3,2,19,6,0,0,0,2,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
450,11470,340,4,4,21,0,5,0,3,6,0,0,0,4,3,24,1,175,0,3,11,2,1,22,1,4,1,0,0,1,3,23,2,0,0,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
460,11514,333,7,8,14,1,7,0,5,6,0,0,0,3,10,29,0,197,0,1,6,1,0,15,1,2,2,0,0,0,1,3,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
470,11558,336,6,6,17,0,2,0,4,9,0,0,0,5,19,44,1,120,0,7,15,2,0,26,4,12,2,0,0,1,1,6,3,0,0,0,5,0,0,0,0,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
480,11602,356,4,12,30,1,3,1,1,4,0,0,0,4,15,54,0,129,0,6,9,0,1,21,3,5,3,0,4,4,3,3,1,0,0,0,5,0,0,0,0,18,4,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
520,11777,370,7,9,18,0,6,0,1,10,0,0,19,4,15,57,0,134,0,2,10,2,4,8,4,11,2,0,0,3,2,1,6,0,0,0,9,0,0,0,0,13,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
530,11821,358,6,12,25,0,7,0,2,3,0,0,0,4,12,30,1,147,0,10,17,2,0,4,7,9,2,0,0,0,4,2,1,0,0,1,5,1,0,0,0,10,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
540,11865,366,8,10,18,0,2,1,2,7,0,0,3,12,0,11,1,166,0,12,28,0,0,1,8,32,0,0,0,4,8,4,1,0,0,0,7,0,1,0,0,4,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
550,12129,348,7,3,24,1,0,0,5,2,0,0,0,15,0,4,1,172,0,11,10,1,0,0,28,32,1,0,0,4,7,0,1,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,12612,318,9,5,19,0,0,0,3,7,0,0,1,17,0,2,0,74,0,14,3,2,0,1,138,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,1,2,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
570,12873,342,13,0,47,3,0,0,0,11,1,0,0,20,1,2,0,89,0,9,3,1,0,0,125,0,0,4,0,0,2,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
580,12911,355,8,3,40,6,0,0,4,3,1,0,0,17,1,3,1,100,0,14,1,2,0,1,126,0,1,0,0,1,9,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
590,12949,332,3,1,44,2,0,0,6,13,0,0,0,25,0,1,0,81,0,11,1,3,0,0,117,0,0,0,1,1,12,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
600,12987,339,5,1,47,0,0,0,3,6,1,0,0,21,1,3,1,86,0,13,2,1,0,0,109,0,0,0,0,4,12,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0
610,13025,343,15,3,31,3,0,0,4,3,0,0,0,18,0,3,3,91,0,11,2,1,1,0,104,0,0,0,0,3,22,0,0,0,0,0,2,1,0,0,1,4,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
620,13063,348,7,4,37,2,0,0,4,12,0,0,0,11,2,0,0,91,0,12,2,2,0,0,112,0,0,0,1,7,25,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,13101,319,3,1,36,2,0,0,5,2,1,0,0,21,0,3,0,92,0,12,2,0,0,0,99,0,0,0,0,4,19,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0
640,13139,337,6,0,35,3,0,0,0,10,3,0,1,19,0,0,0,89,0,15,2,0,0,0,120,0,0,0,1,1,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0
650,13186,330,3,5,37,3,0,0,0,8,0,0,0,21,1,0,4,71,0,8,2,4,2,1,118,0,0,0,3,3,19,0,4,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
660,13241,378,7,1,50,0,0,0,1,12,2,0,0,19,0,2,1,73,0,19,0,1,0,0,129,0,0,4,8,1,24,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1
670,13297,359,7,1,52,3,1,1,1,10,0,0,1,16,2,2,0,77,0,17,0,2,0,0,125,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,3,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
680,13352,349,8,0,35,2,0,0,1,5,0,0,0,14,0,1,0,77,0,12,2,1,0,0,151,0,0,0,4,1,16,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,1,0,0,0,0
690,13408,342,9,1,37,2,0,0,3,10,0,0,1,13,0,1,0,97,0,21,0,3,0,0,112,0,1,0,0,0,20,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
700,13463,322,4,1,28,0,0,0,7,8,0,0,0,25,0,1,1,90,0,14,5,0,0,0,108,0,0,0,0,3,14,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0
710,13519,320,8,1,34,7,0,0,2,9,1,0,2,14,0,1,1,67,0,14,3,3,0,0,123,0,1,0,1,1,14,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
720,13574,344,4,2,52,5,0,0,3,17,0,0,0,12,1,0,0,87,0,19,0,0,0,0,121,0,0,0,0,2,11,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
730,13637,327,3,6,40,2,0,0,2,7,2,0,0,15,1,1,0,118,0,13,2,5,0,0,57,0,0,0,0,3,32,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0
740,13706,349,5,2,48,4,0,0,3,7,0,0,0,21,0,1,0,129,0,13,2,1,0,0,50,0,0,0,3,11,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
750,13776,333,6,0,57,3,0,0,6,8,0,0,0,14,0,1,0,131,0,16,1,0,0,0,35,0,0,0,0,0,42,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
760,NA,355,1,1,47,4,1,1,4,10,0,0,0,25,0,3,0,168,0,6,2,2,0,0,19,0,1,0,0,2,49,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
766,NA,324,4,2,35,2,0,0,2,9,0,0,1,28,0,3,3,127,0,10,5,2,0,0,28,0,1,0,0,3,44,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
