"sample.depths","sample.ages","Abies","Alisma","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carpinus","Carya","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Fraxinus","Huperzia.selago","Juglans","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Shepherdia.argentea","Shepherdia.canadensis","Sparganium","Symphoricarpos","Thalictrum","Typha.latifolia","Ulmus"
265,7905,0,0,14,90,52,158,20,6,10,2,0,4,2,86,0,8,0,0,0,0,0,0,0,0,110,2,0,40,60,0,84,0,0,2,6,6,0,4,0,2,28,0,0,0,0,0,6,4
275,8128,0,0,24,86,66,192,22,0,34,0,0,18,6,56,0,26,0,0,0,0,0,0,0,0,24,0,0,22,86,0,116,0,0,0,2,6,2,4,0,0,24,0,0,0,0,0,12,0
285,8198,0,0,26,148,130,270,32,0,26,0,0,10,16,88,0,10,0,6,0,0,0,0,0,0,220,2,0,56,94,2,142,0,4,0,4,2,4,6,0,4,84,2,4,0,0,4,12,2
295,8268,0,0,22,86,70,176,22,2,14,0,0,2,2,114,0,12,0,2,0,0,0,0,0,2,128,4,2,34,64,0,126,0,0,2,10,2,2,6,0,0,48,2,2,0,0,2,6,0
305,8338,0,0,14,110,98,202,18,0,6,0,0,4,6,94,0,18,0,0,0,0,0,0,0,0,54,2,0,46,66,0,132,0,0,0,6,2,0,8,0,2,38,0,2,2,0,0,2,0
315,8408,0,0,24,108,80,162,32,0,22,2,0,6,12,86,0,6,0,0,0,0,0,0,0,0,38,0,0,24,86,2,136,0,0,10,12,4,2,2,2,6,88,0,2,0,0,0,12,0
325,8478,0,0,14,86,62,96,16,2,20,0,0,0,4,96,0,18,0,0,0,0,0,0,0,0,68,2,0,14,44,2,106,0,0,4,0,2,0,6,2,2,44,0,2,0,0,0,6,0
335,8548,0,0,16,76,50,124,10,0,10,0,0,2,8,56,0,36,0,2,0,0,0,0,0,0,38,10,0,32,60,2,112,0,0,0,0,0,2,4,0,6,50,2,0,0,0,4,8,4
345,8723,0,0,28,56,60,156,12,0,10,0,0,0,4,66,0,64,0,2,0,0,0,0,0,4,28,2,0,28,76,0,138,0,0,4,2,2,0,2,0,6,56,0,4,0,0,2,12,0
355,9213,0,0,22,72,56,106,12,0,18,0,0,0,8,74,0,52,0,2,0,0,0,2,0,0,2,8,0,28,64,0,116,0,0,0,2,0,0,4,0,0,60,2,4,0,0,0,6,0
365,9703,0,0,14,64,74,114,4,0,10,0,0,2,4,50,0,2,0,0,0,0,0,0,0,0,4,4,0,40,34,0,96,0,0,0,2,2,0,4,0,0,38,4,2,0,0,0,8,0
375,10193,0,0,8,128,136,274,12,0,34,0,0,2,36,130,0,0,0,2,0,0,0,0,0,0,0,8,0,102,46,0,118,0,0,12,0,14,0,4,0,4,82,4,2,0,0,0,22,8
385,10684,0,0,2,96,30,180,36,0,58,2,0,4,18,140,0,4,0,0,0,0,0,0,0,0,0,2,0,228,68,0,116,0,0,4,0,6,0,4,0,6,66,2,6,0,0,0,40,10
395,11174,0,0,4,80,48,212,22,0,38,4,0,0,18,152,0,6,0,4,0,0,0,0,0,0,0,0,0,230,50,0,112,0,2,0,0,10,0,0,0,0,120,0,2,0,0,2,10,2
400,11419,0,0,22,122,62,344,24,0,90,4,0,14,20,198,0,8,0,4,0,4,0,0,0,0,0,12,0,416,76,0,130,0,0,10,0,14,0,2,0,2,106,0,22,2,0,10,8,32
405,11664,0,0,4,52,36,186,6,0,74,0,0,0,10,108,0,4,0,0,0,0,0,0,0,0,0,4,2,926,76,2,82,0,2,2,0,6,2,0,0,2,60,0,16,0,0,6,2,24
410,11909,0,0,2,44,40,112,30,0,36,2,0,0,6,70,0,4,0,0,0,2,0,0,0,0,2,0,0,954,74,0,62,0,4,0,0,6,0,2,0,0,42,0,6,0,0,2,6,4
420,12400,0,0,0,20,16,72,4,0,22,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,0,1094,32,0,44,0,0,18,0,14,0,0,0,0,44,0,6,0,0,2,4,6
425,12645,0,0,12,22,16,90,8,0,68,0,0,2,8,246,0,8,0,2,0,4,0,0,0,0,0,0,0,752,38,0,78,0,2,16,0,14,0,0,0,0,64,0,4,0,0,2,0,12
430,12890,0,0,0,0,6,12,4,0,2,0,0,0,0,318,0,18,0,0,0,0,0,0,0,0,0,0,0,582,28,0,8,0,2,2,0,0,0,0,0,0,38,0,4,0,0,0,0,4
435,NA,0,0,0,4,0,2,0,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,164,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
