"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Carya","Caryophyllaceae","Asteraceae.undiff.","Cyperaceae","Picea","Quercus","Ranunculaceae.undiff.","Salix","Tilia","Ambrosia","Juniperus.Thuja","Fraxinus","Pinus","Amaranthaceae","Poaceae","Polygonum","Rubiaceae","Betula","Corylus","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Populus","Ostrya.Carpinus","Juglans","Brassicaceae","Saxifraga.type","Fagus","Crassulaceae","Plantago","Thalictrum","Fabaceae","Ribes","Hypericum","Rumex","Potentilla","Cornus","Gentiana","Rubus","Larix","Ericaceae","Apiaceae","Euphorbia","Polemoniaceae","Buxus","Nyssa"
55,9696,294,0,2,0,0,0,80,2,40,1,0,5,5,0,4,113,2,9,0,0,0,0,0,13,7,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10027,288,1,0,4,0,1,28,3,57,2,1,0,2,0,7,74,2,7,0,0,2,4,0,49,12,14,0,0,9,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10226,295,3,4,10,0,0,31,5,63,0,0,5,5,0,8,66,2,6,0,1,8,2,0,49,4,9,0,1,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,10358,293,3,2,7,0,3,26,1,67,1,1,11,4,0,5,75,0,4,0,0,2,1,0,37,5,6,0,0,21,7,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,10532,296,8,13,2,0,2,6,132,23,0,2,1,12,0,40,9,1,11,0,0,0,5,0,7,2,2,1,1,10,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
70,10792,273,2,9,1,0,2,9,139,19,0,3,0,4,0,58,3,1,7,0,0,6,5,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,11052,299,5,5,1,0,0,9,169,32,0,0,0,7,0,39,6,0,10,0,0,1,0,0,4,1,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,11226,287,13,5,0,0,1,6,146,16,0,4,0,5,0,53,11,0,8,0,0,3,1,0,2,3,1,1,4,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,11486,290,8,22,1,0,2,20,127,20,1,7,0,12,0,36,5,0,15,0,0,4,1,0,0,1,2,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,11659,292,9,13,0,0,0,10,144,23,0,9,0,11,0,32,10,0,16,0,0,0,1,0,2,0,2,0,0,5,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,11919,299,7,10,3,0,0,14,147,23,0,3,0,7,0,44,7,2,12,0,0,2,2,0,3,1,5,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,12093,294,5,11,1,0,1,12,109,32,0,0,0,9,0,43,25,0,4,0,0,7,9,0,7,2,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,12266,294,7,6,1,0,0,17,82,40,0,2,0,14,0,53,8,2,8,0,0,14,7,0,9,5,2,0,1,11,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,12527,298,6,8,4,0,0,5,130,35,1,0,0,14,0,38,22,2,7,0,0,4,4,0,7,2,0,0,2,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93,NA,298,6,3,2,0,3,13,138,30,0,2,0,8,0,48,9,0,14,0,1,6,2,0,2,2,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,NA,289,5,12,0,0,1,16,128,16,1,5,0,11,0,41,8,0,26,0,0,2,2,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
100,NA,292,8,15,0,0,2,15,150,17,3,4,0,13,0,3,24,1,9,0,0,1,2,0,2,8,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
