"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Drosera","Ephedra","Equisetum","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Ilex.Nemopanthus","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Lemna","Liquidambar","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.regalis","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
984,1493,5,9,1,0,26,2,0,0,0,4,0,507,0,0,0,1,1,0,0,0,0,14,0,0,0,0,0,0,11,8,5,0,2,0,0,0,0,0,66,8,0,0,1,0,0,1,0,0,0,0,0,0,0,5,9,117,182,3,3,0,2,0,0,31,0,0,0,0,1,0,0,0,2,1,0,2,95,1,20,0
992,1653,3,24,4,1,16,2,2,0,0,2,1,296,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,3,12,3,1,1,1,1,0,0,1,0,41,7,0,0,0,22,0,1,0,0,0,0,0,0,0,12,7,124,188,1,6,0,4,0,0,16,0,0,0,0,3,0,0,1,1,3,1,0,209,0,9,1
1000,1815,1,31,3,0,19,1,0,2,0,4,0,386,0,0,1,3,0,0,0,0,1,4,0,0,0,0,0,2,17,3,5,1,6,0,0,0,0,1,65,9,0,1,0,0,0,0,1,0,0,0,0,0,0,19,5,90,210,5,7,0,1,0,0,35,1,1,0,1,1,0,0,0,0,5,0,1,107,0,23,0
1008,1979,1,29,2,0,29,0,3,1,0,2,0,415,0,0,0,1,0,0,0,0,4,6,0,0,0,0,1,1,16,1,6,3,3,1,0,0,1,0,38,9,0,0,0,0,0,1,0,0,0,2,0,0,0,18,8,157,231,1,2,0,4,0,2,38,0,0,0,0,0,0,0,0,0,1,0,1,94,0,17,4
1016,2144,7,20,0,0,14,0,0,1,0,5,1,286,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,8,9,7,6,2,0,0,0,2,0,37,11,0,0,0,0,0,3,0,0,0,0,0,0,0,13,8,156,213,3,2,0,1,0,0,56,0,0,1,0,0,0,0,1,3,2,0,0,56,0,21,0
1024,2311,8,11,1,0,32,1,0,1,0,4,2,312,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,2,8,14,4,1,1,1,0,0,0,0,24,6,0,1,0,1,0,3,0,8,0,3,0,0,0,19,12,147,307,3,3,0,0,0,0,36,1,0,0,0,1,1,0,0,5,1,0,0,25,0,10,0
1032,2479,5,25,0,0,18,0,0,1,0,3,1,295,0,0,0,2,0,0,0,0,1,6,0,0,1,0,0,0,12,2,6,2,3,0,0,1,0,0,100,1,0,0,0,1,0,0,0,1,0,1,0,0,0,9,9,184,183,3,0,0,2,0,1,30,0,0,0,0,0,0,0,1,0,2,0,2,63,0,11,1
1040,2650,5,33,0,0,21,0,0,2,0,1,0,322,0,0,0,1,0,0,0,0,4,7,1,0,0,0,0,0,12,7,9,3,3,0,0,0,0,0,76,4,0,0,0,0,0,0,0,2,0,0,0,0,0,11,9,99,304,3,3,0,8,0,2,45,1,0,0,0,0,0,0,1,3,3,0,0,81,0,17,0
1056,2995,4,16,1,0,26,0,1,4,0,3,2,353,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8,9,7,3,3,0,0,0,1,0,57,11,0,0,0,0,0,1,0,3,0,1,0,0,0,15,8,119,319,5,4,0,1,0,0,56,0,0,0,0,2,0,0,0,0,0,0,1,64,0,12,0
1064,3171,5,10,5,0,19,0,0,2,0,0,0,267,0,0,0,0,1,0,1,0,4,11,0,0,0,0,0,0,7,3,8,1,2,0,0,2,0,0,53,6,0,0,0,1,0,1,0,0,0,0,0,0,0,12,8,135,297,3,6,0,3,0,2,35,1,0,0,0,0,0,0,2,0,3,0,0,67,0,14,1
1072,3348,6,14,2,0,11,1,2,1,0,1,3,319,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,8,1,6,1,1,0,0,0,1,0,56,12,0,0,1,0,0,2,0,1,0,0,0,0,0,9,11,118,285,2,3,0,4,0,0,58,0,0,0,0,0,0,0,2,2,4,0,0,68,0,9,0
1080,3526,3,14,0,0,21,2,0,1,0,4,1,324,0,0,0,2,2,0,0,0,0,8,0,1,0,0,0,1,4,8,7,2,2,0,0,0,0,0,71,6,0,0,0,0,0,2,0,0,0,0,0,0,0,10,6,155,268,1,5,0,1,0,3,50,2,0,1,0,3,0,0,0,0,3,1,0,45,0,12,0
1088,3707,3,16,3,0,29,1,0,0,0,0,1,410,0,0,0,1,0,0,0,0,6,4,0,0,0,0,0,0,17,1,12,1,3,0,0,0,0,0,75,6,0,0,0,0,1,1,0,1,0,1,0,0,0,13,8,147,200,0,9,0,0,0,0,46,0,0,0,0,1,0,0,0,0,3,1,0,37,0,21,1
1096,3889,3,17,4,0,15,4,2,2,0,2,1,379,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,1,8,2,4,4,1,0,0,0,0,0,50,4,0,0,0,0,0,1,0,3,0,0,0,0,0,16,8,158,260,0,3,0,0,0,2,37,1,0,0,0,0,0,0,1,0,2,0,0,15,0,13,1
1105,4095,3,13,4,0,23,3,1,0,0,5,2,276,0,0,0,4,0,0,0,0,2,7,0,0,0,0,0,0,10,4,13,3,4,0,0,1,0,0,126,4,0,0,0,1,0,0,0,4,0,0,0,0,0,15,5,200,200,6,3,0,8,0,4,52,0,0,0,0,2,0,0,0,3,5,0,0,18,1,21,1
1112,4258,8,13,2,0,14,0,2,0,0,5,2,308,0,0,0,4,0,0,0,0,1,3,0,0,0,1,1,2,9,0,12,1,3,0,0,0,0,0,137,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,10,330,189,6,3,0,6,0,1,50,0,0,0,0,0,0,0,0,0,5,0,1,39,0,10,0
1120,4445,1,13,2,0,16,0,0,1,0,1,0,292,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,12,0,10,3,0,0,0,0,2,0,50,3,0,0,0,1,0,4,0,3,0,1,0,1,0,22,11,255,230,3,0,0,2,0,2,49,1,0,0,0,1,0,0,1,0,5,0,1,23,0,11,1
1128,4633,3,11,0,0,22,0,2,1,0,2,0,333,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,1,6,0,7,1,1,1,0,0,0,0,68,4,0,0,0,1,1,1,0,0,0,0,0,0,0,16,6,196,181,3,5,0,5,0,1,55,0,0,0,0,3,0,0,0,0,6,0,0,23,0,11,1
1136,4824,5,7,0,0,15,0,0,5,1,2,0,319,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,7,1,8,4,3,0,0,0,2,0,55,6,0,0,0,0,0,3,0,2,0,1,0,1,0,10,9,263,241,3,1,0,3,0,1,48,0,0,0,0,1,0,0,0,0,8,0,0,18,0,14,1
1144,5016,4,22,7,0,23,4,1,0,0,3,2,260,0,0,0,3,0,0,0,0,2,3,0,0,0,0,1,0,6,1,15,5,0,2,0,0,2,0,40,0,0,0,0,1,0,2,0,3,0,0,0,0,0,14,7,159,382,8,7,0,3,0,2,49,1,0,0,0,1,1,0,0,0,2,1,0,14,0,12,0
1152,5209,1,4,0,0,24,5,0,4,0,3,1,206,0,0,0,1,0,1,0,0,4,5,0,0,0,0,0,0,10,2,9,1,0,1,0,0,0,0,21,2,0,0,0,0,0,1,0,6,0,0,0,0,0,2,8,230,342,3,2,0,3,0,0,27,0,0,0,0,0,0,0,0,0,3,0,1,39,0,16,0
1160,5405,1,13,0,0,25,3,2,1,0,7,0,212,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,4,2,12,5,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,2,0,0,1,1,0,4,7,256,315,5,1,0,3,0,7,36,0,0,0,0,1,0,0,0,0,3,0,0,71,0,21,0
1168,5602,2,9,1,0,44,1,2,7,0,1,1,332,0,0,0,1,0,0,0,0,2,6,0,0,0,0,1,0,9,2,4,6,2,1,0,2,0,1,13,2,0,0,0,1,0,2,0,9,0,2,2,0,0,13,2,106,269,5,7,0,6,0,9,64,0,1,0,0,2,1,0,1,1,6,0,0,36,0,13,1
1176,5801,2,14,1,0,30,2,2,2,0,2,0,179,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,14,3,9,0,0,0,0,0,0,0,22,1,0,0,0,0,0,1,0,0,0,1,5,0,0,15,5,295,299,6,7,0,0,0,1,42,0,0,0,0,1,0,0,0,0,8,0,0,103,0,25,3
1184,6001,1,19,0,0,24,1,0,6,0,5,0,114,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,6,11,4,1,1,0,0,0,0,12,1,0,0,0,0,0,1,0,1,0,1,3,1,0,10,6,249,328,9,2,0,5,0,1,48,0,0,0,0,0,0,0,0,1,4,0,0,156,0,21,0
1192,6203,3,5,1,1,18,4,1,3,0,2,0,96,0,2,0,2,0,0,0,0,1,7,0,0,0,0,0,0,8,4,12,5,2,0,0,0,0,0,16,2,0,0,1,0,1,0,0,2,0,0,2,0,0,14,6,249,444,6,2,0,6,0,8,52,0,0,0,0,1,0,0,0,2,3,0,1,75,0,13,0
1196,6305,5,14,0,0,22,10,1,1,0,2,1,133,0,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,5,2,8,3,2,1,0,1,0,0,6,0,0,0,0,0,0,2,0,3,0,0,1,1,0,20,2,281,374,10,3,0,4,0,21,77,0,0,0,0,1,0,0,0,1,6,0,3,49,0,30,0
1200,6407,1,3,0,0,18,8,0,4,0,2,1,141,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,6,3,5,0,0,2,0,0,0,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,332,336,11,1,0,1,0,11,45,0,0,0,0,1,0,0,0,0,6,0,0,89,0,16,0
1204,6509,6,13,0,0,17,8,0,1,0,1,1,99,0,1,0,2,0,0,0,0,4,3,0,0,0,0,0,0,11,1,4,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,248,463,2,0,0,1,0,2,43,1,0,0,0,0,0,0,0,0,3,1,0,14,0,13,1
1208,6612,4,6,2,0,21,3,2,2,0,4,0,77,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,9,0,4,4,0,2,0,0,3,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,6,332,399,12,2,0,6,0,6,48,0,0,0,0,1,0,0,0,0,6,0,1,16,0,21,0
1212,6716,4,11,0,0,8,0,1,2,0,0,0,93,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,1,11,2,4,0,0,1,0,0,1,1,7,0,0,0,0,0,0,1,0,0,0,0,2,1,0,22,1,255,448,4,1,0,2,0,7,38,0,0,0,0,2,0,0,0,0,11,0,0,17,0,17,0
1216,6819,3,9,1,0,26,9,1,4,0,2,0,66,0,2,0,0,0,0,0,0,5,7,0,0,0,0,0,0,12,1,11,5,0,0,0,2,0,0,5,4,0,0,1,0,0,0,0,3,0,0,2,0,0,10,3,276,453,8,4,0,3,2,14,47,0,0,0,0,2,0,0,0,0,3,0,0,15,0,15,1
1220,6924,3,5,0,0,23,10,0,4,0,2,1,72,0,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,5,2,6,3,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18,4,305,534,5,4,0,1,0,13,37,0,0,0,0,0,1,0,0,0,1,0,2,2,0,25,0
1224,7028,6,6,3,0,31,7,0,4,0,5,1,86,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,8,2,6,2,0,0,0,0,0,0,3,5,0,1,0,0,0,3,0,1,0,0,3,0,0,14,3,307,446,7,0,0,4,0,18,42,0,0,0,0,0,0,1,0,0,12,0,0,5,1,25,0
1229,7160,2,4,1,0,11,2,1,0,0,4,0,57,0,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,14,4,7,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,11,3,295,529,2,3,0,0,0,6,23,0,0,0,0,3,0,0,0,0,4,0,1,6,0,19,0
1234,7292,4,7,0,0,18,3,1,2,0,2,2,77,0,1,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,0,5,7,0,0,0,0,1,1,0,3,0,0,1,0,0,12,8,401,471,6,0,0,1,0,6,42,0,0,0,0,1,0,0,0,0,2,0,1,5,0,22,0
1237,7371,2,7,0,0,14,1,2,4,0,4,1,66,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,3,0,1,2,0,0,8,3,301,558,3,4,0,3,0,9,24,0,0,0,0,0,0,0,0,1,4,0,0,2,1,13,2
1240,7451,7,8,0,0,30,14,1,1,0,3,3,43,0,0,0,3,0,0,0,2,3,7,1,0,0,0,0,0,7,2,4,2,0,0,0,0,1,0,7,2,0,0,0,0,0,1,0,7,0,0,3,0,0,8,5,285,480,6,4,0,8,0,20,35,0,0,0,0,1,0,0,0,0,2,0,0,3,0,24,2
1252,7772,0,2,2,0,12,8,3,3,0,1,3,69,0,1,0,3,0,0,0,0,1,4,1,0,0,0,1,0,4,3,7,2,0,0,0,0,3,0,4,1,0,0,0,0,0,2,0,1,0,0,0,1,0,12,6,343,493,7,1,0,12,0,8,32,0,0,0,0,1,0,0,0,0,4,0,0,5,0,17,1
1256,7880,6,4,2,0,8,11,5,4,0,3,2,123,0,4,0,2,0,0,0,0,3,5,2,0,0,0,1,0,3,5,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,0,1,0,0,0,13,12,137,519,5,6,0,7,0,11,50,0,0,0,0,3,0,0,0,0,2,0,0,3,0,18,0
1260,7988,1,0,2,0,6,2,0,5,0,1,0,63,0,4,0,2,0,0,0,1,3,5,1,0,0,0,0,0,5,4,3,1,0,0,0,0,0,0,4,4,0,0,1,1,0,2,0,1,0,0,1,0,0,13,5,337,430,9,1,0,1,0,16,29,0,0,0,0,2,0,0,0,2,2,0,0,2,0,15,0
1264,8097,15,9,1,0,10,3,5,4,0,4,0,95,0,1,0,1,0,0,0,0,3,8,0,0,0,0,0,0,5,2,12,6,0,0,0,0,1,0,4,2,0,0,1,0,0,3,0,5,0,0,3,0,1,20,18,262,516,5,7,0,23,0,26,47,0,0,0,0,5,0,0,0,0,3,0,0,2,0,21,1
1268,8206,5,5,3,1,18,50,4,5,0,3,0,162,0,1,0,0,0,0,0,0,2,7,1,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,3,8,0,0,1,0,1,5,0,3,0,1,2,0,0,9,20,120,554,2,6,0,6,0,7,42,0,0,0,0,5,0,0,0,1,1,0,0,1,0,17,0
1272,8316,13,5,1,1,8,40,1,5,0,1,4,199,0,0,0,2,0,0,0,0,5,9,0,0,0,0,0,0,3,1,4,3,0,0,0,1,1,0,1,5,0,0,0,0,0,4,0,5,0,0,0,0,0,16,22,50,555,7,7,0,9,0,12,21,0,0,0,0,2,0,0,2,1,6,0,0,2,0,18,0
1276,8426,19,3,1,0,10,92,3,7,0,5,4,188,0,0,0,1,0,0,0,0,3,5,1,0,0,0,1,0,2,4,3,4,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,4,0,0,0,0,0,15,23,36,646,1,6,0,7,0,7,28,0,0,0,0,1,0,0,0,2,2,0,0,1,0,13,1
1280,8536,14,3,1,0,2,56,2,5,0,6,0,392,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,7,7,0,0,0,0,2,8,0,1,1,0,0,0,0,17,31,13,343,3,3,0,23,0,10,35,0,0,0,0,1,0,0,0,0,7,0,0,2,1,19,2
1284,8647,15,3,1,0,5,68,2,8,0,6,1,265,0,0,0,2,0,0,0,0,2,4,2,0,0,2,0,0,3,6,4,2,0,0,0,0,2,0,1,8,0,0,2,0,0,3,0,2,0,0,0,0,0,16,19,31,459,5,9,0,16,0,9,73,0,0,0,0,0,0,0,0,0,3,0,0,2,3,9,0
1288,8759,12,8,0,0,1,43,2,8,0,9,0,168,0,0,0,2,0,0,0,0,2,6,1,0,0,0,0,0,0,5,9,3,1,0,0,0,1,0,15,8,0,0,0,0,0,0,0,10,3,0,0,0,0,25,35,14,577,11,5,0,8,0,5,44,0,0,0,0,3,1,0,0,1,8,0,0,1,7,13,0
1292,8870,20,4,0,0,5,60,6,8,1,4,5,194,0,0,0,2,0,0,0,0,2,8,0,0,0,1,0,0,2,1,5,3,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,2,0,0,0,0,0,16,18,28,500,5,5,0,5,0,5,60,0,0,0,0,5,0,0,0,1,1,0,0,1,1,14,0
1296,8982,8,7,1,0,2,58,4,2,0,4,0,177,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,8,2,0,0,0,0,25,18,6,631,3,3,0,5,0,4,56,0,0,0,0,2,0,0,0,0,3,0,0,0,1,18,1
1304,9208,3,0,3,0,3,91,1,2,1,8,3,206,0,0,0,3,0,0,0,0,5,11,1,0,0,1,0,0,0,2,7,2,0,0,0,0,1,0,20,10,0,0,0,0,0,0,0,5,0,0,0,0,0,29,27,4,491,3,6,0,14,0,5,86,0,0,0,0,10,0,0,1,0,1,0,0,0,1,16,1
1312,9435,9,2,0,0,0,118,1,4,1,7,1,148,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,18,0,0,0,0,0,12,36,7,477,2,5,0,12,0,2,51,0,0,0,0,6,0,2,2,0,2,0,0,3,2,20,0
1320,9664,2,1,0,0,2,13,2,1,0,5,2,134,0,0,0,3,0,0,0,0,2,5,0,0,0,1,0,0,1,1,10,2,1,0,0,0,0,0,5,13,0,1,0,0,0,0,0,23,0,0,0,0,0,18,62,6,597,3,2,0,5,0,2,46,0,0,0,0,2,0,0,0,0,2,0,0,4,0,19,0
1328,9895,0,5,0,0,2,5,0,2,0,11,5,215,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,15,27,0,0,0,0,0,0,0,32,0,0,0,0,0,18,93,7,490,9,0,0,24,0,1,71,0,0,0,0,7,0,0,0,0,0,0,0,1,2,18,0
1336,10127,0,7,0,0,0,7,0,2,0,9,3,190,0,0,3,10,0,0,0,1,2,6,0,0,0,1,1,0,0,6,26,5,0,0,0,0,5,0,16,18,0,0,0,0,0,2,0,68,3,1,0,0,0,21,225,5,248,1,7,0,13,1,3,75,1,0,0,0,14,0,0,0,0,0,0,0,0,0,59,1
1344,10361,0,0,2,0,0,5,3,5,0,17,1,235,0,0,0,4,1,0,0,0,1,8,0,0,0,0,0,0,1,3,13,3,0,0,0,1,0,0,21,22,1,0,0,0,0,0,0,44,1,0,0,0,0,20,185,1,270,5,8,0,11,0,5,84,0,0,0,0,15,0,1,0,0,2,0,0,2,0,26,1
1360,10833,1,4,0,0,0,0,3,3,0,13,3,85,0,0,0,2,0,0,0,0,3,20,0,0,0,2,0,0,0,5,26,2,2,0,0,0,5,0,47,7,0,0,0,0,1,1,0,115,2,0,0,0,0,33,212,9,186,6,5,1,50,1,13,110,1,0,0,0,14,0,0,0,0,2,0,0,2,1,37,2
