"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Polygonum","Rosaceae"
335,2500,764,34,0,7,10,317,0,0,0,3,0,0,2,5,0,4,0,31,47,258,0,20,0,0,0,10,3,2,7,1,1,0,0,1,0,1
345,2679,745,46,0,4,10,330,0,0,0,8,0,0,3,0,0,2,11,27,37,212,0,22,1,0,0,9,6,4,6,0,4,1,0,1,0,1
355,2835,1035,14,2,12,21,537,1,0,12,1,0,0,7,4,0,0,2,42,57,262,0,27,0,0,1,4,9,4,11,1,0,0,1,1,0,2
365,2937,763,26,5,6,19,340,0,0,5,0,1,0,4,1,0,5,1,23,51,224,0,18,0,0,0,12,2,11,3,1,2,0,0,0,0,3
375,3039,796,34,0,5,20,311,0,0,8,0,0,2,3,0,0,0,0,45,82,237,0,11,2,0,0,8,5,5,17,1,0,0,0,0,0,0
385,3141,932,38,0,4,3,479,1,0,7,11,0,1,5,2,0,4,1,21,62,258,0,15,1,0,1,3,4,4,4,0,3,0,0,0,0,0
395,3243,1042,35,1,10,13,451,0,0,8,3,2,0,5,0,0,0,3,42,95,307,0,33,1,0,0,5,9,8,5,0,2,1,0,3,0,0
405,3345,321,2,0,0,5,171,0,0,0,0,0,0,0,0,0,0,0,1,0,130,0,8,0,0,0,0,1,0,2,1,0,0,0,0,0,0
415,3446,742,25,3,1,16,313,0,0,4,0,0,0,1,0,0,0,0,29,55,255,0,19,5,0,0,0,4,4,6,2,0,0,0,0,0,0
425,3548,783,45,2,3,14,328,0,1,2,0,3,0,2,0,0,0,0,17,30,307,0,12,2,0,0,1,3,4,4,2,0,0,0,0,0,1
430,3599,926,46,0,6,15,370,0,0,0,0,0,0,3,0,0,2,0,18,73,361,0,8,0,0,0,4,3,5,6,1,1,0,0,0,0,4
440,3701,792,43,1,11,11,308,0,0,0,0,1,0,1,0,0,0,0,20,51,299,0,17,0,0,1,0,6,11,8,2,1,0,0,0,0,0
450,3803,882,72,2,2,10,315,0,0,3,0,0,0,6,1,0,0,7,33,66,303,1,28,2,0,0,0,3,9,9,0,5,1,0,3,0,1
460,3905,740,34,3,3,3,256,0,0,0,0,0,0,2,1,0,0,0,24,22,359,0,22,0,0,0,0,2,0,4,0,4,0,0,1,0,0
470,4006,770,55,3,5,7,232,0,0,0,0,0,0,1,0,0,4,0,18,45,352,0,23,0,0,0,0,5,7,5,2,2,2,0,1,0,1
480,4129,624,47,0,2,5,245,0,0,3,4,0,1,5,1,0,0,2,24,20,233,0,15,0,0,0,0,3,6,5,0,1,0,0,2,0,0
490,4274,554,39,0,6,4,194,0,0,0,0,1,1,0,0,0,0,0,20,27,236,0,7,0,0,0,0,6,7,6,0,0,0,0,0,0,0
500,4418,1036,63,0,10,6,337,0,0,1,0,0,0,3,0,0,0,3,32,79,444,0,28,0,0,0,0,10,8,9,0,1,0,0,0,0,2
510,4562,957,63,0,4,10,303,2,0,2,0,0,0,2,0,0,1,6,32,56,445,1,16,1,0,1,6,0,1,2,0,1,0,0,2,0,0
520,4706,807,23,0,2,12,365,2,0,1,3,0,0,3,0,0,0,0,19,35,313,0,13,1,0,0,1,3,3,5,0,0,1,0,1,0,1
530,4850,881,9,0,4,22,343,0,0,0,0,0,0,1,0,0,0,10,19,214,220,0,24,0,0,1,0,0,5,6,0,0,0,0,3,0,0
540,4994,779,44,0,0,5,345,0,0,0,0,0,0,5,0,0,2,0,19,22,307,0,16,0,0,0,0,1,3,6,1,2,0,0,0,0,1
550,5139,1063,46,0,0,4,399,0,0,0,0,0,0,2,0,0,0,0,24,53,500,0,11,0,0,0,0,2,6,11,3,1,0,0,1,0,0
560,5283,1106,30,2,4,1,337,0,0,2,0,0,0,1,1,0,1,0,28,105,557,0,14,0,0,1,1,6,4,9,0,2,0,0,0,0,0
570,5427,1114,26,0,1,16,319,1,0,7,1,0,0,1,0,0,1,3,13,129,547,0,17,0,0,0,6,3,6,7,0,3,1,0,4,0,2
580,5571,972,16,0,6,17,222,0,0,7,0,0,0,3,0,0,2,3,7,19,624,0,15,0,0,0,7,5,2,6,1,4,1,0,3,0,2
590,5715,757,11,0,0,1,191,0,0,0,0,0,0,2,0,0,0,0,14,54,459,0,14,0,0,0,0,5,2,2,0,2,0,0,0,0,0
600,5859,598,8,0,2,6,116,0,0,2,0,0,0,0,0,0,0,0,17,97,328,0,13,0,0,0,0,3,3,0,0,0,0,0,3,0,0
610,6004,778,22,0,2,4,275,0,0,2,0,0,0,4,0,0,1,0,13,30,375,0,19,0,0,0,1,2,12,8,1,7,0,0,0,0,0
620,6148,880,34,1,1,4,161,0,0,1,0,0,0,0,0,0,0,5,67,118,464,0,11,0,0,0,0,4,3,1,0,1,3,0,1,0,0
630,6310,626,27,0,0,2,102,0,0,2,1,0,0,1,0,0,1,4,30,35,401,0,8,0,0,0,0,4,3,4,0,0,0,0,1,0,0
640,6516,795,5,0,0,8,174,0,0,0,1,0,0,0,0,0,0,0,10,78,497,0,6,0,0,0,0,9,2,3,0,0,0,0,2,0,0
650,6721,997,23,0,2,15,263,0,0,0,0,0,0,5,0,0,0,0,12,113,507,0,22,0,0,0,0,9,4,8,0,3,10,0,1,0,0
660,6926,631,8,0,2,0,124,0,0,0,0,0,0,1,0,0,0,0,2,57,411,0,11,0,0,1,0,2,7,1,0,2,2,0,0,0,0
670,7132,1157,15,0,2,13,260,0,0,0,0,0,0,7,0,0,0,0,62,318,394,0,39,0,0,0,0,11,14,12,0,7,0,0,3,0,0
680,7337,741,24,0,2,8,195,0,0,18,0,0,0,10,0,0,0,0,41,139,267,0,9,0,0,0,0,11,3,3,0,3,8,0,0,0,0
690,7542,829,6,0,0,2,141,0,0,4,3,0,0,1,0,0,0,0,2,147,474,0,12,0,0,0,0,13,4,12,0,3,5,0,0,0,0
700,7748,1348,30,0,9,22,305,0,0,5,0,1,0,1,1,0,3,0,19,280,594,0,22,0,0,0,0,6,18,22,1,5,0,0,2,0,2
710,7953,586,16,0,0,2,160,0,0,0,0,0,0,2,0,0,0,0,9,150,217,0,10,0,0,0,1,3,7,4,1,2,0,0,1,0,1
720,8159,902,33,0,3,28,263,0,0,12,0,0,0,1,0,0,0,3,28,277,209,0,13,0,0,0,0,3,7,14,0,5,0,0,3,0,0
730,8364,430,13,0,1,23,188,0,0,7,0,0,0,0,0,0,0,0,11,101,46,0,13,0,0,0,0,3,10,8,0,1,5,0,0,0,0
740,8569,479,25,0,2,6,199,0,0,8,0,1,0,3,0,0,0,0,5,16,183,0,11,1,0,0,1,5,2,1,2,8,0,0,0,0,0
750,8761,742,44,0,4,14,263,0,0,6,0,0,0,4,0,1,0,0,26,24,315,0,8,1,2,0,1,4,14,10,0,1,0,0,0,0,0
760,8826,756,53,0,1,18,318,3,0,2,0,0,0,5,0,0,0,0,21,14,257,0,5,1,0,0,0,10,20,9,1,9,7,0,0,0,2
770,8891,1089,71,0,1,18,413,0,0,7,0,0,1,9,0,1,0,0,59,28,415,0,7,1,0,0,0,16,17,14,0,6,1,0,4,0,0
780,8957,782,71,0,1,26,321,1,1,12,2,0,0,1,0,0,3,0,36,14,237,0,14,0,0,1,0,4,10,16,3,1,2,0,4,0,1
790,9022,787,30,1,3,52,318,1,3,0,0,0,1,4,2,0,0,5,55,5,258,0,12,0,0,0,0,5,9,12,6,4,0,0,1,0,0
810,9152,770,37,0,1,25,329,0,0,14,0,0,1,1,0,0,0,0,70,7,231,0,7,4,0,0,0,9,11,18,0,4,1,0,0,0,0
820,9218,940,61,0,4,23,398,0,0,0,0,0,4,0,2,2,0,0,78,22,249,0,10,6,0,0,0,20,27,22,0,12,0,0,0,0,0
830,9283,901,89,0,4,12,301,0,0,10,0,0,2,2,1,0,4,0,117,0,289,0,7,3,0,0,0,13,19,11,0,16,1,0,0,0,0
840,9348,833,53,0,1,12,315,0,0,9,0,1,0,3,2,0,0,0,108,8,253,0,11,1,0,0,0,12,17,18,1,7,0,0,1,0,0
850,9413,973,30,0,1,11,299,0,0,1,0,2,0,14,3,0,0,0,110,4,365,0,32,11,0,0,0,13,33,34,0,7,0,0,3,0,0
860,9479,840,51,0,5,3,150,3,0,4,0,3,0,4,1,0,0,3,128,2,343,0,35,5,0,0,0,12,27,39,2,13,5,0,2,0,0
870,9923,507,22,1,0,6,35,0,0,2,0,1,0,6,1,0,0,0,128,2,209,0,19,4,0,1,0,23,20,19,1,6,0,0,1,0,0
880,10367,725,22,0,5,6,49,1,2,12,0,0,2,17,0,0,0,2,149,3,316,0,49,8,0,1,0,12,20,32,3,8,1,0,1,0,4
887,10679,438,1,0,4,4,31,5,4,7,0,0,0,14,2,0,0,2,76,0,162,0,29,6,0,0,0,11,19,37,1,14,5,0,1,0,3
