"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Pinus.undiff.","Platanus","Polygonum.lapathifolium.type","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Cyperaceae.undiff.","Plantago","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Rumex.undiff.","Fabaceae.cf..Melilotus.officinalis","Carya","Iva.xanthifolia","Amorpha.canescens","Thalictrum","Vitis","Acer.saccharinum","Fabaceae.cf..Trifolium","Cupressaceae","Larix","Populus.balsamifera.type","Rumex.acetosa.type","Abies","Picea","Urtica.type","Acer.saccharum","Iva.annua","Tilia","Tsuga.canadensis","Caryophyllaceae","Juglans.cinerea","Juglans.nigra","Apiaceae","Acer.rubrum","Acer.negundo","Myrica.gale","Asteraceae.subf..Cichorioideae","Rosaceae","Brassicaceae","Celtis","Phacelia.hastata.type","cf..Ceanothus"
240,546,281,3,34,3,0,5,0,9,87,1,0,2,34,0,4,2,6,7,50,8,0,9,0,8,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
244,600,264,8,29,1,0,4,0,16,65,0,0,0,44,2,0,2,9,4,53,7,0,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
246,628,500,11,38,11,0,5,0,10,129,1,0,2,63,3,8,4,21,14,144,15,0,7,2,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250,682,264,13,22,6,0,0,0,5,49,0,0,0,24,3,0,1,12,6,96,11,0,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
254,737,323,12,33,1,0,2,0,4,77,0,0,0,35,1,4,5,12,11,95,12,0,7,4,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
256,765,269,14,21,0,0,1,0,3,53,0,0,0,28,1,2,2,6,4,106,12,1,3,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,819,253,9,14,1,0,0,1,4,47,0,0,1,21,1,2,1,9,4,118,13,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,874,268,14,15,2,0,0,0,4,37,0,0,0,22,1,6,2,9,2,138,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,NA,527,16,30,5,0,3,0,8,84,0,0,0,40,0,9,5,15,13,266,12,0,9,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274,NA,219,10,13,1,0,0,0,2,39,1,0,0,23,0,3,2,10,6,95,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
276,NA,222,13,18,1,0,0,0,4,44,0,0,0,31,0,3,3,7,3,79,12,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,NA,235,9,14,2,0,0,0,4,53,0,0,0,35,1,1,2,5,6,85,6,0,5,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,NA,236,9,18,1,0,5,0,4,49,0,0,1,20,1,1,1,19,9,74,12,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
290,NA,288,13,21,3,0,1,2,3,52,0,0,2,36,2,3,1,16,6,103,11,0,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
294,NA,211,12,21,3,0,1,0,0,38,0,0,0,33,0,9,3,8,4,62,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
300,NA,162,9,18,2,0,2,0,4,30,0,0,0,25,1,5,4,15,4,35,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
