"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Cannabaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodium.type","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urticaceae","Vitis"
100,1166,0,0,0,16,0,2,1,0,0,0,0,26,0,0,1,0,0,3,0,1,0,0,57,7,8,15,0,4,0,0,3,0,2,0,0,0,1,0,18,0,0,0,34,0,3,1,0,0,0,0,103,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20,0,0,0
110,1391,1,4,0,19,2,1,2,0,2,1,0,31,0,0,11,0,7,0,0,1,0,0,37,3,6,9,0,18,0,0,1,4,0,0,0,1,0,0,2,1,0,0,17,0,4,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,8,0,40,1,0,0
120,1617,0,4,0,21,2,0,2,0,0,3,0,34,0,0,13,0,3,0,0,2,0,0,78,9,11,20,0,20,0,0,3,1,2,0,0,0,0,0,0,2,0,0,12,0,1,1,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,0,2,5,0,32,0,0,0
130,1842,0,1,0,23,6,0,3,0,0,1,0,20,0,0,5,0,3,5,10,7,0,0,51,7,10,17,0,12,0,0,0,0,1,0,0,3,0,0,9,3,0,0,21,0,5,2,0,0,0,0,82,0,0,0,0,2,0,0,0,0,0,0,3,5,1,39,0,0,0
140,2068,0,0,0,28,0,0,2,0,3,3,0,14,0,0,5,0,1,2,6,18,0,0,49,10,15,25,0,5,0,0,0,0,3,0,1,1,0,0,18,0,0,0,19,0,3,1,0,5,1,5,94,0,0,0,1,5,0,0,0,1,0,2,3,8,1,31,1,0,1
150,2294,0,1,0,36,3,1,4,0,2,1,0,15,0,0,13,0,4,2,4,7,0,0,51,12,8,20,0,12,0,0,1,0,0,0,0,2,0,0,4,0,0,0,19,0,12,1,0,1,0,0,76,0,0,0,0,2,0,0,0,0,0,0,4,4,0,47,0,0,0
160,2519,0,0,1,29,2,0,1,0,2,2,0,21,0,0,16,0,1,2,9,10,1,0,55,15,10,25,0,7,0,0,2,0,0,0,0,1,0,0,17,2,0,0,23,0,5,2,0,0,0,1,73,0,0,4,0,2,0,0,0,0,0,0,3,4,2,43,1,0,0
170,2745,1,7,0,28,3,0,0,0,0,0,0,17,0,0,6,0,0,0,0,10,0,0,76,20,0,20,0,12,0,0,0,1,0,0,0,1,0,0,18,0,0,0,6,0,0,4,1,0,0,0,55,0,0,0,1,0,0,0,0,0,0,0,2,0,5,66,0,0,5
180,2970,0,0,7,33,10,3,2,0,3,14,0,20,0,0,5,0,0,0,0,2,0,0,75,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,4,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,8,3,1,55,0,0,4
190,3196,0,0,0,39,3,0,0,0,2,3,0,28,0,0,14,0,0,5,13,7,0,0,75,12,3,15,0,22,0,0,1,0,0,6,0,4,0,0,7,0,0,0,16,0,11,2,0,0,0,0,49,0,0,7,1,3,0,0,0,0,0,0,6,5,1,29,3,0,8
200,3421,1,11,7,17,1,0,0,0,0,0,0,11,0,0,8,0,2,0,2,8,0,0,88,4,12,16,0,19,0,0,3,0,2,0,0,0,0,0,5,5,0,0,21,0,0,1,0,1,3,0,64,0,0,1,1,3,0,0,0,1,0,0,1,3,2,33,2,0,0
210,3647,0,8,0,49,1,1,2,0,0,2,0,26,0,0,10,0,0,0,3,2,0,0,65,11,2,13,0,23,0,0,0,0,1,3,0,2,0,0,1,0,0,0,31,0,7,4,0,1,0,0,51,0,0,0,2,2,0,0,0,0,0,0,4,4,0,48,5,0,0
220,3873,0,0,0,32,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,57,0,27,27,0,15,0,0,3,0,0,0,0,0,0,0,3,0,0,0,21,0,14,0,0,0,0,2,62,0,0,0,0,5,0,0,0,0,0,0,5,6,0,40,5,0,0
230,4098,0,2,0,17,1,0,0,0,1,2,0,11,0,0,18,0,0,7,0,0,0,0,67,9,5,14,0,0,0,0,1,0,1,0,0,1,4,0,11,0,0,0,32,0,4,1,0,0,0,2,66,0,0,0,0,0,0,0,0,0,0,1,6,10,4,36,0,0,0
240,4324,0,2,1,21,0,0,1,0,1,1,0,14,0,0,9,0,0,0,2,11,0,0,61,13,8,21,0,2,0,0,2,0,0,0,0,3,4,0,13,1,0,0,14,0,9,0,0,0,0,2,71,0,0,0,1,1,0,0,0,0,0,0,13,3,1,54,1,1,0
250,4549,0,5,0,22,2,1,4,0,0,0,0,9,0,0,9,0,1,0,0,3,0,0,66,5,22,27,0,19,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,1,0,0,0,1,66,0,0,0,0,23,0,0,0,0,0,0,6,7,0,54,1,0,0
260,4775,3,0,0,26,0,0,5,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,69,0,34,34,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,10,0,1,2,0,0,2,0,59,0,0,0,2,0,0,0,0,0,0,0,2,3,0,82,1,0,0
270,5000,0,3,0,23,1,0,0,0,0,8,0,20,0,0,5,0,0,0,1,5,0,0,61,16,12,28,0,12,0,0,1,1,0,0,0,0,0,0,7,11,0,0,5,0,0,0,0,0,0,0,71,0,0,2,0,19,0,0,0,0,0,0,1,1,0,63,0,0,0
280,5226,0,6,0,39,1,0,5,0,0,0,0,15,0,0,4,0,1,0,0,12,5,0,103,3,5,8,0,4,0,0,2,2,4,0,0,3,0,0,12,0,0,0,17,0,0,2,0,2,0,0,67,0,0,0,0,18,0,0,0,0,0,0,7,0,0,31,2,0,0
290,5451,0,1,0,19,0,0,1,0,1,1,0,8,0,0,13,0,0,0,2,4,0,0,112,11,6,17,0,6,0,0,4,1,0,0,0,2,3,0,13,4,0,0,17,0,1,1,0,0,0,1,88,0,0,6,0,1,0,0,0,0,0,2,3,3,0,57,2,0,0
300,5677,0,1,0,12,1,0,2,0,0,1,0,9,0,0,7,0,0,0,3,2,0,0,69,24,6,30,0,7,0,0,1,3,0,6,0,1,2,0,9,0,0,0,15,0,4,0,0,0,4,0,84,0,0,0,0,2,0,0,0,1,0,0,6,4,0,48,2,0,0
310,5903,0,2,0,53,3,1,2,0,2,0,0,12,0,0,7,0,0,1,2,17,0,0,51,9,0,9,0,16,0,0,3,0,0,1,0,0,3,0,2,0,0,0,26,0,9,2,0,4,0,1,94,0,0,12,0,3,0,0,0,0,0,0,3,1,0,51,5,0,0
320,6128,0,0,0,17,0,0,2,0,0,0,0,9,0,0,9,0,1,0,5,9,0,0,75,5,8,13,0,3,0,1,8,0,0,0,0,3,1,0,15,0,0,0,10,0,7,1,0,0,0,3,93,0,0,0,1,0,0,0,0,0,0,0,8,3,1,49,1,0,0
330,6354,0,3,0,17,1,2,0,0,0,3,0,11,0,0,5,0,0,0,0,2,0,0,84,11,6,17,0,0,0,0,4,2,0,0,0,1,0,0,5,0,0,0,6,0,0,0,0,0,10,0,69,0,0,0,0,20,0,0,0,0,0,0,3,1,1,62,0,0,0
340,6579,0,0,0,32,0,2,2,0,0,0,0,12,0,0,7,0,0,0,0,3,0,0,59,32,6,38,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,5,0,12,0,0,0,0,0,87,0,0,0,2,0,0,0,0,0,0,0,9,6,0,72,0,0,0
350,6805,0,2,0,13,0,0,3,0,3,0,0,3,0,0,11,0,0,0,0,1,0,0,77,11,2,13,0,6,0,0,2,0,1,2,0,3,0,0,3,0,0,0,9,0,5,1,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,0,6,10,0,55,0,0,2
360,7030,0,0,0,25,1,1,0,0,0,0,0,2,0,0,16,0,0,4,2,2,0,0,75,10,9,19,0,1,0,0,2,1,0,0,0,1,0,0,15,0,0,0,10,0,14,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,0,0,5,8,0,72,1,0,0
370,7256,0,1,0,17,0,1,3,0,0,1,0,1,0,0,12,0,0,0,1,2,0,0,76,17,5,22,0,13,0,0,5,1,0,0,0,2,0,0,16,0,0,0,10,0,11,0,0,0,0,0,60,0,0,0,0,2,0,0,0,0,0,0,5,5,0,61,0,0,0
380,7482,0,0,0,22,0,0,1,1,0,1,0,12,0,0,6,0,0,0,2,3,0,0,76,19,8,27,0,4,0,0,4,0,0,0,0,0,0,0,10,0,0,0,12,0,14,1,0,1,0,0,93,0,0,3,0,0,0,0,0,0,0,0,1,4,0,54,2,0,0
390,7707,0,0,0,25,1,2,0,0,1,1,0,9,0,0,4,0,0,0,0,1,0,0,102,13,2,15,0,5,0,0,1,2,1,0,0,0,0,0,3,0,0,0,11,0,8,0,0,0,0,0,67,0,0,0,0,6,0,0,0,0,0,0,0,2,0,87,0,0,0
400,7933,0,0,0,23,0,1,1,0,0,1,0,3,0,0,18,0,1,4,2,3,0,0,42,6,7,13,0,7,0,0,6,0,0,0,0,0,0,1,35,0,0,0,34,0,3,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,7,10,0,72,1,0,0
410,NA,1,0,0,10,0,1,1,0,1,1,0,3,0,0,4,0,3,5,0,1,0,0,6,7,5,12,0,4,0,0,3,1,0,0,0,0,0,0,52,3,0,0,28,0,6,1,0,0,0,1,92,0,0,0,0,0,0,0,0,0,0,0,10,2,0,58,4,0,0
420,NA,0,1,0,19,0,1,1,0,0,1,0,16,0,0,4,0,0,1,0,0,0,0,6,12,1,13,0,0,0,0,1,0,0,0,0,0,0,1,26,3,0,0,63,0,4,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,1,3,1,0,24,0,0,0
430,NA,0,0,0,14,1,1,2,0,2,0,0,24,0,0,1,1,3,0,0,0,0,0,2,15,8,23,0,0,0,0,0,0,1,0,0,0,0,0,40,1,30,76,106,0,1,0,0,8,0,4,88,0,0,0,0,2,0,0,0,0,0,0,4,4,0,18,0,0,0
440,NA,14,0,0,3,1,0,0,0,2,1,0,25,0,0,5,0,0,0,2,3,0,0,1,16,3,19,0,2,0,0,1,0,7,0,0,0,0,0,27,22,0,0,121,0,0,4,0,4,0,8,53,0,0,0,0,1,1,0,0,0,0,0,0,2,1,24,0,0,0
450,NA,1,0,0,1,4,1,6,0,9,3,0,3,1,0,1,0,0,4,26,3,0,3,0,0,0,0,0,1,0,0,1,0,11,1,0,0,0,0,12,171,0,0,45,0,0,6,0,2,0,0,20,2,0,0,0,3,0,0,0,0,3,4,0,3,0,3,1,0,0
460,NA,2,0,0,0,2,2,3,0,11,7,0,15,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,189,0,0,69,0,0,7,0,0,0,0,23,0,0,0,0,17,0,0,3,2,0,0,0,0,0,0,4,0,0
470,NA,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,1,0,38,0,0,0,0,1,4,0,1,0,0,0,290,0,0,2,0,0,20,0,4,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0
