"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Amaranthaceae","Poaceae","Brassicaceae","Acer.saccharum","Carya.ovata","Lythrum.salicaria","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Alnus.incana.type","Cyperaceae","Ericaceae","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Acer.nigrum","Onagraceae","Ilex.Nemopanthus","Populus.balsamifera.type","Shepherdia.canadensis","Abies.balsamea","Taxus","Urticaceae","Rosaceae","Thalictrum","Acer.pensylvanicum","Acer.saccharinum","Juniperus.communis.Thuja.occidentalis.type","Corylus.cornuta","Myrica.gale","Juglans.nigra","Pinaceae","Cornus","Castanea.dentata","Acer.spicatum","Viburnum","Elaeagnus.commutata","Caryophyllaceae","Plantago"
250,4624,528,8,0,2,197,88,26,5,0,0,3,16,2,30,4,5,0,21,0,6,0,1,0,19,4,0,20,30,34,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
275,5748,589,22,0,0,111,32,36,8,0,0,3,16,0,59,0,7,1,40,0,0,0,0,0,18,2,0,76,33,119,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
287.5,6310,718,4,0,0,174,8,34,1,0,0,0,10,1,66,1,7,0,59,0,0,0,0,0,21,3,0,29,62,215,0,1,5,2,0,5,0,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
300,6837,584,15,2,2,120,17,25,3,0,0,3,4,1,58,0,0,0,19,0,0,0,0,0,18,1,0,60,25,197,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
312.5,7312,580,4,2,0,73,13,41,0,0,0,0,15,0,98,0,2,0,22,0,1,0,0,0,12,0,0,36,96,134,0,3,13,1,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
325,7787,413,10,2,0,41,8,20,1,0,0,2,30,0,54,1,2,1,16,0,0,0,1,0,14,0,0,121,54,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337.5,8261,502,2,1,1,62,4,33,0,0,0,0,23,0,104,1,1,1,43,0,0,1,2,0,4,0,0,66,110,4,1,1,19,1,0,7,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
350,8736,435,12,1,0,107,14,11,0,0,0,4,45,2,25,4,1,0,14,1,0,0,0,0,5,0,0,75,104,1,3,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
367.5,9400,559,7,0,0,135,1,16,0,0,0,1,24,9,65,4,0,2,25,0,2,1,3,0,8,1,0,108,125,4,0,2,2,3,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
375,9685,336,4,0,0,71,1,18,0,0,0,8,27,0,34,0,1,0,11,0,0,0,1,0,3,1,0,110,34,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
390,10254,475,4,1,1,110,2,5,0,0,0,12,40,3,40,7,0,0,5,0,0,2,4,0,6,0,0,170,33,0,4,1,0,4,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0
400,NA,918,16,5,9,240,0,11,2,0,1,35,129,11,66,9,0,1,30,0,6,1,9,0,4,0,0,234,33,4,13,0,1,5,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0
410,NA,407,6,2,5,100,6,1,0,0,0,42,22,0,24,5,0,2,11,0,1,1,6,0,1,2,0,96,24,2,5,1,0,16,2,2,0,0,0,0,0,7,0,3,0,0,0,2,0,0,0,2,7,0,0,0,0,0,1,0,0,0
420,NA,603,8,4,6,101,1,17,2,0,2,127,21,19,90,8,0,0,20,1,10,0,6,0,5,3,0,88,23,4,25,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
425,NA,391,9,2,7,76,9,9,1,0,1,60,31,4,46,2,0,2,3,0,6,0,5,0,3,0,0,60,6,2,27,1,3,4,1,1,1,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,NA,578,20,1,14,159,17,0,0,0,0,76,28,0,33,18,0,2,10,0,12,0,4,0,0,1,0,107,10,2,4,0,0,11,0,4,0,0,0,3,0,32,3,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0
440,NA,758,52,4,41,203,0,17,0,2,1,36,41,5,34,103,0,4,4,0,4,0,13,0,0,2,0,126,9,9,12,0,2,9,0,1,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,12,2
445,NA,419,32,2,16,58,0,17,0,2,0,50,47,0,11,5,0,1,2,0,1,0,8,0,0,0,0,115,3,4,16,0,1,8,1,2,0,0,0,2,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0
450,NA,434,17,7,17,81,0,5,0,0,0,62,33,0,7,2,0,2,2,0,2,0,9,0,0,0,0,128,0,5,10,0,4,25,0,1,0,0,0,1,0,0,0,0,0,0,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
455,NA,173,2,1,3,14,1,0,0,0,0,28,33,0,1,0,0,1,0,0,0,0,3,0,0,0,0,55,1,1,14,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,NA,100,0,0,2,5,1,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,3,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,NA,86,3,1,4,7,0,0,0,0,0,16,12,0,0,0,0,2,0,0,2,0,2,0,0,0,0,25,0,2,4,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,NA,71,2,0,6,7,0,0,0,0,0,15,10,0,0,2,0,0,1,0,0,0,4,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,26,2,0,0,3,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,78,5,1,2,8,0,0,0,0,0,13,9,0,2,0,0,0,0,0,2,0,4,0,1,0,0,20,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
