"sample.depths","sample.ages","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Populus.tremuloides.type","Thalictrum","Amaranthaceae","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Rumex.type","Acer.saccharum","Myrica.gale","Ericaceae","Populus.balsamifera.type","Rosaceae","Nemopanthus.mucronatus","Acer.spicatum","Taxus","Viburnum.alnifolium","Corylus.cornuta","Carya.ovata","Lonicera.involucrata","Castanea.dentata","Ribes","Tilia","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Plantago","Fabaceae","cf..Oxyria.digyna"
466,7331,0.0066006600660066,0.0231023102310231,0.00825082508250825,0.235973597359736,0.0033003300330033,0.00165016501650165,0.0066006600660066,0,0,0,0,0.0297029702970297,0.12046204620462,0.0181518151815182,0,0.0099009900990099,0.00495049504950495,0,0.0165016501650165,0.0148514851485149,0.455445544554455,0,0.0066006600660066,0.0165016501650165,0.00165016501650165,0,0,0,0,0.00165016501650165,0,0,0.00165016501650165,0,0,0,0,0,0,0.0148514851485149,0,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0
476,NA,0.00279329608938547,0.0167597765363128,0.0111731843575419,0.259776536312849,0.00279329608938547,0.00418994413407821,0.0139664804469274,0.00139664804469274,0,0.00418994413407821,0,0.0642458100558659,0.107541899441341,0.0237430167597765,0,0.00698324022346369,0,0,0.0181564245810056,0.00558659217877095,0.412011173184358,0,0.00558659217877095,0.00977653631284916,0,0.00139664804469274,0.00139664804469274,0,0,0,0,0,0.00139664804469274,0.00418994413407821,0,0,0.00139664804469274,0,0,0.0181564245810056,0,0.00139664804469274,0,0,0,0,0,0,0,0,0,0,0
486,NA,0.00178890876565295,0.0143112701252236,0.0035778175313059,0.404293381037567,0,0,0.0196779964221825,0.0071556350626118,0.0035778175313059,0.00536672629695885,0,0.0554561717352415,0.0805008944543828,0.0339892665474061,0,0.0035778175313059,0,0.00178890876565295,0.0196779964221825,0.0071556350626118,0.252236135957066,0,0.0035778175313059,0.0125223613595707,0.0035778175313059,0.0035778175313059,0.0161001788908766,0,0.0035778175313059,0,0,0,0,0.0125223613595707,0,0,0,0,0,0.0268336314847943,0,0.00178890876565295,0,0,0.00178890876565295,0,0,0,0,0,0,0,0
496,NA,0,0.0055452865064695,0.0757855822550832,0.565619223659889,0.00739371534195933,0.00184842883548983,0.00369685767097967,0.00369685767097967,0,0.00369685767097967,0,0.0868761552680222,0.033271719038817,0.00369685767097967,0.00369685767097967,0,0.00369685767097967,0.00739371534195933,0.0406654343807763,0.00184842883548983,0.0683918669131238,0,0,0.0203327171903882,0.00369685767097967,0.00369685767097967,0.0203327171903882,0,0,0,0.00184842883548983,0,0,0.0203327171903882,0,0,0,0,0,0.011090573012939,0,0,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
506,NA,0,0.00351493848857645,0.0685413005272408,0.664323374340949,0.00527240773286467,0.00175746924428822,0.00175746924428822,0,0,0.00351493848857645,0.00351493848857645,0.0439367311072056,0.0351493848857645,0.0210896309314587,0.00175746924428822,0.00351493848857645,0,0,0.0140597539543058,0.00175746924428822,0.0404217926186292,0,0,0.0263620386643234,0,0,0.0281195079086116,0,0,0,0,0,0,0.0246045694200351,0,0.00351493848857645,0,0,0.00175746924428822,0,0,0,0,0,0,0,0.00175746924428822,0,0,0,0,0,0
514,NA,0.00191570881226054,0.00383141762452107,0.082375478927203,0.657088122605364,0,0,0.00383141762452107,0,0,0.00383141762452107,0.00191570881226054,0.053639846743295,0.0325670498084291,0.00957854406130268,0,0.00574712643678161,0.00191570881226054,0.00574712643678161,0.0383141762452107,0.00383141762452107,0.0421455938697318,0,0.00383141762452107,0.0172413793103448,0,0.00191570881226054,0.00766283524904215,0,0,0,0,0,0,0.0134099616858238,0,0,0,0,0.00191570881226054,0.00383141762452107,0,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0
524,NA,0,0.00176056338028169,0.612676056338028,0.0862676056338028,0.0105633802816901,0,0,0,0,0,0,0.0880281690140845,0.022887323943662,0.0123239436619718,0.0140845070422535,0,0.00176056338028169,0.00352112676056338,0.00352112676056338,0.00352112676056338,0.0176056338028169,0,0,0.0440140845070423,0.00176056338028169,0.00352112676056338,0.051056338028169,0,0,0,0.00176056338028169,0,0,0.0193661971830986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,NA,0,0,0.0975143403441683,0.577437858508604,0.0325047801147228,0,0.00191204588910134,0,0,0,0,0.011472275334608,0.0650095602294455,0.0267686424474187,0.0095602294455067,0,0,0.011472275334608,0.00191204588910134,0.00573613766730402,0.0363288718929254,0,0,0.0305927342256214,0.00573613766730402,0.0095602294455067,0.0439770554493308,0,0,0,0.00764818355640535,0,0,0.0152963671128107,0.00191204588910134,0.00191204588910134,0,0,0,0,0,0,0,0,0.00191204588910134,0,0,0.00191204588910134,0.00191204588910134,0,0,0,0
544,NA,0,0,0.0974930362116992,0.181058495821727,0.256267409470752,0,0,0,0,0,0,0.0194986072423398,0.0612813370473538,0.0222841225626741,0.0612813370473538,0,0,0.128133704735376,0.00278551532033426,0.0194986072423398,0.0417827298050139,0,0.00557103064066852,0.0167130919220056,0.00278551532033426,0.0167130919220056,0.00835654596100279,0,0.00557103064066852,0,0.00278551532033426,0.00278551532033426,0,0.00835654596100279,0,0,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0.00835654596100279,0.0194986072423398,0.00835654596100279,0,0
550,NA,0,0.016304347826087,0.141304347826087,0.078804347826087,0.141304347826087,0,0,0,0,0,0,0.0407608695652174,0.0706521739130435,0.0108695652173913,0.0516304347826087,0.00815217391304348,0,0.133152173913043,0,0.0516304347826087,0.0625,0,0.00543478260869565,0.0244565217391304,0.00271739130434783,0.0244565217391304,0.016304347826087,0,0.00271739130434783,0,0.00543478260869565,0,0,0.00543478260869565,0,0,0.0108695652173913,0,0,0,0,0,0,0,0.00271739130434783,0,0,0.00271739130434783,0,0.0760869565217391,0,0.00543478260869565,0.00815217391304348
