"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Morus","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Humulus","Iva.xanthifolia","Corylus","Picea","Ephedra.nevadensis.type","Brassicaceae","Sarcobatus.vermiculatus","Amorpha","Caryophyllaceae","Celtis","Plantago","Platanus","Zea.mays","Ostrya","Apiaceae","Dalea.purpurea","Iva.annua","Urtica","Ericaceae","Ephedra.torreyana.type","Ranunculus.subg..Batrachium","Lamiaceae","Fraxinus.nigra","Juglans.cinerea","Abies","Carya","Vitis","Ranunculus.undiff.","Acer.saccharum","Fagus","Tsuga","Tilia","Juglans.nigra","Rosaceae","Dalea.candida","Shepherdia.argentea","Shepherdia.canadensis","Larix","Onagraceae"
100,487,272,5,41,10,9,0,19,7,49,0,0,18,0,2,0,5,13,0,5,34,7,44,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,538,261,2,66,6,12,0,11,4,48,0,0,10,0,1,0,14,6,0,1,35,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,740,260,0,74,4,7,0,6,3,22,0,0,18,0,3,0,8,9,0,3,46,3,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,791,279,2,53,5,10,0,10,2,81,0,0,4,0,1,0,4,6,0,0,42,2,51,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,893,292,5,64,11,12,0,28,0,64,0,0,12,0,0,0,7,10,0,0,32,0,39,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,994,353,0,64,9,13,3,17,7,79,0,0,17,1,6,1,11,5,0,7,44,8,45,2,0,3,0,4,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1045,288,0,79,1,14,0,13,5,31,0,0,15,0,2,0,8,10,0,1,43,5,56,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1146,276,1,33,6,6,0,20,5,73,0,0,15,0,4,0,4,22,0,4,21,5,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1298,296,1,57,3,21,0,17,12,47,0,0,17,0,2,0,13,7,0,4,42,12,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1400,264,2,47,5,10,0,11,2,47,0,0,18,0,2,0,5,20,0,14,20,2,44,0,0,0,1,2,0,0,1,0,2,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1552,270,1,51,6,11,4,16,3,84,0,0,8,0,4,0,11,6,0,3,14,3,27,5,1,2,0,1,0,0,1,3,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1653,286,3,72,3,3,1,21,5,61,0,0,10,0,1,0,5,20,0,2,27,5,43,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1754,283,1,65,9,8,0,19,5,64,0,0,10,0,2,0,2,13,0,2,29,5,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1805,330,3,61,11,16,3,35,4,62,0,0,20,0,2,1,4,13,0,4,21,4,50,5,0,0,1,3,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1906,304,1,59,3,9,0,33,7,51,0,0,17,0,2,3,9,15,0,6,16,7,53,0,0,0,0,3,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2008,359,2,87,1,11,2,38,11,88,0,0,5,0,0,0,20,15,1,2,27,10,22,8,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2059,262,4,53,1,8,2,20,7,62,0,0,9,0,4,0,11,10,0,9,13,7,33,2,0,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,2160,292,1,65,1,10,5,13,0,48,0,0,4,0,1,0,6,10,0,3,39,2,81,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,2261,274,1,60,3,11,0,40,1,52,0,0,9,0,1,1,7,5,0,9,25,0,38,1,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,2363,291,5,61,1,12,2,22,1,55,0,0,13,0,3,0,6,4,0,3,34,1,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,2464,275,7,46,3,12,0,18,2,75,0,0,11,0,1,0,9,2,0,2,42,2,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2565,329,1,63,5,14,6,32,9,110,0,0,12,0,2,1,8,4,0,7,10,9,27,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,2667,285,2,44,11,8,0,26,3,85,0,0,10,0,11,1,10,10,0,3,34,3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,2768,289,2,64,4,4,0,24,3,82,0,0,10,0,3,0,2,15,0,3,19,3,47,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,2819,499,0,68,5,19,2,47,20,145,0,0,16,0,10,1,16,15,0,16,16,19,67,1,0,0,0,2,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
570,2870,309,0,64,3,13,1,32,1,87,0,0,13,0,5,1,10,3,1,12,18,1,31,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
580,2920,492,2,90,20,13,1,55,4,153,0,0,16,2,8,1,16,10,0,10,33,4,36,0,1,0,1,4,0,0,3,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
590,2971,290,0,54,6,7,0,24,4,78,0,0,8,0,2,0,10,4,1,5,41,4,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
600,3053,345,0,79,4,11,0,20,3,108,0,0,10,0,1,0,16,3,1,6,50,2,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
610,3134,368,0,66,9,7,2,26,7,97,0,0,6,1,1,1,23,11,0,6,68,6,19,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,3298,371,1,122,7,6,0,29,3,87,0,0,9,0,4,1,27,5,0,7,25,3,19,0,0,1,2,1,0,1,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
650,3461,260,0,62,8,20,0,32,6,13,1,0,6,1,9,0,13,6,0,8,30,6,32,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
670,3624,342,1,74,3,26,0,27,2,80,0,0,7,0,4,0,20,12,0,10,28,2,38,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,3787,372,0,70,6,23,0,42,6,95,0,0,20,0,6,1,17,15,0,9,8,5,41,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,3951,354,0,79,7,16,0,38,3,98,1,0,8,0,5,0,18,3,0,8,27,3,32,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
730,4114,368,1,58,15,16,0,19,3,124,0,0,7,0,5,1,12,5,2,11,38,3,33,1,1,0,1,2,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,4277,343,0,73,6,29,0,9,0,71,1,0,12,0,5,2,32,7,0,11,55,0,24,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
770,4440,346,2,81,8,26,1,14,1,54,0,0,6,0,8,1,16,14,0,7,68,1,32,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
790,4604,363,0,92,3,17,1,17,2,88,0,0,10,0,5,1,21,2,1,9,57,2,25,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,4767,342,0,113,4,21,2,20,0,74,0,0,9,0,7,0,25,4,0,6,28,0,17,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
830,4930,292,0,87,2,26,0,23,1,74,0,0,4,0,3,1,10,6,0,11,8,1,23,0,0,0,1,2,0,0,2,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850,5093,366,0,123,6,18,0,20,1,112,0,0,11,0,4,0,11,3,0,3,24,0,22,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,5257,354,1,95,3,18,2,21,2,102,0,0,7,0,1,1,11,5,0,2,56,2,19,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,5420,350,0,101,5,51,0,20,3,84,0,0,6,0,2,0,12,5,0,7,27,3,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
910,5583,351,0,94,5,51,2,23,1,63,0,0,10,0,0,0,15,2,0,9,34,1,32,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
930,5747,351,0,109,1,25,2,18,1,57,0,0,10,0,0,0,28,4,0,4,56,1,25,0,0,1,0,2,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
950,5910,358,0,133,9,28,0,19,0,26,0,0,5,0,1,0,36,2,0,5,64,0,24,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,6073,352,0,108,1,20,0,24,2,46,0,0,9,1,1,0,22,4,1,2,85,2,15,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,6236,356,0,92,4,37,0,22,1,48,0,0,12,0,0,1,16,2,3,3,80,1,22,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,6400,352,0,120,0,30,0,15,0,33,0,0,9,0,2,0,16,1,1,7,90,0,22,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,6563,365,1,98,3,41,0,19,1,83,0,0,11,0,2,1,7,4,0,6,44,0,34,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,6726,351,0,103,5,37,0,34,0,71,0,0,6,0,3,0,8,4,0,7,35,0,34,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,6889,355,0,105,5,37,1,18,0,85,0,0,7,0,2,0,10,1,0,7,43,0,32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,7053,335,0,100,1,25,0,24,0,71,0,0,9,0,4,0,15,2,0,3,57,0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,7216,326,0,123,5,47,0,11,0,50,0,0,5,0,0,0,8,2,0,6,41,0,23,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,7379,355,0,101,2,34,0,25,0,67,0,0,5,0,1,0,12,2,0,2,87,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1150,7542,371,0,111,1,41,1,16,0,38,0,0,3,0,1,0,36,1,0,1,95,0,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,7706,366,0,87,1,33,1,13,1,48,0,0,5,0,0,0,24,2,0,5,124,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,7869,320,1,54,5,54,0,13,1,64,1,0,4,1,3,0,14,2,1,0,63,1,26,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,8032,348,0,71,0,32,0,13,1,29,0,0,4,0,5,0,19,1,0,1,149,1,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1230,8195,316,0,47,3,43,0,8,0,27,0,0,1,0,5,0,21,2,0,1,135,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,8359,333,1,67,3,59,0,8,0,26,0,0,3,0,5,0,17,1,0,1,117,0,11,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1270,8522,349,0,86,2,38,0,10,0,50,0,0,5,0,1,0,19,1,0,1,108,0,20,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,8685,345,0,68,1,48,1,19,0,65,0,0,3,0,3,0,15,0,0,4,91,0,16,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1310,8849,345,0,59,0,32,0,13,0,51,0,0,11,0,9,0,13,2,0,5,120,0,22,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,9012,334,0,84,2,44,2,12,1,51,0,0,2,0,8,0,4,2,0,3,69,0,38,1,0,0,1,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1350,9175,342,0,52,2,57,0,10,1,26,0,0,2,0,1,0,10,1,2,1,158,1,10,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1360,9257,362,0,68,5,33,2,30,0,110,2,0,8,0,9,0,10,14,2,0,25,0,23,5,0,0,3,5,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1370,10099,392,1,73,7,42,1,47,0,102,1,0,16,0,8,1,9,9,0,4,28,0,27,0,0,1,4,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1390,NA,417,2,69,20,38,1,47,0,87,1,0,12,1,4,0,3,38,0,3,19,0,38,1,3,0,1,16,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1400,NA,333,0,79,8,43,2,15,0,64,1,0,8,0,10,0,7,12,3,1,24,0,31,0,1,0,3,11,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
1410,NA,357,0,56,12,4,4,24,3,117,0,0,10,0,6,1,8,44,0,1,12,1,17,0,0,0,9,8,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,3,1,1,0,0,0
1420,NA,356,2,37,43,11,0,15,3,63,0,0,10,0,5,0,4,25,0,3,27,0,21,45,0,0,10,16,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1430,NA,411,2,33,25,9,7,50,4,60,0,0,21,0,8,1,7,36,0,6,6,0,35,23,0,0,10,50,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,2,0,3,0
1440,NA,272,1,44,8,6,9,30,3,31,0,0,6,0,10,2,3,0,0,10,1,3,9,35,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,15,0
1450,NA,438,1,45,2,7,0,39,6,19,0,0,5,0,1,1,2,4,0,1,8,0,2,3,0,0,0,282,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
