"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium.filix.femina","Betula","Carya.cordiformis","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Dryopteris","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Hypericum","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Lonicera.involucrata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
220,5044,42,0,4,0,1,0,0,0,0,0,0,0,184,0,0,0,0,22,14,0,0,0,0,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,5,45,5,0,1,0,53,13,0,0,0,1,0,6,0,0,0,0,0,0,0,21,0,1,3,0,0,1,2,1,2
240,5503,42,0,3,0,3,4,1,0,1,0,0,0,269,0,0,0,0,17,15,0,0,0,0,4,4,0,0,1,0,4,0,1,0,1,0,0,1,0,1,0,0,2,0,7,36,20,0,0,2,73,14,2,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,7,0,0,1,0,0,1
260,5961,41,0,2,0,7,0,0,0,0,3,0,0,169,0,1,0,0,11,68,0,1,1,0,13,4,4,0,0,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,6,51,17,0,9,1,90,15,0,0,0,0,0,10,0,0,4,1,10,0,0,15,0,0,3,0,1,4,3,5,2
280,6420,60,0,0,0,12,3,0,2,2,0,0,0,121,0,1,0,1,9,72,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0,3,1,0,0,0,0,8,42,19,0,8,2,61,10,1,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,2,9,0,3,4,1,0
300,6879,68,1,1,0,6,4,3,1,2,0,0,0,100,0,1,0,0,7,17,0,0,0,0,2,1,0,3,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,10,32,3,0,4,0,16,7,0,0,0,4,0,15,0,0,0,2,0,0,0,0,0,0,0,3,0,8,4,2,0
320,7337,37,0,5,1,13,9,0,2,1,0,0,0,122,0,0,0,1,8,28,1,0,0,0,1,0,1,1,0,0,1,0,1,1,12,0,1,0,3,0,0,0,2,0,32,35,13,0,9,1,77,6,1,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1
340,7796,55,0,3,0,9,11,1,0,1,0,0,0,94,0,0,0,0,7,51,2,0,0,0,0,1,2,0,0,0,2,0,0,0,5,0,2,0,1,1,0,0,0,0,27,7,7,0,0,0,54,6,3,0,0,1,0,17,0,0,1,0,0,0,0,0,0,0,1,0,2,4,3,5,0
360,8254,63,0,4,0,5,11,3,0,2,0,0,0,75,0,1,0,0,5,117,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,1,0,7,3,0,1,1,0,11,28,17,0,19,1,40,16,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,2,1,0,3,1,4,0
380,8713,87,0,0,0,4,10,0,0,1,0,0,0,53,0,0,0,3,6,41,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,0,7,1,3,0,0,0,0,0,31,84,15,0,23,0,46,9,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,0,1,0,0,1,2,3,0
390,8942,27,0,0,0,4,39,0,0,2,0,0,0,68,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,7,2,8,0,0,0,0,0,24,72,19,0,19,0,26,7,1,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0
400,9171,28,0,0,0,15,52,0,2,0,1,0,0,46,0,0,0,0,8,119,3,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,3,0,13,0,0,0,0,0,51,81,12,0,35,1,45,12,1,0,0,2,0,3,0,3,1,0,0,1,0,0,0,1,1,0,0,0,4,1,0
410,9401,36,0,0,0,26,32,0,1,3,2,0,0,100,0,0,0,0,9,183,2,0,0,1,0,0,0,0,1,0,5,1,1,2,1,0,4,1,9,1,0,0,0,0,108,57,35,0,53,0,61,23,7,0,0,5,0,10,0,2,3,0,0,1,1,0,0,0,1,1,0,1,4,1,3
415,9515,29,0,1,0,10,39,1,1,5,3,0,0,88,0,0,0,1,9,460,1,0,0,0,0,0,0,0,0,0,5,0,1,12,1,0,4,1,3,2,0,0,0,0,57,30,32,2,24,4,67,10,11,0,0,6,0,18,0,0,9,0,0,1,0,0,0,1,1,1,0,1,1,7,1
420,NA,12,0,1,0,12,25,0,0,6,3,0,0,93,0,1,0,1,6,371,1,0,0,0,0,0,1,0,0,0,3,0,0,8,0,0,2,1,1,3,0,0,0,1,35,12,18,0,30,0,64,16,119,0,0,7,0,16,0,0,9,0,0,0,1,3,0,0,4,0,0,4,5,2,1
425,NA,10,0,2,0,5,30,1,0,2,1,0,0,49,0,0,0,0,7,339,0,0,0,0,0,1,0,0,0,0,9,0,0,11,0,0,4,3,3,4,0,0,0,0,52,18,23,0,27,1,37,16,36,0,0,1,0,10,0,0,9,0,0,0,0,0,1,0,1,0,0,1,3,1,0
430,NA,67,0,5,0,4,38,2,1,10,4,0,0,140,1,0,0,0,11,331,2,0,0,0,1,0,1,1,0,0,10,4,1,4,3,0,5,2,3,5,0,0,2,0,65,46,31,0,58,0,60,19,82,0,0,9,0,22,0,1,15,0,0,2,0,2,0,1,1,1,0,0,6,1,0
435,NA,12,0,0,0,9,20,0,0,9,3,0,0,87,0,1,3,0,7,208,0,0,0,0,1,0,3,0,0,0,7,3,0,5,1,0,4,0,5,1,0,1,1,0,3,30,28,0,13,2,40,17,126,1,0,2,0,10,0,0,21,0,0,0,1,5,0,0,3,1,0,3,1,2,1
440,NA,17,0,1,0,7,17,0,0,6,9,1,0,99,0,1,2,0,10,122,0,0,0,0,3,1,3,0,0,0,6,6,1,5,0,0,3,0,2,6,1,0,1,0,8,16,18,0,28,0,36,13,126,0,0,0,0,12,0,1,23,0,0,4,2,6,0,0,2,0,0,9,7,0,0
445,NA,44,0,1,1,14,35,3,2,8,3,1,0,139,0,2,1,0,17,243,0,0,0,0,0,1,0,2,0,0,15,0,1,4,1,0,8,0,2,7,1,0,2,2,22,84,31,1,42,0,56,23,184,0,0,2,0,15,0,0,12,0,0,2,0,3,1,0,2,1,0,2,10,5,2
450,NA,15,0,0,0,9,13,1,4,3,1,0,0,65,0,0,1,0,13,122,0,0,0,0,2,1,0,0,1,0,3,9,0,0,2,0,2,0,1,2,0,0,0,0,10,39,12,0,31,1,38,12,120,0,0,4,0,12,0,0,4,0,0,3,2,4,0,1,1,0,0,9,9,0,0
