"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Brassicaceae","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Elaeagnaceae","Ephedra","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Morus","Nuphar","Nymphaeaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Vitis"
620,7212,0,0,0,3,9,0,0,0,3,3,0,0,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,1,4,5,7,0,6,1,180,0,0,0,0,0,0,4,0,1,42,7,0,0
640,7554,0,3,2,5,17,0,0,0,3,5,0,0,0,12,0,1,2,2,5,0,0,0,0,2,5,1,0,2,0,0,2,0,0,0,0,0,10,1,6,8,11,9,13,0,185,0,1,1,1,1,0,6,0,1,25,3,0,0
660,7927,0,2,0,3,13,0,0,0,2,1,1,0,0,7,1,1,5,0,8,0,1,0,0,0,2,3,0,2,0,0,0,0,0,0,1,0,6,0,2,12,10,2,13,0,202,0,0,0,0,0,1,6,0,1,31,2,0,0
680,8333,0,3,1,1,15,0,0,0,5,3,1,0,0,5,0,0,1,0,10,0,0,0,0,0,5,1,0,4,0,1,0,0,0,0,0,0,10,0,0,5,14,4,9,0,188,0,0,4,0,1,0,0,0,0,33,4,0,0
700,8777,1,6,1,2,14,0,0,0,4,3,4,0,0,6,1,0,2,0,13,0,0,0,0,0,11,0,0,1,0,1,0,0,0,3,1,0,18,3,5,5,12,1,12,0,171,0,0,3,0,1,0,4,0,2,33,4,0,0
720,9261,1,5,0,1,9,0,0,0,2,5,1,0,0,12,0,0,5,1,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,15,0,4,12,20,5,15,0,181,0,0,1,0,0,0,6,0,0,53,2,0,0
740,9789,0,15,0,1,5,0,0,0,0,0,6,0,0,12,1,0,6,1,2,0,0,0,0,0,12,2,0,4,0,1,0,0,0,1,0,0,43,0,7,13,13,5,7,0,169,0,0,1,0,1,0,4,0,0,80,2,0,0
750,10070,7,7,2,0,5,0,0,0,0,2,6,0,0,9,3,0,3,0,2,0,0,0,0,0,6,1,0,1,0,1,0,0,0,2,1,0,16,4,9,19,23,7,1,0,147,0,0,0,0,0,0,11,0,0,70,3,0,0
760,10364,0,6,1,1,3,0,0,0,0,1,3,0,0,11,0,1,5,2,6,0,0,0,0,0,10,0,0,11,0,0,0,0,0,2,0,0,43,3,15,9,17,3,4,0,141,0,0,1,0,1,0,5,0,0,49,3,0,0
770,10670,3,8,45,1,7,0,0,0,2,0,5,0,0,11,0,0,0,0,3,0,0,0,0,0,23,2,0,10,0,2,0,0,0,4,0,0,0,2,12,11,13,1,6,0,105,0,0,2,0,1,0,2,0,1,65,5,0,0
780,10990,2,4,1,1,15,0,0,0,2,3,3,0,0,7,0,0,3,0,8,0,0,0,0,0,5,0,0,6,0,2,0,0,0,0,0,0,14,2,10,6,6,5,13,0,160,0,0,1,0,2,1,6,0,0,47,3,0,0
790,11322,4,8,6,1,4,0,0,0,0,0,16,0,0,15,2,0,3,0,6,0,0,0,0,0,22,4,0,7,0,0,0,0,0,0,0,0,32,4,24,6,8,0,1,5,174,0,0,1,0,5,0,5,0,0,70,5,0,0
800,11662,9,9,1,1,4,0,0,0,2,1,36,0,0,8,2,2,3,0,5,0,0,0,0,0,33,2,0,7,0,1,0,0,0,0,1,0,18,5,25,2,10,0,4,2,82,0,0,1,0,0,0,0,0,0,67,5,0,0
810,11976,17,1,7,0,1,0,0,0,3,0,58,0,0,1,0,1,4,0,7,0,0,0,0,0,30,2,0,2,0,6,0,0,0,0,1,0,6,23,43,0,14,0,4,0,40,0,0,0,0,4,1,0,0,0,41,3,0,0
820,12251,33,0,10,1,2,0,0,0,6,1,41,0,0,1,0,0,2,0,7,0,0,0,0,0,43,1,0,2,0,5,0,0,0,0,0,0,7,13,33,0,3,0,2,2,44,0,0,1,0,2,1,0,0,1,29,3,0,0
830,12495,24,0,16,1,2,0,0,0,5,1,62,0,0,0,0,0,0,1,5,0,0,0,0,0,17,1,0,0,0,3,0,0,0,0,0,0,12,108,28,0,4,0,3,6,26,0,0,2,0,3,0,0,0,3,21,3,0,0
840,12717,22,0,7,1,4,0,1,0,7,1,39,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,16,120,11,0,2,0,5,5,24,0,0,0,0,0,1,1,0,0,14,4,1,0
850,12926,24,0,6,1,5,0,0,0,9,2,9,0,0,1,0,0,1,0,10,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,12,185,1,0,0,0,0,0,30,0,0,8,0,1,0,0,1,0,10,3,0,0
860,NA,24,2,6,1,11,0,1,0,12,8,6,0,0,0,0,0,1,0,7,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,9,146,5,0,0,0,7,1,30,0,0,4,1,2,5,0,0,1,6,5,0,0
