"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Chamaedaphne.calyculata","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Elymus.type","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juncaceae","Juniperus.communis.Thuja.occidentalis.type","Kalmia","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Nuphar","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae.undiff.","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus.virginiana","Pyrola","Quercus","Rhamnus.alnifolia.R..frangula","Rhododendron.canadense","Rosaceae.undiff.","Rubiaceae","Rumex.type.undiff.","Rumex.acetosa.type","Salix","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Viburnum.nudum"
260,4329,4,0,4,4,8,0,0,0,0,1,2,0,59,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,4,0,6,0,0,1,0,0,0,105,0,0,2,3,0,0,0,85,916,0,0,1,1,9,0,235,67,13,2,0,0,0,0,8,0,0,0,0,0,0,1,0,0,4,1,4,0,0,0,4,0,1,41,5,0,0,0
280,4611,2,0,2,8,11,0,1,1,0,0,2,0,107,0,0,3,0,1,0,0,0,1,14,0,0,0,0,0,8,1,2,0,0,0,0,2,0,43,0,0,0,0,0,0,0,47,128,0,0,3,1,1,2,174,144,0,7,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,3,50,0,0,3,0,2,90,8,0,0,0
300,4834,4,0,1,5,3,0,0,0,0,2,0,0,41,0,0,0,0,1,0,1,1,0,6,0,0,0,0,0,6,2,1,0,2,0,0,0,0,72,0,0,1,1,0,0,0,21,267,0,0,1,2,4,0,183,97,0,1,2,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,1,143,0,0,3,0,2,31,34,0,0,0
320,5057,4,0,0,2,5,0,0,1,0,1,1,0,42,0,0,0,0,0,1,2,0,0,21,1,0,0,2,0,3,0,3,0,2,0,0,0,0,67,0,1,0,1,0,0,0,19,462,0,0,2,2,2,1,236,72,0,1,0,1,0,0,10,0,0,0,0,0,0,4,0,0,1,0,2,156,0,0,3,0,0,34,49,0,2,0
340,5281,0,0,1,1,3,0,0,1,0,0,0,0,10,0,0,1,1,0,0,0,0,0,24,0,98,0,1,0,3,0,0,0,0,0,0,27,0,29,0,3,0,0,0,0,0,1,30,0,0,3,0,2,0,103,51,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,120,0,0,1,0,0,48,10,0,0,0
360,5504,2,0,2,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,59,0,2,0,1,0,0,0,1,0,1,0,0,0,0,49,0,0,0,0,0,0,0,8,270,0,0,0,0,3,0,129,16,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,148,0,0,4,0,0,34,4,0,0,0
380,5727,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,65,0,0,1,0,3,0,108,48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,1,0,0,804,2,0,0,0
400,5950,1,0,0,0,0,1,1,0,0,0,1,0,5,1,0,0,0,0,1,0,0,0,44,1,13,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,1,0,0,0,9,2,17,0,0,2,0,19,4,137,37,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,324,1,0,0,0,0,596,5,0,0,0
420,6174,1,0,0,2,2,2,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,62,3,2,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,2,2,0,0,0,2,3,2,73,117,0,20,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,82,0,0,2,2,0,53,2,0,0,0
440,6397,0,0,4,2,1,1,0,1,2,2,1,0,34,0,0,0,1,0,0,2,0,0,27,0,1,0,3,0,3,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,2,6,0,0,1,0,5,0,156,157,0,5,0,2,0,0,14,0,0,1,0,1,0,1,0,0,0,0,1,81,0,1,5,0,1,132,4,0,0,0
460,6620,1,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,2,1,11,0,281,221,0,2,0,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,3,76,0,0,3,1,0,122,4,0,0,0
480,NA,7,1,2,8,5,1,0,1,1,0,1,0,45,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,6,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,2,1,0,2,1,5,3,267,294,0,3,0,2,1,0,42,0,0,2,1,0,0,0,0,0,1,0,7,27,2,0,4,1,0,82,4,0,0,3
500,NA,13,0,1,1,1,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,3,1,7,0,355,212,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,14,3,0,0,0,0,76,3,0,0,0
515,NA,6,0,2,1,6,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,5,0,255,152,0,1,0,2,2,0,16,0,0,0,0,0,0,0,0,2,3,0,1,11,0,0,1,0,0,45,4,0,0,0
